CED_NAME16	EduInstitutionType	Sex	students
Reid	University or other tertiary	M	7524
Richmond		F	7252
Richmond		M	6624
Richmond	Infants/Primary	F	5852
Richmond	Infants/Primary	M	6248
Richmond	Pre-school	F	1414
Richmond	Pre-school	M	1529
Richmond	Secondary	F	4722
Richmond	Secondary	M	4865
Richmond	Technical or Further Educational Institution	F	2239
Richmond	Technical or Further Educational Institution	M	1695
Richmond	University or other tertiary	F	3059
Richmond	University or other tertiary	M	1436
Riverina		F	5895
Riverina		M	6754
Riverina	Infants/Primary	F	6605
Riverina	Infants/Primary	M	6933
Riverina	Pre-school	F	1742
Riverina	Pre-school	M	1869
Riverina	Secondary	F	5188
Riverina	Secondary	M	5108
Riverina	Technical or Further Educational Institution	F	2256
Riverina	Technical or Further Educational Institution	M	1874
Riverina	University or other tertiary	F	3078
Riverina	University or other tertiary	M	1383
Robertson		F	4644
Robertson		M	4031
Robertson	Infants/Primary	F	5594
Robertson	Infants/Primary	M	6175
Robertson	Pre-school	F	1605
Robertson	Pre-school	M	1835
Robertson	Secondary	F	4670
Robertson	Secondary	M	4691
Robertson	Technical or Further Educational Institution	F	2051
Robertson	Technical or Further Educational Institution	M	1742
Robertson	University or other tertiary	F	3308
Robertson	University or other tertiary	M	2037
Shortland		F	3759
Shortland		M	3525
Shortland	Infants/Primary	F	5939
Shortland	Infants/Primary	M	6502
Shortland	Pre-school	F	1704
Shortland	Pre-school	M	1856
Shortland	Secondary	F	4696
Shortland	Secondary	M	4838
Shortland	Technical or Further Educational Institution	F	1801
Shortland	Technical or Further Educational Institution	M	1791
Shortland	University or other tertiary	F	3002
Shortland	University or other tertiary	M	1914
Sydney		F	9682
Sydney		M	10470
Sydney	Infants/Primary	F	2776
Sydney	Infants/Primary	M	2839
Sydney	Pre-school	F	988
Sydney	Pre-school	M	1118
Sydney	Secondary	F	1925
Sydney	Secondary	M	1943
Sydney	Technical or Further Educational Institution	F	4490
Sydney	Technical or Further Educational Institution	M	3605
Sydney	University or other tertiary	F	11991
Sydney	University or other tertiary	M	10679
Warringah		F	3172
Warringah		M	2841
Warringah	Infants/Primary	F	6124
Warringah	Infants/Primary	M	6353
Warringah	Pre-school	F	1650
