CED_NAME16	Age5yr	ChildrenEverBorn	females
Berowra	35-39	5	21
Berowra	35-39	6	17
Berowra	40-44		124
Berowra	40-44	0	548
Berowra	40-44	1	934
Berowra	40-44	2	2816
Berowra	40-44	3	993
Berowra	40-44	4	223
Berowra	40-44	5	46
Berowra	40-44	6	24
Berowra	45-49		124
Berowra	45-49	0	581
Berowra	45-49	1	841
Berowra	45-49	2	2729
Berowra	45-49	3	1142
Berowra	45-49	4	321
Berowra	45-49	5	65
Berowra	45-49	6	21
Berowra	50-54		133
Berowra	50-54	0	621
Berowra	50-54	1	804
Berowra	50-54	2	2657
Berowra	50-54	3	1205
Berowra	50-54	4	313
Berowra	50-54	5	65
Berowra	50-54	6	32
Berowra	55-59		119
Berowra	55-59	0	533
Berowra	55-59	1	835
Berowra	55-59	2	2373
Berowra	55-59	3	1128
Berowra	55-59	4	342
Berowra	55-59	5	59
Berowra	55-59	6	29
Berowra	60-64		99
Berowra	60-64	0	490
Berowra	60-64	1	797
Berowra	60-64	2	2033
Berowra	60-64	3	1080
Berowra	60-64	4	310
Berowra	60-64	5	72
Berowra	60-64	6	43
Berowra	65-69		123
Berowra	65-69	0	378
Berowra	65-69	1	709
Berowra	65-69	2	1690
Berowra	65-69	3	1006
Berowra	65-69	4	314
Berowra	65-69	5	76
Berowra	65-69	6	44
Berowra	70-74		126
Berowra	70-74	0	327
Berowra	70-74	1	455
Berowra	70-74	2	1576
Berowra	70-74	3	907
Berowra	70-74	4	324
Berowra	70-74	5	69
Berowra	70-74	6	36
Berowra	75-79		140
Berowra	75-79	0	257
Berowra	75-79	1	245
Berowra	75-79	2	1078
Berowra	75-79	3	775
Berowra	75-79	4	297
Berowra	75-79	5	58
Berowra	75-79	6	40
Berowra	80-84		182
Berowra	80-84	0	143
Berowra	80-84	1	136
Berowra	80-84	2	654
Berowra	80-84	3	593
Berowra	80-84	4	257
Berowra	80-84	5	94
Berowra	80-84	6	42
Berowra	85+		427
Berowra	85+	0	170
Berowra	85+	1	181
Berowra	85+	2	628
Berowra	85+	3	566
Berowra	85+	4	327
Berowra	85+	5	107
Berowra	85+	6	89
Blaxland	15-19		669
Blaxland	15-19	0	4898
Blaxland	15-19	1	13
Blaxland	15-19	2	4
Blaxland	20-24		823
Blaxland	20-24	0	5687
Blaxland	20-24	1	404
