CED_NAME21	Landlord	Rent.min	occupied_private_dwellings_being_rented
Chifley	(Other)	14437	53
Chifley	(Other)	18375	167
Chifley	(Other)	23625	83
Chifley	(Other)	28875	21
Chifley	(Other)	34125	5
Chifley	(Other)	39375	3
Chifley	(Other)	49875	3
Chifley	Co-op/church group etc	52	7
Chifley	Co-op/church group etc	3937	15
Chifley	Co-op/church group etc	5250	47
Chifley	Co-op/church group etc	7875	112
Chifley	Co-op/church group etc	10500	38
Chifley	Co-op/church group etc	11812	54
Chifley	Co-op/church group etc	14437	52
Chifley	Co-op/church group etc	18375	92
Chifley	Co-op/church group etc	23625	19
Chifley	Co-op/church group etc	28875	3
Chifley	Person not in same household	52	12
Chifley	Person not in same household	3937	4
Chifley	Person not in same household	5250	54
Chifley	Person not in same household	7875	78
Chifley	Person not in same household	10500	90
Chifley	Person not in same household	11812	150
Chifley	Person not in same household	14437	363
Chifley	Person not in same household	18375	965
Chifley	Person not in same household	23625	410
Chifley	Person not in same household	28875	137
Chifley	Person not in same household	34125	36
Chifley	Person not in same household	39375	11
Chifley	Person not in same household	44625	9
Chifley	Person not in same household	49875	5
Chifley	Real estate agent	52	19
Chifley	Real estate agent	3937	8
Chifley	Real estate agent	5250	22
Chifley	Real estate agent	7875	57
Chifley	Real estate agent	10500	102
Chifley	Real estate agent	11812	340
Chifley	Real estate agent	14437	2124
Chifley	Real estate agent	18375	5957
Chifley	Real estate agent	23625	3208
Chifley	Real estate agent	28875	1424
Chifley	Real estate agent	34125	334
Chifley	Real estate agent	39375	49
Chifley	Real estate agent	44625	15
Chifley	Real estate agent	49875	36
Chifley	State or territory housing authority	52	108
Chifley	State or territory housing authority	3937	237
Chifley	State or territory housing authority	5250	1440
Chifley	State or territory housing authority	7875	1004
Chifley	State or territory housing authority	10500	447
Chifley	State or territory housing authority	11812	496
Chifley	State or territory housing authority	14437	589
Chifley	State or territory housing authority	18375	581
Chifley	State or territory housing authority	23625	82
Chifley	State or territory housing authority	28875	8
Chifley	State or territory housing authority	34125	3
Chifley	State or territory housing authority	39375	5
Cook		5250	4
Cook		7875	5
Cook		10500	5
Cook		18375	4
Cook		28875	3
Cook	(Other)	52	3
Cook	(Other)	5250	5
Cook	(Other)	7875	5
Cook	(Other)	10500	10
Cook	(Other)	11812	86
Cook	(Other)	14437	37
Cook	(Other)	18375	51
Cook	(Other)	23625	20
Cook	(Other)	28875	11
Cook	(Other)	34125	6
Cook	(Other)	39375	4
Cook	(Other)	49875	4
Cook	Co-op/church group etc	52	5
Cook	Co-op/church group etc	3937	4
Cook	Co-op/church group etc	5250	41
Cook	Co-op/church group etc	7875	61
Cook	Co-op/church group etc	10500	23
Cook	Co-op/church group etc	11812	28
Cook	Co-op/church group etc	14437	42
Cook	Co-op/church group etc	18375	26
Cook	Co-op/church group etc	23625	11
Cook	Co-op/church group etc	34125	5
Cook	Person not in same household	52	9
Cook	Person not in same household	5250	29
Cook	Person not in same household	7875	37
Cook	Person not in same household	10500	46
Cook	Person not in same household	11812	59
Cook	Person not in same household	14437	144
Cook	Person not in same household	18375	336
Cook	Person not in same household	23625	395
Cook	Person not in same household	28875	251
Cook	Person not in same household	34125	160
Cook	Person not in same household	39375	105
Cook	Person not in same household	44625	51
Cook	Person not in same household	49875	89
Cook	Real estate agent	52	12
Cook	Real estate agent	5250	7
Cook	Real estate agent	7875	18
Cook	Real estate agent	10500	27
Cook	Real estate agent	11812	60
Cook	Real estate agent	14437	418
Cook	Real estate agent	18375	2262
Cook	Real estate agent	23625	3075
Cook	Real estate agent	28875	2174
Cook	Real estate agent	34125	1347
Cook	Real estate agent	39375	760
Cook	Real estate agent	44625	470
Cook	Real estate agent	49875	660
Cook	State or territory housing authority	52	42
Cook	State or territory housing authority	3937	60
Cook	State or territory housing authority	5250	486
Cook	State or territory housing authority	7875	124
Cook	State or territory housing authority	10500	53
Cook	State or territory housing authority	11812	61
Cook	State or territory housing authority	14437	45
Cook	State or territory housing authority	18375	42
Cook	State or territory housing authority	23625	28
Cook	State or territory housing authority	28875	14
Cook	State or territory housing authority	39375	6
Cowper		52	3
Cowper		5250	10
Cowper		7875	15
Cowper		10500	8
Cowper		11812	23
Cowper		14437	20
Cowper		18375	14
Cowper		23625	4
Cowper	(Other)	52	14
Cowper	(Other)	3937	17
Cowper	(Other)	5250	69
Cowper	(Other)	7875	97
Cowper	(Other)	10500	69
Cowper	(Other)	11812	78
Cowper	(Other)	14437	81
Cowper	(Other)	18375	97
Cowper	(Other)	23625	38
Cowper	(Other)	28875	5
Cowper	(Other)	34125	4
Cowper	(Other)	39375	5
Cowper	(Other)	49875	5
Cowper	Co-op/church group etc	52	15
Cowper	Co-op/church group etc	3937	21
Cowper	Co-op/church group etc	5250	124
Cowper	Co-op/church group etc	7875	494
Cowper	Co-op/church group etc	10500	137
Cowper	Co-op/church group etc	11812	192
Cowper	Co-op/church group etc	14437	138
Cowper	Co-op/church group etc	18375	148
Cowper	Co-op/church group etc	23625	24
Cowper	Co-op/church group etc	28875	3
Cowper	Co-op/church group etc	34125	5
Cowper	Co-op/church group etc	49875	3
Cowper	Person not in same household	52	43
Cowper	Person not in same household	3937	14
Cowper	Person not in same household	5250	132
Cowper	Person not in same household	7875	221
Cowper	Person not in same household	10500	284
Cowper	Person not in same household	11812	452
Cowper	Person not in same household	14437	786
Cowper	Person not in same household	18375	1021
Cowper	Person not in same household	23625	393
Cowper	Person not in same household	28875	123
Cowper	Person not in same household	34125	37
Cowper	Person not in same household	39375	18
Cowper	Person not in same household	44625	5
Cowper	Person not in same household	49875	15
Cowper	Real estate agent	52	20
Cowper	Real estate agent	3937	8
Cowper	Real estate agent	5250	36
Cowper	Real estate agent	7875	140
Cowper	Real estate agent	10500	248
Cowper	Real estate agent	11812	892
Cowper	Real estate agent	14437	2474
Cowper	Real estate agent	18375	4171
Cowper	Real estate agent	23625	2358
Cowper	Real estate agent	28875	729
Cowper	Real estate agent	34125	231
Cowper	Real estate agent	39375	42
Cowper	Real estate agent	44625	14
Cowper	Real estate agent	49875	19
Cowper	State or territory housing authority	52	20
Cowper	State or territory housing authority	3937	24
Cowper	State or territory housing authority	5250	144
Cowper	State or territory housing authority	7875	478
Cowper	State or territory housing authority	10500	142
Cowper	State or territory housing authority	11812	214
Cowper	State or territory housing authority	14437	157
Cowper	State or territory housing authority	18375	149
Cowper	State or territory housing authority	23625	25
Cowper	State or territory housing authority	28875	15
Cowper	State or territory housing authority	34125	4
Cunningham		5250	11
Cunningham		7875	9
Cunningham		10500	3
Cunningham		11812	4
Cunningham		14437	9
Cunningham		18375	6
Cunningham		23625	7
Cunningham		28875	4
Cunningham	(Other)	52	4
Cunningham	(Other)	5250	30
Cunningham	(Other)	7875	19
Cunningham	(Other)	10500	15
Cunningham	(Other)	11812	26
Cunningham	(Other)	14437	36
Cunningham	(Other)	18375	40
Cunningham	(Other)	23625	33
Cunningham	(Other)	28875	23
Cunningham	(Other)	34125	9
Cunningham	Co-op/church group etc	52	17
Cunningham	Co-op/church group etc	3937	12
Cunningham	Co-op/church group etc	5250	72
Cunningham	Co-op/church group etc	7875	122
Cunningham	Co-op/church group etc	10500	45
Cunningham	Co-op/church group etc	11812	66
Cunningham	Co-op/church group etc	14437	50
Cunningham	Co-op/church group etc	18375	35
Cunningham	Co-op/church group etc	23625	12
Cunningham	Co-op/church group etc	28875	8
Cunningham	Co-op/church group etc	34125	4
Cunningham	Person not in same household	52	16
Cunningham	Person not in same household	3937	7
Cunningham	Person not in same household	5250	90
Cunningham	Person not in same household	7875	135
Cunningham	Person not in same household	10500	170
Cunningham	Person not in same household	11812	254
Cunningham	Person not in same household	14437	420
Cunningham	Person not in same household	18375	603
Cunningham	Person not in same household	23625	467
Cunningham	Person not in same household	28875	239
Cunningham	Person not in same household	34125	115
Cunningham	Person not in same household	39375	44
Cunningham	Person not in same household	44625	16
Cunningham	Person not in same household	49875	35
Cunningham	Real estate agent	52	17
Cunningham	Real estate agent	5250	35
Cunningham	Real estate agent	7875	108
Cunningham	Real estate agent	10500	154
Cunningham	Real estate agent	11812	526
Cunningham	Real estate agent	14437	1848
Cunningham	Real estate agent	18375	3685
Cunningham	Real estate agent	23625	3060
Cunningham	Real estate agent	28875	1851
Cunningham	Real estate agent	34125	719
Cunningham	Real estate agent	39375	297
Cunningham	Real estate agent	44625	141
Cunningham	Real estate agent	49875	112
Cunningham	State or territory housing authority	52	131
Cunningham	State or territory housing authority	3937	232
Cunningham	State or territory housing authority	5250	1689
Cunningham	State or territory housing authority	7875	579
Cunningham	State or territory housing authority	10500	286
Cunningham	State or territory housing authority	11812	308
Cunningham	State or territory housing authority	14437	177
Cunningham	State or territory housing authority	18375	225
Cunningham	State or territory housing authority	23625	101
Cunningham	State or territory housing authority	28875	26
Cunningham	State or territory housing authority	34125	4
Cunningham	State or territory housing authority	39375	5
Dobell		5250	6
Dobell		7875	7
Dobell		10500	4
Dobell		11812	6
Dobell		14437	11
Dobell		18375	11
Dobell		23625	4
Dobell	(Other)	52	4
Dobell	(Other)	3937	3
Dobell	(Other)	5250	38
Dobell	(Other)	7875	85
Dobell	(Other)	10500	29
Dobell	(Other)	11812	64
Dobell	(Other)	14437	48
Dobell	(Other)	18375	87
Dobell	(Other)	23625	27
Dobell	(Other)	28875	11
Dobell	(Other)	34125	4
Dobell	(Other)	39375	4
Dobell	(Other)	49875	10
Dobell	Co-op/church group etc	52	14
Dobell	Co-op/church group etc	3937	7
Dobell	Co-op/church group etc	5250	57
Dobell	Co-op/church group etc	7875	155
Dobell	Co-op/church group etc	10500	71
Dobell	Co-op/church group etc	11812	114
Dobell	Co-op/church group etc	14437	77
Dobell	Co-op/church group etc	18375	61
Dobell	Co-op/church group etc	23625	14
Dobell	Co-op/church group etc	34125	5
Dobell	Person not in same household	52	15
Dobell	Person not in same household	3937	5
Dobell	Person not in same household	5250	47
Dobell	Person not in same household	7875	106
Dobell	Person not in same household	10500	156
Dobell	Person not in same household	11812	224
Dobell	Person not in same household	14437	514
Dobell	Person not in same household	18375	819
Dobell	Person not in same household	23625	406
Dobell	Person not in same household	28875	142
Dobell	Person not in same household	34125	42
Dobell	Person not in same household	39375	25
Dobell	Person not in same household	44625	6
Dobell	Person not in same household	49875	12
Dobell	Real estate agent	52	10
Dobell	Real estate agent	3937	3
Dobell	Real estate agent	5250	19
Dobell	Real estate agent	7875	66
Dobell	Real estate agent	10500	121
Dobell	Real estate agent	11812	401
Dobell	Real estate agent	14437	1513
Dobell	Real estate agent	18375	4622
Dobell	Real estate agent	23625	3093
Dobell	Real estate agent	28875	998
Dobell	Real estate agent	34125	296
Dobell	Real estate agent	39375	86
Dobell	Real estate agent	44625	37
Dobell	Real estate agent	49875	37
Dobell	State or territory housing authority	52	47
Dobell	State or territory housing authority	3937	80
Dobell	State or territory housing authority	5250	664
Dobell	State or territory housing authority	7875	276
Dobell	State or territory housing authority	10500	127
Dobell	State or territory housing authority	11812	171
Dobell	State or territory housing authority	14437	140
Dobell	State or territory housing authority	18375	107
Dobell	State or territory housing authority	23625	20
Dobell	State or territory housing authority	28875	3
Dobell	State or territory housing authority	34125	4
Eden-Monaro		52	4
Eden-Monaro		5250	10
Eden-Monaro		7875	12
Eden-Monaro		10500	6
Eden-Monaro		11812	5
Eden-Monaro		14437	12
Eden-Monaro		18375	11
Eden-Monaro		23625	4
Eden-Monaro	(Other)	52	33
Eden-Monaro	(Other)	3937	17
Eden-Monaro	(Other)	5250	66
Eden-Monaro	(Other)	7875	62
Eden-Monaro	(Other)	10500	47
Eden-Monaro	(Other)	11812	165
Eden-Monaro	(Other)	14437	208
