CED_NAME21	MaxSchoolingCompleted	adults
Indi	Year 9	9862
Indi	Year 10	25929
Indi	Year 11	20625
Indi	Year 12	56048
Isaacs	Did not go to school	1857
Isaacs	Year 8	5625
Isaacs	Year 9	5964
Isaacs	Year 10	14491
Isaacs	Year 11	14028
Isaacs	Year 12	83492
Jagajaga	Did not go to school	989
Jagajaga	Year 8	5010
Jagajaga	Year 9	5957
Jagajaga	Year 10	13162
Jagajaga	Year 11	13866
Jagajaga	Year 12	86447
Kooyong	Did not go to school	803
Kooyong	Year 8	3242
Kooyong	Year 9	3818
Kooyong	Year 10	7616
Kooyong	Year 11	9196
Kooyong	Year 12	107955
La Trobe	Did not go to school	938
La Trobe	Year 8	4634
La Trobe	Year 9	7932
La Trobe	Year 10	19751
La Trobe	Year 11	16310
La Trobe	Year 12	73422
Lalor	Did not go to school	2478
Lalor	Year 8	5922
Lalor	Year 9	7593
Lalor	Year 10	18226
Lalor	Year 11	14289
Lalor	Year 12	93968
Macnamara	Did not go to school	713
Macnamara	Year 8	2463
Macnamara	Year 9	2906
Macnamara	Year 10	7696
Macnamara	Year 11	9307
Macnamara	Year 12	115249
Mallee	Did not go to school	1346
Mallee	Year 8	10051
Mallee	Year 9	12807
Mallee	Year 10	27269
Mallee	Year 11	22818
Mallee	Year 12	51051
Maribyrnong	Did not go to school	1795
Maribyrnong	Year 8	7004
Maribyrnong	Year 9	5331
Maribyrnong	Year 10	11748
Maribyrnong	Year 11	12049
Maribyrnong	Year 12	84664
McEwen	Did not go to school	541
McEwen	Year 8	4216
McEwen	Year 9	7506
McEwen	Year 10	18077
McEwen	Year 11	16798
McEwen	Year 12	70601
Melbourne	Did not go to school	1678
Melbourne	Year 8	3193
Melbourne	Year 9	2619
Melbourne	Year 10	6765
Melbourne	Year 11	8004
Melbourne	Year 12	148166
Menzies	Did not go to school	1785
Menzies	Year 8	6801
Menzies	Year 9	5836
Menzies	Year 10	11801
Menzies	Year 11	12320
Menzies	Year 12	99930
Monash	Did not go to school	536
Monash	Year 8	6552
Monash	Year 9	10222
Monash	Year 10	23823
Monash	Year 11	19980
Monash	Year 12	50761
