CED_NAME21	Sex	persons
Hindmarsh	M	84066
Kingston	F	84740
Kingston	M	81370
Makin	F	87443
Makin	M	86318
Mayo	F	88675
Mayo	M	85054
Spence	F	95019
Spence	M	93202
Sturt	F	96716
Sturt	M	90636
No usual address (SA)	F	1506
No usual address (SA)	M	1873
Migratory - Offshore - Shipping (SA)	M	12
Brand	F	90975
Brand	M	90571
Burt	F	91615
Burt	M	90718
Canning	F	81752
Canning	M	78193
Cowan	F	90932
Cowan	M	89247
Curtin	F	89421
Curtin	M	83620
Durack	F	96523
Durack	M	104921
Forrest	F	80181
Forrest	M	77818
Fremantle	F	85202
Fremantle	M	81582
Hasluck	F	87397
Hasluck	M	87342
Moore	F	82942
Moore	M	81170
O'Connor	F	85785
O'Connor	M	90288
Pearce	F	90442
Pearce	M	87063
Perth	F	91775
Perth	M	90157
Swan	F	94696
Swan	M	95172
Tangney	F	94068
Tangney	M	89890
No usual address (WA)	F	3416
No usual address (WA)	M	4639
Migratory - Offshore - Shipping (WA)	F	58
Migratory - Offshore - Shipping (WA)	M	455
Bass	F	56024
Bass	M	53949
Braddon	F	56132
Braddon	M	53421
Clark	F	57059
Clark	M	54689
Franklin	F	57234
Franklin	M	54604
Lyons	F	56733
Lyons	M	56331
No usual address (Tas.)	F	616
No usual address (Tas.)	M	758
Migratory - Offshore - Shipping (Tas.)	M	13
Lingiari	F	59140
Lingiari	M	61863
Solomon	F	55222
Solomon	M	55064
No usual address (NT)	F	1675
No usual address (NT)	M	1826
Migratory - Offshore - Shipping (NT)	F	15
Migratory - Offshore - Shipping (NT)	M	83
Bean	F	77528
Bean	M	75080
Canberra	F	74059
Canberra	M	71449
Fenner	F	79572
Fenner	M	78697
No usual address (ACT)	F	273
No usual address (ACT)	M	336
No usual address (OT)	F	4
No usual address (OT)	M	6
