CED_NAME16	HomeCensusNight	Sex	persons
Monash	0	M	3663
Monash	1	F	71405
Monash	1	M	67801
Nicholls	0	F	3125
Nicholls	0	M	3560
Nicholls	1	F	76876
Nicholls	1	M	75946
Scullin	0	F	1461
Scullin	0	M	1522
Scullin	1	F	84039
Scullin	1	M	83377
Wannon	0	F	3595
Wannon	0	M	3857
Wannon	1	F	74117
Wannon	1	M	72989
Wills	0	F	2371
Wills	0	M	2090
Wills	1	F	78729
Wills	1	M	75133
No usual address (Vic.)	0	F	3915
No usual address (Vic.)	0	M	5170
Migratory - Offshore - Shipping (Vic.)	1	F	6
Migratory - Offshore - Shipping (Vic.)	1	M	35
Blair	0	F	2772
Blair	0	M	3582
Blair	1	F	93183
Blair	1	M	90411
Bonner	0	F	2071
Bonner	0	M	2439
Bonner	1	F	81392
Bonner	1	M	76987
Bowman	0	F	2465
Bowman	0	M	3068
Bowman	1	F	79033
Bowman	1	M	74657
Brisbane	0	F	3677
Brisbane	0	M	3968
Brisbane	1	F	88561
Brisbane	1	M	87053
Capricornia	0	F	3817
Capricornia	0	M	6601
Capricornia	1	F	74195
Capricornia	1	M	75178
Dawson	0	F	4070
Dawson	0	M	6819
Dawson	1	F	76028
Dawson	1	M	75172
Dickson	0	F	2187
Dickson	0	M	2762
Dickson	1	F	78483
Dickson	1	M	76144
Fadden	0	F	2758
Fadden	0	M	3434
Fadden	1	F	97439
Fadden	1	M	90983
Fairfax	0	F	3329
Fairfax	0	M	4102
Fairfax	1	F	84607
Fairfax	1	M	77433
Fisher	0	F	3366
Fisher	0	M	4327
Fisher	1	F	86153
Fisher	1	M	78341
Flynn	0	F	3825
Flynn	0	M	5724
Flynn	1	F	73933
Flynn	1	M	75194
Forde	0	F	2554
Forde	0	M	2978
Forde	1	F	96236
Forde	1	M	91567
Griffith	0	F	3182
Griffith	0	M	3424
Griffith	1	F	87598
Griffith	1	M	83385
Groom	0	F	3214
Groom	0	M	4002
Groom	1	F	79990
Groom	1	M	73672
Herbert	0	F	3305
Herbert	0	M	5209
Herbert	1	F	79435
Herbert	1	M	76102
Hinkler	0	F	3740
Hinkler	0	M	4589
Hinkler	1	F	77084
Hinkler	1	M	71151
Kennedy	0	F	4067
Kennedy	0	M	5646
Kennedy	1	F	79947
Kennedy	1	M	81743
Leichhardt	0	F	4317
Leichhardt	0	M	5169
Leichhardt	1	F	84250
Leichhardt	1	M	81878
Lilley	0	F	2469
Lilley	0	M	2941
Lilley	1	F	80370
Lilley	1	M	75773
Longman	0	F	2965
Longman	0	M	3889
Longman	1	F	92127
Longman	1	M	87604
Maranoa	0	F	4079
Maranoa	0	M	5014
Maranoa	1	F	71792
Maranoa	1	M	70530
McPherson	0	F	2831
McPherson	0	M	3189
McPherson	1	F	82804
McPherson	1	M	74776
Moncrieff	0	F	3182
Moncrieff	0	M	3520
Moncrieff	1	F	89837
Moncrieff	1	M	85608
Moreton	0	F	2337
Moreton	0	M	2658
Moreton	1	F	82525
Moreton	1	M	80960
Oxley	0	F	2200
Oxley	0	M	2668
Oxley	1	F	91004
Oxley	1	M	90649
Petrie	0	F	2632
Petrie	0	M	3168
Petrie	1	F	93474
Petrie	1	M	86013
Rankin	0	F	2193
Rankin	0	M	2549
Rankin	1	F	92213
Rankin	1	M	89909
Ryan	0	F	2773
Ryan	0	M	3145
Ryan	1	F	80593
Ryan	1	M	77282
Wide Bay	0	F	3659
Wide Bay	0	M	4487
Wide Bay	1	F	73213
Wide Bay	1	M	70880
Wright	0	F	2630
Wright	0	M	3498
Wright	1	F	88756
Wright	1	M	86781
No usual address (Qld)	0	F	6807
No usual address (Qld)	0	M	7861
Migratory - Offshore - Shipping (Qld)	0	F	23
Migratory - Offshore - Shipping (Qld)	0	M	45
Migratory - Offshore - Shipping (Qld)	1	F	12
Migratory - Offshore - Shipping (Qld)	1	M	108
Adelaide	0	F	3226
Adelaide	0	M	3458
Adelaide	1	F	96150
Adelaide	1	M	94782
Barker	0	F	4137
Barker	0	M	4838
Barker	1	F	80949
Barker	1	M	81762
Boothby	0	F	3200
Boothby	0	M	3531
Boothby	1	F	88064
Boothby	1	M	80829
Grey	0	F	4901
Grey	0	M	6221
Grey	1	F	79728
Grey	1	M	80641
Hindmarsh	0	F	2835
Hindmarsh	0	M	3311
Hindmarsh	1	F	85634
Hindmarsh	1	M	80761
Kingston	0	F	2709
Kingston	0	M	3391
Kingston	1	F	82028
Kingston	1	M	77976
Makin	0	F	2309
Makin	0	M	2873
Makin	1	F	85134
Makin	1	M	83445
Mayo	0	F	4022
Mayo	0	M	4890
Mayo	1	F	84658
Mayo	1	M	80165
Spence	0	F	2793
Spence	0	M	3617
Spence	1	F	92235
Spence	1	M	89584
Sturt	0	F	2721
Sturt	0	M	2892
Sturt	1	F	93997
Sturt	1	M	87744
No usual address (SA)	0	F	1506
No usual address (SA)	0	M	1873
Migratory - Offshore - Shipping (SA)	1	M	12
Brand	0	F	3553
Brand	0	M	6674
Brand	1	F	87423
Brand	1	M	83898
Burt	0	F	2664
Burt	0	M	4193
Burt	1	F	88946
Burt	1	M	86522
Canning	0	F	4466
Canning	0	M	6984
Canning	1	F	77282
Canning	1	M	71209
Cowan	0	F	2736
Cowan	0	M	3872
Cowan	1	F	88189
Cowan	1	M	85380
Curtin	0	F	3996
Curtin	0	M	4955
Curtin	1	F	85421
Curtin	1	M	78664
Durack	0	F	6270
Durack	0	M	8384
Durack	1	F	90256
Durack	1	M	96534
Forrest	0	F	5158
Forrest	0	M	7413
Forrest	1	F	75022
Forrest	1	M	70407
Fremantle	0	F	3373
Fremantle	0	M	4951
Fremantle	1	F	81825
Fremantle	1	M	76623
Hasluck	0	F	3268
Hasluck	0	M	5618
Hasluck	1	F	84126
Hasluck	1	M	81727
Moore	0	F	3021
Moore	0	M	4833
Moore	1	F	79922
Moore	1	M	76335
O'Connor	0	F	6019
O'Connor	0	M	7595
O'Connor	1	F	79762
O'Connor	1	M	82696
Pearce	0	F	2797
Pearce	0	M	5365
Pearce	1	F	87648
Pearce	1	M	81705
Perth	0	F	3895
Perth	0	M	5230
Perth	1	F	87879
Perth	1	M	84921
Swan	0	F	3799
Swan	0	M	5412
Swan	1	F	90898
Swan	1	M	89765
Tangney	0	F	2838
Tangney	0	M	4186
Tangney	1	F	91225
Tangney	1	M	85708
No usual address (WA)	0	F	3416
No usual address (WA)	0	M	4639
