CED_NAME21	Age	NeedsAssistance	Sex	persons
Bennelong	65-74	0	F	7220
Bennelong	65-74	0	M	6621
Bennelong	65-74	1	F	807
Bennelong	65-74	1	M	575
Bennelong	75-84		F	244
Bennelong	75-84		M	181
Bennelong	75-84	0	F	3224
Bennelong	75-84	0	M	2890
Bennelong	75-84	1	F	1257
Bennelong	75-84	1	M	763
Bennelong	85+		F	305
Bennelong	85+		M	153
Bennelong	85+	0	F	984
Bennelong	85+	0	M	812
Bennelong	85+	1	F	1419
Bennelong	85+	1	M	773
Berowra	0-4		F	88
Berowra	0-4		M	111
Berowra	0-4	0	F	3320
Berowra	0-4	0	M	3410
Berowra	0-4	1	F	21
Berowra	0-4	1	M	47
Berowra	5-14		F	251
Berowra	5-14		M	276
Berowra	5-14	0	F	9890
Berowra	5-14	0	M	10761
Berowra	5-14	1	F	189
Berowra	5-14	1	M	381
Berowra	15-19		F	109
Berowra	15-19		M	141
Berowra	15-19	0	F	4871
Berowra	15-19	0	M	5262
Berowra	15-19	1	F	98
Berowra	15-19	1	M	141
Berowra	20-24		F	110
Berowra	20-24		M	119
Berowra	20-24	0	F	3923
Berowra	20-24	0	M	4434
Berowra	20-24	1	F	76
Berowra	20-24	1	M	103
Berowra	25-34		F	183
Berowra	25-34		M	176
Berowra	25-34	0	F	5952
Berowra	25-34	0	M	5853
Berowra	25-34	1	F	112
Berowra	25-34	1	M	161
Berowra	35-44		F	278
Berowra	35-44		M	269
Berowra	35-44	0	F	10137
Berowra	35-44	0	M	9042
Berowra	35-44	1	F	131
Berowra	35-44	1	M	122
Berowra	45-54		F	254
Berowra	45-54		M	284
Berowra	45-54	0	F	11193
Berowra	45-54	0	M	10529
Berowra	45-54	1	F	196
Berowra	45-54	1	M	173
Berowra	55-64		F	219
Berowra	55-64		M	240
Berowra	55-64	0	F	9813
Berowra	55-64	0	M	9314
Berowra	55-64	1	F	306
Berowra	55-64	1	M	247
Berowra	65-74		F	234
Berowra	65-74		M	208
Berowra	65-74	0	F	7427
Berowra	65-74	0	M	6953
Berowra	65-74	1	F	496
Berowra	65-74	1	M	384
Berowra	75-84		F	271
Berowra	75-84		M	202
Berowra	75-84	0	F	3788
Berowra	75-84	0	M	3656
Berowra	75-84	1	F	928
Berowra	75-84	1	M	615
Berowra	85+		F	384
Berowra	85+		M	189
Berowra	85+	0	F	873
Berowra	85+	0	M	791
Berowra	85+	1	F	1229
Berowra	85+	1	M	596
Blaxland	0-4		F	612
Blaxland	0-4		M	678
Blaxland	0-4	0	F	5808
Blaxland	0-4	0	M	6046
Blaxland	0-4	1	F	57
Blaxland	0-4	1	M	124
Blaxland	5-14		F	1095
Blaxland	5-14		M	1247
Blaxland	5-14	0	F	11001
Blaxland	5-14	0	M	11165
Blaxland	5-14	1	F	242
Blaxland	5-14	1	M	533
Blaxland	15-19		F	421
Blaxland	15-19		M	495
Blaxland	15-19	0	F	5067
Blaxland	15-19	0	M	5447
Blaxland	15-19	1	F	98
Blaxland	15-19	1	M	194
Blaxland	20-24		F	574
Blaxland	20-24		M	772
Blaxland	20-24	0	F	6476
Blaxland	20-24	0	M	7317
Blaxland	20-24	1	F	87
Blaxland	20-24	1	M	148
Blaxland	25-34		F	1250
Blaxland	25-34		M	1600
Blaxland	25-34	0	F	13480
Blaxland	25-34	0	M	14868
Blaxland	25-34	1	F	215
Blaxland	25-34	1	M	272
Blaxland	35-44		F	1021
Blaxland	35-44		M	1322
Blaxland	35-44	0	F	10602
Blaxland	35-44	0	M	11198
Blaxland	35-44	1	F	335
Blaxland	35-44	1	M	360
Blaxland	45-54		F	784
Blaxland	45-54		M	966
Blaxland	45-54	0	F	9324
Blaxland	45-54	0	M	9367
Blaxland	45-54	1	F	536
Blaxland	45-54	1	M	484
Blaxland	55-64		F	666
Blaxland	55-64		M	715
Blaxland	55-64	0	F	8260
Blaxland	55-64	0	M	8495
Blaxland	55-64	1	F	1091
Blaxland	55-64	1	M	856
Blaxland	65-74		F	503
Blaxland	65-74		M	480
Blaxland	65-74	0	F	5158
Blaxland	65-74	0	M	5187
Blaxland	65-74	1	F	1411
Blaxland	65-74	1	M	1146
Blaxland	75-84		F	337
Blaxland	75-84		M	346
Blaxland	75-84	0	F	2032
Blaxland	75-84	0	M	2237
Blaxland	75-84	1	F	1453
Blaxland	75-84	1	M	1028
Blaxland	85+		F	415
Blaxland	85+		M	227
Blaxland	85+	0	F	495
Blaxland	85+	0	M	511
Blaxland	85+	1	F	1208
Blaxland	85+	1	M	675
Bradfield	0-4		F	121
Bradfield	0-4		M	160
Bradfield	0-4	0	F	3747
Bradfield	0-4	0	M	4129
Bradfield	0-4	1	F	28
Bradfield	0-4	1	M	44
Bradfield	5-14		F	251
Bradfield	5-14		M	302
Bradfield	5-14	0	F	11359
Bradfield	5-14	0	M	11760
Bradfield	5-14	1	F	158
Bradfield	5-14	1	M	306
Bradfield	15-19		F	124
Bradfield	15-19		M	147
Bradfield	15-19	0	F	5300
Bradfield	15-19	0	M	5516
Bradfield	15-19	1	F	67
Bradfield	15-19	1	M	123
Bradfield	20-24		F	124
Bradfield	20-24		M	144
Bradfield	20-24	0	F	4330
Bradfield	20-24	0	M	4654
Bradfield	20-24	1	F	71
Bradfield	20-24	1	M	75
Bradfield	25-34		F	290
Bradfield	25-34		M	261
Bradfield	25-34	0	F	7782
Bradfield	25-34	0	M	7268
Bradfield	25-34	1	F	90
Bradfield	25-34	1	M	120
Bradfield	35-44		F	347
Bradfield	35-44		M	320
Bradfield	35-44	0	F	12746
Bradfield	35-44	0	M	11094
Bradfield	35-44	1	F	104
Bradfield	35-44	1	M	93
Bradfield	45-54		F	296
Bradfield	45-54		M	291
Bradfield	45-54	0	F	12576
Bradfield	45-54	0	M	11155
Bradfield	45-54	1	F	163
Bradfield	45-54	1	M	145
Bradfield	55-64		F	245
Bradfield	55-64		M	263
Bradfield	55-64	0	F	9612
Bradfield	55-64	0	M	9053
Bradfield	55-64	1	F	252
Bradfield	55-64	1	M	176
Bradfield	65-74		F	253
Bradfield	65-74		M	216
Bradfield	65-74	0	F	7493
Bradfield	65-74	0	M	6593
Bradfield	65-74	1	F	543
Bradfield	65-74	1	M	348
Bradfield	75-84		F	275
Bradfield	75-84		M	157
Bradfield	75-84	0	F	4415
Bradfield	75-84	0	M	3920
Bradfield	75-84	1	F	1046
Bradfield	75-84	1	M	678
Bradfield	85+		F	312
Bradfield	85+		M	148
Bradfield	85+	0	F	1347
Bradfield	85+	0	M	1157
Bradfield	85+	1	F	1651
Bradfield	85+	1	M	832
Calare	0-4		F	319
Calare	0-4		M	350
Calare	0-4	0	F	4422
Calare	0-4	0	M	4769
Calare	0-4	1	F	52
Calare	0-4	1	M	87
Calare	5-14		F	799
Calare	5-14		M	871
Calare	5-14	0	F	9926
Calare	5-14	0	M	10188
Calare	5-14	1	F	374
Calare	5-14	1	M	774
Calare	15-19		F	287
Calare	15-19		M	397
Calare	15-19	0	F	4357
Calare	15-19	0	M	4691
Calare	15-19	1	F	163
Calare	15-19	1	M	276
Calare	20-24		F	290
Calare	20-24		M	575
Calare	20-24	0	F	3890
Calare	20-24	0	M	4012
Calare	20-24	1	F	112
Calare	20-24	1	M	180
Calare	25-34		F	676
Calare	25-34		M	1388
Calare	25-34	0	F	9307
Calare	25-34	0	M	8597
Calare	25-34	1	F	235
Calare	25-34	1	M	264
Calare	35-44		F	659
Calare	35-44		M	1256
Calare	35-44	0	F	8900
Calare	35-44	0	M	8304
Calare	35-44	1	F	267
Calare	35-44	1	M	264
Calare	45-54		F	686
Calare	45-54		M	976
Calare	45-54	0	F	9559
Calare	45-54	0	M	8962
Calare	45-54	1	F	438
Calare	45-54	1	M	432
Calare	55-64		F	623
Calare	55-64		M	831
Calare	55-64	0	F	9844
Calare	55-64	0	M	9408
Calare	55-64	1	F	592
Calare	55-64	1	M	602
Calare	65-74		F	554
Calare	65-74		M	689
Calare	65-74	0	F	8153
Calare	65-74	0	M	8012
Calare	65-74	1	F	795
Calare	65-74	1	M	821
Calare	75-84		F	387
Calare	75-84		M	391
Calare	75-84	0	F	4182
Calare	75-84	0	M	3973
Calare	75-84	1	F	1113
Calare	75-84	1	M	883
Calare	85+		F	234
Calare	85+		M	123
Calare	85+	0	F	1000
Calare	85+	0	M	793
Calare	85+	1	F	1287
Calare	85+	1	M	613
Chifley	0-4		F	613
Chifley	0-4		M	632
Chifley	0-4	0	F	6973
Chifley	0-4	0	M	7364
Chifley	0-4	1	F	83
Chifley	0-4	1	M	154
Chifley	5-14		F	1264
Chifley	5-14		M	1297
Chifley	5-14	0	F	13444
Chifley	5-14	0	M	13575
Chifley	5-14	1	F	419
Chifley	5-14	1	M	887
Chifley	15-19		F	418
Chifley	15-19		M	494
Chifley	15-19	0	F	5515
Chifley	15-19	0	M	5716
Chifley	15-19	1	F	142
Chifley	15-19	1	M	298
Chifley	20-24		F	453
Chifley	20-24		M	556
Chifley	20-24	0	F	6036
Chifley	20-24	0	M	6457
Chifley	20-24	1	F	138
Chifley	20-24	1	M	211
Chifley	25-34		F	1167
Chifley	25-34		M	1136
Chifley	25-34	0	F	14621
Chifley	25-34	0	M	13308
Chifley	25-34	1	F	280
Chifley	25-34	1	M	315
Chifley	35-44		F	1091
Chifley	35-44		M	1035
Chifley	35-44	0	F	14418
Chifley	35-44	0	M	14577
Chifley	35-44	1	F	341
Chifley	35-44	1	M	331
Chifley	45-54		F	724
Chifley	45-54		M	764
Chifley	45-54	0	F	10363
Chifley	45-54	0	M	10334
Chifley	45-54	1	F	579
Chifley	45-54	1	M	483
Chifley	55-64		F	524
Chifley	55-64		M	570
Chifley	55-64	0	F	8682
Chifley	55-64	0	M	8315
Chifley	55-64	1	F	894
Chifley	55-64	1	M	804
Chifley	65-74		F	441
Chifley	65-74		M	366
Chifley	65-74	0	F	5751
Chifley	65-74	0	M	5287
Chifley	65-74	1	F	1353
Chifley	65-74	1	M	1013
Chifley	75-84		F	250
Chifley	75-84		M	211
Chifley	75-84	0	F	2018
Chifley	75-84	0	M	1917
Chifley	75-84	1	F	1315
Chifley	75-84	1	M	876
Chifley	85+		F	228
Chifley	85+		M	84
Chifley	85+	0	F	353
Chifley	85+	0	M	286
Chifley	85+	1	F	1050
Chifley	85+	1	M	464
Cook	0-4		F	172
Cook	0-4		M	165
Cook	0-4	0	F	3744
Cook	0-4	0	M	4089
Cook	0-4	1	F	19
Cook	0-4	1	M	42
Cook	5-14		F	327
Cook	5-14		M	392
Cook	5-14	0	F	7899
Cook	5-14	0	M	8344
Cook	5-14	1	F	124
Cook	5-14	1	M	320
Cook	15-19		F	136
Cook	15-19		M	158
Cook	15-19	0	F	3961
Cook	15-19	0	M	4095
Cook	15-19	1	F	66
Cook	15-19	1	M	114
Cook	20-24		F	152
Cook	20-24		M	155
Cook	20-24	0	F	3916
Cook	20-24	0	M	3936
Cook	20-24	1	F	51
Cook	20-24	1	M	95
Cook	25-34		F	474
Cook	25-34		M	483
Cook	25-34	0	F	8704
Cook	25-34	0	M	8166
Cook	25-34	1	F	104
Cook	25-34	1	M	117
Cook	35-44		F	414
Cook	35-44		M	460
Cook	35-44	0	F	9457
Cook	35-44	0	M	8740
Cook	35-44	1	F	142
Cook	35-44	1	M	100
Cook	45-54		F	405
Cook	45-54		M	437
Cook	45-54	0	F	10038
Cook	45-54	0	M	9368
Cook	45-54	1	F	211
Cook	45-54	1	M	186
Cook	55-64		F	312
Cook	55-64		M	352
Cook	55-64	0	F	8993
Cook	55-64	0	M	8429
Cook	55-64	1	F	339
Cook	55-64	1	M	322
Cook	65-74		F	301
Cook	65-74		M	272
Cook	65-74	0	F	7175
Cook	65-74	0	M	6409
Cook	65-74	1	F	550
Cook	65-74	1	M	423
Cook	75-84		F	341
Cook	75-84		M	237
Cook	75-84	0	F	4091
Cook	75-84	0	M	3571
Cook	75-84	1	F	1076
Cook	75-84	1	M	691
Cook	85+		F	422
Cook	85+		M	205
Cook	85+	0	F	1231
Cook	85+	0	M	978
Cook	85+	1	F	1476
Cook	85+	1	M	783
Cowper	0-4		F	301
Cowper	0-4		M	314
Cowper	0-4	0	F	3624
Cowper	0-4	0	M	3723
Cowper	0-4	1	F	44
Cowper	0-4	1	M	98
Cowper	5-14		F	728
Cowper	5-14		M	731
Cowper	5-14	0	F	8733
Cowper	5-14	0	M	8507
Cowper	5-14	1	F	472
Cowper	5-14	1	M	861
Cowper	15-19		F	337
Cowper	15-19		M	370
Cowper	15-19	0	F	4231
Cowper	15-19	0	M	4262
Cowper	15-19	1	F	175
Cowper	15-19	1	M	308
Cowper	20-24		F	250
Cowper	20-24		M	378
Cowper	20-24	0	F	3437
Cowper	20-24	0	M	3350
Cowper	20-24	1	F	115
Cowper	20-24	1	M	194
Cowper	25-34		F	612
Cowper	25-34		M	911
Cowper	25-34	0	F	7600
Cowper	25-34	0	M	6983
Cowper	25-34	1	F	237
Cowper	25-34	1	M	321
Cowper	35-44		F	610
Cowper	35-44		M	816
Cowper	35-44	0	F	8368
Cowper	35-44	0	M	7425
Cowper	35-44	1	F	319
Cowper	35-44	1	M	316
Cowper	45-54		F	618
Cowper	45-54		M	739
Cowper	45-54	0	F	9777
Cowper	45-54	0	M	8475
Cowper	45-54	1	F	485
Cowper	45-54	1	M	481
Cowper	55-64		F	667
Cowper	55-64		M	727
Cowper	55-64	0	F	11393
Cowper	55-64	0	M	9861
Cowper	55-64	1	F	880
Cowper	55-64	1	M	845
Cowper	65-74		F	651
Cowper	65-74		M	623
Cowper	65-74	0	F	10695
Cowper	65-74	0	M	10076
Cowper	65-74	1	F	1108
Cowper	65-74	1	M	1215
Cowper	75-84		F	535
Cowper	75-84		M	432
Cowper	75-84	0	F	5773
Cowper	75-84	0	M	5265
Cowper	75-84	1	F	1582
Cowper	75-84	1	M	1209
Cowper	85+		F	451
Cowper	85+		M	229
Cowper	85+	0	F	1350
Cowper	85+	0	M	1254
Cowper	85+	1	F	1851
Cowper	85+	1	M	880
Cunningham	0-4		F	176
Cunningham	0-4		M	187
Cunningham	0-4	0	F	4025
Cunningham	0-4	0	M	4261
Cunningham	0-4	1	F	31
Cunningham	0-4	1	M	76
Cunningham	5-14		F	403
Cunningham	5-14		M	395
Cunningham	5-14	0	F	8427
Cunningham	5-14	0	M	8685
Cunningham	5-14	1	F	276
Cunningham	5-14	1	M	486
Cunningham	15-19		F	249
Cunningham	15-19		M	238
Cunningham	15-19	0	F	4474
Cunningham	15-19	0	M	4516
Cunningham	15-19	1	F	100
Cunningham	15-19	1	M	184
Cunningham	20-24		F	298
Cunningham	20-24		M	325
Cunningham	20-24	0	F	5830
Cunningham	20-24	0	M	5898
Cunningham	20-24	1	F	136
Cunningham	20-24	1	M	147
Cunningham	25-34		F	484
Cunningham	25-34		M	565
Cunningham	25-34	0	F	10029
Cunningham	25-34	0	M	10290
Cunningham	25-34	1	F	204
Cunningham	25-34	1	M	231
Cunningham	35-44		F	433
Cunningham	35-44		M	429
Cunningham	35-44	0	F	9536
Cunningham	35-44	0	M	9133
Cunningham	35-44	1	F	255
Cunningham	35-44	1	M	248
Cunningham	45-54		F	371
Cunningham	45-54		M	443
Cunningham	45-54	0	F	9593
Cunningham	45-54	0	M	9181
Cunningham	45-54	1	F	439
Cunningham	45-54	1	M	346
Cunningham	55-64		F	343
Cunningham	55-64		M	379
Cunningham	55-64	0	F	9137
Cunningham	55-64	0	M	8782
Cunningham	55-64	1	F	587
Cunningham	55-64	1	M	521
Cunningham	65-74		F	322
Cunningham	65-74		M	312
Cunningham	65-74	0	F	6997
Cunningham	65-74	0	M	6405
Cunningham	65-74	1	F	798
Cunningham	65-74	1	M	719
Cunningham	75-84		F	349
Cunningham	75-84		M	249
Cunningham	75-84	0	F	3664
Cunningham	75-84	0	M	3368
Cunningham	75-84	1	F	1330
Cunningham	75-84	1	M	880
Cunningham	85+		F	410
Cunningham	85+		M	173
Cunningham	85+	0	F	908
Cunningham	85+	0	M	737
Cunningham	85+	1	F	1480
Cunningham	85+	1	M	767
Dobell	0-4		F	260
Dobell	0-4		M	273
Dobell	0-4	0	F	4433
Dobell	0-4	0	M	4597
Dobell	0-4	1	F	77
Dobell	0-4	1	M	119
Dobell	5-14		F	590
Dobell	5-14		M	588
Dobell	5-14	0	F	9215
Dobell	5-14	0	M	9300
Dobell	5-14	1	F	475
Dobell	5-14	1	M	1062
Dobell	15-19		F	259
Dobell	15-19		M	264
Dobell	15-19	0	F	4378
Dobell	15-19	0	M	4606
Dobell	15-19	1	F	197
Dobell	15-19	1	M	333
Dobell	20-24		F	228
Dobell	20-24		M	247
Dobell	20-24	0	F	4138
Dobell	20-24	0	M	4148
Dobell	20-24	1	F	140
Dobell	20-24	1	M	211
Dobell	25-34		F	539
Dobell	25-34		M	525
Dobell	25-34	0	F	9098
Dobell	25-34	0	M	8321
Dobell	25-34	1	F	247
Dobell	25-34	1	M	287
Dobell	35-44		F	497
Dobell	35-44		M	535
Dobell	35-44	0	F	9345
Dobell	35-44	0	M	8706
Dobell	35-44	1	F	323
Dobell	35-44	1	M	302
Dobell	45-54		F	490
Dobell	45-54		M	531
Dobell	45-54	0	F	9682
Dobell	45-54	0	M	8914
Dobell	45-54	1	F	454
Dobell	45-54	1	M	394
Dobell	55-64		F	438
Dobell	55-64		M	462
Dobell	55-64	0	F	9339
Dobell	55-64	0	M	8326
Dobell	55-64	1	F	697
Dobell	55-64	1	M	649
Dobell	65-74		F	438
Dobell	65-74		M	425
Dobell	65-74	0	F	8030
Dobell	65-74	0	M	7001
Dobell	65-74	1	F	922
Dobell	65-74	1	M	927
Dobell	75-84		F	487
Dobell	75-84		M	350
Dobell	75-84	0	F	4209
Dobell	75-84	0	M	3681
Dobell	75-84	1	F	1314
Dobell	75-84	1	M	927
Dobell	85+		F	525
Dobell	85+		M	250
Dobell	85+	0	F	1108
Dobell	85+	0	M	788
Dobell	85+	1	F	1416
Dobell	85+	1	M	713
Eden-Monaro	0-4		F	272
Eden-Monaro	0-4		M	223
Eden-Monaro	0-4	0	F	4117
Eden-Monaro	0-4	0	M	4117
Eden-Monaro	0-4	1	F	35
Eden-Monaro	0-4	1	M	64
Eden-Monaro	5-14		F	563
Eden-Monaro	5-14		M	660
Eden-Monaro	5-14	0	F	8587
Eden-Monaro	5-14	0	M	9153
Eden-Monaro	5-14	1	F	242
Eden-Monaro	5-14	1	M	537
Eden-Monaro	15-19		F	248
Eden-Monaro	15-19		M	275
Eden-Monaro	15-19	0	F	3831
Eden-Monaro	15-19	0	M	4100
Eden-Monaro	15-19	1	F	103
Eden-Monaro	15-19	1	M	163
Eden-Monaro	20-24		F	233
Eden-Monaro	20-24		M	271
Eden-Monaro	20-24	0	F	3246
Eden-Monaro	20-24	0	M	3520
Eden-Monaro	20-24	1	F	86
Eden-Monaro	20-24	1	M	135
Eden-Monaro	25-34		F	603
Eden-Monaro	25-34		M	778
Eden-Monaro	25-34	0	F	8712
Eden-Monaro	25-34	0	M	8352
Eden-Monaro	25-34	1	F	198
Eden-Monaro	25-34	1	M	204
Eden-Monaro	35-44		F	578
Eden-Monaro	35-44		M	681
Eden-Monaro	35-44	0	F	9140
Eden-Monaro	35-44	0	M	8521
Eden-Monaro	35-44	1	F	253
Eden-Monaro	35-44	1	M	218
Eden-Monaro	45-54		F	589
Eden-Monaro	45-54		M	722
Eden-Monaro	45-54	0	F	10200
Eden-Monaro	45-54	0	M	9734
Eden-Monaro	45-54	1	F	416
Eden-Monaro	45-54	1	M	342
Eden-Monaro	55-64		F	649
Eden-Monaro	55-64		M	781
Eden-Monaro	55-64	0	F	10574
Eden-Monaro	55-64	0	M	10502
Eden-Monaro	55-64	1	F	549
Eden-Monaro	55-64	1	M	478
Eden-Monaro	65-74		F	536
Eden-Monaro	65-74		M	623
Eden-Monaro	65-74	0	F	8488
Eden-Monaro	65-74	0	M	8628
Eden-Monaro	65-74	1	F	645
Eden-Monaro	65-74	1	M	738
Eden-Monaro	75-84		F	333
Eden-Monaro	75-84		M	327
Eden-Monaro	75-84	0	F	3733
Eden-Monaro	75-84	0	M	3804
Eden-Monaro	75-84	1	F	904
Eden-Monaro	75-84	1	M	761
Eden-Monaro	85+		F	219
Eden-Monaro	85+		M	145
Eden-Monaro	85+	0	F	769
Eden-Monaro	85+	0	M	722
Eden-Monaro	85+	1	F	1070
Eden-Monaro	85+	1	M	530
Farrer	0-4		F	407
Farrer	0-4		M	424
Farrer	0-4	0	F	4536
Farrer	0-4	0	M	4714
Farrer	0-4	1	F	52
Farrer	0-4	1	M	108
Farrer	5-14		F	880
Farrer	5-14		M	991
Farrer	5-14	0	F	9431
Farrer	5-14	0	M	9564
Farrer	5-14	1	F	320
Farrer	5-14	1	M	683
Farrer	15-19		F	367
Farrer	15-19		M	420
Farrer	15-19	0	F	4542
Farrer	15-19	0	M	4612
Farrer	15-19	1	F	126
Farrer	15-19	1	M	230
Farrer	20-24		F	355
Farrer	20-24		M	388
Farrer	20-24	0	F	3912
Farrer	20-24	0	M	4009
Farrer	20-24	1	F	110
Farrer	20-24	1	M	174
Farrer	25-34		F	795
Farrer	25-34		M	908
Farrer	25-34	0	F	9208
Farrer	25-34	0	M	8966
Farrer	25-34	1	F	211
Farrer	25-34	1	M	290
Farrer	35-44		F	782
Farrer	35-44		M	795
Farrer	35-44	0	F	9002
Farrer	35-44	0	M	8438
Farrer	35-44	1	F	224
Farrer	35-44	1	M	226
Farrer	45-54		F	732
Farrer	45-54		M	910
Farrer	45-54	0	F	9505
Farrer	45-54	0	M	9022
Farrer	45-54	1	F	427
Farrer	45-54	1	M	389
Farrer	55-64		F	811
Farrer	55-64		M	867
Farrer	55-64	0	F	10412
Farrer	55-64	0	M	9973
Farrer	55-64	1	F	613
Farrer	55-64	1	M	626
Farrer	65-74		F	675
Farrer	65-74		M	814
Farrer	65-74	0	F	8718
Farrer	65-74	0	M	8739
Farrer	65-74	1	F	918
Farrer	65-74	1	M	956
Farrer	75-84		F	497
Farrer	75-84		M	441
Farrer	75-84	0	F	4673
Farrer	75-84	0	M	4359
Farrer	75-84	1	F	1240
Farrer	75-84	1	M	898
Farrer	85+		F	236
Farrer	85+		M	202
Farrer	85+	0	F	1143
Farrer	85+	0	M	954
Farrer	85+	1	F	1464
Farrer	85+	1	M	707
Fowler	0-4		F	439
Fowler	0-4		M	478
Fowler	0-4	0	F	4206
Fowler	0-4	0	M	4481
Fowler	0-4	1	F	43
Fowler	0-4	1	M	85
Fowler	5-14		F	817
Fowler	5-14		M	850
Fowler	5-14	0	F	9214
Fowler	5-14	0	M	9750
Fowler	5-14	1	F	201
Fowler	5-14	1	M	481
