CED_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Barton	Flat/apartment	3 storey block	1	614
Barton	Flat/apartment	3 storey block	2	4074
Barton	Flat/apartment	3 storey block	3	593
Barton	Flat/apartment	3 storey block	4	38
Barton	Flat/apartment	3 storey block	6	6
Barton	Flat/apartment	4-8 storey block		171
Barton	Flat/apartment	4-8 storey block	0	92
Barton	Flat/apartment	4-8 storey block	1	1713
Barton	Flat/apartment	4-8 storey block	2	8220
Barton	Flat/apartment	4-8 storey block	3	1289
Barton	Flat/apartment	4-8 storey block	4	64
Barton	Flat/apartment	4-8 storey block	5	3
Barton	Flat/apartment	4-8 storey block	6	5
Barton	Flat/apartment	9 or more storey block		124
Barton	Flat/apartment	9 or more storey block	0	45
Barton	Flat/apartment	9 or more storey block	1	2104
Barton	Flat/apartment	9 or more storey block	2	5697
Barton	Flat/apartment	9 or more storey block	3	1235
Barton	Flat/apartment	9 or more storey block	4	69
Barton	Flat/apartment	Attached to a house		11
Barton	Flat/apartment	Attached to a house	1	83
Barton	Flat/apartment	Attached to a house	2	157
Barton	Flat/apartment	Attached to a house	3	90
Barton	Flat/apartment	Attached to a house	4	41
Barton	Flat/apartment	Attached to a house	5	25
Barton	Flat/apartment	Attached to a house	6	9
Barton	Separate house			373
Barton	Separate house		0	59
Barton	Separate house		1	273
Barton	Separate house		2	3425
Barton	Separate house		3	13010
Barton	Separate house		4	7571
Barton	Separate house		5	2968
Barton	Separate house		6	851
Bennelong				13
Bennelong			0	6
Bennelong			1	28
Bennelong			2	38
Bennelong			3	13
Bennelong			4	7
Bennelong			5	25
Bennelong		1 storey		33
Bennelong		1 storey	0	42
Bennelong		1 storey	1	220
Bennelong		1 storey	2	834
Bennelong		1 storey	3	1947
Bennelong		1 storey	4	178
Bennelong		1 storey	5	54
Bennelong		1 storey	6	12
Bennelong		2 storeys or more		72
Bennelong		2 storeys or more	0	17
Bennelong		2 storeys or more	1	282
Bennelong		2 storeys or more	2	2011
Bennelong		2 storeys or more	3	2524
Bennelong		2 storeys or more	4	1126
Bennelong		2 storeys or more	5	202
Bennelong		2 storeys or more	6	21
Bennelong	(Other)			9
Bennelong	(Other)		0	3
Bennelong	(Other)		1	31
Bennelong	(Other)		2	40
Bennelong	(Other)		3	40
Bennelong	(Other)		4	3
Bennelong	Flat/apartment		0	7
Bennelong	Flat/apartment	1 or 2 storey block		35
Bennelong	Flat/apartment	1 or 2 storey block	0	50
Bennelong	Flat/apartment	1 or 2 storey block	1	554
Bennelong	Flat/apartment	1 or 2 storey block	2	808
Bennelong	Flat/apartment	1 or 2 storey block	3	266
Bennelong	Flat/apartment	1 or 2 storey block	4	24
Bennelong	Flat/apartment	1 or 2 storey block	5	14
Bennelong	Flat/apartment	1 or 2 storey block	6	7
Bennelong	Flat/apartment	3 storey block		113
Bennelong	Flat/apartment	3 storey block	0	60
Bennelong	Flat/apartment	3 storey block	1	1349
Bennelong	Flat/apartment	3 storey block	2	5891
Bennelong	Flat/apartment	3 storey block	3	779
Bennelong	Flat/apartment	3 storey block	4	30
Bennelong	Flat/apartment	3 storey block	5	27
Bennelong	Flat/apartment	3 storey block	6	3
Bennelong	Flat/apartment	4-8 storey block		121
Bennelong	Flat/apartment	4-8 storey block	0	66
Bennelong	Flat/apartment	4-8 storey block	1	2652
Bennelong	Flat/apartment	4-8 storey block	2	7179
Bennelong	Flat/apartment	4-8 storey block	3	1325
Bennelong	Flat/apartment	4-8 storey block	4	39
Bennelong	Flat/apartment	4-8 storey block	6	4
Bennelong	Flat/apartment	9 or more storey block		82
Bennelong	Flat/apartment	9 or more storey block	0	85
Bennelong	Flat/apartment	9 or more storey block	1	3315
Bennelong	Flat/apartment	9 or more storey block	2	3521
Bennelong	Flat/apartment	9 or more storey block	3	525
Bennelong	Flat/apartment	9 or more storey block	4	14
Bennelong	Flat/apartment	Attached to a house		9
Bennelong	Flat/apartment	Attached to a house	1	43
Bennelong	Flat/apartment	Attached to a house	2	99
Bennelong	Flat/apartment	Attached to a house	3	31
Bennelong	Flat/apartment	Attached to a house	4	32
Bennelong	Flat/apartment	Attached to a house	5	21
Bennelong	Flat/apartment	Attached to a house	6	10
Bennelong	Separate house			282
Bennelong	Separate house		0	42
Bennelong	Separate house		1	253
Bennelong	Separate house		2	2102
Bennelong	Separate house		3	10985
Bennelong	Separate house		4	11533
Bennelong	Separate house		5	4900
Bennelong	Separate house		6	1221
Berowra				9
Berowra			0	3
Berowra			1	21
Berowra			2	31
Berowra			3	7
Berowra			4	10
Berowra			5	7
Berowra		1 storey		22
Berowra		1 storey	1	174
Berowra		1 storey	2	527
Berowra		1 storey	3	465
Berowra		1 storey	4	41
Berowra		1 storey	5	10
Berowra		1 storey	6	3
Berowra		2 storeys or more		17
Berowra		2 storeys or more	0	10
Berowra		2 storeys or more	1	133
Berowra		2 storeys or more	2	418
Berowra		2 storeys or more	3	1987
Berowra		2 storeys or more	4	433
Berowra		2 storeys or more	5	41
Berowra		2 storeys or more	6	11
Berowra	(Other)		0	8
Berowra	(Other)		1	24
Berowra	(Other)		2	53
Berowra	(Other)		3	27
Berowra	(Other)		4	9
Berowra	(Other)		5	3
Berowra	(Other)		6	6
Berowra	Flat/apartment		0	5
Berowra	Flat/apartment	1 or 2 storey block		16
Berowra	Flat/apartment	1 or 2 storey block	0	5
Berowra	Flat/apartment	1 or 2 storey block	1	219
Berowra	Flat/apartment	1 or 2 storey block	2	430
Berowra	Flat/apartment	1 or 2 storey block	3	265
Berowra	Flat/apartment	1 or 2 storey block	4	18
Berowra	Flat/apartment	1 or 2 storey block	5	4
Berowra	Flat/apartment	3 storey block		12
Berowra	Flat/apartment	3 storey block	0	69
Berowra	Flat/apartment	3 storey block	1	113
Berowra	Flat/apartment	3 storey block	2	435
Berowra	Flat/apartment	3 storey block	3	41
Berowra	Flat/apartment	3 storey block	6	3
Berowra	Flat/apartment	4-8 storey block		19
Berowra	Flat/apartment	4-8 storey block	0	21
Berowra	Flat/apartment	4-8 storey block	1	534
Berowra	Flat/apartment	4-8 storey block	2	1383
Berowra	Flat/apartment	4-8 storey block	3	303
Berowra	Flat/apartment	4-8 storey block	4	4
Berowra	Flat/apartment	9 or more storey block	1	17
Berowra	Flat/apartment	9 or more storey block	2	71
Berowra	Flat/apartment	9 or more storey block	3	17
Berowra	Flat/apartment	Attached to a house		3
Berowra	Flat/apartment	Attached to a house	1	46
Berowra	Flat/apartment	Attached to a house	2	105
Berowra	Flat/apartment	Attached to a house	3	30
Berowra	Flat/apartment	Attached to a house	4	20
Berowra	Flat/apartment	Attached to a house	5	16
Berowra	Flat/apartment	Attached to a house	6	8
Berowra	Separate house			279
Berowra	Separate house		0	54
Berowra	Separate house		1	374
Berowra	Separate house		2	1745
Berowra	Separate house		3	10198
Berowra	Separate house		4	19209
Berowra	Separate house		5	7286
Berowra	Separate house		6	1908
Blaxland				24
Blaxland			0	5
Blaxland			1	24
Blaxland			2	71
Blaxland			3	26
Blaxland			4	14
Blaxland			5	3
Blaxland		1 storey		35
Blaxland		1 storey	0	37
Blaxland		1 storey	1	199
Blaxland		1 storey	2	377
Blaxland		1 storey	3	688
Blaxland		1 storey	4	175
Blaxland		1 storey	5	26
Blaxland		1 storey	6	3
Blaxland		2 storeys or more		120
Blaxland		2 storeys or more	0	7
Blaxland		2 storeys or more	1	292
Blaxland		2 storeys or more	2	801
Blaxland		2 storeys or more	3	2804
Blaxland		2 storeys or more	4	1704
Blaxland		2 storeys or more	5	175
Blaxland		2 storeys or more	6	17
Blaxland	(Other)			7
Blaxland	(Other)		0	5
Blaxland	(Other)		1	26
Blaxland	(Other)		2	124
Blaxland	(Other)		3	87
Blaxland	(Other)		4	16
Blaxland	(Other)		5	8
Blaxland	(Other)		6	4
Blaxland	Flat/apartment		0	3
Blaxland	Flat/apartment	1 or 2 storey block		118
Blaxland	Flat/apartment	1 or 2 storey block	0	156
Blaxland	Flat/apartment	1 or 2 storey block	1	847
Blaxland	Flat/apartment	1 or 2 storey block	2	2104
Blaxland	Flat/apartment	1 or 2 storey block	3	446
Blaxland	Flat/apartment	1 or 2 storey block	4	74
Blaxland	Flat/apartment	1 or 2 storey block	5	8
Blaxland	Flat/apartment	1 or 2 storey block	6	3
Blaxland	Flat/apartment	3 storey block		133
Blaxland	Flat/apartment	3 storey block	0	57
Blaxland	Flat/apartment	3 storey block	1	265
Blaxland	Flat/apartment	3 storey block	2	3938
Blaxland	Flat/apartment	3 storey block	3	874
Blaxland	Flat/apartment	3 storey block	4	15
Blaxland	Flat/apartment	3 storey block	6	4
Blaxland	Flat/apartment	4-8 storey block		81
Blaxland	Flat/apartment	4-8 storey block	0	75
Blaxland	Flat/apartment	4-8 storey block	1	305
Blaxland	Flat/apartment	4-8 storey block	2	2679
Blaxland	Flat/apartment	4-8 storey block	3	533
Blaxland	Flat/apartment	4-8 storey block	4	16
Blaxland	Flat/apartment	4-8 storey block	5	6
Blaxland	Flat/apartment	9 or more storey block		78
Blaxland	Flat/apartment	9 or more storey block	0	13
Blaxland	Flat/apartment	9 or more storey block	1	207
Blaxland	Flat/apartment	9 or more storey block	2	1682
Blaxland	Flat/apartment	9 or more storey block	3	567
Blaxland	Flat/apartment	9 or more storey block	4	32
Blaxland	Flat/apartment	Attached to a house		29
Blaxland	Flat/apartment	Attached to a house	1	74
Blaxland	Flat/apartment	Attached to a house	2	311
Blaxland	Flat/apartment	Attached to a house	3	189
Blaxland	Flat/apartment	Attached to a house	4	100
Blaxland	Flat/apartment	Attached to a house	5	48
Blaxland	Flat/apartment	Attached to a house	6	23
Blaxland	Separate house			665
Blaxland	Separate house		0	56
Blaxland	Separate house		1	375
Blaxland	Separate house		2	3621
Blaxland	Separate house		3	12942
Blaxland	Separate house		4	8915
Blaxland	Separate house		5	3121
Blaxland	Separate house		6	978
Bradfield				5
Bradfield			0	4
Bradfield			1	20
Bradfield			2	10
Bradfield			3	8
Bradfield			4	5
Bradfield		1 storey	1	41
Bradfield		1 storey	2	128
Bradfield		1 storey	3	204
Bradfield		1 storey	4	28
Bradfield		1 storey	5	10
Bradfield		1 storey	6	3
Bradfield		2 storeys or more		21
Bradfield		2 storeys or more	0	7
Bradfield		2 storeys or more	1	84
Bradfield		2 storeys or more	2	332
Bradfield		2 storeys or more	3	1347
Bradfield		2 storeys or more	4	285
Bradfield		2 storeys or more	5	36
Bradfield		2 storeys or more	6	9
Bradfield	(Other)			3
Bradfield	(Other)		0	3
Bradfield	(Other)		1	64
Bradfield	(Other)		2	49
Bradfield	(Other)		3	12
Bradfield	(Other)		4	6
Bradfield	Flat/apartment	1 or 2 storey block		36
Bradfield	Flat/apartment	1 or 2 storey block	0	16
Bradfield	Flat/apartment	1 or 2 storey block	1	314
Bradfield	Flat/apartment	1 or 2 storey block	2	1160
Bradfield	Flat/apartment	1 or 2 storey block	3	741
Bradfield	Flat/apartment	1 or 2 storey block	4	39
Bradfield	Flat/apartment	1 or 2 storey block	5	11
Bradfield	Flat/apartment	1 or 2 storey block	6	5
Bradfield	Flat/apartment	3 storey block		56
Bradfield	Flat/apartment	3 storey block	0	59
Bradfield	Flat/apartment	3 storey block	1	541
Bradfield	Flat/apartment	3 storey block	2	3013
Bradfield	Flat/apartment	3 storey block	3	940
Bradfield	Flat/apartment	3 storey block	4	27
Bradfield	Flat/apartment	3 storey block	5	5
Bradfield	Flat/apartment	3 storey block	6	4
Bradfield	Flat/apartment	4-8 storey block		75
Bradfield	Flat/apartment	4-8 storey block	0	19
Bradfield	Flat/apartment	4-8 storey block	1	1505
Bradfield	Flat/apartment	4-8 storey block	2	5120
Bradfield	Flat/apartment	4-8 storey block	3	2349
Bradfield	Flat/apartment	4-8 storey block	4	63
Bradfield	Flat/apartment	4-8 storey block	5	4
Bradfield	Flat/apartment	4-8 storey block	6	4
Bradfield	Flat/apartment	9 or more storey block		52
Bradfield	Flat/apartment	9 or more storey block	0	73
Bradfield	Flat/apartment	9 or more storey block	1	1318
Bradfield	Flat/apartment	9 or more storey block	2	2893
Bradfield	Flat/apartment	9 or more storey block	3	731
Bradfield	Flat/apartment	9 or more storey block	4	25
Bradfield	Flat/apartment	Attached to a house		3
Bradfield	Flat/apartment	Attached to a house	1	25
Bradfield	Flat/apartment	Attached to a house	2	52
Bradfield	Flat/apartment	Attached to a house	3	7
Bradfield	Flat/apartment	Attached to a house	4	11
Bradfield	Flat/apartment	Attached to a house	5	25
Bradfield	Flat/apartment	Attached to a house	6	12
Bradfield	Separate house			212
Bradfield	Separate house		0	26
Bradfield	Separate house		1	159
Bradfield	Separate house		2	1073
Bradfield	Separate house		3	8142
Bradfield	Separate house		4	15197
Bradfield	Separate house		5	8103
Bradfield	Separate house		6	1694
Calare				19
Calare			0	7
Calare			1	37
Calare			2	32
Calare			3	48
Calare			4	31
Calare			5	3
Calare			6	5
Calare		1 storey		127
Calare		1 storey	0	30
Calare		1 storey	1	519
Calare		1 storey	2	2119
Calare		1 storey	3	1115
Calare		1 storey	4	119
Calare		1 storey	5	7
Calare		1 storey	6	7
Calare		2 storeys or more		23
Calare		2 storeys or more	0	5
Calare		2 storeys or more	1	201
Calare		2 storeys or more	2	220
Calare		2 storeys or more	3	211
Calare		2 storeys or more	4	48
Calare		2 storeys or more	5	9
Calare	(Other)			64
Calare	(Other)		0	33
Calare	(Other)		1	103
Calare	(Other)		2	85
Calare	(Other)		3	103
Calare	(Other)		4	91
Calare	(Other)		5	31
Calare	(Other)		6	8
Calare	Flat/apartment	1 or 2 storey block		51
Calare	Flat/apartment	1 or 2 storey block	0	27
Calare	Flat/apartment	1 or 2 storey block	1	365
Calare	Flat/apartment	1 or 2 storey block	2	862
Calare	Flat/apartment	1 or 2 storey block	3	166
Calare	Flat/apartment	1 or 2 storey block	4	26
Calare	Flat/apartment	1 or 2 storey block	5	3
Calare	Flat/apartment	1 or 2 storey block	6	5
Calare	Flat/apartment	3 storey block		5
Calare	Flat/apartment	3 storey block	1	22
Calare	Flat/apartment	3 storey block	2	45
Calare	Flat/apartment	3 storey block	3	3
Calare	Flat/apartment	9 or more storey block	3	3
Calare	Flat/apartment	Attached to a house		7
Calare	Flat/apartment	Attached to a house	1	20
Calare	Flat/apartment	Attached to a house	2	9
Calare	Flat/apartment	Attached to a house	3	12
Calare	Flat/apartment	Attached to a house	4	6
Calare	Separate house			843
Calare	Separate house		0	146
Calare	Separate house		1	860
Calare	Separate house		2	5759
Calare	Separate house		3	23399
Calare	Separate house		4	19589
Calare	Separate house		5	4055
Calare	Separate house		6	972
Chifley				5
Chifley			0	3
Chifley			1	11
Chifley			2	26
Chifley			3	15
Chifley			4	15
Chifley			5	7
Chifley		1 storey		53
Chifley		1 storey	0	20
Chifley		1 storey	1	149
Chifley		1 storey	2	552
Chifley		1 storey	3	1260
Chifley		1 storey	4	217
Chifley		1 storey	5	25
Chifley		1 storey	6	8
Chifley		2 storeys or more		104
Chifley		2 storeys or more	0	22
Chifley		2 storeys or more	1	225
Chifley		2 storeys or more	2	670
Chifley		2 storeys or more	3	2825
Chifley		2 storeys or more	4	1263
Chifley		2 storeys or more	5	93
Chifley		2 storeys or more	6	15
Chifley	(Other)		1	6
Chifley	(Other)		2	14
Chifley	(Other)		3	21
Chifley	(Other)		4	5
Chifley	Flat/apartment		0	6
Chifley	Flat/apartment	1 or 2 storey block		30
Chifley	Flat/apartment	1 or 2 storey block	0	29
Chifley	Flat/apartment	1 or 2 storey block	1	351
Chifley	Flat/apartment	1 or 2 storey block	2	106
Chifley	Flat/apartment	1 or 2 storey block	3	40
Chifley	Flat/apartment	1 or 2 storey block	4	6
Chifley	Flat/apartment	1 or 2 storey block	6	3
Chifley	Flat/apartment	3 storey block		17
Chifley	Flat/apartment	3 storey block	1	49
Chifley	Flat/apartment	3 storey block	2	326
Chifley	Flat/apartment	3 storey block	3	29
Chifley	Flat/apartment	4-8 storey block		40
Chifley	Flat/apartment	4-8 storey block	0	9
Chifley	Flat/apartment	4-8 storey block	1	163
Chifley	Flat/apartment	4-8 storey block	2	1344
Chifley	Flat/apartment	4-8 storey block	3	240
Chifley	Flat/apartment	4-8 storey block	4	3
Chifley	Flat/apartment	Attached to a house		23
Chifley	Flat/apartment	Attached to a house	1	27
Chifley	Flat/apartment	Attached to a house	2	210
Chifley	Flat/apartment	Attached to a house	3	94
Chifley	Flat/apartment	Attached to a house	4	36
Chifley	Flat/apartment	Attached to a house	5	17
Chifley	Flat/apartment	Attached to a house	6	8
Chifley	Separate house			846
Chifley	Separate house		0	73
Chifley	Separate house		1	473
Chifley	Separate house		2	2977
Chifley	Separate house		3	23226
Chifley	Separate house		4	17088
Chifley	Separate house		5	4243
Chifley	Separate house		6	831
Cook				3
Cook			0	8
Cook			1	12
Cook			2	27
Cook			3	18
Cook			4	10
Cook		1 storey		38
Cook		1 storey	0	34
Cook		1 storey	1	199
Cook		1 storey	2	952
Cook		1 storey	3	1448
Cook		1 storey	4	113
Cook		1 storey	5	19
Cook		2 storeys or more		63
Cook		2 storeys or more	0	3
Cook		2 storeys or more	1	273
Cook		2 storeys or more	2	1274
Cook		2 storeys or more	3	4095
Cook		2 storeys or more	4	807
Cook		2 storeys or more	5	110
Cook		2 storeys or more	6	13
Cook	(Other)			10
Cook	(Other)		0	10
Cook	(Other)		1	53
Cook	(Other)		2	109
Cook	(Other)		3	43
Cook	(Other)		4	15
Cook	(Other)		5	5
Cook	(Other)		6	3
Cook	Flat/apartment		0	3
Cook	Flat/apartment	1 or 2 storey block		37
Cook	Flat/apartment	1 or 2 storey block	0	23
Cook	Flat/apartment	1 or 2 storey block	1	966
Cook	Flat/apartment	1 or 2 storey block	2	1232
Cook	Flat/apartment	1 or 2 storey block	3	353
Cook	Flat/apartment	1 or 2 storey block	4	36
Cook	Flat/apartment	1 or 2 storey block	5	4
Cook	Flat/apartment	3 storey block		60
Cook	Flat/apartment	3 storey block	0	10
Cook	Flat/apartment	3 storey block	1	749
Cook	Flat/apartment	3 storey block	2	4864
Cook	Flat/apartment	3 storey block	3	1038
Cook	Flat/apartment	3 storey block	4	15
Cook	Flat/apartment	3 storey block	6	4
Cook	Flat/apartment	4-8 storey block		74
Cook	Flat/apartment	4-8 storey block	0	69
Cook	Flat/apartment	4-8 storey block	1	851
Cook	Flat/apartment	4-8 storey block	2	4046
Cook	Flat/apartment	4-8 storey block	3	1073
Cook	Flat/apartment	4-8 storey block	4	22
Cook	Flat/apartment	4-8 storey block	5	5
Cook	Flat/apartment	9 or more storey block		10
Cook	Flat/apartment	9 or more storey block	0	20
Cook	Flat/apartment	9 or more storey block	1	264
Cook	Flat/apartment	9 or more storey block	2	956
Cook	Flat/apartment	9 or more storey block	3	305
Cook	Flat/apartment	9 or more storey block	4	10
Cook	Flat/apartment	Attached to a house	1	23
Cook	Flat/apartment	Attached to a house	2	37
Cook	Flat/apartment	Attached to a house	3	26
Cook	Flat/apartment	Attached to a house	4	14
Cook	Flat/apartment	Attached to a house	5	14
Cook	Separate house			244
Cook	Separate house		0	18
Cook	Separate house		1	174
Cook	Separate house		2	1543
Cook	Separate house		3	10149
Cook	Separate house		4	11525
Cook	Separate house		5	4406
Cook	Separate house		6	836
Cowper				26
Cowper			0	7
Cowper			1	54
Cowper			2	84
Cowper			3	53
Cowper			4	18
Cowper			5	5
Cowper		1 storey		144
Cowper		1 storey	0	21
Cowper		1 storey	1	369
Cowper		1 storey	2	2661
Cowper		1 storey	3	1763
Cowper		1 storey	4	156
Cowper		1 storey	5	19
Cowper		1 storey	6	10
Cowper		2 storeys or more		41
Cowper		2 storeys or more	0	7
Cowper		2 storeys or more	1	154
Cowper		2 storeys or more	2	771
Cowper		2 storeys or more	3	1340
Cowper		2 storeys or more	4	178
Cowper		2 storeys or more	5	35
Cowper		2 storeys or more	6	4
Cowper	(Other)			53
Cowper	(Other)		0	80
Cowper	(Other)		1	291
Cowper	(Other)		2	295
Cowper	(Other)		3	110
Cowper	(Other)		4	29
Cowper	(Other)		5	3
Cowper	(Other)		6	4
Cowper	Flat/apartment		0	8
Cowper	Flat/apartment	1 or 2 storey block		119
Cowper	Flat/apartment	1 or 2 storey block	0	44
Cowper	Flat/apartment	1 or 2 storey block	1	798
Cowper	Flat/apartment	1 or 2 storey block	2	2566
Cowper	Flat/apartment	1 or 2 storey block	3	842
Cowper	Flat/apartment	1 or 2 storey block	4	56
Cowper	Flat/apartment	1 or 2 storey block	5	3
Cowper	Flat/apartment	1 or 2 storey block	6	6
Cowper	Flat/apartment	3 storey block		22
Cowper	Flat/apartment	3 storey block	0	7
Cowper	Flat/apartment	3 storey block	1	109
Cowper	Flat/apartment	3 storey block	2	774
Cowper	Flat/apartment	3 storey block	3	186
Cowper	Flat/apartment	3 storey block	4	5
Cowper	Flat/apartment	3 storey block	5	4
Cowper	Flat/apartment	4-8 storey block		26
Cowper	Flat/apartment	4-8 storey block	0	14
Cowper	Flat/apartment	4-8 storey block	1	189
Cowper	Flat/apartment	4-8 storey block	2	688
Cowper	Flat/apartment	4-8 storey block	3	328
Cowper	Flat/apartment	4-8 storey block	4	16
Cowper	Flat/apartment	9 or more storey block		4
Cowper	Flat/apartment	9 or more storey block	0	5
Cowper	Flat/apartment	9 or more storey block	1	13
Cowper	Flat/apartment	9 or more storey block	2	141
Cowper	Flat/apartment	9 or more storey block	3	93
Cowper	Flat/apartment	Attached to a house		3
Cowper	Flat/apartment	Attached to a house	1	34
Cowper	Flat/apartment	Attached to a house	2	24
Cowper	Flat/apartment	Attached to a house	3	20
Cowper	Flat/apartment	Attached to a house	4	26
Cowper	Flat/apartment	Attached to a house	5	3
Cowper	Flat/apartment	Attached to a house	6	3
Cowper	Separate house			788
Cowper	Separate house		0	184
Cowper	Separate house		1	1023
Cowper	Separate house		2	5861
Cowper	Separate house		3	23321
Cowper	Separate house		4	15742
Cowper	Separate house		5	3145
Cowper	Separate house		6	715
Cunningham				11
Cunningham			0	10
Cunningham			1	28
Cunningham			2	39
Cunningham			3	33
Cunningham			4	7
Cunningham			5	5
Cunningham			6	9
Cunningham		1 storey		49
Cunningham		1 storey	0	25
Cunningham		1 storey	1	326
Cunningham		1 storey	2	1407
Cunningham		1 storey	3	972
Cunningham		1 storey	4	100
Cunningham		1 storey	5	14
Cunningham		1 storey	6	5
Cunningham		2 storeys or more		63
Cunningham		2 storeys or more	0	12
Cunningham		2 storeys or more	1	398
Cunningham		2 storeys or more	2	1691
Cunningham		2 storeys or more	3	2761
Cunningham		2 storeys or more	4	267
Cunningham		2 storeys or more	5	25
Cunningham		2 storeys or more	6	8
Cunningham	(Other)			9
Cunningham	(Other)		0	16
Cunningham	(Other)		1	119
Cunningham	(Other)		2	198
Cunningham	(Other)		3	85
Cunningham	(Other)		4	25
Cunningham	(Other)		5	16
Cunningham	(Other)		6	4
Cunningham	Flat/apartment		0	3
Cunningham	Flat/apartment	1 or 2 storey block		87
Cunningham	Flat/apartment	1 or 2 storey block	0	45
Cunningham	Flat/apartment	1 or 2 storey block	1	955
Cunningham	Flat/apartment	1 or 2 storey block	2	3001
Cunningham	Flat/apartment	1 or 2 storey block	3	935
Cunningham	Flat/apartment	1 or 2 storey block	4	112
Cunningham	Flat/apartment	1 or 2 storey block	5	26
Cunningham	Flat/apartment	1 or 2 storey block	6	14
Cunningham	Flat/apartment	3 storey block		53
Cunningham	Flat/apartment	3 storey block	0	18
Cunningham	Flat/apartment	3 storey block	1	371
Cunningham	Flat/apartment	3 storey block	2	2087
Cunningham	Flat/apartment	3 storey block	3	426
Cunningham	Flat/apartment	3 storey block	4	19
Cunningham	Flat/apartment	3 storey block	5	3
Cunningham	Flat/apartment	4-8 storey block		53
Cunningham	Flat/apartment	4-8 storey block	0	24
Cunningham	Flat/apartment	4-8 storey block	1	467
Cunningham	Flat/apartment	4-8 storey block	2	2303
Cunningham	Flat/apartment	4-8 storey block	3	949
