CED_NAME21	MaxSchoolingCompleted	Sex	persons
Shortland	Year 9	M	5267
Shortland	Year 10	F	20082
Shortland	Year 10	M	19609
Shortland	Year 11	F	4179
Shortland	Year 11	M	4695
Shortland	Year 12	F	28655
Shortland	Year 12	M	24903
Sydney	Did not go to school	F	783
Sydney	Did not go to school	M	668
Sydney	Year 8	F	1291
Sydney	Year 8	M	1178
Sydney	Year 9	F	1321
Sydney	Year 9	M	1440
Sydney	Year 10	F	4718
Sydney	Year 10	M	5711
Sydney	Year 11	F	2660
Sydney	Year 11	M	3358
Sydney	Year 12	F	72393
Sydney	Year 12	M	78505
Warringah	Did not go to school	F	211
Warringah	Did not go to school	M	166
Warringah	Year 8	F	890
Warringah	Year 8	M	847
Warringah	Year 9	F	1742
Warringah	Year 9	M	1601
Warringah	Year 10	F	7032
Warringah	Year 10	M	5795
Warringah	Year 11	F	2856
Warringah	Year 11	M	2628
Warringah	Year 12	F	49600
Warringah	Year 12	M	45537
Watson	Did not go to school	F	2635
Watson	Did not go to school	M	2186
Watson	Year 8	F	4634
Watson	Year 8	M	4074
Watson	Year 9	F	2830
Watson	Year 9	M	2962
Watson	Year 10	F	9137
Watson	Year 10	M	9563
Watson	Year 11	F	3014
Watson	Year 11	M	3366
Watson	Year 12	F	45823
Watson	Year 12	M	46574
Wentworth	Did not go to school	F	164
Wentworth	Did not go to school	M	147
Wentworth	Year 8	F	753
Wentworth	Year 8	M	628
Wentworth	Year 9	F	1179
Wentworth	Year 9	M	1196
Wentworth	Year 10	F	4288
Wentworth	Year 10	M	3730
Wentworth	Year 11	F	2194
Wentworth	Year 11	M	2140
Wentworth	Year 12	F	52347
Wentworth	Year 12	M	47272
Werriwa	Did not go to school	F	3002
Werriwa	Did not go to school	M	2126
Werriwa	Year 8	F	4572
Werriwa	Year 8	M	3766
Werriwa	Year 9	F	3962
Werriwa	Year 9	M	3897
Werriwa	Year 10	F	12320
Werriwa	Year 10	M	13202
Werriwa	Year 11	F	4229
Werriwa	Year 11	M	4700
Werriwa	Year 12	F	45581
Werriwa	Year 12	M	42926
Whitlam	Did not go to school	F	458
Whitlam	Did not go to school	M	412
Whitlam	Year 8	F	3180
Whitlam	Year 8	M	3017
Whitlam	Year 9	F	5785
Whitlam	Year 9	M	5175
Whitlam	Year 10	F	20890
Whitlam	Year 10	M	20632
Whitlam	Year 11	F	5015
Whitlam	Year 11	M	5326
Whitlam	Year 12	F	32032
Whitlam	Year 12	M	27603
No usual address (NSW)	Did not go to school	F	28
No usual address (NSW)	Did not go to school	M	41
No usual address (NSW)	Year 8	F	103
No usual address (NSW)	Year 8	M	225
No usual address (NSW)	Year 9	F	226
No usual address (NSW)	Year 9	M	351
No usual address (NSW)	Year 10	F	798
No usual address (NSW)	Year 10	M	1083
No usual address (NSW)	Year 11	F	234
No usual address (NSW)	Year 11	M	293
No usual address (NSW)	Year 12	F	1674
No usual address (NSW)	Year 12	M	1648
Aston	Did not go to school	F	620
Aston	Did not go to school	M	440
Aston	Year 8	F	2718
Aston	Year 8	M	2156
Aston	Year 9	F	3489
Aston	Year 9	M	3582
Aston	Year 10	F	8382
Aston	Year 10	M	9054
Aston	Year 11	F	7873
Aston	Year 11	M	8280
Aston	Year 12	F	42282
Aston	Year 12	M	37838
Ballarat	Did not go to school	F	195
Ballarat	Did not go to school	M	221
Ballarat	Year 8	F	2912
Ballarat	Year 8	M	2843
Ballarat	Year 9	F	4369
Ballarat	Year 9	M	4926
Ballarat	Year 10	F	9788
Ballarat	Year 10	M	11214
Ballarat	Year 11	F	9162
Ballarat	Year 11	M	8931
Ballarat	Year 12	F	33789
Ballarat	Year 12	M	27648
Bendigo	Did not go to school	F	377
Bendigo	Did not go to school	M	394
Bendigo	Year 8	F	3201
Bendigo	Year 8	M	3159
Bendigo	Year 9	F	4422
Bendigo	Year 9	M	4963
Bendigo	Year 10	F	10388
Bendigo	Year 10	M	11977
Bendigo	Year 11	F	8992
Bendigo	Year 11	M	8833
Bendigo	Year 12	F	32889
Bendigo	Year 12	M	26378
Bruce	Did not go to school	F	2366
Bruce	Did not go to school	M	2300
Bruce	Year 8	F	4506
Bruce	Year 8	M	3992
Bruce	Year 9	F	3712
Bruce	Year 9	M	3920
Bruce	Year 10	F	8264
Bruce	Year 10	M	9517
Bruce	Year 11	F	6818
Bruce	Year 11	M	7642
Bruce	Year 12	F	42439
Bruce	Year 12	M	40761
Calwell	Did not go to school	F	3039
Calwell	Did not go to school	M	2080
Calwell	Year 8	F	5602
Calwell	Year 8	M	4888
Calwell	Year 9	F	3911
Calwell	Year 9	M	4386
Calwell	Year 10	F	7126
Calwell	Year 10	M	8718
Calwell	Year 11	F	6066
Calwell	Year 11	M	6515
Calwell	Year 12	F	41998
Calwell	Year 12	M	40252
Casey	Did not go to school	F	332
Casey	Did not go to school	M	365
Casey	Year 8	F	2319
Casey	Year 8	M	2415
Casey	Year 9	F	3744
Casey	Year 9	M	4911
Casey	Year 10	F	9537
Casey	Year 10	M	11828
Casey	Year 11	F	9376
Casey	Year 11	M	10141
Casey	Year 12	F	37279
Casey	Year 12	M	30054
Chisholm	Did not go to school	F	1087
Chisholm	Did not go to school	M	768
Chisholm	Year 8	F	3497
Chisholm	Year 8	M	2477
Chisholm	Year 9	F	2940
Chisholm	Year 9	M	2703
Chisholm	Year 10	F	5891
Chisholm	Year 10	M	5444
Chisholm	Year 11	F	5682
Chisholm	Year 11	M	5598
Chisholm	Year 12	F	56824
Chisholm	Year 12	M	54878
Cooper	Did not go to school	F	1431
Cooper	Did not go to school	M	965
Cooper	Year 8	F	4793
Cooper	Year 8	M	3482
Cooper	Year 9	F	2370
Cooper	Year 9	M	2333
Cooper	Year 10	F	4516
Cooper	Year 10	M	5161
Cooper	Year 11	F	4449
Cooper	Year 11	M	5043
Cooper	Year 12	F	47670
Cooper	Year 12	M	43271
Corangamite	Did not go to school	F	145
Corangamite	Did not go to school	M	185
Corangamite	Year 8	F	2049
Corangamite	Year 8	M	1974
Corangamite	Year 9	F	3493
Corangamite	Year 9	M	3642
Corangamite	Year 10	F	8652
Corangamite	Year 10	M	9321
Corangamite	Year 11	F	8985
Corangamite	Year 11	M	9280
Corangamite	Year 12	F	37807
Corangamite	Year 12	M	31519
Corio	Did not go to school	F	705
Corio	Did not go to school	M	616
Corio	Year 8	F	3798
Corio	Year 8	M	3253
Corio	Year 9	F	4397
Corio	Year 9	M	4295
Corio	Year 10	F	9178
Corio	Year 10	M	10496
Corio	Year 11	F	8702
Corio	Year 11	M	9316
Corio	Year 12	F	36972
Corio	Year 12	M	31805
Deakin	Did not go to school	F	779
Deakin	Did not go to school	M	577
Deakin	Year 8	F	2940
Deakin	Year 8	M	2254
Deakin	Year 9	F	3327
Deakin	Year 9	M	3257
Deakin	Year 10	F	7738
Deakin	Year 10	M	7997
Deakin	Year 11	F	7821
Deakin	Year 11	M	8061
Deakin	Year 12	F	46052
Deakin	Year 12	M	40731
Dunkley	Did not go to school	F	290
Dunkley	Did not go to school	M	269
Dunkley	Year 8	F	2551
Dunkley	Year 8	M	2238
Dunkley	Year 9	F	3899
Dunkley	Year 9	M	4348
Dunkley	Year 10	F	9664
Dunkley	Year 10	M	10837
Dunkley	Year 11	F	8469
Dunkley	Year 11	M	9269
Dunkley	Year 12	F	37493
Dunkley	Year 12	M	31272
Flinders	Did not go to school	F	250
Flinders	Did not go to school	M	239
Flinders	Year 8	F	2811
Flinders	Year 8	M	2471
Flinders	Year 9	F	4264
Flinders	Year 9	M	4320
Flinders	Year 10	F	10147
Flinders	Year 10	M	11122
Flinders	Year 11	F	9387
Flinders	Year 11	M	9296
Flinders	Year 12	F	34725
Flinders	Year 12	M	28808
Fraser	Did not go to school	F	2930
Fraser	Did not go to school	M	2174
Fraser	Year 8	F	6081
Fraser	Year 8	M	4392
Fraser	Year 9	F	3204
Fraser	Year 9	M	3084
Fraser	Year 10	F	5897
Fraser	Year 10	M	6756
Fraser	Year 11	F	4680
Fraser	Year 11	M	5555
Fraser	Year 12	F	45794
Fraser	Year 12	M	46166
Gellibrand	Did not go to school	F	1081
Gellibrand	Did not go to school	M	782
Gellibrand	Year 8	F	3261
Gellibrand	Year 8	M	2508
Gellibrand	Year 9	F	2892
Gellibrand	Year 9	M	2955
Gellibrand	Year 10	F	6305
Gellibrand	Year 10	M	7999
Gellibrand	Year 11	F	5743
Gellibrand	Year 11	M	6474
Gellibrand	Year 12	F	50542
Gellibrand	Year 12	M	47563
Gippsland	Did not go to school	F	281
Gippsland	Did not go to school	M	278
Gippsland	Year 8	F	3563
Gippsland	Year 8	M	3729
Gippsland	Year 9	F	5261
Gippsland	Year 9	M	5945
Gippsland	Year 10	F	12123
Gippsland	Year 10	M	14784
Gippsland	Year 11	F	10465
Gippsland	Year 11	M	10788
Gippsland	Year 12	F	27908
Gippsland	Year 12	M	21566
Goldstein	Did not go to school	F	333
Goldstein	Did not go to school	M	248
Goldstein	Year 8	F	1811
Goldstein	Year 8	M	1379
Goldstein	Year 9	F	2004
Goldstein	Year 9	M	1964
Goldstein	Year 10	F	5045
Goldstein	Year 10	M	4465
Goldstein	Year 11	F	5844
Goldstein	Year 11	M	5197
Goldstein	Year 12	F	49190
Goldstein	Year 12	M	44868
Gorton	Did not go to school	F	1894
Gorton	Did not go to school	M	1360
Gorton	Year 8	F	4809
Gorton	Year 8	M	3823
Gorton	Year 9	F	3208
Gorton	Year 9	M	3417
Gorton	Year 10	F	7187
Gorton	Year 10	M	9619
Gorton	Year 11	F	6059
Gorton	Year 11	M	6800
Gorton	Year 12	F	43896
Gorton	Year 12	M	40801
Hawke	Did not go to school	F	686
Hawke	Did not go to school	M	537
Hawke	Year 8	F	3051
Hawke	Year 8	M	2782
Hawke	Year 9	F	4076
Hawke	Year 9	M	4733
Hawke	Year 10	F	9872
Hawke	Year 10	M	11573
Hawke	Year 11	F	8547
Hawke	Year 11	M	8999
Hawke	Year 12	F	35722
Hawke	Year 12	M	30159
Higgins	Did not go to school	F	448
Higgins	Did not go to school	M	281
Higgins	Year 8	F	1703
Higgins	Year 8	M	1292
Higgins	Year 9	F	1448
Higgins	Year 9	M	1447
Higgins	Year 10	F	3601
Higgins	Year 10	M	3339
Higgins	Year 11	F	4346
Higgins	Year 11	M	3851
Higgins	Year 12	F	55586
Higgins	Year 12	M	50736
Holt	Did not go to school	F	2055
Holt	Did not go to school	M	1616
Holt	Year 8	F	3419
Holt	Year 8	M	3040
Holt	Year 9	F	3886
Holt	Year 9	M	4440
Holt	Year 10	F	9197
Holt	Year 10	M	10826
Holt	Year 11	F	7199
Holt	Year 11	M	7819
Holt	Year 12	F	42049
Holt	Year 12	M	38347
Hotham	Did not go to school	F	3270
Hotham	Did not go to school	M	2497
Hotham	Year 8	F	6452
Hotham	Year 8	M	4606
Hotham	Year 9	F	3520
Hotham	Year 9	M	3439
Hotham	Year 10	F	6774
Hotham	Year 10	M	7546
Hotham	Year 11	F	5331
Hotham	Year 11	M	6300
Hotham	Year 12	F	52247
Hotham	Year 12	M	53015
Indi	Did not go to school	F	272
Indi	Did not go to school	M	270
Indi	Year 8	F	3033
Indi	Year 8	M	3309
Indi	Year 9	F	4476
Indi	Year 9	M	5390
Indi	Year 10	F	11857
Indi	Year 10	M	14070
Indi	Year 11	F	10096
Indi	Year 11	M	10525
Indi	Year 12	F	31453
Indi	Year 12	M	24595
Isaacs	Did not go to school	F	999
Isaacs	Did not go to school	M	853
Isaacs	Year 8	F	3192
Isaacs	Year 8	M	2433
Isaacs	Year 9	F	3028
Isaacs	Year 9	M	2940
Isaacs	Year 10	F	7026
Isaacs	Year 10	M	7466
Isaacs	Year 11	F	6832
Isaacs	Year 11	M	7193
Isaacs	Year 12	F	44257
Isaacs	Year 12	M	39239
Jagajaga	Did not go to school	F	532
Jagajaga	Did not go to school	M	453
Jagajaga	Year 8	F	2896
Jagajaga	Year 8	M	2113
Jagajaga	Year 9	F	2949
Jagajaga	Year 9	M	3005
Jagajaga	Year 10	F	6379
Jagajaga	Year 10	M	6782
Jagajaga	Year 11	F	6761
Jagajaga	Year 11	M	7107
Jagajaga	Year 12	F	45463
Jagajaga	Year 12	M	40992
Kooyong	Did not go to school	F	464
Kooyong	Did not go to school	M	340
Kooyong	Year 8	F	1909
Kooyong	Year 8	M	1334
Kooyong	Year 9	F	1973
Kooyong	Year 9	M	1849
Kooyong	Year 10	F	4054
Kooyong	Year 10	M	3559
Kooyong	Year 11	F	5001
Kooyong	Year 11	M	4193
Kooyong	Year 12	F	56601
Kooyong	Year 12	M	51359
La Trobe	Did not go to school	F	510
La Trobe	Did not go to school	M	428
La Trobe	Year 8	F	2384
La Trobe	Year 8	M	2250
La Trobe	Year 9	F	3634
La Trobe	Year 9	M	4294
La Trobe	Year 10	F	9006
La Trobe	Year 10	M	10746
