CED_NAME16	OnlyEnglishSpokenHome	Sex	persons
Hunter	1	F	79346
Hunter	1	M	77496
Kingsford Smith	0	F	32884
Kingsford Smith	0	M	29382
Kingsford Smith	1	F	54491
Kingsford Smith	1	M	54060
Lindsay	0	F	18536
Lindsay	0	M	17067
Lindsay	1	F	70616
Lindsay	1	M	69478
Lyne	0	F	2412
Lyne	0	M	1935
Lyne	1	F	73354
Lyne	1	M	70256
Macarthur	0	F	34638
Macarthur	0	M	32556
Macarthur	1	F	63737
Macarthur	1	M	63178
Mackellar	0	F	12203
Mackellar	0	M	10710
Mackellar	1	F	64338
Mackellar	1	M	62571
Macquarie	0	F	5271
Macquarie	0	M	4557
Macquarie	1	F	65872
Macquarie	1	M	63921
McMahon	0	F	48088
McMahon	0	M	46261
McMahon	1	F	33913
McMahon	1	M	35002
Mitchell	0	F	39523
Mitchell	0	M	36426
Mitchell	1	F	53727
Mitchell	1	M	53368
New England	0	F	4415
New England	0	M	4302
New England	1	F	69820
New England	1	M	66817
Newcastle	0	F	8982
Newcastle	0	M	8687
Newcastle	1	F	71635
Newcastle	1	M	69070
North Sydney	0	F	27701
North Sydney	0	M	22449
North Sydney	1	F	55463
North Sydney	1	M	54784
Page	0	F	4206
Page	0	M	3566
Page	1	F	75242
Page	1	M	72893
Parkes	0	F	3668
Parkes	0	M	3554
Parkes	1	F	65547
Parkes	1	M	64022
Parramatta	0	F	61656
Parramatta	0	M	62807
Parramatta	1	F	31156
Parramatta	1	M	33620
Paterson	0	F	4509
Paterson	0	M	3906
Paterson	1	F	81252
Paterson	1	M	77966
Reid	0	F	56698
Reid	0	M	52332
Reid	1	F	40019
Reid	1	M	41615
Richmond	0	F	5562
Richmond	0	M	4466
Richmond	1	F	75118
Richmond	1	M	69920
Riverina	0	F	4631
Riverina	0	M	4784
Riverina	1	F	71829
Riverina	1	M	68785
Robertson	0	F	7010
Robertson	0	M	6038
Robertson	1	F	67491
Robertson	1	M	63966
Shortland	0	F	3915
Shortland	0	M	3302
Shortland	1	F	70759
Shortland	1	M	67836
Sydney	0	F	37830
Sydney	0	M	34549
Sydney	1	F	52961
Sydney	1	M	64354
Warringah	0	F	14049
Warringah	0	M	11489
Warringah	1	F	61501
Warringah	1	M	58660
Watson	0	F	57221
Watson	0	M	57880
Watson	1	F	26763
Watson	1	M	28219
Wentworth	0	F	14434
Wentworth	0	M	11838
Wentworth	1	F	57363
Wentworth	1	M	54226
Werriwa	0	F	57198
Werriwa	0	M	54290
Werriwa	1	F	36810
Werriwa	1	M	38124
Whitlam	0	F	9252
Whitlam	0	M	8247
Whitlam	1	F	73277
Whitlam	1	M	69827
No usual address (NSW)	0	F	579
No usual address (NSW)	0	M	576
No usual address (NSW)	1	F	2889
No usual address (NSW)	1	M	3530
Aston	0	F	23943
Aston	0	M	21788
Aston	1	F	54509
Aston	1	M	53648
Ballarat	0	F	4808
Ballarat	0	M	4600
Ballarat	1	F	69165
Ballarat	1	M	65501
Bendigo	0	F	4715
Bendigo	0	M	4370
Bendigo	1	F	68959
Bendigo	1	M	64933
Bruce	0	F	41738
Bruce	0	M	41925
Bruce	1	F	41809
Bruce	1	M	42805
Calwell	0	F	54825
Calwell	0	M	55002
Calwell	1	F	32857
Calwell	1	M	33486
Casey	0	F	6539
Casey	0	M	5954
Casey	1	F	70199
Casey	1	M	68920
Chisholm	0	F	47772
Chisholm	0	M	44285
Chisholm	1	F	42215
Chisholm	1	M	42171
Cooper	0	F	26026
Cooper	0	M	23835
Cooper	1	F	50906
Cooper	1	M	48690
Corangamite	0	F	5448
Corangamite	0	M	5230
Corangamite	1	F	69747
Corangamite	1	M	65565
Corio	0	F	11584
Corio	0	M	11200
Corio	1	F	65782
Corio	1	M	61699
Deakin	0	F	22439
Deakin	0	M	19950
Deakin	1	F	60867
Deakin	1	M	58136
Dunkley	0	F	9155
Dunkley	0	M	7758
Dunkley	1	F	67899
Dunkley	1	M	65484
Flinders	0	F	4238
Flinders	0	M	3768
Flinders	1	F	69071
Flinders	1	M	64730
Fraser	0	F	47735
Fraser	0	M	46161
Fraser	1	F	34376
Fraser	1	M	36443
Gellibrand	0	F	39302
Gellibrand	0	M	37871
Gellibrand	1	F	51167
Gellibrand	1	M	51450
Gippsland	0	F	4244
Gippsland	0	M	3637
Gippsland	1	F	68197
Gippsland	1	M	66182
Goldstein	0	F	17015
Goldstein	0	M	14569
Goldstein	1	F	60657
Goldstein	1	M	57166
Gorton	0	F	45620
Gorton	0	M	43218
Gorton	1	F	38644
Gorton	1	M	39726
Hawke	0	F	17985
Hawke	0	M	17115
Hawke	1	F	61475
Hawke	1	M	59701
Higgins	0	F	20795
Higgins	0	M	17402
Higgins	1	F	56418
Higgins	1	M	54000
Holt	0	F	39594
Holt	0	M	39281
Holt	1	F	49012
Holt	1	M	49178
Hotham	0	F	56218
Hotham	0	M	54735
Hotham	1	F	36524
Hotham	1	M	38935
Indi	0	F	4140
Indi	0	M	3686
Indi	1	F	70387
Indi	1	M	68002
Isaacs	0	F	22731
Isaacs	0	M	20640
Isaacs	1	F	57046
Isaacs	1	M	54322
Jagajaga	0	F	16668
Jagajaga	0	M	14668
Jagajaga	1	F	62391
Jagajaga	1	M	60262
Kooyong	0	F	26278
Kooyong	0	M	21972
Kooyong	1	F	56468
Kooyong	1	M	53671
La Trobe	0	F	21615
La Trobe	0	M	20956
La Trobe	1	F	60395
La Trobe	1	M	58470
Lalor	0	F	47115
Lalor	0	M	47456
Lalor	1	F	47106
Lalor	1	M	47234
Macnamara	0	F	23131
Macnamara	0	M	20316
Macnamara	1	F	57829
Macnamara	1	M	56687
Mallee	0	F	6891
Mallee	0	M	7063
Mallee	1	F	71112
Mallee	1	M	69519
Maribyrnong	0	F	23427
Maribyrnong	0	M	20512
Maribyrnong	1	F	52192
Maribyrnong	1	M	51237
McEwen	0	F	12895
McEwen	0	M	12444
McEwen	1	F	64400
McEwen	1	M	63156
Melbourne	0	F	38799
Melbourne	0	M	33221
Melbourne	1	F	56102
Melbourne	1	M	58095
Menzies	0	F	40647
Menzies	0	M	36228
Menzies	1	F	45451
Menzies	1	M	44955
Monash	0	F	3817
Monash	0	M	3276
Monash	1	F	66392
Monash	1	M	63595
Nicholls	0	F	8157
Nicholls	0	M	8051
Nicholls	1	F	66234
Nicholls	1	M	65305
Scullin	0	F	43905
Scullin	0	M	42882
Scullin	1	F	37400
Scullin	1	M	37891
Wannon	0	F	3123
Wannon	0	M	3038
Wannon	1	F	69727
Wannon	1	M	67740
Wills	0	F	28754
Wills	0	M	26891
Wills	1	F	48741
Wills	1	M	46788
No usual address (Vic.)	0	F	492
No usual address (Vic.)	0	M	490
No usual address (Vic.)	1	F	2041
No usual address (Vic.)	1	M	2445
Migratory - Offshore - Shipping (Vic.)	0	M	5
Migratory - Offshore - Shipping (Vic.)	1	M	9
Blair	0	F	9559
Blair	0	M	8508
Blair	1	F	81000
Blair	1	M	79008
Bonner	0	F	19110
Bonner	0	M	16785
Bonner	1	F	61525
Bonner	1	M	59742
Bowman	0	F	6560
Bowman	0	M	5272
Bowman	1	F	72063
Bowman	1	M	69548
Brisbane	0	F	17930
Brisbane	0	M	15664
Brisbane	1	F	69959
Brisbane	1	M	70357
Capricornia	0	F	4198
Capricornia	0	M	3950
Capricornia	1	F	67629
Capricornia	1	M	67479
Dawson	0	F	6274
Dawson	0	M	5454
Dawson	1	F	67345
Dawson	1	M	67754
Dickson	0	F	7488
Dickson	0	M	6518
Dickson	1	F	70680
Dickson	1	M	69722
Fadden	0	F	14683
Fadden	0	M	12643
Fadden	1	F	79632
Fadden	1	M	76117
Fairfax	0	F	5729
Fairfax	0	M	4676
Fairfax	1	F	77907
Fairfax	1	M	72466
Fisher	0	F	5731
Fisher	0	M	4810
Fisher	1	F	79521
Fisher	1	M	73355
Flynn	0	F	3992
Flynn	0	M	3707
Flynn	1	F	67635
Flynn	1	M	69195
Forde	0	F	14038
Forde	0	M	12882
Forde	1	F	78622
Forde	1	M	75514
Griffith	0	F	18485
Griffith	0	M	16316
Griffith	1	F	67950
Griffith	1	M	66036
Groom	0	F	7865
Groom	0	M	7320
Groom	1	F	71304
Groom	1	M	66075
Herbert	0	F	7423
Herbert	0	M	6323
Herbert	1	F	69749
Herbert	1	M	67704
Hinkler	0	F	4463
Hinkler	0	M	3511
Hinkler	1	F	71843
Hinkler	1	M	67520
Kennedy	0	F	7891
Kennedy	0	M	7251
Kennedy	1	F	68281
Kennedy	1	M	69824
Leichhardt	0	F	17638
Leichhardt	0	M	14840
Leichhardt	1	F	62881
Leichhardt	1	M	62981
Lilley	0	F	13528
Lilley	0	M	11663
Lilley	1	F	66065
Lilley	1	M	63662
Longman	0	F	6435
Longman	0	M	5118
Longman	1	F	83841
Longman	1	M	79970
Maranoa	0	F	3005
Maranoa	0	M	2716
Maranoa	1	F	66191
Maranoa	1	M	65593
McPherson	0	F	10008
McPherson	0	M	8042
McPherson	1	F	71383
McPherson	1	M	65785
Moncrieff	0	F	17520
Moncrieff	0	M	14901
Moncrieff	1	F	68740
Moncrieff	1	M	67349
Moreton	0	F	31190
Moreton	0	M	29652
Moreton	1	F	50216
Moreton	1	M	50238
Oxley	0	F	30126
Oxley	0	M	27705
Oxley	1	F	58287
Oxley	1	M	57892
Petrie	0	F	14347
Petrie	0	M	12849
Petrie	1	F	77677
Petrie	1	M	72222
Rankin	0	F	30767
Rankin	0	M	28847
Rankin	1	F	57617
Rankin	1	M	57416
Ryan	0	F	15383
Ryan	0	M	13543
Ryan	1	F	65686
Ryan	1	M	64323
Wide Bay	0	F	3302
Wide Bay	0	M	2460
Wide Bay	1	F	68927
Wide Bay	1	M	67161
Wright	0	F	6463
Wright	0	M	5604
Wright	1	F	79766
Wright	1	M	79278
No usual address (Qld)	0	F	630
No usual address (Qld)	0	M	551
No usual address (Qld)	1	F	4768
No usual address (Qld)	1	M	5206
Migratory - Offshore - Shipping (Qld)	0	F	3
Migratory - Offshore - Shipping (Qld)	0	M	18
Migratory - Offshore - Shipping (Qld)	1	M	27
Adelaide	0	F	35834
Adelaide	0	M	34891
Adelaide	1	F	59636
Adelaide	1	M	58842
Barker	0	F	5044
Barker	0	M	4991
Barker	1	F	74990
Barker	1	M	74972
Boothby	0	F	16703
Boothby	0	M	14826
Boothby	1	F	71939
Boothby	1	M	66830
Grey	0	F	4985
Grey	0	M	4606
Grey	1	F	73898
Grey	1	M	74972
Hindmarsh	0	F	21052
Hindmarsh	0	M	18901
Hindmarsh	1	F	64400
Hindmarsh	1	M	62049
Kingston	0	F	7587
Kingston	0	M	6577
Kingston	1	F	74314
Kingston	1	M	71767
Makin	0	F	20518
Makin	0	M	20252
Makin	1	F	63775
Makin	1	M	62602
Mayo	0	F	3990
Mayo	0	M	3384
Mayo	1	F	81099
Mayo	1	M	77821
Spence	0	F	18004
Spence	0	M	17416
Spence	1	F	71923
Spence	1	M	70582
Sturt	0	F	30163
Sturt	0	M	27240
Sturt	1	F	63722
Sturt	1	M	60555
No usual address (SA)	0	F	167
No usual address (SA)	0	M	148
No usual address (SA)	1	F	1034
No usual address (SA)	1	M	1230
Migratory - Offshore - Shipping (SA)	0	M	8
Brand	0	F	11198
Brand	0	M	9666
Brand	1	F	75410
Brand	1	M	73778
Burt	0	F	28524
Burt	0	M	27183
Burt	1	F	58098
Burt	1	M	58002
Canning	0	F	6319
Canning	0	M	5229
Canning	1	F	71317
Canning	1	M	67680
Cowan	0	F	32335
Cowan	0	M	30105
Cowan	1	F	54019
Cowan	1	M	54224
Curtin	0	F	15672
Curtin	0	M	13019
Curtin	1	F	70133
Curtin	1	M	66776
Durack	0	F	11201
Durack	0	M	10692
Durack	1	F	73339
Durack	1	M	77817
Forrest	0	F	6077
Forrest	0	M	5182
Forrest	1	F	69899
Forrest	1	M	67082
Fremantle	0	F	16736
Fremantle	0	M	14475
Fremantle	1	F	64871
Fremantle	1	M	62799
Hasluck	0	F	15449
Hasluck	0	M	13864
Hasluck	1	F	68115
Hasluck	1	M	67166
Moore	0	F	9528
Moore	0	M	7887
Moore	1	F	71262
Moore	1	M	70449
O'Connor	0	F	6762
O'Connor	0	M	6381
O'Connor	1	F	71280
O'Connor	1	M	73753
Pearce	0	F	16596
Pearce	0	M	14833
Pearce	1	F	70420
Pearce	1	M	67870
Perth	0	F	24173
Perth	0	M	21014
Perth	1	F	62995
Perth	1	M	63392
Swan	0	F	27252
Swan	0	M	26002
Swan	1	F	61883
Swan	1	M	62983
Tangney	0	F	29057
Tangney	0	M	26072
Tangney	1	F	61967
Tangney	1	M	59672
No usual address (WA)	0	F	244
No usual address (WA)	0	M	243
No usual address (WA)	1	F	1896
No usual address (WA)	1	M	2185
Migratory - Offshore - Shipping (WA)	0	F	4
Migratory - Offshore - Shipping (WA)	0	M	60
Migratory - Offshore - Shipping (WA)	1	F	29
Migratory - Offshore - Shipping (WA)	1	M	206
Bass	0	F	4627
Bass	0	M	4756
Bass	1	F	48664
Bass	1	M	46294
Braddon	0	F	2267
Braddon	0	M	2071
Braddon	1	F	50909
Braddon	1	M	48205
Clark	0	F	10759
Clark	0	M	10784
Clark	1	F	43763
Clark	1	M	41416
Franklin	0	F	4943
Franklin	0	M	4598
Franklin	1	F	49948
Franklin	1	M	47191
Lyons	0	F	1985
Lyons	0	M	1825
Lyons	1	F	51475
Lyons	1	M	51027
No usual address (Tas.)	0	F	41
No usual address (Tas.)	0	M	33
No usual address (Tas.)	1	F	459
No usual address (Tas.)	1	M	525
Migratory - Offshore - Shipping (Tas.)	1	M	12
Lingiari	0	F	23834
Lingiari	0	M	22459
Lingiari	1	F	29955
Lingiari	1	M	31456
Solomon	0	F	15532
Solomon	0	M	14084
Solomon	1	F	35025
Solomon	1	M	35763
No usual address (NT)	0	F	298
No usual address (NT)	0	M	253
No usual address (NT)	1	F	745
No usual address (NT)	1	M	861
Migratory - Offshore - Shipping (NT)	0	M	10
Migratory - Offshore - Shipping (NT)	1	F	5
Migratory - Offshore - Shipping (NT)	1	M	53
Bean	0	F	15912
Bean	0	M	14453
Bean	1	F	58949
Bean	1	M	57566
Canberra	0	F	16689
Canberra	0	M	15347
Canberra	1	F	53622
Canberra	1	M	52096
Fenner	0	F	25398
Fenner	0	M	24591
Fenner	1	F	51376
Fenner	1	M	51191
No usual address (ACT)	0	F	43
No usual address (ACT)	0	M	35
No usual address (ACT)	1	F	196
No usual address (ACT)	1	M	201
No usual address (OT)	0	F	3
No usual address (OT)	0	M	3
No usual address (OT)	1	M	5
