CED_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Banks	85+	Did not go to school	F	184
Banks	85+	Did not go to school	M	75
Banks	85+	Year 8 or below	F	516
Banks	85+	Year 8 or below	M	296
Banks	85+	Year 9	F	355
Banks	85+	Year 9	M	204
Banks	85+	Year 10	F	628
Banks	85+	Year 10	M	387
Banks	85+	Year 11	F	49
Banks	85+	Year 11	M	53
Banks	85+	Year 12	F	479
Banks	85+	Year 12	M	448
Barton	15-19		F	174
Barton	15-19		M	193
Barton	15-19	Did not go to school	M	4
Barton	15-19	Year 8 or below	F	3
Barton	15-19	Year 8 or below	M	7
Barton	15-19	Year 9	F	15
Barton	15-19	Year 9	M	48
Barton	15-19	Year 10	F	95
Barton	15-19	Year 10	M	234
Barton	15-19	Year 11	F	85
Barton	15-19	Year 11	M	131
Barton	15-19	Year 12	F	1261
Barton	15-19	Year 12	M	1300
Barton	20-24		F	369
Barton	20-24		M	448
Barton	20-24	Did not go to school	F	21
Barton	20-24	Did not go to school	M	29
Barton	20-24	Year 8 or below	F	7
Barton	20-24	Year 8 or below	M	12
Barton	20-24	Year 9	F	18
Barton	20-24	Year 9	M	33
Barton	20-24	Year 10	F	157
Barton	20-24	Year 10	M	267
Barton	20-24	Year 11	F	211
Barton	20-24	Year 11	M	262
Barton	20-24	Year 12	F	5646
Barton	20-24	Year 12	M	6160
Barton	25-34		F	1120
Barton	25-34		M	1203
Barton	25-34	Did not go to school	F	121
Barton	25-34	Did not go to school	M	104
Barton	25-34	Year 8 or below	F	56
Barton	25-34	Year 8 or below	M	89
Barton	25-34	Year 9	F	107
Barton	25-34	Year 9	M	164
Barton	25-34	Year 10	F	608
Barton	25-34	Year 10	M	970
Barton	25-34	Year 11	F	564
Barton	25-34	Year 11	M	702
Barton	25-34	Year 12	F	14876
Barton	25-34	Year 12	M	14540
Barton	35-44		F	706
Barton	35-44		M	755
Barton	35-44	Did not go to school	F	113
Barton	35-44	Did not go to school	M	122
Barton	35-44	Year 8 or below	F	85
Barton	35-44	Year 8 or below	M	107
Barton	35-44	Year 9	F	123
Barton	35-44	Year 9	M	180
Barton	35-44	Year 10	F	719
Barton	35-44	Year 10	M	1037
Barton	35-44	Year 11	F	344
Barton	35-44	Year 11	M	439
Barton	35-44	Year 12	F	11398
Barton	35-44	Year 12	M	11123
Barton	45-54		F	535
Barton	45-54		M	548
Barton	45-54	Did not go to school	F	158
Barton	45-54	Did not go to school	M	119
Barton	45-54	Year 8 or below	F	195
Barton	45-54	Year 8 or below	M	170
Barton	45-54	Year 9	F	207
Barton	45-54	Year 9	M	239
Barton	45-54	Year 10	F	1357
Barton	45-54	Year 10	M	1595
Barton	45-54	Year 11	F	423
Barton	45-54	Year 11	M	493
Barton	45-54	Year 12	F	8459
Barton	45-54	Year 12	M	7418
Barton	55-64		F	473
Barton	55-64		M	511
Barton	55-64	Did not go to school	F	288
Barton	55-64	Did not go to school	M	190
Barton	55-64	Year 8 or below	F	530
Barton	55-64	Year 8 or below	M	408
Barton	55-64	Year 9	F	354
Barton	55-64	Year 9	M	291
Barton	55-64	Year 10	F	1978
Barton	55-64	Year 10	M	1872
Barton	55-64	Year 11	F	334
Barton	55-64	Year 11	M	373
Barton	55-64	Year 12	F	5941
Barton	55-64	Year 12	M	5664
Barton	65-74		F	478
Barton	65-74		M	464
Barton	65-74	Did not go to school	F	422
Barton	65-74	Did not go to school	M	296
Barton	65-74	Year 8 or below	F	1254
Barton	65-74	Year 8 or below	M	826
Barton	65-74	Year 9	F	521
Barton	65-74	Year 9	M	409
Barton	65-74	Year 10	F	1595
Barton	65-74	Year 10	M	1276
Barton	65-74	Year 11	F	212
Barton	65-74	Year 11	M	208
Barton	65-74	Year 12	F	3115
Barton	65-74	Year 12	M	3494
Barton	75-84		F	527
Barton	75-84		M	514
Barton	75-84	Did not go to school	F	504
Barton	75-84	Did not go to school	M	307
Barton	75-84	Year 8 or below	F	1480
Barton	75-84	Year 8 or below	M	1013
Barton	75-84	Year 9	F	344
Barton	75-84	Year 9	M	285
Barton	75-84	Year 10	F	923
Barton	75-84	Year 10	M	703
Barton	75-84	Year 11	F	95
Barton	75-84	Year 11	M	91
Barton	75-84	Year 12	F	1156
Barton	75-84	Year 12	M	1384
Barton	85+		F	627
Barton	85+		M	372
Barton	85+	Did not go to school	F	305
Barton	85+	Did not go to school	M	175
Barton	85+	Year 8 or below	F	671
Barton	85+	Year 8 or below	M	526
Barton	85+	Year 9	F	182
Barton	85+	Year 9	M	109
Barton	85+	Year 10	F	361
Barton	85+	Year 10	M	276
Barton	85+	Year 11	F	42
Barton	85+	Year 11	M	27
Barton	85+	Year 12	F	401
Barton	85+	Year 12	M	392
Bennelong	15-19		F	113
Bennelong	15-19		M	123
Bennelong	15-19	Did not go to school	F	4
Bennelong	15-19	Did not go to school	M	4
Bennelong	15-19	Year 8 or below	F	5
Bennelong	15-19	Year 8 or below	M	4
Bennelong	15-19	Year 9	F	13
Bennelong	15-19	Year 9	M	17
Bennelong	15-19	Year 10	F	81
Bennelong	15-19	Year 10	M	121
Bennelong	15-19	Year 11	F	78
Bennelong	15-19	Year 11	M	95
Bennelong	15-19	Year 12	F	1480
Bennelong	15-19	Year 12	M	1436
Bennelong	20-24		F	256
Bennelong	20-24		M	238
Bennelong	20-24	Did not go to school	F	14
Bennelong	20-24	Did not go to school	M	21
Bennelong	20-24	Year 8 or below	F	5
Bennelong	20-24	Year 8 or below	M	8
Bennelong	20-24	Year 9	F	23
Bennelong	20-24	Year 9	M	22
Bennelong	20-24	Year 10	F	120
Bennelong	20-24	Year 10	M	186
Bennelong	20-24	Year 11	F	146
Bennelong	20-24	Year 11	M	157
Bennelong	20-24	Year 12	F	5493
Bennelong	20-24	Year 12	M	5720
Bennelong	25-34		F	798
Bennelong	25-34		M	792
Bennelong	25-34	Did not go to school	F	88
Bennelong	25-34	Did not go to school	M	111
Bennelong	25-34	Year 8 or below	F	29
Bennelong	25-34	Year 8 or below	M	42
Bennelong	25-34	Year 9	F	63
Bennelong	25-34	Year 9	M	91
Bennelong	25-34	Year 10	F	395
Bennelong	25-34	Year 10	M	601
Bennelong	25-34	Year 11	F	280
Bennelong	25-34	Year 11	M	359
Bennelong	25-34	Year 12	F	15109
Bennelong	25-34	Year 12	M	14003
Bennelong	35-44		F	611
Bennelong	35-44		M	649
Bennelong	35-44	Did not go to school	F	82
Bennelong	35-44	Did not go to school	M	86
Bennelong	35-44	Year 8 or below	F	58
Bennelong	35-44	Year 8 or below	M	80
Bennelong	35-44	Year 9	F	75
Bennelong	35-44	Year 9	M	104
Bennelong	35-44	Year 10	F	413
Bennelong	35-44	Year 10	M	634
Bennelong	35-44	Year 11	F	235
Bennelong	35-44	Year 11	M	306
Bennelong	35-44	Year 12	F	14397
Bennelong	35-44	Year 12	M	13571
Bennelong	45-54		F	398
Bennelong	45-54		M	407
Bennelong	45-54	Did not go to school	F	90
Bennelong	45-54	Did not go to school	M	67
Bennelong	45-54	Year 8 or below	F	102
Bennelong	45-54	Year 8 or below	M	99
Bennelong	45-54	Year 9	F	124
Bennelong	45-54	Year 9	M	145
Bennelong	45-54	Year 10	F	959
Bennelong	45-54	Year 10	M	1092
Bennelong	45-54	Year 11	F	297
Bennelong	45-54	Year 11	M	320
Bennelong	45-54	Year 12	F	9914
Bennelong	45-54	Year 12	M	8865
Bennelong	55-64		F	380
Bennelong	55-64		M	406
Bennelong	55-64	Did not go to school	F	189
Bennelong	55-64	Did not go to school	M	108
Bennelong	55-64	Year 8 or below	F	260
