CED_NAME21	Age.min	persons
Bradfield	26	1504
Bradfield	27	1405
Bradfield	28	1480
Bradfield	29	1450
Bradfield	30	1485
Bradfield	31	1627
Bradfield	32	1650
Bradfield	33	1787
Bradfield	34	1858
Bradfield	35	2010
Bradfield	36	2183
Bradfield	37	2386
Bradfield	38	2613
Bradfield	39	2723
Bradfield	40	2529
Bradfield	41	2553
Bradfield	42	2542
Bradfield	43	2571
Bradfield	44	2591
Bradfield	45	2399
Bradfield	46	2467
Bradfield	47	2465
Bradfield	48	2602
Bradfield	49	2587
Bradfield	50	2679
Bradfield	51	2545
Bradfield	52	2440
Bradfield	53	2307
Bradfield	54	2141
Bradfield	55	2112
Bradfield	56	2028
Bradfield	57	2146
Bradfield	58	2154
Bradfield	59	2101
Bradfield	60	1966
Bradfield	61	1902
Bradfield	62	1711
Bradfield	63	1794
Bradfield	64	1690
Bradfield	65	1729
Bradfield	66	1684
Bradfield	67	1561
Bradfield	68	1475
Bradfield	69	1512
Bradfield	70	1536
Bradfield	71	1564
Bradfield	72	1445
Bradfield	73	1405
Bradfield	74	1536
Bradfield	75	1388
Bradfield	76	1296
Bradfield	77	1237
Bradfield	78	1029
Bradfield	79	1068
Bradfield	80	4473
Bradfield	85	3057
Bradfield	90	1764
Bradfield	95	568
Bradfield	100	54
Calare	0	1958
Calare	1	1958
Calare	2	1990
Calare	3	1982
Calare	4	2108
Calare	5	2233
Calare	6	2238
Calare	7	2219
Calare	8	2296
Calare	9	2271
Calare	10	2259
Calare	11	2290
Calare	12	2353
Calare	13	2386
Calare	14	2378
Calare	15	2254
Calare	16	2170
Calare	17	2072
Calare	18	1876
Calare	19	1803
Calare	20	1847
Calare	21	1831
Calare	22	1678
Calare	23	1793
Calare	24	1917
Calare	25	1818
Calare	26	2004
Calare	27	1985
Calare	28	1972
Calare	29	2111
Calare	30	2109
Calare	31	2165
Calare	32	2143
Calare	33	2062
Calare	34	2087
Calare	35	2157
Calare	36	2106
Calare	37	2020
Calare	38	2049
Calare	39	1916
Calare	40	1997
Calare	41	1855
Calare	42	1782
Calare	43	1933
Calare	44	1844
Calare	45	1875
Calare	46	1976
Calare	47	2000
Calare	48	2157
Calare	49	2347
Calare	50	2339
Calare	51	2129
Calare	52	2127
Calare	53	2044
Calare	54	2054
Calare	55	2058
Calare	56	2076
Calare	57	2224
Calare	58	2262
Calare	59	2297
Calare	60	2345
Calare	61	2243
Calare	62	2218
Calare	63	2111
Calare	64	2087
Calare	65	2044
Calare	66	1964
Calare	67	1897
Calare	68	1947
Calare	69	1900
Calare	70	1960
Calare	71	1829
Calare	72	1785
Calare	73	1803
Calare	74	1896
Calare	75	1523
Calare	76	1489
Calare	77	1302
Calare	78	1207
Calare	79	1151
Calare	80	4260
Calare	85	2573
Calare	90	1149
Calare	95	293
Calare	100	32
Chifley	0	2918
Chifley	1	3244
Chifley	2	3176
Chifley	3	3280
Chifley	4	3208
Chifley	5	3326
Chifley	6	3228
Chifley	7	3284
Chifley	8	3240
Chifley	9	3105
Chifley	10	3131
Chifley	11	2995
Chifley	12	2938
Chifley	13	2813
Chifley	14	2818
Chifley	15	2644
Chifley	16	2503
Chifley	17	2458
Chifley	18	2445
Chifley	19	2530
Chifley	20	2705
Chifley	21	2889
Chifley	22	2750
Chifley	23	2688
Chifley	24	2816
Chifley	25	2911
Chifley	26	3002
Chifley	27	2913
Chifley	28	2912
Chifley	29	3056
Chifley	30	3147
Chifley	31	3110
Chifley	32	3173
Chifley	33	3250
Chifley	34	3365
Chifley	35	3626
Chifley	36	3511
Chifley	37	3593
Chifley	38	3525
Chifley	39	3284
Chifley	40	3201
Chifley	41	3024
Chifley	42	2847
Chifley	43	2653
Chifley	44	2532
Chifley	45	2432
Chifley	46	2334
Chifley	47	2404
Chifley	48	2405
Chifley	49	2461
Chifley	50	2433
Chifley	51	2214
Chifley	52	2273
Chifley	53	2219
Chifley	54	2074
Chifley	55	2088
Chifley	56	2073
Chifley	57	2046
Chifley	58	2129
Chifley	59	2062
Chifley	60	2011
Chifley	61	1910
Chifley	62	1889
Chifley	63	1880
Chifley	64	1710
Chifley	65	1683
Chifley	66	1717
Chifley	67	1472
Chifley	68	1435
Chifley	69	1428
Chifley	70	1379
Chifley	71	1379
Chifley	72	1245
Chifley	73	1269
Chifley	74	1213
Chifley	75	977
Chifley	76	884
Chifley	77	824
Chifley	78	704
Chifley	79	642
Chifley	80	2561
Chifley	85	1484
Chifley	90	731
Chifley	95	220
Chifley	100	28
Cook	0	1724
Cook	1	1619
Cook	2	1638
Cook	3	1622
Cook	4	1634
Cook	5	1725
Cook	6	1655
Cook	7	1688
Cook	8	1724
Cook	9	1844
Cook	10	1642
Cook	11	1785
Cook	12	1743
Cook	13	1817
Cook	14	1778
Cook	15	1757
Cook	16	1748
Cook	17	1714
Cook	18	1642
Cook	19	1677
Cook	20	1620
Cook	21	1644
Cook	22	1711
Cook	23	1647
Cook	24	1683
Cook	25	1728
Cook	26	1787
Cook	27	1775
Cook	28	1721
Cook	29	1788
Cook	30	1907
Cook	31	1800
Cook	32	1850
Cook	33	1855
Cook	34	1846
Cook	35	1962
Cook	36	1963
Cook	37	1966
Cook	38	1912
Cook	39	1955
Cook	40	1960
Cook	41	1920
Cook	42	1890
Cook	43	1846
Cook	44	1928
Cook	45	1927
Cook	46	2010
Cook	47	1976
Cook	48	2211
Cook	49	2309
Cook	50	2235
Cook	51	2053
Cook	52	2058
Cook	53	1932
Cook	54	1930
Cook	55	1845
Cook	56	1946
Cook	57	1943
Cook	58	2005
Cook	59	1936
Cook	60	2014
Cook	61	1761
Cook	62	1790
Cook	63	1810
Cook	64	1696
Cook	65	1753
Cook	66	1599
Cook	67	1514
Cook	68	1536
Cook	69	1448
Cook	70	1457
