CED_NAME21	BornAust	persons
No usual address (NSW)	1	5912
Aston	0	52582
Aston	1	101819
Ballarat	0	17293
Ballarat	1	126487
Bendigo	0	15781
Bendigo	1	127644
Bruce	0	82003
Bruce	1	87697
Calwell	0	85251
Calwell	1	93284
Casey	0	26480
Casey	1	125122
Chisholm	0	91288
Chisholm	1	85493
Cooper	0	48652
Cooper	1	101021
Corangamite	0	22011
Corangamite	1	124014
Corio	0	30472
Corio	1	120885
Deakin	0	49276
Deakin	1	112961
Dunkley	0	33981
Dunkley	1	116583
Flinders	0	25687
Flinders	1	115498
Fraser	0	83211
Fraser	1	82238
Gellibrand	0	78611
Gellibrand	1	102974
Gippsland	0	18410
Gippsland	1	123600
Goldstein	0	47290
Goldstein	1	102484
Gorton	0	75777
Gorton	1	94875
Hawke	0	39891
Hawke	1	116711
Higgins	0	50446
Higgins	1	98440
Holt	0	78897
Holt	1	99847
Hotham	0	103430
Hotham	1	84215
Indi	0	16367
Indi	1	129088
Isaacs	0	51321
Isaacs	1	104131
Jagajaga	0	37006
Jagajaga	1	117204
Kooyong	0	54034
Kooyong	1	104559
La Trobe	0	49896
La Trobe	1	111990
Lalor	0	90932
Lalor	1	99417
Macnamara	0	62953
Macnamara	1	95504
Mallee	0	18348
Mallee	1	135141
Maribyrnong	0	43891
Maribyrnong	1	103645
McEwen	0	30423
McEwen	1	122561
Melbourne	0	88437
Melbourne	1	98288
Menzies	0	73741
Menzies	1	93770
Monash	0	18953
Monash	1	117092
Nicholls	0	20069
Nicholls	1	126983
Scullin	0	70471
Scullin	1	92633
Wannon	0	14101
Wannon	1	129664
Wills	0	52799
Wills	1	98820
No usual address (Vic.)	0	1390
No usual address (Vic.)	1	4283
Migratory - Offshore - Shipping (Vic.)	0	3
Migratory - Offshore - Shipping (Vic.)	1	9
Blair	0	32538
Blair	1	146810
Bonner	0	48959
Bonner	1	108700
Bowman	0	36718
Bowman	1	116956
Brisbane	0	53717
Brisbane	1	120712
Capricornia	0	15727
Capricornia	1	127976
Dawson	0	22774
Dawson	1	125227
Dickson	0	32140
Dickson	1	122552
Fadden	0	60443
Fadden	1	123332
Fairfax	0	35677
Fairfax	1	125461
Fisher	0	34894
Fisher	1	128350
Flynn	0	17666
Flynn	1	126176
Forde	0	52409
Forde	1	129350
Griffith	0	51817
Griffith	1	117440
Groom	0	22823
Groom	1	129901
Herbert	0	22857
Herbert	1	128942
Hinkler	0	23878
Hinkler	1	122891
Kennedy	0	21401
Kennedy	1	132278
Leichhardt	0	37978
Leichhardt	1	121434
Lilley	0	39042
Lilley	1	116537
Longman	0	33582
Longman	1	143288
Maranoa	0	13038
Maranoa	1	123521
McPherson	0	40788
McPherson	1	114885
Moncrieff	0	58593
Moncrieff	1	109951
Moreton	0	66005
Moreton	1	96085
Oxley	0	67859
Oxley	1	110455
Petrie	0	50444
Petrie	1	127023
Rankin	0	69542
Rankin	1	106163
Ryan	0	48391
Ryan	1	110911
Wide Bay	0	23329
Wide Bay	1	118401
Wright	0	32377
Wright	1	139259
No usual address (Qld)	0	2917
No usual address (Qld)	1	9019
Migratory - Offshore - Shipping (Qld)	0	23
Migratory - Offshore - Shipping (Qld)	1	29
Adelaide	0	72675
Adelaide	1	117228
Barker	0	19336
Barker	1	140683
Boothby	0	45251
Boothby	1	125216
Grey	0	17254
Grey	1	140896
Hindmarsh	0	45196
Hindmarsh	1	121251
Kingston	0	37292
Kingston	1	122856
Makin	0	51897
Makin	1	116701
Mayo	0	29769
Mayo	1	135752
Spence	0	45892
Spence	1	132059
Sturt	0	63408
Sturt	1	118454
No usual address (SA)	0	530
No usual address (SA)	1	2262
Migratory - Offshore - Shipping (SA)	0	4
Brand	0	57225
Brand	1	114433
Burt	0	72732
Burt	1	99993
Canning	0	41184
Canning	1	109788
Cowan	0	72464
Cowan	1	99194
Curtin	0	57136
Curtin	1	108861
Durack	0	33351
Durack	1	140928
Forrest	0	31246
Forrest	1	117275
Fremantle	0	53933
Fremantle	1	105368
Hasluck	0	53729
Hasluck	1	113433
Moore	0	60312
Moore	1	99039
O'Connor	0	30751
O'Connor	1	127509
Pearce	0	72404
Pearce	1	97994
Perth	0	68349
Perth	1	103698
Swan	0	73912
Swan	1	105200
Tangney	0	77326
Tangney	1	101178
No usual address (WA)	0	1431
No usual address (WA)	1	4775
Migratory - Offshore - Shipping (WA)	0	148
Migratory - Offshore - Shipping (WA)	1	151
Bass	0	16698
Bass	1	87158
Braddon	0	11307
Braddon	1	91208
Clark	0	28046
Clark	1	78772
Franklin	0	18368
Franklin	1	88529
Lyons	0	11092
Lyons	1	94156
No usual address (Tas.)	0	161
No usual address (Tas.)	1	973
Migratory - Offshore - Shipping (Tas.)	0	6
Migratory - Offshore - Shipping (Tas.)	1	6
Lingiari	0	17240
Lingiari	1	93143
Solomon	0	33785
Solomon	1	67397
No usual address (NT)	0	492
No usual address (NT)	1	2106
Migratory - Offshore - Shipping (NT)	0	22
Migratory - Offshore - Shipping (NT)	1	56
Bean	0	37692
Bean	1	109931
Canberra	0	41656
Canberra	1	96554
Fenner	0	51771
Fenner	1	101597
No usual address (ACT)	0	121
No usual address (ACT)	1	384
No usual address (OT)	1	12
