CED_NAME21	PrivateDwelling	Sex	persons
Hunter	0	M	7374
Hunter	1	F	81965
Hunter	1	M	79317
Kingsford Smith	0	F	6196
Kingsford Smith	0	M	7623
Kingsford Smith	1	F	85914
Kingsford Smith	1	M	81643
Lindsay	0	F	5987
Lindsay	0	M	5934
Lindsay	1	F	89338
Lindsay	1	M	86598
Lyne	0	F	6120
Lyne	0	M	5838
Lyne	1	F	74856
Lyne	1	M	71084
Macarthur	0	F	4746
Macarthur	0	M	4580
Macarthur	1	F	99295
Macarthur	1	M	96409
Mackellar	0	F	3515
Mackellar	0	M	2912
Mackellar	1	F	75378
Mackellar	1	M	72350
Macquarie	0	F	3554
Macquarie	0	M	3386
Macquarie	1	F	70330
Macquarie	1	M	67675
McMahon	0	F	4798
McMahon	0	M	4963
McMahon	1	F	83041
McMahon	1	M	82169
Mitchell	0	F	2651
Mitchell	0	M	2341
Mitchell	1	F	93217
Mitchell	1	M	89697
New England	0	F	8374
New England	0	M	8603
New England	1	F	72679
New England	1	M	69515
Newcastle	0	F	5723
Newcastle	0	M	5664
Newcastle	1	F	78241
Newcastle	1	M	75349
North Sydney	0	F	4783
North Sydney	0	M	4014
North Sydney	1	F	81326
North Sydney	1	M	75399
Page	0	F	7803
Page	0	M	8661
Page	1	F	78525
Page	1	M	75492
Parkes	0	F	11304
Parkes	0	M	12398
Parkes	1	F	68170
Parkes	1	M	66540
Parramatta	0	F	6697
Parramatta	0	M	7433
Parramatta	1	F	92981
Parramatta	1	M	96711
Paterson	0	F	4079
Paterson	0	M	3995
Paterson	1	F	85044
Paterson	1	M	80996
Reid	0	F	5058
Reid	0	M	6204
Reid	1	F	96515
Reid	1	M	93695
Richmond	0	F	8391
Richmond	0	M	7928
Richmond	1	F	79266
Richmond	1	M	73077
Riverina	0	F	7262
Riverina	0	M	9164
Riverina	1	F	74674
Riverina	1	M	71554
Robertson	0	F	4778
Robertson	0	M	4161
Robertson	1	F	73785
Robertson	1	M	69337
Shortland	0	F	3313
Shortland	0	M	2885
Shortland	1	F	73919
Shortland	1	M	70277
Sydney	0	F	11438
Sydney	0	M	16587
Sydney	1	F	86363
Sydney	1	M	93879
Warringah	0	F	2897
Warringah	0	M	2623
Warringah	1	F	73822
Warringah	1	M	68694
Watson	0	F	5667
Watson	0	M	5850
Watson	1	F	84189
Watson	1	M	86449
Wentworth	0	F	4961
Wentworth	0	M	4659
Wentworth	1	F	69129
Wentworth	1	M	63422
Werriwa	0	F	4955
Werriwa	0	M	4930
Werriwa	1	F	95309
Werriwa	1	M	93424
Whitlam	0	F	4291
Whitlam	0	M	4000
Whitlam	1	F	82058
Whitlam	1	M	77747
Migratory - Offshore - Shipping (NSW)	0	F	4
Migratory - Offshore - Shipping (NSW)	0	M	31
Aston	0	F	3164
Aston	0	M	2740
Aston	1	F	77699
Aston	1	M	74801
Ballarat	0	F	5280
Ballarat	0	M	5034
Ballarat	1	F	72325
Ballarat	1	M	68538
Bendigo	0	F	5607
Bendigo	0	M	5760
Bendigo	1	F	72325
Bendigo	1	M	68081
Bruce	0	F	5154
Bruce	0	M	5703
Bruce	1	F	83546
Bruce	1	M	84662
Calwell	0	F	4381
Calwell	0	M	4840
Calwell	1	F	89177
Calwell	1	M	89764
Casey	0	F	2968
Casey	0	M	2921
Casey	1	F	75553
Casey	1	M	73769
Chisholm	0	F	5623
Chisholm	0	M	5430
Chisholm	1	F	87563
Chisholm	1	M	84418
Cooper	0	F	3881
Cooper	0	M	3898
Cooper	1	F	75525
Cooper	1	M	71471
Corangamite	0	F	5068
Corangamite	0	M	4256
Corangamite	1	F	72675
Corangamite	1	M	68410
Corio	0	F	4942
Corio	0	M	5876
Corio	1	F	75797
Corio	1	M	71631
Deakin	0	F	3690
Deakin	0	M	3039
Deakin	1	F	81810
Deakin	1	M	77055
Dunkley	0	F	4515
Dunkley	0	M	4208
Dunkley	1	F	75849
Dunkley	1	M	72321
Flinders	0	F	6428
Flinders	0	M	6315
Flinders	1	F	70969
Flinders	1	M	65744
Fraser	0	F	5513
Fraser	0	M	6082
Fraser	1	F	81634
Fraser	1	M	82450
Gellibrand	0	F	4066
Gellibrand	0	M	5198
Gellibrand	1	F	90317
Gellibrand	1	M	89288
Gippsland	0	F	6965
Gippsland	0	M	7906
Gippsland	1	F	70838
Gippsland	1	M	68034
Goldstein	0	F	3500
Goldstein	0	M	2673
Goldstein	1	F	75816
Goldstein	1	M	70463
Gorton	0	F	3853
Gorton	0	M	5411
Gorton	1	F	84837
Gorton	1	M	83602
Hawke	0	F	4289
Hawke	0	M	4019
Hawke	1	F	79254
Hawke	1	M	76850
Higgins	0	F	4482
Higgins	0	M	3862
Higgins	1	F	74917
Higgins	1	M	69529
Holt	0	F	4029
Holt	0	M	3898
Holt	1	F	89383
Holt	1	M	89068
Hotham	0	F	4831
Hotham	0	M	5013
Hotham	1	F	92118
Hotham	1	M	93169
Indi	0	F	8803
Indi	0	M	8979
Indi	1	F	72175
Indi	1	M	69066
Isaacs	0	F	3190
Isaacs	0	M	2822
Isaacs	1	F	78876
Isaacs	1	M	74421
Jagajaga	0	F	3539
Jagajaga	0	M	3370
Jagajaga	1	F	77556
Jagajaga	1	M	73632
Kooyong	0	F	4032
Kooyong	0	M	3453
Kooyong	1	F	79999
Kooyong	1	M	73516
La Trobe	0	F	3825
La Trobe	0	M	3450
La Trobe	1	F	81919
La Trobe	1	M	79331
Lalor	0	F	5155
Lalor	0	M	5317
Lalor	1	F	95043
Lalor	1	M	95441
Macnamara	0	F	6386
Macnamara	0	M	6975
Macnamara	1	F	78427
Macnamara	1	M	74840
Mallee	0	F	7765
Mallee	0	M	7965
Mallee	1	F	76391
Mallee	1	M	75191
Maribyrnong	0	F	3415
Maribyrnong	0	M	3513
Maribyrnong	1	F	74491
Maribyrnong	1	M	70740
McEwen	0	F	3394
McEwen	0	M	3220
McEwen	1	F	76594
McEwen	1	M	74956
Melbourne	0	F	13059
Melbourne	0	M	13952
Melbourne	1	F	89368
Melbourne	1	M	86179
Menzies	0	F	3753
Menzies	0	M	3057
Menzies	1	F	84787
Menzies	1	M	80373
Monash	0	F	5649
Monash	0	M	5310
Monash	1	F	68376
Monash	1	M	65141
Nicholls	0	F	6485
Nicholls	0	M	7347
Nicholls	1	F	73014
Nicholls	1	M	71832
Scullin	0	F	3853
Scullin	0	M	3647
Scullin	1	F	81665
Scullin	1	M	81224
Wannon	0	F	6605
Wannon	0	M	7644
Wannon	1	F	70907
Wannon	1	M	68846
Wills	0	F	3886
Wills	0	M	3737
Wills	1	F	76299
Wills	1	M	72910
Migratory - Offshore - Shipping (Vic.)	0	F	72
Migratory - Offshore - Shipping (Vic.)	0	M	493
Blair	0	F	5653
Blair	0	M	6762
Blair	1	F	90197
Blair	1	M	86525
Bonner	0	F	2995
Bonner	0	M	2831
Bonner	1	F	80092
Bonner	1	M	75881
Bowman	0	F	3451
Bowman	0	M	2883
Bowman	1	F	77623
Bowman	1	M	73698
Brisbane	0	F	8866
Brisbane	0	M	10240
Brisbane	1	F	84912
Brisbane	1	M	82535
Capricornia	0	F	10996
Capricornia	0	M	22217
Capricornia	1	F	70016
Capricornia	1	M	68078
Dawson	0	F	11423
Dawson	0	M	13093
Dawson	1	F	71641
Dawson	1	M	70080
Dickson	0	F	2344
Dickson	0	M	2055
Dickson	1	F	77625
Dickson	1	M	75501
Fadden	0	F	6345
Fadden	0	M	5781
Fadden	1	F	93528
Fadden	1	M	87654
Fairfax	0	F	6702
Fairfax	0	M	6067
Fairfax	1	F	82035
Fairfax	1	M	75435
Fisher	0	F	6914
Fisher	0	M	6377
Fisher	1	F	83259
Fisher	1	M	75774
Flynn	0	F	9272
Flynn	0	M	15164
Flynn	1	F	70548
Flynn	1	M	70833
Forde	0	F	6053
Forde	0	M	5697
Forde	1	F	92306
Forde	1	M	88043
Griffith	0	F	7498
Griffith	0	M	7488
Griffith	1	F	83967
Griffith	1	M	79839
Groom	0	F	6128
Groom	0	M	6187
Groom	1	F	77130
Groom	1	M	70843
Herbert	0	F	8365
Herbert	0	M	9582
Herbert	1	F	75782
Herbert	1	M	71535
Hinkler	0	F	7745
Hinkler	0	M	7553
Hinkler	1	F	74817
Hinkler	1	M	69441
Kennedy	0	F	15910
Kennedy	0	M	21055
Kennedy	1	F	75250
Kennedy	1	M	75096
Leichhardt	0	F	15406
Leichhardt	0	M	17854
Leichhardt	1	F	79049
Leichhardt	1	M	75474
Lilley	0	F	4249
Lilley	0	M	4106
Lilley	1	F	78648
Lilley	1	M	74214
Longman	0	F	5202
Longman	0	M	6128
Longman	1	F	89313
Longman	1	M	83873
Maranoa	0	F	10744
Maranoa	0	M	13740
Maranoa	1	F	67416
Maranoa	1	M	66192
McPherson	0	F	6554
McPherson	0	M	5678
McPherson	1	F	79730
McPherson	1	M	72308
Moncrieff	0	F	10688
Moncrieff	0	M	10759
Moncrieff	1	F	84589
Moncrieff	1	M	80216
Moreton	0	F	3709
Moreton	0	M	3470
Moreton	1	F	80631
Moreton	1	M	79132
Oxley	0	F	4040
Oxley	0	M	6944
Oxley	1	F	88668
Oxley	1	M	85571
Petrie	0	F	4386
Petrie	0	M	3720
Petrie	1	F	91081
Petrie	1	M	84235
Rankin	0	F	5366
Rankin	0	M	5257
Rankin	1	F	88495
Rankin	1	M	86430
Ryan	0	F	4500
Ryan	0	M	4359
Ryan	1	F	78152
Ryan	1	M	74992
Wide Bay	0	F	7475
Wide Bay	0	M	8468
Wide Bay	1	F	70884
Wide Bay	1	M	67811
Wright	0	F	5621
Wright	0	M	5299
Wright	1	F	85493
Wright	1	M	83847
Migratory - Offshore - Shipping (Qld)	0	F	54
Migratory - Offshore - Shipping (Qld)	0	M	303
Migratory - Offshore - Shipping (Qld)	1	M	3
Adelaide	0	F	8441
Adelaide	0	M	8487
Adelaide	1	F	92333
Adelaide	1	M	91072
Barker	0	F	6710
Barker	0	M	8293
Barker	1	F	77666
Barker	1	M	77541
Boothby	0	F	4867
Boothby	0	M	3900
Boothby	1	F	85928
Boothby	1	M	79436
Grey	0	F	10398
Grey	0	M	16069
Grey	1	F	76339
Grey	1	M	76540
Hindmarsh	0	F	3948
Hindmarsh	0	M	3497
Hindmarsh	1	F	83795
Hindmarsh	1	M	79502
Kingston	0	F	3292
Kingston	0	M	2732
Kingston	1	F	80424
Kingston	1	M	76934
Makin	0	F	3211
Makin	0	M	3236
Makin	1	F	83604
Makin	1	M	82010
Mayo	0	F	4788
Mayo	0	M	4368
Mayo	1	F	82714
Mayo	1	M	78565
Spence	0	F	5101
Spence	0	M	4958
Spence	1	F	89525
Spence	1	M	87336
Sturt	0	F	4180
Sturt	0	M	3693
Sturt	1	F	91818
Sturt	1	M	85986
Migratory - Offshore - Shipping (SA)	0	M	34
Brand	0	F	3931
Brand	0	M	5708
Brand	1	F	85566
Brand	1	M	80549
Burt	0	F	4055
Burt	0	M	3845
Burt	1	F	86726
Burt	1	M	84529
Canning	0	F	3781
Canning	0	M	3757
Canning	1	F	75805
Canning	1	M	69631
Cowan	0	F	3486
Cowan	0	M	3326
Cowan	1	F	86403
Cowan	1	M	83936
Curtin	0	F	6811
Curtin	0	M	5834
Curtin	1	F	82037
Curtin	1	M	75807
Durack	0	F	33550
Durack	0	M	60199
Durack	1	F	81624
Durack	1	M	81217
Forrest	0	F	6099
Forrest	0	M	6694
Forrest	1	F	72991
Forrest	1	M	68135
Fremantle	0	F	4008
Fremantle	0	M	4113
Fremantle	1	F	80039
Fremantle	1	M	75025
Hasluck	0	F	4004
Hasluck	0	M	5444
Hasluck	1	F	82445
Hasluck	1	M	78658
Moore	0	F	2529
Moore	0	M	2219
Moore	1	F	79252
Moore	1	M	75955
O'Connor	0	F	12189
O'Connor	0	M	23669
O'Connor	1	F	74385
O'Connor	1	M	74734
Pearce	0	F	2810
Pearce	0	M	2551
Pearce	1	F	86283
Pearce	1	M	80635
Perth	0	F	7271
Perth	0	M	8610
Perth	1	F	84105
Perth	1	M	80895
Swan	0	F	6585
Swan	0	M	6944
Swan	1	F	87438
Swan	1	M	86313
Tangney	0	F	4051
Tangney	0	M	3750
Tangney	1	F	89363
Tangney	1	M	83850
Migratory - Offshore - Shipping (WA)	0	F	390
Migratory - Offshore - Shipping (WA)	0	M	2846
Migratory - Offshore - Shipping (WA)	1	F	4
Migratory - Offshore - Shipping (WA)	1	M	10
Bass	0	F	4027
Bass	0	M	4078
Bass	1	F	51815
Bass	1	M	49555
Braddon	0	F	3796
Braddon	0	M	3944
Braddon	1	F	51720
Braddon	1	M	48869
Clark	0	F	4538
Clark	0	M	4318
Clark	1	F	52867
Clark	1	M	50685
Franklin	0	F	2765
Franklin	0	M	3032
Franklin	1	F	53586
Franklin	1	M	50715
Lyons	0	F	4098
Lyons	0	M	4235
Lyons	1	F	52305
Lyons	1	M	51559
Migratory - Offshore - Shipping (Tas.)	0	F	72
Migratory - Offshore - Shipping (Tas.)	0	M	294
Lingiari	0	F	17446
Lingiari	0	M	22939
Lingiari	1	F	52893
Lingiari	1	M	51938
Solomon	0	F	8840
Solomon	0	M	9715
Solomon	1	F	50665
Solomon	1	M	49080
Migratory - Offshore - Shipping (NT)	0	F	65
Migratory - Offshore - Shipping (NT)	0	M	407
Migratory - Offshore - Shipping (NT)	1	M	8
Bean	0	F	2743
Bean	0	M	2888
Bean	1	F	74085
Bean	1	M	71349
Canberra	0	F	8721
Canberra	0	M	9181
Canberra	1	F	65874
Canberra	1	M	63035
Fenner	0	F	2476
Fenner	0	M	2497
Fenner	1	F	76599
Fenner	1	M	75593
