STE_NAME21	CoupleFamily	HasChild	IncomeFamily.max	families
Tasmania	1	1	21000	64
Tasmania	1	1	26250	269
Tasmania	1	1	34125	377
Tasmania	1	1	42000	967
Northern Territory				32
Northern Territory			0	16
Northern Territory			7875	24
Northern Territory			15750	38
Northern Territory			21000	15
Northern Territory			26250	58
Northern Territory			34125	30
Northern Territory			42000	92
Northern Territory			52500	111
Northern Territory			65625	96
Northern Territory			78750	91
Northern Territory			91875	56
Northern Territory			105000	71
Northern Territory			131250	133
Northern Territory			157500	89
Northern Territory			183750	42
Northern Territory			210000	24
Northern Territory			Inf	51
Northern Territory	0			1123
Northern Territory	0		0	116
Northern Territory	0		7875	190
Northern Territory	0		15750	632
Northern Territory	0		21000	436
Northern Territory	0		26250	627
Northern Territory	0		34125	606
Northern Territory	0		42000	718
Northern Territory	0		52500	723
Northern Territory	0		65625	851
Northern Territory	0		78750	789
Northern Territory	0		91875	645
Northern Territory	0		105000	567
Northern Territory	0		131250	963
Northern Territory	0		157500	405
Northern Territory	0		183750	285
Northern Territory	0		210000	135
Northern Territory	0		Inf	324
Northern Territory	1	0		5315
Northern Territory	1	0	0	323
Northern Territory	1	0	7875	192
Northern Territory	1	0	15750	113
Northern Territory	1	0	21000	69
Northern Territory	1	0	26250	671
Northern Territory	1	0	34125	244
Northern Territory	1	0	42000	973
Northern Territory	1	0	52500	1404
Northern Territory	1	0	65625	1710
Northern Territory	1	0	78750	2125
Northern Territory	1	0	91875	1695
Northern Territory	1	0	105000	1968
Northern Territory	1	0	131250	5397
Northern Territory	1	0	157500	4679
Northern Territory	1	0	183750	4174
Northern Territory	1	0	210000	2981
Northern Territory	1	0	Inf	7120
Northern Territory	1	1	7875	156
Northern Territory	1	1	15750	203
Northern Territory	1	1	21000	86
Northern Territory	1	1	26250	672
Northern Territory	1	1	34125	382
Northern Territory	1	1	42000	682
Australian Capital Territory				15
Australian Capital Territory			0	19
Australian Capital Territory			7875	20
Australian Capital Territory			15750	5
Australian Capital Territory			21000	8
Australian Capital Territory			26250	30
Australian Capital Territory			34125	32
Australian Capital Territory			42000	59
Australian Capital Territory			52500	99
Australian Capital Territory			65625	121
Australian Capital Territory			78750	181
Australian Capital Territory			91875	110
Australian Capital Territory			105000	129
Australian Capital Territory			131250	300
Australian Capital Territory			157500	239
Australian Capital Territory			183750	137
Australian Capital Territory			210000	96
Australian Capital Territory			Inf	124
Australian Capital Territory	0			1382
Australian Capital Territory	0		0	196
Australian Capital Territory	0		7875	85
Australian Capital Territory	0		15750	170
Australian Capital Territory	0		21000	266
Australian Capital Territory	0		26250	478
Australian Capital Territory	0		34125	697
Australian Capital Territory	0		42000	758
Australian Capital Territory	0		52500	976
Australian Capital Territory	0		65625	1278
Australian Capital Territory	0		78750	1314
Australian Capital Territory	0		91875	1375
Australian Capital Territory	0		105000	1274
Australian Capital Territory	0		131250	2723
Australian Capital Territory	0		157500	1128
Australian Capital Territory	0		183750	939
Australian Capital Territory	0		210000	422
Australian Capital Territory	0		Inf	1240
Australian Capital Territory	1	0		5068
Australian Capital Territory	1	0	0	657
Australian Capital Territory	1	0	7875	157
Australian Capital Territory	1	0	15750	115
Australian Capital Territory	1	0	21000	87
Australian Capital Territory	1	0	26250	404
Australian Capital Territory	1	0	34125	382
Australian Capital Territory	1	0	42000	1720
Australian Capital Territory	1	0	52500	2011
Australian Capital Territory	1	0	65625	3104
Australian Capital Territory	1	0	78750	4831
Australian Capital Territory	1	0	91875	4114
Australian Capital Territory	1	0	105000	4585
Australian Capital Territory	1	0	131250	11885
Australian Capital Territory	1	0	157500	10964
Australian Capital Territory	1	0	183750	10851
Australian Capital Territory	1	0	210000	9011
Australian Capital Territory	1	0	Inf	30701
Australian Capital Territory	1	1	7875	29
Australian Capital Territory	1	1	15750	31
Australian Capital Territory	1	1	21000	35
Australian Capital Territory	1	1	26250	98
Australian Capital Territory	1	1	34125	183
Australian Capital Territory	1	1	42000	313
Other Territories				3
Other Territories			78750	4
Other Territories			105000	4
Other Territories	0			19
Other Territories	0		21000	5
Other Territories	0		26250	6
Other Territories	0		34125	4
Other Territories	0		42000	9
Other Territories	0		52500	15
Other Territories	0		65625	23
Other Territories	0		78750	8
Other Territories	0		91875	9
Other Territories	0		105000	4
Other Territories	0		131250	11
Other Territories	0		157500	5
Other Territories	0		183750	7
Other Territories	0		210000	5
Other Territories	1	0		99
Other Territories	1	0	0	3
Other Territories	1	0	7875	8
Other Territories	1	0	21000	4
Other Territories	1	0	26250	15
Other Territories	1	0	34125	15
Other Territories	1	0	42000	45
Other Territories	1	0	52500	44
Other Territories	1	0	65625	50
Other Territories	1	0	78750	75
Other Territories	1	0	91875	58
Other Territories	1	0	105000	63
Other Territories	1	0	131250	119
Other Territories	1	0	157500	92
Other Territories	1	0	183750	64
Other Territories	1	0	210000	52
Other Territories	1	0	Inf	89
Other Territories	1	1	15750	4
Other Territories	1	1	42000	9
