STE_NAME21	Age	Sex	persons
South Australia	35-44	F	114778
South Australia	35-44	M	111877
South Australia	45-54	F	113611
South Australia	45-54	M	111029
South Australia	55-64	F	116382
South Australia	55-64	M	110759
South Australia	65-74	F	102082
South Australia	65-74	M	94257
South Australia	75-84	F	60725
South Australia	75-84	M	51928
South Australia	85+	F	29101
South Australia	85+	M	18220
Western Australia	0-4	F	78503
Western Australia	0-4	M	83249
Western Australia	5-14	F	167277
Western Australia	5-14	M	176755
Western Australia	15-19	F	74580
Western Australia	15-19	M	78685
Western Australia	20-24	F	77702
Western Australia	20-24	M	81122
Western Australia	25-34	F	188385
Western Australia	25-34	M	183972
Western Australia	35-44	F	190766
Western Australia	35-44	M	188720
Western Australia	45-54	F	174505
Western Australia	45-54	M	173750
Western Australia	55-64	F	158832
Western Australia	55-64	M	154609
Western Australia	65-74	F	127110
Western Australia	65-74	M	120271
Western Australia	75-84	F	69042
Western Australia	75-84	M	62085
Western Australia	85+	F	30459
Western Australia	85+	M	19644
Tasmania	0-4	F	13756
Tasmania	0-4	M	14520
Tasmania	5-14	F	31362
Tasmania	5-14	M	32998
Tasmania	15-19	F	14544
Tasmania	15-19	M	15523
Tasmania	20-24	F	15216
Tasmania	20-24	M	15806
Tasmania	25-34	F	38291
Tasmania	25-34	M	38367
Tasmania	35-44	F	34058
Tasmania	35-44	M	31893
Tasmania	45-54	F	35868
Tasmania	45-54	M	33340
Tasmania	55-64	F	39020
Tasmania	55-64	M	36370
Tasmania	65-74	F	34338
Tasmania	65-74	M	32657
Tasmania	75-84	F	19414
Tasmania	75-84	M	17239
Tasmania	85+	F	7928
Tasmania	85+	M	5062
Northern Territory	0-4	F	7774
Northern Territory	0-4	M	8445
Northern Territory	5-14	F	15893
Northern Territory	5-14	M	16787
Northern Territory	15-19	F	6857
Northern Territory	15-19	M	7320
Northern Territory	20-24	F	7473
Northern Territory	20-24	M	8321
Northern Territory	25-34	F	21958
Northern Territory	25-34	M	20934
Northern Territory	35-44	F	18155
Northern Territory	35-44	M	17661
Northern Territory	45-54	F	14923
Northern Territory	45-54	M	15049
Northern Territory	55-64	F	11933
Northern Territory	55-64	M	12298
Northern Territory	65-74	F	6933
Northern Territory	65-74	M	7569
Northern Territory	75-84	F	2513
Northern Territory	75-84	M	2644
Northern Territory	85+	F	665
Northern Territory	85+	M	499
Australian Capital Territory	0-4	F	12918
Australian Capital Territory	0-4	M	13766
Australian Capital Territory	5-14	F	27242
Australian Capital Territory	5-14	M	29019
Australian Capital Territory	15-19	F	12936
Australian Capital Territory	15-19	M	13415
Australian Capital Territory	20-24	F	17173
Australian Capital Territory	20-24	M	17084
Australian Capital Territory	25-34	F	39046
Australian Capital Territory	25-34	M	38702
Australian Capital Territory	35-44	F	35048
Australian Capital Territory	35-44	M	34336
Australian Capital Territory	45-54	F	28369
Australian Capital Territory	45-54	M	27837
Australian Capital Territory	55-64	F	23500
Australian Capital Territory	55-64	M	21907
Australian Capital Territory	65-74	F	19029
Australian Capital Territory	65-74	M	16645
Australian Capital Territory	75-84	F	10567
Australian Capital Territory	75-84	M	8789
Australian Capital Territory	85+	F	4314
Australian Capital Territory	85+	M	2867
Other Territories	0-4	F	109
Other Territories	0-4	M	132
Other Territories	5-14	F	268
Other Territories	5-14	M	313
Other Territories	15-19	F	103
Other Territories	15-19	M	88
Other Territories	20-24	F	104
Other Territories	20-24	M	108
Other Territories	25-34	F	240
Other Territories	25-34	M	339
Other Territories	35-44	F	310
Other Territories	35-44	M	324
Other Territories	45-54	F	316
Other Territories	45-54	M	347
Other Territories	55-64	F	384
Other Territories	55-64	M	382
Other Territories	65-74	F	267
Other Territories	65-74	M	322
Other Territories	75-84	F	135
Other Territories	75-84	M	120
Other Territories	85+	F	34
Other Territories	85+	M	31
