STE_NAME21	CountryOfBirth	persons
Queensland	NPL	10806
Queensland	NZL	208572
Queensland	PAK	6434
Queensland	PHL	51529
Queensland	PNG	17085
Queensland	POL	5740
Queensland	SGP	7536
Queensland	THA	13870
Queensland	TUR	2124
Queensland	TWN	16600
Queensland	USA	20271
Queensland	VNM	24455
Queensland	WSM	9074
Queensland	ZAF	49699
Queensland	ZWE	10095
South Australia		126744
South Australia	AFG	8214
South Australia	AUS	1273356
South Australia	BGD	2246
South Australia	BIH	2193
South Australia	BRA	2025
South Australia	CAN	2623
South Australia	CHL	820
South Australia	CHN	25709
South Australia	DEU	9489
South Australia	EGY	1688
South Australia	FJI	1314
South Australia	FRA	1616
South Australia	GBR	109483
South Australia	GRC	8145
South Australia	HKG	4252
South Australia	HRV	2829
South Australia	IDN	2378
South Australia	IND	44881
South Australia	IRL	3295
South Australia	IRN	5213
South Australia	IRQ	1629
South Australia	ITA	16653
South Australia	JPN	1640
South Australia	KHM	3716
South Australia	KOR	3837
South Australia	LBN	1827
South Australia	LKA	5311
South Australia	MKD	367
South Australia	MLT	1317
South Australia	MMR	2348
South Australia	MUS	280
South Australia	MYS	9099
South Australia	NLD	6146
South Australia	NPL	7250
South Australia	NZL	13461
South Australia	PAK	5666
South Australia	PHL	15503
South Australia	PNG	1057
South Australia	POL	4777
South Australia	SGP	2789
South Australia	THA	3604
South Australia	TUR	735
South Australia	TWN	1739
South Australia	USA	5233
South Australia	VNM	17033
South Australia	WSM	155
South Australia	ZAF	8212
South Australia	ZWE	1629
Western Australia		240350
Western Australia	AFG	5724
Western Australia	AUS	1648804
Western Australia	BGD	2816
Western Australia	BIH	2964
Western Australia	BRA	4607
Western Australia	CAN	6285
Western Australia	CHL	2034
Western Australia	CHN	28415
Western Australia	DEU	11366
Western Australia	EGY	2530
Western Australia	FJI	1480
Western Australia	FRA	4390
Western Australia	GBR	229701
Western Australia	GRC	2142
Western Australia	HKG	6535
Western Australia	HRV	4502
Western Australia	IDN	14062
Western Australia	IND	61088
Western Australia	IRL	18147
Western Australia	IRN	6440
Western Australia	IRQ	3637
Western Australia	ITA	18175
Western Australia	JPN	4716
Western Australia	KHM	1489
Western Australia	KOR	6429
Western Australia	LBN	1245
Western Australia	LKA	9158
Western Australia	MKD	3433
Western Australia	MLT	886
Western Australia	MMR	9351
Western Australia	MUS	5208
Western Australia	MYS	32282
Western Australia	NLD	8833
Western Australia	NPL	4449
Western Australia	NZL	75591
Western Australia	PAK	7615
Western Australia	PHL	37524
Western Australia	PNG	1942
Western Australia	POL	5608
Western Australia	SGP	15995
Western Australia	THA	10003
Western Australia	TUR	1452
Western Australia	TWN	4008
Western Australia	USA	10366
Western Australia	VNM	18080
Western Australia	WSM	583
Western Australia	ZAF	44889
Western Australia	ZWE	12736
Tasmania		39686
Tasmania	AFG	290
Tasmania	AUS	440818
Tasmania	BGD	595
Tasmania	BIH	103
Tasmania	BRA	442
Tasmania	CAN	1022
Tasmania	CHL	296
Tasmania	CHN	6830
Tasmania	DEU	2087
Tasmania	EGY	201
Tasmania	FJI	270
Tasmania	FRA	447
Tasmania	GBR	22167
Tasmania	GRC	462
Tasmania	HKG	858
Tasmania	HRV	227
Tasmania	IDN	601
Tasmania	IND	6137
Tasmania	IRL	745
Tasmania	IRN	553
Tasmania	IRQ	114
Tasmania	ITA	874
Tasmania	JPN	460
Tasmania	KHM	86
Tasmania	KOR	773
Tasmania	LBN	109
Tasmania	LKA	1361
Tasmania	MKD	26
Tasmania	MLT	119
Tasmania	MMR	350
Tasmania	MUS	84
Tasmania	MYS	1443
Tasmania	NLD	2136
Tasmania	NPL	6219
Tasmania	NZL	5483
Tasmania	PAK	1469
Tasmania	PHL	2441
Tasmania	PNG	356
Tasmania	POL	584
Tasmania	SGP	583
Tasmania	THA	862
Tasmania	TUR	96
Tasmania	TWN	696
Tasmania	USA	2056
Tasmania	VNM	1390
Tasmania	WSM	63
Tasmania	ZAF	2089
Tasmania	ZWE	401
Northern Territory		26180
Northern Territory	AFG	37
Northern Territory	AUS	161573
Northern Territory	BGD	701
Northern Territory	BIH	50
Northern Territory	BRA	218
Northern Territory	CAN	357
Northern Territory	CHL	94
Northern Territory	CHN	1705
Northern Territory	DEU	824
Northern Territory	EGY	72
Northern Territory	FJI	526
Northern Territory	FRA	376
Northern Territory	GBR	5791
Northern Territory	GRC	1180
Northern Territory	HKG	329
Northern Territory	HRV	31
Northern Territory	IDN	1439
Northern Territory	IND	5045
Northern Territory	IRL	755
Northern Territory	IRN	106
Northern Territory	IRQ	34
Northern Territory	ITA	502
Northern Territory	JPN	223
Northern Territory	KHM	226
Northern Territory	KOR	362
Northern Territory	LBN	47
Northern Territory	LKA	1259
Northern Territory	MKD	13
Northern Territory	MLT	38
Northern Territory	MMR	194
Northern Territory	MUS	102
Northern Territory	MYS	756
Northern Territory	NLD	349
Northern Territory	NPL	2994
Northern Territory	NZL	4041
Northern Territory	PAK	687
Northern Territory	PHL	6391
Northern Territory	PNG	588
Northern Territory	POL	131
Northern Territory	SGP	306
Northern Territory	THA	1101
Northern Territory	TUR	46
Northern Territory	TWN	510
Northern Territory	USA	1195
Northern Territory	VNM	1350
Northern Territory	WSM	71
Northern Territory	ZAF	949
Northern Territory	ZWE	730
Australian Capital Territory		33746
Australian Capital Territory	AFG	745
Australian Capital Territory	AUS	306909
Australian Capital Territory	BGD	1938
Australian Capital Territory	BIH	406
Australian Capital Territory	BRA	597
Australian Capital Territory	CAN	1386
Australian Capital Territory	CHL	834
Australian Capital Territory	CHN	12149
Australian Capital Territory	DEU	2210
Australian Capital Territory	EGY	541
Australian Capital Territory	FJI	1059
Australian Capital Territory	FRA	760
Australian Capital Territory	GBR	15511
Australian Capital Territory	GRC	1000
Australian Capital Territory	HKG	1899
Australian Capital Territory	HRV	1347
Australian Capital Territory	IDN	1325
Australian Capital Territory	IND	17203
Australian Capital Territory	IRL	901
Australian Capital Territory	IRN	1114
Australian Capital Territory	IRQ	731
Australian Capital Territory	ITA	1912
Australian Capital Territory	JPN	850
Australian Capital Territory	KHM	454
Australian Capital Territory	KOR	2553
Australian Capital Territory	LBN	464
Australian Capital Territory	LKA	3304
Australian Capital Territory	MKD	475
Australian Capital Territory	MLT	254
Australian Capital Territory	MMR	660
Australian Capital Territory	MUS	367
Australian Capital Territory	MYS	2851
Australian Capital Territory	NLD	1004
Australian Capital Territory	NPL	5689
Australian Capital Territory	NZL	5122
Australian Capital Territory	PAK	2906
Australian Capital Territory	PHL	5058
Australian Capital Territory	PNG	705
Australian Capital Territory	POL	1009
Australian Capital Territory	SGP	1165
Australian Capital Territory	THA	1619
Australian Capital Territory	TUR	293
Australian Capital Territory	TWN	693
Australian Capital Territory	USA	3371
Australian Capital Territory	VNM	4082
Australian Capital Territory	WSM	294
Australian Capital Territory	ZAF	2338
Australian Capital Territory	ZWE	687
Other Territories		875
Other Territories	AFG	4
Other Territories	AUS	2683
Other Territories	BRA	4
Other Territories	CAN	10
Other Territories	CHN	16
Other Territories	DEU	13
Other Territories	FJI	42
Other Territories	FRA	7
Other Territories	GBR	112
Other Territories	HKG	3
Other Territories	IDN	17
Other Territories	IND	26
Other Territories	IRL	3
Other Territories	IRN	11
Other Territories	IRQ	12
Other Territories	ITA	3
Other Territories	JPN	6
Other Territories	LBN	8
Other Territories	LKA	12
Other Territories	MMR	4
Other Territories	MYS	339
Other Territories	NLD	9
Other Territories	NZL	350
Other Territories	PAK	12
Other Territories	PHL	60
Other Territories	PNG	14
Other Territories	SGP	44
Other Territories	THA	16
Other Territories	USA	21
Other Territories	VNM	14
Other Territories	ZAF	14
Other Territories	ZWE	12
