STE_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
New South Wales	JPN	1990	1666
New South Wales	JPN	2000	2855
New South Wales	JPN	2010	3969
New South Wales	JPN	2015	2068
New South Wales	JPN	2016	507
New South Wales	JPN	2017	517
New South Wales	JPN	2018	630
New South Wales	JPN	2019	797
New South Wales	JPN	2020	389
New South Wales	JPN	2021	228
New South Wales	KOR		1251
New South Wales	KOR	1951	9
New South Wales	KOR	1960	9
New South Wales	KOR	1970	64
New South Wales	KOR	1980	2081
New South Wales	KOR	1990	7699
New South Wales	KOR	2000	9883
New South Wales	KOR	2010	17642
New South Wales	KOR	2015	7488
New South Wales	KOR	2016	1568
New South Wales	KOR	2017	1393
New South Wales	KOR	2018	1474
New South Wales	KOR	2019	1662
New South Wales	KOR	2020	654
New South Wales	KOR	2021	166
New South Wales	LBN		2307
New South Wales	LBN	1951	240
New South Wales	LBN	1960	1450
New South Wales	LBN	1970	8238
New South Wales	LBN	1980	14713
New South Wales	LBN	1990	11871
New South Wales	LBN	2000	8605
New South Wales	LBN	2010	8273
New South Wales	LBN	2015	3652
New South Wales	LBN	2016	768
New South Wales	LBN	2017	857
New South Wales	LBN	2018	774
New South Wales	LBN	2019	876
New South Wales	LBN	2020	456
New South Wales	LBN	2021	211
New South Wales	LKA		544
New South Wales	LKA	1951	31
New South Wales	LKA	1960	139
New South Wales	LKA	1970	585
New South Wales	LKA	1980	1332
New South Wales	LKA	1990	5427
New South Wales	LKA	2000	6561
New South Wales	LKA	2010	8174
New South Wales	LKA	2015	4579
New South Wales	LKA	2016	849
New South Wales	LKA	2017	791
New South Wales	LKA	2018	838
New South Wales	LKA	2019	1006
New South Wales	LKA	2020	409
New South Wales	LKA	2021	166
New South Wales	MKD		524
New South Wales	MKD	1951	32
New South Wales	MKD	1960	380
New South Wales	MKD	1970	5311
New South Wales	MKD	1980	5087
New South Wales	MKD	1990	2232
New South Wales	MKD	2000	1750
New South Wales	MKD	2010	1131
New South Wales	MKD	2015	445
New South Wales	MKD	2016	111
New South Wales	MKD	2017	104
New South Wales	MKD	2018	71
New South Wales	MKD	2019	90
New South Wales	MKD	2020	29
New South Wales	MKD	2021	17
New South Wales	MYS		961
New South Wales	MYS	1951	82
New South Wales	MYS	1960	348
New South Wales	MYS	1970	1832
New South Wales	MYS	1980	4084
New South Wales	MYS	1990	8246
New South Wales	MYS	2000	3985
New South Wales	MYS	2010	7048
New South Wales	MYS	2015	4399
New South Wales	MYS	2016	1772
New South Wales	MYS	2017	2107
New South Wales	MYS	2018	2011
New South Wales	MYS	2019	1868
New South Wales	MYS	2020	652
New South Wales	MYS	2021	164
New South Wales	NLD		488
New South Wales	NLD	1951	846
New South Wales	NLD	1960	6090
New South Wales	NLD	1970	1880
New South Wales	NLD	1980	1066
New South Wales	NLD	1990	1064
New South Wales	NLD	2000	882
New South Wales	NLD	2010	1460
New South Wales	NLD	2015	839
New South Wales	NLD	2016	228
New South Wales	NLD	2017	209
New South Wales	NLD	2018	251
New South Wales	NLD	2019	303
New South Wales	NLD	2020	124
New South Wales	NLD	2021	49
New South Wales	NPL		1148
New South Wales	NPL	1970	4
New South Wales	NPL	1980	17
New South Wales	NPL	1990	100
New South Wales	NPL	2000	1360
New South Wales	NPL	2010	13365
New South Wales	NPL	2015	9688
New South Wales	NPL	2016	4345
New South Wales	NPL	2017	8308
New South Wales	NPL	2018	13123
New South Wales	NPL	2019	10745
New South Wales	NPL	2020	2596
New South Wales	NPL	2021	142
New South Wales	NZL		4303
New South Wales	NZL	1951	584
New South Wales	NZL	1960	1312
New South Wales	NZL	1970	6529
New South Wales	NZL	1980	15397
New South Wales	NZL	1990	20974
New South Wales	NZL	2000	22343
New South Wales	NZL	2010	23751
New South Wales	NZL	2015	12476
New South Wales	NZL	2016	2130
New South Wales	NZL	2017	2083
New South Wales	NZL	2018	2201
New South Wales	NZL	2019	2269
New South Wales	NZL	2020	1149
New South Wales	NZL	2021	1022
New South Wales	PAK		546
New South Wales	PAK	1951	11
New South Wales	PAK	1960	25
New South Wales	PAK	1970	112
New South Wales	PAK	1980	451
New South Wales	PAK	1990	1723
New South Wales	PAK	2000	3250
New South Wales	PAK	2010	6944
New South Wales	PAK	2015	9207
New South Wales	PAK	2016	2349
New South Wales	PAK	2017	2474
New South Wales	PAK	2018	2609
New South Wales	PAK	2019	2530
New South Wales	PAK	2020	1256
New South Wales	PAK	2021	414
New South Wales	PHL		2111
New South Wales	PHL	1951	24
New South Wales	PHL	1960	38
New South Wales	PHL	1970	614
New South Wales	PHL	1980	4781
New South Wales	PHL	1990	21942
New South Wales	PHL	2000	18473
New South Wales	PHL	2010	21251
New South Wales	PHL	2015	16340
New South Wales	PHL	2016	3881
New South Wales	PHL	2017	3891
New South Wales	PHL	2018	4777
New South Wales	PHL	2019	6282
New South Wales	PHL	2020	2033
New South Wales	PHL	2021	479
New South Wales	POL		376
New South Wales	POL	1951	665
New South Wales	POL	1960	548
New South Wales	POL	1970	758
New South Wales	POL	1980	1212
New South Wales	POL	1990	4889
New South Wales	POL	2000	1488
New South Wales	POL	2010	1633
New South Wales	POL	2015	1115
New South Wales	POL	2016	265
New South Wales	POL	2017	270
New South Wales	POL	2018	261
New South Wales	POL	2019	247
New South Wales	POL	2020	87
New South Wales	POL	2021	28
New South Wales	SGP		265
New South Wales	SGP	1951	53
New South Wales	SGP	1960	219
New South Wales	SGP	1970	576
New South Wales	SGP	1980	1498
New South Wales	SGP	1990	2170
New South Wales	SGP	2000	1845
New South Wales	SGP	2010	3437
New South Wales	SGP	2015	1885
New South Wales	SGP	2016	545
New South Wales	SGP	2017	561
New South Wales	SGP	2018	545
New South Wales	SGP	2019	508
New South Wales	SGP	2020	392
New South Wales	SGP	2021	160
New South Wales	THA		1049
New South Wales	THA	1951	9
New South Wales	THA	1960	21
New South Wales	THA	1970	127
New South Wales	THA	1980	665
New South Wales	THA	1990	2839
New South Wales	THA	2000	3731
New South Wales	THA	2010	9167
New South Wales	THA	2015	6909
New South Wales	THA	2016	2053
New South Wales	THA	2017	1436
New South Wales	THA	2018	1347
New South Wales	THA	2019	1556
New South Wales	THA	2020	576
New South Wales	THA	2021	162
New South Wales	TWN		351
New South Wales	TWN	1960	3
New South Wales	TWN	1970	39
New South Wales	TWN	1980	205
New South Wales	TWN	1990	2360
New South Wales	TWN	2000	2996
New South Wales	TWN	2010	2593
New South Wales	TWN	2015	2358
New South Wales	TWN	2016	649
New South Wales	TWN	2017	702
New South Wales	TWN	2018	851
New South Wales	TWN	2019	1073
New South Wales	TWN	2020	322
New South Wales	TWN	2021	47
New South Wales	USA		797
New South Wales	USA	1951	133
New South Wales	USA	1960	281
New South Wales	USA	1970	1542
New South Wales	USA	1980	2911
New South Wales	USA	1990	3234
New South Wales	USA	2000	4408
New South Wales	USA	2010	7738
New South Wales	USA	2015	5505
New South Wales	USA	2016	1358
New South Wales	USA	2017	1414
New South Wales	USA	2018	1583
New South Wales	USA	2019	1974
New South Wales	USA	2020	1410
New South Wales	USA	2021	537
New South Wales	VNM		3702
New South Wales	VNM	1951	21
New South Wales	VNM	1960	48
New South Wales	VNM	1970	207
New South Wales	VNM	1980	13080
New South Wales	VNM	1990	27186
New South Wales	VNM	2000	16926
New South Wales	VNM	2010	13287
New South Wales	VNM	2015	10646
New South Wales	VNM	2016	2718
New South Wales	VNM	2017	2737
New South Wales	VNM	2018	2607
New South Wales	VNM	2019	2933
New South Wales	VNM	2020	1472
New South Wales	VNM	2021	411
New South Wales	ZAF		699
New South Wales	ZAF	1951	64
New South Wales	ZAF	1960	263
New South Wales	ZAF	1970	1106
New South Wales	ZAF	1980	4141
New South Wales	ZAF	1990	7418
New South Wales	ZAF	2000	9480
New South Wales	ZAF	2010	13813
New South Wales	ZAF	2015	5145
New South Wales	ZAF	2016	1556
New South Wales	ZAF	2017	1373
New South Wales	ZAF	2018	1474
New South Wales	ZAF	2019	1784
New South Wales	ZAF	2020	1032
New South Wales	ZAF	2021	397
Victoria			7915
Victoria		1951	4054
Victoria		1960	14209
Victoria		1970	25944
Victoria		1980	34095
Victoria		1990	40368
Victoria		2000	45403
Victoria		2010	63362
Victoria		2015	39777
Victoria		2016	11695
Victoria		2017	11064
Victoria		2018	11867
Victoria		2019	13766
Victoria		2020	4914
Victoria		2021	1587
Victoria	AFG		456
Victoria	AFG	1970	3
Victoria	AFG	1980	29
Victoria	AFG	1990	551
Victoria	AFG	2000	2517
Victoria	AFG	2010	7437
Victoria	AFG	2015	8054
Victoria	AFG	2016	1291
Victoria	AFG	2017	1457
Victoria	AFG	2018	1055
Victoria	AFG	2019	1513
Victoria	AFG	2020	581
Victoria	AFG	2021	491
Victoria	BGD		98
Victoria	BGD	1960	3
Victoria	BGD	1970	16
Victoria	BGD	1980	103
Victoria	BGD	1990	261
Victoria	BGD	2000	954
Victoria	BGD	2010	3980
Victoria	BGD	2015	2437
Victoria	BGD	2016	506
Victoria	BGD	2017	578
Victoria	BGD	2018	532
Victoria	BGD	2019	508
Victoria	BGD	2020	258
Victoria	BGD	2021	58
Victoria	CAN		159
Victoria	CAN	1951	25
Victoria	CAN	1960	127
Victoria	CAN	1970	528
Victoria	CAN	1980	1081
Victoria	CAN	1990	1124
Victoria	CAN	2000	1347
Victoria	CAN	2010	2338
Victoria	CAN	2015	1712
Victoria	CAN	2016	384
Victoria	CAN	2017	371
Victoria	CAN	2018	434
Victoria	CAN	2019	495
Victoria	CAN	2020	221
Victoria	CAN	2021	87
Victoria	CHN		2990
Victoria	CHN	1951	157
Victoria	CHN	1960	458
Victoria	CHN	1970	852
Victoria	CHN	1980	1113
Victoria	CHN	1990	11689
Victoria	CHN	2000	17444
Victoria	CHN	2010	53695
Victoria	CHN	2015	36477
Victoria	CHN	2016	9507
Victoria	CHN	2017	10354
Victoria	CHN	2018	9993
Victoria	CHN	2019	12034
Victoria	CHN	2020	3884
Victoria	CHN	2021	802
Victoria	DEU		747
Victoria	DEU	1951	3755
Victoria	DEU	1960	6522
Victoria	DEU	1970	3078
Victoria	DEU	1980	1626
Victoria	DEU	1990	2087
Victoria	DEU	2000	1683
Victoria	DEU	2010	2782
Victoria	DEU	2015	1457
Victoria	DEU	2016	310
Victoria	DEU	2017	333
Victoria	DEU	2018	318
Victoria	DEU	2019	396
Victoria	DEU	2020	190
Victoria	DEU	2021	80
Victoria	EGY		362
Victoria	EGY	1951	255
Victoria	EGY	1960	1457
Victoria	EGY	1970	2352
Victoria	EGY	1980	1087
Victoria	EGY	1990	1483
Victoria	EGY	2000	1425
Victoria	EGY	2010	2485
Victoria	EGY	2015	1759
Victoria	EGY	2016	267
Victoria	EGY	2017	300
Victoria	EGY	2018	378
Victoria	EGY	2019	261
Victoria	EGY	2020	138
Victoria	EGY	2021	68
Victoria	FJI		208
Victoria	FJI	1951	29
Victoria	FJI	1960	66
Victoria	FJI	1970	167
Victoria	FJI	1980	606
Victoria	FJI	1990	2827
Victoria	FJI	2000	2470
Victoria	FJI	2010	3174
Victoria	FJI	2015	1408
Victoria	FJI	2016	270
Victoria	FJI	2017	290
Victoria	FJI	2018	305
Victoria	FJI	2019	384
Victoria	FJI	2020	172
Victoria	FJI	2021	51
Victoria	GBR		6053
Victoria	GBR	1951	5367
Victoria	GBR	1960	20378
Victoria	GBR	1970	47739
Victoria	GBR	1980	29328
Victoria	GBR	1990	23633
Victoria	GBR	2000	14723
Victoria	GBR	2010	32922
Victoria	GBR	2015	18175
Victoria	GBR	2016	3017
Victoria	GBR	2017	3131
Victoria	GBR	2018	3049
Victoria	GBR	2019	3237
Victoria	GBR	2020	1367
Victoria	GBR	2021	603
Victoria	GRC		1727
Victoria	GRC	1951	445
Victoria	GRC	1960	8288
Victoria	GRC	1970	24115
Victoria	GRC	1980	5998
Victoria	GRC	1990	1695
Victoria	GRC	2000	754
Victoria	GRC	2010	601
Victoria	GRC	2015	2121
Victoria	GRC	2016	268
Victoria	GRC	2017	223
Victoria	GRC	2018	155
Victoria	GRC	2019	169
Victoria	GRC	2020	59
Victoria	GRC	2021	18
Victoria	HKG		452
Victoria	HKG	1951	51
Victoria	HKG	1960	166
Victoria	HKG	1970	500
Victoria	HKG	1980	1616
Victoria	HKG	1990	5445
Victoria	HKG	2000	5471
Victoria	HKG	2010	4337
Victoria	HKG	2015	2846
Victoria	HKG	2016	762
Victoria	HKG	2017	806
Victoria	HKG	2018	879
Victoria	HKG	2019	954
Victoria	HKG	2020	761
Victoria	HKG	2021	277
Victoria	HRV		455
Victoria	HRV	1951	88
Victoria	HRV	1960	1436
Victoria	HRV	1970	6821
Victoria	HRV	1980	2313
Victoria	HRV	1990	926
Victoria	HRV	2000	2167
Victoria	HRV	2010	724
Victoria	HRV	2015	209
Victoria	HRV	2016	34
Victoria	HRV	2017	17
Victoria	HRV	2018	16
Victoria	HRV	2019	33
Victoria	HRV	2020	7
Victoria	HRV	2021	5
Victoria	IDN		350
Victoria	IDN	1951	68
Victoria	IDN	1960	211
Victoria	IDN	1970	241
Victoria	IDN	1980	539
Victoria	IDN	1990	1395
Victoria	IDN	2000	3986
Victoria	IDN	2010	5816
Victoria	IDN	2015	2852
Victoria	IDN	2016	834
Victoria	IDN	2017	1018
Victoria	IDN	2018	1063
Victoria	IDN	2019	1383
Victoria	IDN	2020	793
Victoria	IDN	2021	91
Victoria	IND		3948
Victoria	IND	1951	317
Victoria	IND	1960	251
Victoria	IND	1970	2624
Victoria	IND	1980	3662
Victoria	IND	1990	6381
Victoria	IND	2000	12388
Victoria	IND	2010	85762
Victoria	IND	2015	51846
Victoria	IND	2016	14957
Victoria	IND	2017	16964
Victoria	IND	2018	22643
Victoria	IND	2019	26065
Victoria	IND	2020	8542
Victoria	IND	2021	1831
Victoria	IRL		349
Victoria	IRL	1951	106
Victoria	IRL	1960	691
Victoria	IRL	1970	1710
Victoria	IRL	1980	1622
Victoria	IRL	1990	2445
Victoria	IRL	2000	1144
Victoria	IRL	2010	3451
Victoria	IRL	2015	3112
Victoria	IRL	2016	446
Victoria	IRL	2017	488
Victoria	IRL	2018	638
Victoria	IRL	2019	857
Victoria	IRL	2020	330
Victoria	IRL	2021	79
Victoria	IRN		324
Victoria	IRN	1951	11
Victoria	IRN	1960	15
Victoria	IRN	1970	80
Victoria	IRN	1980	247
Victoria	IRN	1990	1450
Victoria	IRN	2000	1275
Victoria	IRN	2010	4254
Victoria	IRN	2015	9253
Victoria	IRN	2016	1111
Victoria	IRN	2017	1097
Victoria	IRN	2018	1010
Victoria	IRN	2019	1111
Victoria	IRN	2020	371
Victoria	IRN	2021	309
Victoria	IRQ		396
Victoria	IRQ	1960	7
Victoria	IRQ	1970	72
Victoria	IRQ	1980	174
Victoria	IRQ	1990	355
Victoria	IRQ	2000	4988
Victoria	IRQ	2010	6782
Victoria	IRQ	2015	4916
Victoria	IRQ	2016	2611
Victoria	IRQ	2017	2006
Victoria	IRQ	2018	975
Victoria	IRQ	2019	2151
Victoria	IRQ	2020	589
Victoria	IRQ	2021	70
Victoria	ITA		2766
Victoria	ITA	1951	2182
Victoria	ITA	1960	23620
Victoria	ITA	1970	23269
Victoria	ITA	1980	4097
Victoria	ITA	1990	1394
Victoria	ITA	2000	1003
Victoria	ITA	2010	1697
Victoria	ITA	2015	2740
Victoria	ITA	2016	513
Victoria	ITA	2017	441
Victoria	ITA	2018	443
Victoria	ITA	2019	439
Victoria	ITA	2020	156
Victoria	ITA	2021	33
Victoria	JPN		225
Victoria	JPN	1951	20
Victoria	JPN	1960	88
Victoria	JPN	1970	93
Victoria	JPN	1980	274
Victoria	JPN	1990	660
Victoria	JPN	2000	1493
Victoria	JPN	2010	2901
Victoria	JPN	2015	1403
Victoria	JPN	2016	349
Victoria	JPN	2017	365
Victoria	JPN	2018	436
Victoria	JPN	2019	544
Victoria	JPN	2020	286
Victoria	JPN	2021	113
Victoria	KOR		244
Victoria	KOR	1951	4
Victoria	KOR	1960	3
Victoria	KOR	1970	20
Victoria	KOR	1980	189
Victoria	KOR	1990	855
Victoria	KOR	2000	1540
Victoria	KOR	2010	6511
Victoria	KOR	2015	3182
Victoria	KOR	2016	640
Victoria	KOR	2017	652
Victoria	KOR	2018	637
Victoria	KOR	2019	634
Victoria	KOR	2020	269
Victoria	KOR	2021	59
Victoria	LBN		646
Victoria	LBN	1951	37
Victoria	LBN	1960	236
Victoria	LBN	1970	1875
Victoria	LBN	1980	4559
Victoria	LBN	1990	3262
Victoria	LBN	2000	2315
Victoria	LBN	2010	2902
Victoria	LBN	2015	1410
Victoria	LBN	2016	313
Victoria	LBN	2017	310
Victoria	LBN	2018	290
Victoria	LBN	2019	293
Victoria	LBN	2020	142
Victoria	LBN	2021	90
Victoria	LKA		915
Victoria	LKA	1951	66
Victoria	LKA	1960	384
Victoria	LKA	1970	1792
Victoria	LKA	1980	3003
Victoria	LKA	1990	7910
Victoria	LKA	2000	9011
Victoria	LKA	2010	19513
Victoria	LKA	2015	11547
Victoria	LKA	2016	2479
Victoria	LKA	2017	2790
Victoria	LKA	2018	3259
Victoria	LKA	2019	3705
Victoria	LKA	2020	1405
Victoria	LKA	2021	288
Victoria	MKD		489
Victoria	MKD	1951	66
Victoria	MKD	1960	486
Victoria	MKD	1970	4678
Victoria	MKD	1980	5462
Victoria	MKD	1990	3029
Victoria	MKD	2000	2078
Victoria	MKD	2010	1496
Victoria	MKD	2015	676
Victoria	MKD	2016	133
Victoria	MKD	2017	128
Victoria	MKD	2018	133
Victoria	MKD	2019	109
Victoria	MKD	2020	34
Victoria	MKD	2021	27
Victoria	MYS		1149
Victoria	MYS	1951	49
Victoria	MYS	1960	259
Victoria	MYS	1970	1508
Victoria	MYS	1980	4027
Victoria	MYS	1990	9970
Victoria	MYS	2000	5497
Victoria	MYS	2010	14310
Victoria	MYS	2015	9831
Victoria	MYS	2016	3727
Victoria	MYS	2017	3988
Victoria	MYS	2018	3829
Victoria	MYS	2019	3153
Victoria	MYS	2020	1167
Victoria	MYS	2021	199
Victoria	NLD		519
Victoria	NLD	1951	669
Victoria	NLD	1960	9626
Victoria	NLD	1970	2054
Victoria	NLD	1980	1089
Victoria	NLD	1990	1219
Victoria	NLD	2000	697
Victoria	NLD	2010	1216
Victoria	NLD	2015	608
Victoria	NLD	2016	160
Victoria	NLD	2017	160
Victoria	NLD	2018	168
Victoria	NLD	2019	184
Victoria	NLD	2020	64
Victoria	NLD	2021	32
Victoria	NPL		322
Victoria	NPL	1970	4
Victoria	NPL	1980	11
Victoria	NPL	1990	45
Victoria	NPL	2000	404
Victoria	NPL	2010	4682
Victoria	NPL	2015	3559
Victoria	NPL	2016	1376
Victoria	NPL	2017	2338
Victoria	NPL	2018	3236
Victoria	NPL	2019	3251
Victoria	NPL	2020	866
Victoria	NPL	2021	55
Victoria	NZL		2934
Victoria	NZL	1951	295
Victoria	NZL	1960	690
Victoria	NZL	1970	3185
Victoria	NZL	1980	8608
Victoria	NZL	1990	13362
Victoria	NZL	2000	14949
Victoria	NZL	2010	24077
Victoria	NZL	2015	17136
Victoria	NZL	2016	2837
Victoria	NZL	2017	2775
Victoria	NZL	2018	2989
Victoria	NZL	2019	3048
Victoria	NZL	2020	1229
Victoria	NZL	2021	1217
Victoria	PAK		492
Victoria	PAK	1951	8
Victoria	PAK	1960	24
Victoria	PAK	1970	69
Victoria	PAK	1980	203
Victoria	PAK	1990	700
Victoria	PAK	2000	1552
Victoria	PAK	2010	6638
Victoria	PAK	2015	10094
Victoria	PAK	2016	2089
Victoria	PAK	2017	2526
Victoria	PAK	2018	2555
