LGA_NAME16	Age	MaritalStatus	Sex	responses
Ballina	55-64	Married	F	1857
Ballina	55-64	Married	M	1758
Ballina	55-64	Separated	F	189
Ballina	55-64	Separated	M	162
Ballina	55-64	Widowed	F	133
Ballina	55-64	Widowed	M	50
Ballina	65-74	Divorced	F	747
Ballina	65-74	Divorced	M	550
Ballina	65-74	Married	F	2039
Ballina	65-74	Married	M	2126
Ballina	65-74	Separated	F	118
Ballina	65-74	Separated	M	116
Ballina	65-74	Widowed	F	422
Ballina	65-74	Widowed	M	126
Ballina	75-84	Divorced	F	282
Ballina	75-84	Divorced	M	206
Ballina	75-84	Married	F	996
Ballina	75-84	Married	M	1289
Ballina	75-84	Separated	F	35
Ballina	75-84	Separated	M	32
Ballina	75-84	Widowed	F	760
Ballina	75-84	Widowed	M	227
Ballina	85+	Divorced	F	77
Ballina	85+	Divorced	M	42
Ballina	85+	Married	F	229
Ballina	85+	Married	M	394
Ballina	85+	Separated	F	6
Ballina	85+	Separated	M	9
Ballina	85+	Widowed	F	804
Ballina	85+	Widowed	M	215
Balranald	20-24	Married	F	4
Balranald	20-24	Married	M	4
Balranald	25-34	Divorced	F	4
Balranald	25-34	Divorced	M	3
Balranald	25-34	Married	F	64
Balranald	25-34	Married	M	48
Balranald	25-34	Separated	F	8
Balranald	35-44	Divorced	F	9
Balranald	35-44	Divorced	M	13
Balranald	35-44	Married	F	60
Balranald	35-44	Married	M	60
Balranald	35-44	Separated	F	4
Balranald	35-44	Separated	M	3
Balranald	35-44	Widowed	F	4
Balranald	35-44	Widowed	M	4
Balranald	45-54	Divorced	F	4
Balranald	45-54	Divorced	M	15
Balranald	45-54	Married	F	103
Balranald	45-54	Married	M	89
Balranald	45-54	Separated	F	8
Balranald	45-54	Separated	M	3
Balranald	55-64	Divorced	F	18
Balranald	55-64	Divorced	M	14
Balranald	55-64	Married	F	95
Balranald	55-64	Married	M	104
Balranald	55-64	Separated	F	11
Balranald	55-64	Separated	M	8
Balranald	55-64	Widowed	F	11
Balranald	65-74	Divorced	F	15
Balranald	65-74	Divorced	M	25
Balranald	65-74	Married	F	80
Balranald	65-74	Married	M	97
Balranald	65-74	Separated	M	14
Balranald	65-74	Widowed	F	27
Balranald	65-74	Widowed	M	3
Balranald	75-84	Divorced	M	6
Balranald	75-84	Married	F	24
Balranald	75-84	Married	M	31
Balranald	75-84	Separated	M	4
Balranald	75-84	Widowed	F	30
Balranald	75-84	Widowed	M	9
Balranald	85+	Married	F	4
Balranald	85+	Married	M	7
Balranald	85+	Widowed	F	27
Balranald	85+	Widowed	M	8
Bathurst Regional	15-19	Married	M	3
Bathurst Regional	20-24	Married	F	61
Bathurst Regional	20-24	Married	M	44
Bathurst Regional	20-24	Separated	F	3
Bathurst Regional	20-24	Separated	M	4
Bathurst Regional	25-34	Divorced	F	63
Bathurst Regional	25-34	Divorced	M	46
Bathurst Regional	25-34	Married	F	953
Bathurst Regional	25-34	Married	M	820
Bathurst Regional	25-34	Separated	F	90
Bathurst Regional	25-34	Separated	M	55
Bathurst Regional	25-34	Widowed	F	3
Bathurst Regional	25-34	Widowed	M	3
Bathurst Regional	35-44	Divorced	F	228
Bathurst Regional	35-44	Divorced	M	155
Bathurst Regional	35-44	Married	F	1401
Bathurst Regional	35-44	Married	M	1368
Bathurst Regional	35-44	Separated	F	159
Bathurst Regional	35-44	Separated	M	128
Bathurst Regional	35-44	Widowed	F	19
Bathurst Regional	35-44	Widowed	M	5
Bathurst Regional	45-54	Divorced	F	417
Bathurst Regional	45-54	Divorced	M	353
Bathurst Regional	45-54	Married	F	1561
Bathurst Regional	45-54	Married	M	1482
Bathurst Regional	45-54	Separated	F	194
Bathurst Regional	45-54	Separated	M	154
Bathurst Regional	45-54	Widowed	F	68
Bathurst Regional	45-54	Widowed	M	16
Bathurst Regional	55-64	Divorced	F	518
Bathurst Regional	55-64	Divorced	M	397
Bathurst Regional	55-64	Married	F	1580
Bathurst Regional	55-64	Married	M	1549
Bathurst Regional	55-64	Separated	F	176
Bathurst Regional	55-64	Separated	M	150
Bathurst Regional	55-64	Widowed	F	125
Bathurst Regional	55-64	Widowed	M	42
Bathurst Regional	65-74	Divorced	F	411
Bathurst Regional	65-74	Divorced	M	320
Bathurst Regional	65-74	Married	F	1358
Bathurst Regional	65-74	Married	M	1511
Bathurst Regional	65-74	Separated	F	91
Bathurst Regional	65-74	Separated	M	89
Bathurst Regional	65-74	Widowed	F	295
Bathurst Regional	65-74	Widowed	M	117
Bathurst Regional	75-84	Divorced	F	177
Bathurst Regional	75-84	Divorced	M	145
Bathurst Regional	75-84	Married	F	568
Bathurst Regional	75-84	Married	M	822
Bathurst Regional	75-84	Separated	F	29
Bathurst Regional	75-84	Separated	M	36
Bathurst Regional	75-84	Widowed	F	466
Bathurst Regional	75-84	Widowed	M	160
Bathurst Regional	85+	Divorced	F	37
Bathurst Regional	85+	Divorced	M	21
Bathurst Regional	85+	Married	F	140
Bathurst Regional	85+	Married	M	217
Bathurst Regional	85+	Separated	F	3
Bathurst Regional	85+	Separated	M	4
Bathurst Regional	85+	Widowed	F	458
Bathurst Regional	85+	Widowed	M	113
Bayside (NSW)	15-19	Married	F	5
Bayside (NSW)	15-19	Married	M	12
Bayside (NSW)	20-24	Divorced	F	24
Bayside (NSW)	20-24	Divorced	M	9
Bayside (NSW)	20-24	Married	F	563
Bayside (NSW)	20-24	Married	M	250
Bayside (NSW)	20-24	Separated	F	41
Bayside (NSW)	20-24	Separated	M	5
Bayside (NSW)	20-24	Widowed	M	8
Bayside (NSW)	25-34	Divorced	F	431
Bayside (NSW)	25-34	Divorced	M	314
Bayside (NSW)	25-34	Married	F	7129
Bayside (NSW)	25-34	Married	M	5812
Bayside (NSW)	25-34	Separated	F	300
Bayside (NSW)	25-34	Separated	M	201
Bayside (NSW)	25-34	Widowed	F	12
Bayside (NSW)	25-34	Widowed	M	12
Bayside (NSW)	35-44	Divorced	F	1020
Bayside (NSW)	35-44	Divorced	M	752
Bayside (NSW)	35-44	Married	F	7906
Bayside (NSW)	35-44	Married	M	8103
Bayside (NSW)	35-44	Separated	F	538
Bayside (NSW)	35-44	Separated	M	413
Bayside (NSW)	35-44	Widowed	F	57
Bayside (NSW)	35-44	Widowed	M	10
Bayside (NSW)	45-54	Divorced	F	1539
Bayside (NSW)	45-54	Divorced	M	1107
Bayside (NSW)	45-54	Married	F	6259
Bayside (NSW)	45-54	Married	M	6002
Bayside (NSW)	45-54	Separated	F	599
Bayside (NSW)	45-54	Separated	M	497
Bayside (NSW)	45-54	Widowed	F	178
Bayside (NSW)	45-54	Widowed	M	56
Bayside (NSW)	55-64	Divorced	F	1808
Bayside (NSW)	55-64	Divorced	M	1267
Bayside (NSW)	55-64	Married	F	4963
Bayside (NSW)	55-64	Married	M	5234
Bayside (NSW)	55-64	Separated	F	463
Bayside (NSW)	55-64	Separated	M	428
Bayside (NSW)	55-64	Widowed	F	524
Bayside (NSW)	55-64	Widowed	M	96
Bayside (NSW)	65-74	Divorced	F	1231
Bayside (NSW)	65-74	Divorced	M	916
Bayside (NSW)	65-74	Married	F	3728
Bayside (NSW)	65-74	Married	M	4185
Bayside (NSW)	65-74	Separated	F	338
Bayside (NSW)	65-74	Separated	M	327
Bayside (NSW)	65-74	Widowed	F	1156
Bayside (NSW)	65-74	Widowed	M	276
Bayside (NSW)	75-84	Divorced	F	596
Bayside (NSW)	75-84	Divorced	M	400
Bayside (NSW)	75-84	Married	F	1979
Bayside (NSW)	75-84	Married	M	2679
Bayside (NSW)	75-84	Separated	F	82
Bayside (NSW)	75-84	Separated	M	157
Bayside (NSW)	75-84	Widowed	F	1858
Bayside (NSW)	75-84	Widowed	M	428
Bayside (NSW)	85+	Divorced	F	132
Bayside (NSW)	85+	Divorced	M	77
Bayside (NSW)	85+	Married	F	407
Bayside (NSW)	85+	Married	M	934
Bayside (NSW)	85+	Separated	F	23
Bayside (NSW)	85+	Separated	M	24
Bayside (NSW)	85+	Widowed	F	1592
Bayside (NSW)	85+	Widowed	M	441
Bega Valley	20-24	Married	F	21
Bega Valley	20-24	Married	M	19
Bega Valley	25-34	Divorced	F	41
Bega Valley	25-34	Divorced	M	19
Bega Valley	25-34	Married	F	486
Bega Valley	25-34	Married	M	360
Bega Valley	25-34	Separated	F	46
Bega Valley	25-34	Separated	M	21
Bega Valley	25-34	Widowed	F	5
Bega Valley	25-34	Widowed	M	4
Bega Valley	35-44	Divorced	F	130
Bega Valley	35-44	Divorced	M	101
Bega Valley	35-44	Married	F	900
Bega Valley	35-44	Married	M	779
Bega Valley	35-44	Separated	F	89
Bega Valley	35-44	Separated	M	47
Bega Valley	35-44	Widowed	F	8
Bega Valley	45-54	Divorced	F	355
Bega Valley	45-54	Divorced	M	239
Bega Valley	45-54	Married	F	1209
Bega Valley	45-54	Married	M	1063
Bega Valley	45-54	Separated	F	137
Bega Valley	45-54	Separated	M	104
