LGA_NAME16	MaxSchoolingCompleted	adults
Lake Macquarie	Year 9	15391
Lake Macquarie	Year 10	54556
Lake Macquarie	Year 11	12733
Lake Macquarie	Year 12	76495
Lane Cove	Did not go to school	118
Lane Cove	Year 8	344
Lane Cove	Year 9	638
Lane Cove	Year 10	2304
Lane Cove	Year 11	1177
Lane Cove	Year 12	26355
Leeton	Did not go to school	70
Leeton	Year 8	518
Leeton	Year 9	860
Leeton	Year 10	3040
Leeton	Year 11	710
Leeton	Year 12	2961
Lismore	Did not go to school	115
Lismore	Year 8	1463
Lismore	Year 9	2679
Lismore	Year 10	10118
Lismore	Year 11	2643
Lismore	Year 12	16749
Lithgow	Did not go to school	48
Lithgow	Year 8	887
Lithgow	Year 9	1704
Lithgow	Year 10	5837
Lithgow	Year 11	1285
Lithgow	Year 12	5919
Liverpool	Did not go to school	5664
Liverpool	Year 8	9719
Liverpool	Year 9	8947
Liverpool	Year 10	29851
Liverpool	Year 11	10356
Liverpool	Year 12	104593
Liverpool Plains	Did not go to school	18
Liverpool Plains	Year 8	382
Liverpool Plains	Year 9	607
Liverpool Plains	Year 10	2039
Liverpool Plains	Year 11	459
Liverpool Plains	Year 12	1908
Lockhart	Did not go to school	11
Lockhart	Year 8	154
Lockhart	Year 9	227
Lockhart	Year 10	874
Lockhart	Year 11	221
Lockhart	Year 12	889
Maitland	Did not go to school	242
Maitland	Year 8	2778
Maitland	Year 9	6166
Maitland	Year 10	22375
Maitland	Year 11	5782
Maitland	Year 12	30263
Mid-Coast	Did not go to school	216
Mid-Coast	Year 8	4414
Mid-Coast	Year 9	8925
Mid-Coast	Year 10	28477
Mid-Coast	Year 11	5651
Mid-Coast	Year 12	27533
Mid-Western Regional	Did not go to school	59
Mid-Western Regional	Year 8	1002
Mid-Western Regional	Year 9	1755
Mid-Western Regional	Year 10	6631
Mid-Western Regional	Year 11	1476
Mid-Western Regional	Year 12	7878
Moree Plains	Did not go to school	54
Moree Plains	Year 8	471
Moree Plains	Year 9	697
Moree Plains	Year 10	2492
Moree Plains	Year 11	669
Moree Plains	Year 12	3472
Mosman	Did not go to school	51
Mosman	Year 8	211
Mosman	Year 9	525
Mosman	Year 10	1819
Mosman	Year 11	996
Mosman	Year 12	19123
Murray River	Did not go to school	37
Murray River	Year 8	674
Murray River	Year 9	1025
Murray River	Year 10	2427
Murray River	Year 11	1756
Murray River	Year 12	3763
Murrumbidgee	Did not go to school	9
Murrumbidgee	Year 8	169
Murrumbidgee	Year 9	239
Murrumbidgee	Year 10	839
Murrumbidgee	Year 11	266
Murrumbidgee	Year 12	948
Muswellbrook	Did not go to school	38
Muswellbrook	Year 8	713
Muswellbrook	Year 9	1245
Muswellbrook	Year 10	4410
Muswellbrook	Year 11	1161
Muswellbrook	Year 12	4118
Nambucca Valley	Did not go to school	52
Nambucca Valley	Year 8	915
Nambucca Valley	Year 9	1780
Nambucca Valley	Year 10	5610
Nambucca Valley	Year 11	1243
Nambucca Valley	Year 12	6022
Narrabri	Did not go to school	43
Narrabri	Year 8	572
Narrabri	Year 9	972
Narrabri	Year 10	3046
Narrabri	Year 11	699
Narrabri	Year 12	3572
Narrandera	Did not go to school	10
Narrandera	Year 8	341
Narrandera	Year 9	487
Narrandera	Year 10	1401
Narrandera	Year 11	365
Narrandera	Year 12	1451
Narromine	Did not go to school	26
Narromine	Year 8	273
Narromine	Year 9	441
Narromine	Year 10	1480
Narromine	Year 11	336
Narromine	Year 12	1731
Newcastle	Did not go to school	725
Newcastle	Year 8	4513
Newcastle	Year 9	8936
Newcastle	Year 10	31320
Newcastle	Year 11	8437
Newcastle	Year 12	79176
North Sydney	Did not go to school	153
North Sydney	Year 8	438
North Sydney	Year 9	886
North Sydney	Year 10	3830
North Sydney	Year 11	1914
North Sydney	Year 12	50107
Northern Beaches	Did not go to school	925
Northern Beaches	Year 8	3920
Northern Beaches	Year 9	7752
Northern Beaches	Year 10	31897
Northern Beaches	Year 11	11260
Northern Beaches	Year 12	149994
Oberon	Did not go to school	24
Oberon	Year 8	223
Oberon	Year 9	348
Oberon	Year 10	1473
Oberon	Year 11	275
Oberon	Year 12	1632
Orange	Did not go to school	174
Orange	Year 8	1542
Orange	Year 9	2548
Orange	Year 10	9330
Orange	Year 11	2361
Orange	Year 12	15881
Parkes	Did not go to school	40
Parkes	Year 8	679
Parkes	Year 9	999
Parkes	Year 10	3746
Parkes	Year 11	846
Parkes	Year 12	4074
Parramatta	Did not go to school	2324
Parramatta	Year 8	4713
Parramatta	Year 9	6163
Parramatta	Year 10	21296
Parramatta	Year 11	7766
Parramatta	Year 12	155288
Penrith	Did not go to school	1287
Penrith	Year 8	6536
Penrith	Year 9	11480
Penrith	Year 10	45670
Penrith	Year 11	11778
Penrith	Year 12	82732
Port Macquarie-Hastings	Did not go to school	168
Port Macquarie-Hastings	Year 8	3170
Port Macquarie-Hastings	Year 9	6532
Port Macquarie-Hastings	Year 10	22175
Port Macquarie-Hastings	Year 11	5486
Port Macquarie-Hastings	Year 12	31032
Port Stephens	Did not go to school	190
Port Stephens	Year 8	2616
Port Stephens	Year 9	5825
Port Stephens	Year 10	20584
Port Stephens	Year 11	4965
Port Stephens	Year 12	24173
Queanbeyan-Palerang Regional	Did not go to school	207
Queanbeyan-Palerang Regional	Year 8	1565
Queanbeyan-Palerang Regional	Year 9	2257
Queanbeyan-Palerang Regional	Year 10	9450
Queanbeyan-Palerang Regional	Year 11	3087
Queanbeyan-Palerang Regional	Year 12	31513
Randwick	Did not go to school	753
Randwick	Year 8	2727
Randwick	Year 9	3222
Randwick	Year 10	11550
Randwick	Year 11	4443
Randwick	Year 12	82798
Richmond Valley	Did not go to school	56
Richmond Valley	Year 8	1229
Richmond Valley	Year 9	1927
Richmond Valley	Year 10	6635
Richmond Valley	Year 11	1454
Richmond Valley	Year 12	5847
Ryde	Did not go to school	1153
Ryde	Year 8	2737
Ryde	Year 9	2991
Ryde	Year 10	10683
Ryde	Year 11	3737
Ryde	Year 12	81724
Shellharbour	Did not go to school	395
Shellharbour	Year 8	3023
Shellharbour	Year 9	5179
Shellharbour	Year 10	20238
Shellharbour	Year 11	4883
Shellharbour	Year 12	24536
Shoalhaven	Did not go to school	304
Shoalhaven	Year 8	4329
Shoalhaven	Year 9	8443
Shoalhaven	Year 10	28440
Shoalhaven	Year 11	6297
Shoalhaven	Year 12	36031
Singleton	Did not go to school	59
Singleton	Year 8	781
Singleton	Year 9	1651
Singleton	Year 10	6626
Singleton	Year 11	1799
Singleton	Year 12	7258
Snowy Monaro Regional	Did not go to school	66
Snowy Monaro Regional	Year 8	680
Snowy Monaro Regional	Year 9	1091
Snowy Monaro Regional	Year 10	4483
Snowy Monaro Regional	Year 11	1239
Snowy Monaro Regional	Year 12	8868
Snowy Valleys	Did not go to school	47
Snowy Valleys	Year 8	659
Snowy Valleys	Year 9	1099
Snowy Valleys	Year 10	3805
Snowy Valleys	Year 11	1032
Snowy Valleys	Year 12	4243
Strathfield	Did not go to school	533
Strathfield	Year 8	962
Strathfield	Year 9	866
Strathfield	Year 10	2836
Strathfield	Year 11	1292
Strathfield	Year 12	29957
Sutherland Shire	Did not go to school	719
Sutherland Shire	Year 8	4182
Sutherland Shire	Year 9	9309
Sutherland Shire	Year 10	41814
Sutherland Shire	Year 11	10680
Sutherland Shire	Year 12	113588
Sydney	Did not go to school	1473
Sydney	Year 8	2503
Sydney	Year 9	2831
Sydney	Year 10	10742
Sydney	Year 11	6265
Sydney	Year 12	156613
Tamworth Regional	Did not go to school	215
Tamworth Regional	Year 8	2481
Tamworth Regional	Year 9	4540
Tamworth Regional	Year 10	15319
Tamworth Regional	Year 11	3776
Tamworth Regional	Year 12	19978
Temora	Did not go to school	18
Temora	Year 8	261
Temora	Year 9	540
Temora	Year 10	1768
Temora	Year 11	348
Temora	Year 12	1645
Tenterfield	Did not go to school	26
Tenterfield	Year 8	356
Tenterfield	Year 9	556
Tenterfield	Year 10	1838
Tenterfield	Year 11	426
Tenterfield	Year 12	1998
The Hills Shire	Did not go to school	774
The Hills Shire	Year 8	2924
The Hills Shire	Year 9	5606
The Hills Shire	Year 10	22054
The Hills Shire	Year 11	7092
The Hills Shire	Year 12	108229
Tweed	Did not go to school	224
Tweed	Year 8	3390
Tweed	Year 9	5898
Tweed	Year 10	22577
Tweed	Year 11	6291
Tweed	Year 12	36176
Upper Hunter Shire	Did not go to school	61
Upper Hunter Shire	Year 8	592
Upper Hunter Shire	Year 9	1045
Upper Hunter Shire	Year 10	3757
Upper Hunter Shire	Year 11	864
Upper Hunter Shire	Year 12	4314
Upper Lachlan Shire	Did not go to school	23
Upper Lachlan Shire	Year 8	346
Upper Lachlan Shire	Year 9	584
Upper Lachlan Shire	Year 10	2168
Upper Lachlan Shire	Year 11	470
Upper Lachlan Shire	Year 12	2888
Uralla	Did not go to school	16
Uralla	Year 8	255
Uralla	Year 9	391
Uralla	Year 10	1425
Uralla	Year 11	307
Uralla	Year 12	2159
Wagga Wagga	Did not go to school	419
Wagga Wagga	Year 8	2280
Wagga Wagga	Year 9	3764
Wagga Wagga	Year 10	14073
Wagga Wagga	Year 11	4144
Wagga Wagga	Year 12	25626
Walcha	Did not go to school	8
Walcha	Year 8	146
Walcha	Year 9	218
Walcha	Year 10	746
Walcha	Year 11	150
Walcha	Year 12	954
Walgett	Did not go to school	34
Walgett	Year 8	260
Walgett	Year 9	373
Walgett	Year 10	973
Walgett	Year 11	243
Walgett	Year 12	1261
Warren	Did not go to school	11
Warren	Year 8	103
Warren	Year 9	194
Warren	Year 10	551
Warren	Year 11	119
Warren	Year 12	808
Warrumbungle Shire	Did not go to school	23
Warrumbungle Shire	Year 8	501
Warrumbungle Shire	Year 9	695
Warrumbungle Shire	Year 10	2307
Warrumbungle Shire	Year 11	490
Warrumbungle Shire	Year 12	2470
Waverley	Did not go to school	162
Waverley	Year 8	719
Waverley	Year 9	1111
Waverley	Year 10	3853
Waverley	Year 11	2037
Waverley	Year 12	45927
Weddin	Did not go to school	11
Weddin	Year 8	165
Weddin	Year 9	339
Weddin	Year 10	1018
Weddin	Year 11	223
Weddin	Year 12	1029
Wentworth	Did not go to school	12
Wentworth	Year 8	384
Wentworth	Year 9	542
Wentworth	Year 10	1362
Wentworth	Year 11	884
Wentworth	Year 12	2011
Willoughby	Did not go to school	485
Willoughby	Year 8	1160
Willoughby	Year 9	1615
Willoughby	Year 10	4386
Willoughby	Year 11	2231
Willoughby	Year 12	48975
Wingecarribee	Did not go to school	128
Wingecarribee	Year 8	1156
Wingecarribee	Year 9	2725
Wingecarribee	Year 10	10952
Wingecarribee	Year 11	3004
Wingecarribee	Year 12	23240
Wollondilly	Did not go to school	128
Wollondilly	Year 8	1445
Wollondilly	Year 9	3300
Wollondilly	Year 10	14160
Wollondilly	Year 11	3197
Wollondilly	Year 12	17662
Wollongong	Did not go to school	1489
Wollongong	Year 8	7943
Wollongong	Year 9	11793
Wollongong	Year 10	43306
Wollongong	Year 11	11141
Wollongong	Year 12	91673
Woollahra	Did not go to school	92
Woollahra	Year 8	436
Woollahra	Year 9	888
Woollahra	Year 10	2779
Woollahra	Year 11	1584
Woollahra	Year 12	37085
Yass Valley	Did not go to school	40
Yass Valley	Year 8	423
Yass Valley	Year 9	737
Yass Valley	Year 10	2995
Yass Valley	Year 11	905
Yass Valley	Year 12	8010
Unincorporated NSW	Did not go to school	4
Unincorporated NSW	Year 8	20
Unincorporated NSW	Year 9	55
Unincorporated NSW	Year 10	214
Unincorporated NSW	Year 11	74
Unincorporated NSW	Year 12	382
No usual address (NSW)	Did not go to school	75
No usual address (NSW)	Year 8	332
No usual address (NSW)	Year 9	576
No usual address (NSW)	Year 10	1883
No usual address (NSW)	Year 11	526
No usual address (NSW)	Year 12	3320
Alpine	Did not go to school	46
Alpine	Year 8	518
Alpine	Year 9	723
Alpine	Year 10	1959
Alpine	Year 11	1742
Alpine	Year 12	5260
Ararat	Did not go to school	74
Ararat	Year 8	574
Ararat	Year 9	845
Ararat	Year 10	2270
Ararat	Year 11	1702
Ararat	Year 12	3686
Ballarat	Did not go to school	354
Ballarat	Year 8	4432
Ballarat	Year 9	6865
Ballarat	Year 10	15233
Ballarat	Year 11	13119
Ballarat	Year 12	46733
Banyule	Did not go to school	918
Banyule	Year 8	4312
Banyule	Year 9	4761
Banyule	Year 10	10320
Banyule	Year 11	10513
Banyule	Year 12	68956
Bass Coast	Did not go to school	164
Bass Coast	Year 8	1663
Bass Coast	Year 9	2831
Bass Coast	Year 10	6595
Bass Coast	Year 11	5474
Bass Coast	Year 12	14970
Baw Baw	Did not go to school	173
Baw Baw	Year 8	2411
Baw Baw	Year 9	3852
Baw Baw	Year 10	9199
Baw Baw	Year 11	7530
Baw Baw	Year 12	20399
Bayside (Vic.)	Did not go to school	304
Bayside (Vic.)	Year 8	1973
Bayside (Vic.)	Year 9	2666
Bayside (Vic.)	Year 10	6641
Bayside (Vic.)	Year 11	7765
Bayside (Vic.)	Year 12	60792
Benalla	Did not go to school	42
Benalla	Year 8	765
Benalla	Year 9	1062
Benalla	Year 10	2366
Benalla	Year 11	2160
Benalla	Year 12	4843
Boroondara	Did not go to school	811
Boroondara	Year 8	3310
Boroondara	Year 9	3896
Boroondara	Year 10	7813
Boroondara	Year 11	9383
Boroondara	Year 12	110572
Brimbank	Did not go to school	6107
Brimbank	Year 8	13897
Brimbank	Year 9	8415
Brimbank	Year 10	17277
Brimbank	Year 11	13882
Brimbank	Year 12	89607
Buloke	Did not go to school	10
Buloke	Year 8	388
Buloke	Year 9	470
Buloke	Year 10	986
Buloke	Year 11	947
Buloke	Year 12	1850
Campaspe	Did not go to school	124
Campaspe	Year 8	2179
Campaspe	Year 9	3301
Campaspe	Year 10	6874
Campaspe	Year 11	5615
Campaspe	Year 12	11208
Cardinia	Did not go to school	596
Cardinia	Year 8	3524
Cardinia	Year 9	6243
Cardinia	Year 10	15394
Cardinia	Year 11	12477
Cardinia	Year 12	47863
Casey	Did not go to school	6627
Casey	Year 8	12728
Casey	Year 9	15585
Casey	Year 10	37589
Casey	Year 11	29929
Casey	Year 12	164856
Central Goldfields	Did not go to school	52
Central Goldfields	Year 8	981
Central Goldfields	Year 9	1289
Central Goldfields	Year 10	2565
Central Goldfields	Year 11	1818
Central Goldfields	Year 12	3714
Colac Otway	Did not go to school	136
Colac Otway	Year 8	1162
Colac Otway	Year 9	1608
Colac Otway	Year 10	3453
Colac Otway	Year 11	3090
Colac Otway	Year 12	7802
Corangamite	Did not go to school	46
Corangamite	Year 8	923
Corangamite	Year 9	1246
Corangamite	Year 10	2514
Corangamite	Year 11	2479
Corangamite	Year 12	5049
Darebin	Did not go to school	2350
Darebin	Year 8	8061
Darebin	Year 9	4497
Darebin	Year 10	9209
Darebin	Year 11	9027
Darebin	Year 12	86323
East Gippsland	Did not go to school	127
East Gippsland	Year 8	2291
East Gippsland	Year 9	3793
East Gippsland	Year 10	8935
East Gippsland	Year 11	6567
East Gippsland	Year 12	15833
Frankston	Did not go to school	537
Frankston	Year 8	4490
Frankston	Year 9	7577
Frankston	Year 10	18867
Frankston	Year 11	15950
Frankston	Year 12	58930
Gannawarra	Did not go to school	32
Gannawarra	Year 8	723
Gannawarra	Year 9	1046
Gannawarra	Year 10	2073
Gannawarra	Year 11	1615
Gannawarra	Year 12	2628
Glen Eira	Did not go to school	763
Glen Eira	Year 8	3577
Glen Eira	Year 9	3603
Glen Eira	Year 10	8151
Glen Eira	Year 11	8855
Glen Eira	Year 12	92647
Glenelg	Did not go to school	61
Glenelg	Year 8	1112
Glenelg	Year 9	1643
Glenelg	Year 10	3646
Glenelg	Year 11	3244
Glenelg	Year 12	5923
Golden Plains	Did not go to school	51
Golden Plains	Year 8	742
Golden Plains	Year 9	1537
Golden Plains	Year 10	3776
Golden Plains	Year 11	3424
Golden Plains	Year 12	8744
Greater Bendigo	Did not go to school	697
Greater Bendigo	Year 8	5295
Greater Bendigo	Year 9	7763
Greater Bendigo	Year 10	18091
Greater Bendigo	Year 11	14419
Greater Bendigo	Year 12	45557
Greater Dandenong	Did not go to school	7162
Greater Dandenong	Year 8	10353
Greater Dandenong	Year 9	6526
Greater Dandenong	Year 10	13329
Greater Dandenong	Year 11	9386
Greater Dandenong	Year 12	75240
Greater Geelong	Did not go to school	1593
Greater Geelong	Year 8	10283
Greater Geelong	Year 9	14297
Greater Geelong	Year 10	33591
Greater Geelong	Year 11	31617
Greater Geelong	Year 12	118824
Greater Shepparton	Did not go to school	916
