LGA_NAME16	Age5yr	Indigenous	persons
Berrigan	60-64		69
Berrigan	60-64	0	675
Berrigan	60-64	1	9
Berrigan	65+		247
Berrigan	65+	0	2556
Berrigan	65+	1	24
Blacktown	0-4		1420
Blacktown	0-4	0	27026
Blacktown	0-4	1	1462
Blacktown	5-9		1602
Blacktown	5-9	0	28360
Blacktown	5-9	1	1422
Blacktown	10-14		1528
Blacktown	10-14	0	25938
Blacktown	10-14	1	1364
Blacktown	15-19		1187
Blacktown	15-19	0	21968
Blacktown	15-19	1	1214
Blacktown	20-24		1436
Blacktown	20-24	0	23942
Blacktown	20-24	1	1050
Blacktown	25-29		1689
Blacktown	25-29	0	25115
Blacktown	25-29	1	1011
Blacktown	30-34		1616
Blacktown	30-34	0	29070
Blacktown	30-34	1	765
Blacktown	35-39		1748
Blacktown	35-39	0	34077
Blacktown	35-39	1	602
Blacktown	40-44		1366
Blacktown	40-44	0	29069
Blacktown	40-44	1	522
Blacktown	45-49		1149
Blacktown	45-49	0	23707
Blacktown	45-49	1	543
Blacktown	50-54		926
Blacktown	50-54	0	20655
Blacktown	50-54	1	579
Blacktown	55-59		760
Blacktown	55-59	0	18989
Blacktown	55-59	1	407
Blacktown	60-64		732
Blacktown	60-64	0	16679
Blacktown	60-64	1	302
Blacktown	65+		2104
Blacktown	65+	0	41094
Blacktown	65+	1	563
Bland	0-4		34
Bland	0-4	0	277
Bland	0-4	1	44
Bland	5-9		37
Bland	5-9	0	275
Bland	5-9	1	32
Bland	10-14		38
Bland	10-14	0	295
Bland	10-14	1	63
Bland	15-19		16
Bland	15-19	0	240
Bland	15-19	1	34
Bland	20-24		18
Bland	20-24	0	216
Bland	20-24	1	18
Bland	25-29		29
Bland	25-29	0	254
Bland	25-29	1	34
Bland	30-34		17
Bland	30-34	0	235
Bland	30-34	1	20
Bland	35-39		32
Bland	35-39	0	252
Bland	35-39	1	20
Bland	40-44		37
Bland	40-44	0	271
Bland	40-44	1	18
Bland	45-49		25
Bland	45-49	0	279
Bland	45-49	1	17
Bland	50-54		24
Bland	50-54	0	289
Bland	50-54	1	15
Bland	55-59		28
Bland	55-59	0	325
Bland	55-59	1	19
Bland	60-64		33
Bland	60-64	0	373
Bland	60-64	1	19
Bland	65+		116
Bland	65+	0	1124
Bland	65+	1	25
Blayney	0-4		12
Blayney	0-4	0	382
Blayney	0-4	1	48
Blayney	5-9		33
Blayney	5-9	0	425
Blayney	5-9	1	61
Blayney	10-14		33
Blayney	10-14	0	465
Blayney	10-14	1	58
Blayney	15-19		32
Blayney	15-19	0	384
Blayney	15-19	1	43
Blayney	20-24		16
Blayney	20-24	0	258
Blayney	20-24	1	37
Blayney	25-29		10
Blayney	25-29	0	316
Blayney	25-29	1	27
Blayney	30-34		20
Blayney	30-34	0	395
Blayney	30-34	1	24
Blayney	35-39		24
Blayney	35-39	0	347
Blayney	35-39	1	27
Blayney	40-44		16
Blayney	40-44	0	354
Blayney	40-44	1	14
Blayney	45-49		28
Blayney	45-49	0	418
Blayney	45-49	1	16
Blayney	50-54		45
Blayney	50-54	0	477
Blayney	50-54	1	27
Blayney	55-59		33
Blayney	55-59	0	479
Blayney	55-59	1	22
Blayney	60-64		45
Blayney	60-64	0	518
Blayney	60-64	1	11
Blayney	65+		121
Blayney	65+	0	1385
Blayney	65+	1	14
Blue Mountains	0-4		121
Blue Mountains	0-4	0	3568
Blue Mountains	0-4	1	193
Blue Mountains	5-9		169
Blue Mountains	5-9	0	4298
Blue Mountains	5-9	1	244
Blue Mountains	10-14		137
Blue Mountains	10-14	0	4630
Blue Mountains	10-14	1	263
Blue Mountains	15-19		133
Blue Mountains	15-19	0	4297
Blue Mountains	15-19	1	239
Blue Mountains	20-24		91
Blue Mountains	20-24	0	3170
Blue Mountains	20-24	1	163
Blue Mountains	25-29		104
Blue Mountains	25-29	0	2907
Blue Mountains	25-29	1	90
Blue Mountains	30-34		132
Blue Mountains	30-34	0	3772
Blue Mountains	30-34	1	128
Blue Mountains	35-39		150
Blue Mountains	35-39	0	4408
Blue Mountains	35-39	1	119
Blue Mountains	40-44		147
Blue Mountains	40-44	0	4639
Blue Mountains	40-44	1	123
Blue Mountains	45-49		175
Blue Mountains	45-49	0	5188
Blue Mountains	45-49	1	123
Blue Mountains	50-54		144
Blue Mountains	50-54	0	5227
Blue Mountains	50-54	1	100
Blue Mountains	55-59		155
Blue Mountains	55-59	0	5155
Blue Mountains	55-59	1	94
Blue Mountains	60-64		144
Blue Mountains	60-64	0	5573
Blue Mountains	60-64	1	86
Blue Mountains	65+		657
Blue Mountains	65+	0	16738
Blue Mountains	65+	1	146
Bogan	0-4		5
Bogan	0-4	0	101
Bogan	0-4	1	53
Bogan	5-9		12
Bogan	5-9	0	101
Bogan	5-9	1	54
Bogan	10-14		7
Bogan	10-14	0	91
Bogan	10-14	1	56
Bogan	15-19		8
Bogan	15-19	0	106
Bogan	15-19	1	37
Bogan	20-24		16
Bogan	20-24	0	91
Bogan	20-24	1	31
Bogan	25-29		5
Bogan	25-29	0	117
Bogan	25-29	1	28
Bogan	30-34		8
Bogan	30-34	0	127
Bogan	30-34	1	29
Bogan	35-39		10
Bogan	35-39	0	87
Bogan	35-39	1	17
Bogan	40-44		7
Bogan	40-44	0	83
Bogan	40-44	1	14
Bogan	45-49		12
Bogan	45-49	0	128
Bogan	45-49	1	17
Bogan	50-54		15
Bogan	50-54	0	139
Bogan	50-54	1	24
Bogan	55-59		23
Bogan	55-59	0	148
Bogan	55-59	1	22
Bogan	60-64		11
Bogan	60-64	0	105
Bogan	60-64	1	18
Bogan	65+		38
Bogan	65+	0	429
Bogan	65+	1	30
Bourke	0-4		30
Bourke	0-4	0	84
Bourke	0-4	1	67
Bourke	5-9		25
Bourke	5-9	0	80
Bourke	5-9	1	62
Bourke	10-14		32
Bourke	10-14	0	65
Bourke	10-14	1	68
Bourke	15-19		20
Bourke	15-19	0	43
Bourke	15-19	1	63
Bourke	20-24		13
Bourke	20-24	0	65
Bourke	20-24	1	59
Bourke	25-29		22
Bourke	25-29	0	85
Bourke	25-29	1	41
Bourke	30-34		22
Bourke	30-34	0	109
Bourke	30-34	1	37
Bourke	35-39		22
Bourke	35-39	0	88
Bourke	35-39	1	39
Bourke	40-44		23
Bourke	40-44	0	70
Bourke	40-44	1	29
Bourke	45-49		13
Bourke	45-49	0	62
Bourke	45-49	1	49
Bourke	50-54		26
Bourke	50-54	0	97
Bourke	50-54	1	50
Bourke	55-59		19
Bourke	55-59	0	104
Bourke	55-59	1	39
Bourke	60-64		18
Bourke	60-64	0	89
Bourke	60-64	1	46
Bourke	65+		41
Bourke	65+	0	248
Bourke	65+	1	60
Brewarrina	0-4		11
Brewarrina	0-4	0	32
Brewarrina	0-4	1	49
Brewarrina	5-9		13
Brewarrina	5-9	0	21
Brewarrina	5-9	1	62
Brewarrina	10-14		12
Brewarrina	10-14	0	22
Brewarrina	10-14	1	59
Brewarrina	15-19		9
Brewarrina	15-19	0	11
Brewarrina	15-19	1	59
Brewarrina	20-24		24
Brewarrina	20-24	0	20
Brewarrina	20-24	1	39
Brewarrina	25-29		19
Brewarrina	25-29	0	28
Brewarrina	25-29	1	35
Brewarrina	30-34		18
Brewarrina	30-34	0	42
Brewarrina	30-34	1	62
Brewarrina	35-39		13
Brewarrina	35-39	0	31
Brewarrina	35-39	1	41
Brewarrina	40-44		4
Brewarrina	40-44	0	21
Brewarrina	40-44	1	26
Brewarrina	45-49		9
Brewarrina	45-49	0	21
Brewarrina	45-49	1	35
Brewarrina	50-54		20
Brewarrina	50-54	0	34
Brewarrina	50-54	1	53
Brewarrina	55-59		16
Brewarrina	55-59	0	47
Brewarrina	55-59	1	45
Brewarrina	60-64		15
Brewarrina	60-64	0	36
Brewarrina	60-64	1	45
Brewarrina	65+		31
Brewarrina	65+	0	87
Brewarrina	65+	1	84
Broken Hill	0-4		78
Broken Hill	0-4	0	706
Broken Hill	0-4	1	191
Broken Hill	5-9		87
Broken Hill	5-9	0	700
Broken Hill	5-9	1	206
Broken Hill	10-14		108
Broken Hill	10-14	0	733
Broken Hill	10-14	1	192
Broken Hill	15-19		92
Broken Hill	15-19	0	708
Broken Hill	15-19	1	172
Broken Hill	20-24		79
Broken Hill	20-24	0	652
Broken Hill	20-24	1	166
Broken Hill	25-29		84
Broken Hill	25-29	0	874
Broken Hill	25-29	1	140
Broken Hill	30-34		89
Broken Hill	30-34	0	890
Broken Hill	30-34	1	112
Broken Hill	35-39		75
Broken Hill	35-39	0	809
Broken Hill	35-39	1	109
Broken Hill	40-44		95
Broken Hill	40-44	0	727
Broken Hill	40-44	1	83
Broken Hill	45-49		68
Broken Hill	45-49	0	782
Broken Hill	45-49	1	95
Broken Hill	50-54		85
Broken Hill	50-54	0	895
Broken Hill	50-54	1	86
Broken Hill	55-59		74
Broken Hill	55-59	0	1086
Broken Hill	55-59	1	56
Broken Hill	60-64		72
Broken Hill	60-64	0	1214
Broken Hill	60-64	1	64
Broken Hill	65+		333
Broken Hill	65+	0	3660
Broken Hill	65+	1	90
Burwood	0-4		42
Burwood	0-4	0	1479
Burwood	0-4	1	12
Burwood	5-9		61
Burwood	5-9	0	1522
Burwood	5-9	1	13
Burwood	10-14		44
Burwood	10-14	0	1619
Burwood	10-14	1	15
Burwood	15-19		42
Burwood	15-19	0	1769
Burwood	15-19	1	15
Burwood	20-24		236
Burwood	20-24	0	4750
Burwood	20-24	1	18
Burwood	25-29		240
Burwood	25-29	0	4623
Burwood	25-29	1	24
Burwood	30-34		194
Burwood	30-34	0	3711
Burwood	30-34	1	9
Burwood	35-39		139
Burwood	35-39	0	2715
Burwood	35-39	1	9
Burwood	40-44		77
Burwood	40-44	0	2058
Burwood	40-44	1	8
Burwood	45-49		83
Burwood	45-49	0	2169
Burwood	45-49	1	7
Burwood	50-54		82
Burwood	50-54	0	2159
Burwood	50-54	1	9
Burwood	55-59		58
Burwood	55-59	0	2070
Burwood	55-59	1	3
Burwood	60-64		93
Burwood	60-64	0	1868
Burwood	60-64	1	5
Burwood	65+		517
Burwood	65+	0	5632
Burwood	65+	1	17
Byron	0-4		182
Byron	0-4	0	1499
Byron	0-4	1	54
Byron	5-9		210
Byron	5-9	0	1711
Byron	5-9	1	67
Byron	10-14		214
Byron	10-14	0	1810
Byron	10-14	1	73
Byron	15-19		148
Byron	15-19	0	1488
Byron	15-19	1	57
Byron	20-24		173
Byron	20-24	0	1253
Byron	20-24	1	56
Byron	25-29		215
Byron	25-29	0	1866
Byron	25-29	1	50
Byron	30-34		278
Byron	30-34	0	2427
Byron	30-34	1	43
Byron	35-39		273
Byron	35-39	0	2327
Byron	35-39	1	47
Byron	40-44		252
Byron	40-44	0	2204
Byron	40-44	1	40
Byron	45-49		269
Byron	45-49	0	2370
Byron	45-49	1	52
Byron	50-54		221
Byron	50-54	0	2246
Byron	50-54	1	40
Byron	55-59		220
Byron	55-59	0	2247
Byron	55-59	1	35
Byron	60-64		238
Byron	60-64	0	2428
Byron	60-64	1	33
Byron	65+		556
Byron	65+	0	6093
Byron	65+	1	53
Cabonne	0-4		51
Cabonne	0-4	0	633
Cabonne	0-4	1	73
Cabonne	5-9		59
Cabonne	5-9	0	840
Cabonne	5-9	1	65
Cabonne	10-14		86
Cabonne	10-14	0	899
Cabonne	10-14	1	93
Cabonne	15-19		58
Cabonne	15-19	0	734
Cabonne	15-19	1	86
Cabonne	20-24		53
Cabonne	20-24	0	507
Cabonne	20-24	1	65
Cabonne	25-29		26
Cabonne	25-29	0	450
Cabonne	25-29	1	35
Cabonne	30-34		45
Cabonne	30-34	0	543
Cabonne	30-34	1	40
Cabonne	35-39		58
Cabonne	35-39	0	668
Cabonne	35-39	1	36
Cabonne	40-44		56
Cabonne	40-44	0	692
Cabonne	40-44	1	29
Cabonne	45-49		73
Cabonne	45-49	0	817
Cabonne	45-49	1	29
Cabonne	50-54		59
Cabonne	50-54	0	821
Cabonne	50-54	1	32
Cabonne	55-59		68
Cabonne	55-59	0	887
Cabonne	55-59	1	42
Cabonne	60-64		62
Cabonne	60-64	0	905
Cabonne	60-64	1	22
Cabonne	65+		203
Cabonne	65+	0	2721
Cabonne	65+	1	44
Camden	0-4		292
Camden	0-4	0	10331
Camden	0-4	1	571
Camden	5-9		292
Camden	5-9	0	9242
Camden	5-9	1	488
Camden	10-14		259
Camden	10-14	0	8172
Camden	10-14	1	460
Camden	15-19		192
Camden	15-19	0	6942
Camden	15-19	1	362
Camden	20-24		221
Camden	20-24	0	6446
Camden	20-24	1	319
Camden	25-29		242
Camden	25-29	0	8106
Camden	25-29	1	345
Camden	30-34		310
Camden	30-34	0	10189
Camden	30-34	1	259
Camden	35-39		305
Camden	35-39	0	9881
Camden	35-39	1	220
Camden	40-44		241
Camden	40-44	0	7986
Camden	40-44	1	199
Camden	45-49		185
Camden	45-49	0	7499
Camden	45-49	1	165
Camden	50-54		151
Camden	50-54	0	6148
Camden	50-54	1	128
Camden	55-59		141
Camden	55-59	0	5285
Camden	55-59	1	111
Camden	60-64		125
Camden	60-64	0	4565
Camden	60-64	1	102
Camden	65+		355
Camden	65+	0	11343
Camden	65+	1	151
Campbelltown (NSW)	0-4		653
Campbelltown (NSW)	0-4	0	11569
Campbelltown (NSW)	0-4	1	882
Campbelltown (NSW)	5-9		777
Campbelltown (NSW)	5-9	0	11803
Campbelltown (NSW)	5-9	1	876
Campbelltown (NSW)	10-14		707
Campbelltown (NSW)	10-14	0	10690
Campbelltown (NSW)	10-14	1	908
Campbelltown (NSW)	15-19		598
Campbelltown (NSW)	15-19	0	9555
Campbelltown (NSW)	15-19	1	778
Campbelltown (NSW)	20-24		548
Campbelltown (NSW)	20-24	0	10088
Campbelltown (NSW)	20-24	1	650
Campbelltown (NSW)	25-29		630
Campbelltown (NSW)	25-29	0	10973
Campbelltown (NSW)	25-29	1	540
Campbelltown (NSW)	30-34		695
Campbelltown (NSW)	30-34	0	12343
Campbelltown (NSW)	30-34	1	420
Campbelltown (NSW)	35-39		746
Campbelltown (NSW)	35-39	0	13321
Campbelltown (NSW)	35-39	1	354
Campbelltown (NSW)	40-44		600
Campbelltown (NSW)	40-44	0	11196
Campbelltown (NSW)	40-44	1	384
Campbelltown (NSW)	45-49		562
Campbelltown (NSW)	45-49	0	9809
Campbelltown (NSW)	45-49	1	319
Campbelltown (NSW)	50-54		414
Campbelltown (NSW)	50-54	0	8883
Campbelltown (NSW)	50-54	1	292
Campbelltown (NSW)	55-59		432
Campbelltown (NSW)	55-59	0	9358
Campbelltown (NSW)	55-59	1	243
Campbelltown (NSW)	60-64		313
Campbelltown (NSW)	60-64	0	8945
Campbelltown (NSW)	60-64	1	211
Campbelltown (NSW)	65+		1069
Campbelltown (NSW)	65+	0	22033
Campbelltown (NSW)	65+	1	354
Canada Bay	0-4		133
Canada Bay	0-4	0	4686
Canada Bay	0-4	1	31
Canada Bay	5-9		156
Canada Bay	5-9	0	4440
Canada Bay	5-9	1	46
Canada Bay	10-14		131
Canada Bay	10-14	0	4443
Canada Bay	10-14	1	40
Canada Bay	15-19		106
Canada Bay	15-19	0	3945
Canada Bay	15-19	1	47
Canada Bay	20-24		256
Canada Bay	20-24	0	5068
Canada Bay	20-24	1	65
Canada Bay	25-29		315
Canada Bay	25-29	0	6521
Canada Bay	25-29	1	43
Canada Bay	30-34		339
Canada Bay	30-34	0	7628
Canada Bay	30-34	1	36
Canada Bay	35-39		237
Canada Bay	35-39	0	7115
Canada Bay	35-39	1	33
Canada Bay	40-44		212
Canada Bay	40-44	0	6045
Canada Bay	40-44	1	28
Canada Bay	45-49		169
Canada Bay	45-49	0	5866
Canada Bay	45-49	1	27
Canada Bay	50-54		162
Canada Bay	50-54	0	5484
Canada Bay	50-54	1	28
Canada Bay	55-59		149
Canada Bay	55-59	0	5297
Canada Bay	55-59	1	24
Canada Bay	60-64		132
Canada Bay	60-64	0	4633
Canada Bay	60-64	1	24
Canada Bay	65+		797
Canada Bay	65+	0	14204
Canada Bay	65+	1	32
Canterbury-Bankstown	0-4		1360
Canterbury-Bankstown	0-4	0	23035
Canterbury-Bankstown	0-4	1	261
Canterbury-Bankstown	5-9		1592
Canterbury-Bankstown	5-9	0	22964
Canterbury-Bankstown	5-9	1	247
Canterbury-Bankstown	10-14		1457
Canterbury-Bankstown	10-14	0	22268
Canterbury-Bankstown	10-14	1	284
Canterbury-Bankstown	15-19		1242
Canterbury-Bankstown	15-19	0	21175
Canterbury-Bankstown	15-19	1	244
Canterbury-Bankstown	20-24		1511
Canterbury-Bankstown	20-24	0	23359
Canterbury-Bankstown	20-24	1	252
Canterbury-Bankstown	25-29		1808
Canterbury-Bankstown	25-29	0	25599
Canterbury-Bankstown	25-29	1	249
Canterbury-Bankstown	30-34		1782
Canterbury-Bankstown	30-34	0	25854
Canterbury-Bankstown	30-34	1	152
Canterbury-Bankstown	35-39		1784
Canterbury-Bankstown	35-39	0	25074
Canterbury-Bankstown	35-39	1	162
Canterbury-Bankstown	40-44		1417
Canterbury-Bankstown	40-44	0	22495
Canterbury-Bankstown	40-44	1	131
Canterbury-Bankstown	45-49		1268
Canterbury-Bankstown	45-49	0	21791
Canterbury-Bankstown	45-49	1	158
Canterbury-Bankstown	50-54		1124
