LGA_NAME16	FamilyHousehold	IncomeHousehold.max	households
Bellingen	1	183750	201
Bellingen	1	210000	114
Bellingen	1	Inf	195
Berrigan	0		80
Berrigan	0	0	45
Berrigan	0	7875	10
Berrigan	0	15750	38
Berrigan	0	21000	72
Berrigan	0	26250	274
Berrigan	0	34125	163
Berrigan	0	42000	94
Berrigan	0	52500	101
Berrigan	0	65625	92
Berrigan	0	78750	50
Berrigan	0	91875	40
Berrigan	0	105000	24
Berrigan	0	131250	30
Berrigan	0	Inf	18
Berrigan	1		217
Berrigan	1	0	30
Berrigan	1	7875	9
Berrigan	1	15750	11
Berrigan	1	21000	13
Berrigan	1	26250	44
Berrigan	1	34125	57
Berrigan	1	42000	251
Berrigan	1	52500	173
Berrigan	1	65625	194
Berrigan	1	78750	227
Berrigan	1	91875	118
Berrigan	1	105000	139
Berrigan	1	131250	267
Berrigan	1	157500	174
Berrigan	1	183750	127
Berrigan	1	210000	62
Berrigan	1	Inf	129
Blacktown	0		1146
Blacktown	0	0	1045
Blacktown	0	7875	291
Blacktown	0	15750	772
Blacktown	0	21000	1727
Blacktown	0	26250	3552
Blacktown	0	34125	1723
Blacktown	0	42000	1256
Blacktown	0	52500	1795
Blacktown	0	65625	2119
Blacktown	0	78750	1612
Blacktown	0	91875	1327
Blacktown	0	105000	1047
Blacktown	0	131250	1689
Blacktown	0	157500	304
Blacktown	0	183750	397
Blacktown	0	210000	141
Blacktown	0	Inf	517
Blacktown	1		6147
Blacktown	1	0	1035
Blacktown	1	7875	261
Blacktown	1	15750	378
Blacktown	1	21000	519
Blacktown	1	26250	1386
Blacktown	1	34125	1640
Blacktown	1	42000	4210
Blacktown	1	52500	3855
Blacktown	1	65625	4918
Blacktown	1	78750	6340
Blacktown	1	91875	5345
Blacktown	1	105000	5538
Blacktown	1	131250	13833
Blacktown	1	157500	10910
Blacktown	1	183750	9655
Blacktown	1	210000	6703
Blacktown	1	Inf	16203
Bland	0		64
Bland	0	0	29
Bland	0	7875	13
Bland	0	15750	26
Bland	0	21000	50
Bland	0	26250	141
Bland	0	34125	63
Bland	0	42000	46
Bland	0	52500	55
Bland	0	65625	62
Bland	0	78750	41
Bland	0	91875	29
Bland	0	105000	25
Bland	0	131250	39
Bland	0	183750	9
Bland	0	Inf	9
Bland	1		181
Bland	1	0	18
Bland	1	7875	10
Bland	1	15750	6
Bland	1	21000	7
Bland	1	26250	32
Bland	1	34125	34
Bland	1	42000	119
Bland	1	52500	90
Bland	1	65625	98
Bland	1	78750	104
Bland	1	91875	71
Bland	1	105000	92
Bland	1	131250	189
Bland	1	157500	125
Bland	1	183750	97
Bland	1	210000	49
Bland	1	Inf	110
Blayney	0		33
Blayney	0	0	29
Blayney	0	7875	13
Blayney	0	15750	28
Blayney	0	21000	55
Blayney	0	26250	133
Blayney	0	34125	83
Blayney	0	42000	60
Blayney	0	52500	71
Blayney	0	65625	54
Blayney	0	78750	42
Blayney	0	91875	44
Blayney	0	105000	38
Blayney	0	131250	48
Blayney	0	183750	9
Blayney	0	Inf	4
Blayney	1		201
Blayney	1	0	20
Blayney	1	7875	6
Blayney	1	15750	13
Blayney	1	21000	11
Blayney	1	26250	30
Blayney	1	34125	36
Blayney	1	42000	132
Blayney	1	52500	114
Blayney	1	65625	125
Blayney	1	78750	184
Blayney	1	91875	107
Blayney	1	105000	104
Blayney	1	131250	253
Blayney	1	157500	218
Blayney	1	183750	146
Blayney	1	210000	106
Blayney	1	Inf	201
Blue Mountains	0		322
Blue Mountains	0	0	282
Blue Mountains	0	7875	124
Blue Mountains	0	15750	286
Blue Mountains	0	21000	513
Blue Mountains	0	26250	1559
Blue Mountains	0	34125	1064
Blue Mountains	0	42000	729
Blue Mountains	0	52500	783
Blue Mountains	0	65625	802
Blue Mountains	0	78750	559
Blue Mountains	0	91875	433
Blue Mountains	0	105000	377
Blue Mountains	0	131250	652
Blue Mountains	0	157500	53
Blue Mountains	0	183750	132
Blue Mountains	0	210000	15
Blue Mountains	0	Inf	193
Blue Mountains	1		1225
Blue Mountains	1	0	143
Blue Mountains	1	7875	78
Blue Mountains	1	15750	83
Blue Mountains	1	21000	82
Blue Mountains	1	26250	291
Blue Mountains	1	34125	319
Blue Mountains	1	42000	1006
Blue Mountains	1	52500	1033
Blue Mountains	1	65625	1417
Blue Mountains	1	78750	1668
Blue Mountains	1	91875	1191
Blue Mountains	1	105000	1258
Blue Mountains	1	131250	2725
Blue Mountains	1	157500	2177
Blue Mountains	1	183750	1938
Blue Mountains	1	210000	1293
Blue Mountains	1	Inf	3713
Bogan	0		30
Bogan	0	0	8
Bogan	0	7875	8
Bogan	0	15750	9
Bogan	0	21000	26
Bogan	0	26250	58
Bogan	0	34125	31
Bogan	0	42000	18
Bogan	0	52500	29
Bogan	0	65625	15
Bogan	0	78750	23
Bogan	0	91875	10
Bogan	0	105000	9
Bogan	0	131250	16
Bogan	0	183750	5
Bogan	0	Inf	10
Bogan	1		85
Bogan	1	0	6
Bogan	1	7875	3
Bogan	1	21000	4
Bogan	1	26250	13
Bogan	1	34125	19
Bogan	1	42000	39
Bogan	1	52500	37
Bogan	1	65625	40
Bogan	1	78750	40
Bogan	1	91875	35
Bogan	1	105000	34
Bogan	1	131250	77
Bogan	1	157500	56
Bogan	1	183750	31
Bogan	1	210000	28
Bogan	1	Inf	79
Bourke	0		22
Bourke	0	0	6
Bourke	0	7875	4
Bourke	0	15750	6
Bourke	0	21000	9
Bourke	0	26250	39
Bourke	0	34125	15
Bourke	0	42000	12
Bourke	0	52500	20
Bourke	0	65625	25
Bourke	0	78750	19
Bourke	0	91875	9
Bourke	0	105000	14
Bourke	0	131250	21
Bourke	0	157500	4
Bourke	0	183750	5
Bourke	0	Inf	19
Bourke	1		95
Bourke	1	0	10
Bourke	1	7875	3
Bourke	1	15750	3
Bourke	1	21000	4
Bourke	1	26250	8
Bourke	1	34125	9
Bourke	1	42000	37
Bourke	1	52500	26
Bourke	1	65625	23
Bourke	1	78750	33
Bourke	1	91875	23
Bourke	1	105000	32
Bourke	1	131250	61
Bourke	1	157500	37
Bourke	1	183750	45
Bourke	1	210000	15
Bourke	1	Inf	49
Brewarrina	0		13
Brewarrina	0	0	11
Brewarrina	0	15750	21
Brewarrina	0	21000	23
Brewarrina	0	26250	32
Brewarrina	0	34125	12
Brewarrina	0	42000	7
Brewarrina	0	52500	21
Brewarrina	0	65625	8
Brewarrina	0	78750	8
Brewarrina	0	91875	3
Brewarrina	0	105000	10
Brewarrina	0	131250	11
Brewarrina	0	183750	4
Brewarrina	0	Inf	5
Brewarrina	1		36
Brewarrina	1	0	10
Brewarrina	1	7875	6
Brewarrina	1	21000	3
Brewarrina	1	26250	14
Brewarrina	1	34125	9
Brewarrina	1	42000	27
Brewarrina	1	52500	18
Brewarrina	1	65625	29
Brewarrina	1	78750	17
Brewarrina	1	91875	11
Brewarrina	1	105000	8
Brewarrina	1	131250	28
Brewarrina	1	157500	16
Brewarrina	1	183750	10
Brewarrina	1	210000	9
Brewarrina	1	Inf	17
Broken Hill	0		165
Broken Hill	0	0	77
Broken Hill	0	7875	34
Broken Hill	0	15750	114
Broken Hill	0	21000	211
Broken Hill	0	26250	690
Broken Hill	0	34125	321
Broken Hill	0	42000	193
Broken Hill	0	52500	229
Broken Hill	0	65625	200
Broken Hill	0	78750	153
Broken Hill	0	91875	130
Broken Hill	0	105000	98
Broken Hill	0	131250	163
Broken Hill	0	157500	12
Broken Hill	0	183750	29
Broken Hill	0	Inf	44
Broken Hill	1		456
Broken Hill	1	0	55
Broken Hill	1	7875	15
Broken Hill	1	15750	21
Broken Hill	1	21000	35
Broken Hill	1	26250	113
Broken Hill	1	34125	118
Broken Hill	1	42000	389
Broken Hill	1	52500	335
Broken Hill	1	65625	362
Broken Hill	1	78750	374
Broken Hill	1	91875	218
Broken Hill	1	105000	247
Broken Hill	1	131250	492
Broken Hill	1	157500	386
Broken Hill	1	183750	295
Broken Hill	1	210000	193
Broken Hill	1	Inf	323
Burwood	0		255
Burwood	0	0	352
Burwood	0	7875	72
Burwood	0	15750	127
Burwood	0	21000	279
Burwood	0	26250	457
Burwood	0	34125	323
Burwood	0	42000	283
Burwood	0	52500	337
Burwood	0	65625	353
Burwood	0	78750	330
Burwood	0	91875	259
Burwood	0	105000	236
