LGA_NAME21	Age5yr	ChildrenEverBorn	females
Bathurst Regional	35-39	3	237
Bathurst Regional	35-39	4	91
Bathurst Regional	35-39	5	25
Bathurst Regional	35-39	6	5
Bathurst Regional	40-44		66
Bathurst Regional	40-44	0	157
Bathurst Regional	40-44	1	158
Bathurst Regional	40-44	2	434
Bathurst Regional	40-44	3	264
Bathurst Regional	40-44	4	102
Bathurst Regional	40-44	5	21
Bathurst Regional	40-44	6	25
Bathurst Regional	45-49		84
Bathurst Regional	45-49	0	159
Bathurst Regional	45-49	1	159
Bathurst Regional	45-49	2	479
Bathurst Regional	45-49	3	303
Bathurst Regional	45-49	4	113
Bathurst Regional	45-49	5	38
Bathurst Regional	45-49	6	29
Bathurst Regional	50-54		84
Bathurst Regional	50-54	0	166
Bathurst Regional	50-54	1	157
Bathurst Regional	50-54	2	485
Bathurst Regional	50-54	3	327
Bathurst Regional	50-54	4	113
Bathurst Regional	50-54	5	38
Bathurst Regional	50-54	6	29
Bathurst Regional	55-59		61
Bathurst Regional	55-59	0	180
Bathurst Regional	55-59	1	154
Bathurst Regional	55-59	2	445
Bathurst Regional	55-59	3	302
Bathurst Regional	55-59	4	127
Bathurst Regional	55-59	5	48
Bathurst Regional	55-59	6	28
Bathurst Regional	60-64		77
Bathurst Regional	60-64	0	158
Bathurst Regional	60-64	1	133
Bathurst Regional	60-64	2	448
Bathurst Regional	60-64	3	337
Bathurst Regional	60-64	4	149
Bathurst Regional	60-64	5	45
Bathurst Regional	60-64	6	23
Bathurst Regional	65-69		59
Bathurst Regional	65-69	0	103
Bathurst Regional	65-69	1	110
Bathurst Regional	65-69	2	440
Bathurst Regional	65-69	3	291
Bathurst Regional	65-69	4	130
Bathurst Regional	65-69	5	25
Bathurst Regional	65-69	6	26
Bathurst Regional	70-74		63
Bathurst Regional	70-74	0	99
Bathurst Regional	70-74	1	99
Bathurst Regional	70-74	2	393
Bathurst Regional	70-74	3	259
Bathurst Regional	70-74	4	123
Bathurst Regional	70-74	5	30
Bathurst Regional	70-74	6	16
Bathurst Regional	75-79		69
Bathurst Regional	75-79	0	63
Bathurst Regional	75-79	1	47
Bathurst Regional	75-79	2	233
Bathurst Regional	75-79	3	194
Bathurst Regional	75-79	4	96
Bathurst Regional	75-79	5	44
Bathurst Regional	75-79	6	14
Bathurst Regional	80-84		59
Bathurst Regional	80-84	0	57
Bathurst Regional	80-84	1	33
Bathurst Regional	80-84	2	134
Bathurst Regional	80-84	3	135
Bathurst Regional	80-84	4	85
Bathurst Regional	80-84	5	39
Bathurst Regional	80-84	6	25
Bathurst Regional	85+		74
Bathurst Regional	85+	0	70
Bathurst Regional	85+	1	35
Bathurst Regional	85+	2	154
Bathurst Regional	85+	3	151
Bathurst Regional	85+	4	97
Bathurst Regional	85+	5	44
Bathurst Regional	85+	6	54
Bayside (NSW)	15-19		315
Bayside (NSW)	15-19	0	3366
Bayside (NSW)	15-19	1	7
Bayside (NSW)	15-19	4	3
Bayside (NSW)	20-24		624
Bayside (NSW)	20-24	0	5722
Bayside (NSW)	20-24	1	154
Bayside (NSW)	20-24	2	32
Bayside (NSW)	20-24	3	6
Bayside (NSW)	25-29		792
Bayside (NSW)	25-29	0	7010
Bayside (NSW)	25-29	1	834
Bayside (NSW)	25-29	2	339
Bayside (NSW)	25-29	3	68
Bayside (NSW)	25-29	4	9
Bayside (NSW)	30-34		669
Bayside (NSW)	30-34	0	5054
Bayside (NSW)	30-34	1	1894
Bayside (NSW)	30-34	2	1088
Bayside (NSW)	30-34	3	255
Bayside (NSW)	30-34	4	72
Bayside (NSW)	30-34	5	18
Bayside (NSW)	30-34	6	8
Bayside (NSW)	35-39		441
Bayside (NSW)	35-39	0	2478
Bayside (NSW)	35-39	1	1741
Bayside (NSW)	35-39	2	1934
Bayside (NSW)	35-39	3	590
Bayside (NSW)	35-39	4	150
Bayside (NSW)	35-39	5	30
Bayside (NSW)	35-39	6	9
Bayside (NSW)	40-44		317
Bayside (NSW)	40-44	0	1458
Bayside (NSW)	40-44	1	1058
Bayside (NSW)	40-44	2	1891
Bayside (NSW)	40-44	3	703
Bayside (NSW)	40-44	4	167
Bayside (NSW)	40-44	5	62
Bayside (NSW)	40-44	6	21
Bayside (NSW)	45-49		286
Bayside (NSW)	45-49	0	1175
Bayside (NSW)	45-49	1	973
Bayside (NSW)	45-49	2	1912
Bayside (NSW)	45-49	3	772
Bayside (NSW)	45-49	4	252
Bayside (NSW)	45-49	5	76
Bayside (NSW)	45-49	6	23
Bayside (NSW)	50-54		244
Bayside (NSW)	50-54	0	994
Bayside (NSW)	50-54	1	900
Bayside (NSW)	50-54	2	1886
Bayside (NSW)	50-54	3	730
Bayside (NSW)	50-54	4	240
Bayside (NSW)	50-54	5	87
Bayside (NSW)	50-54	6	42
Bayside (NSW)	55-59		279
Bayside (NSW)	55-59	0	836
Bayside (NSW)	55-59	1	837
