LGA_NAME21	Age	HoursHousekeeping	Sex	adults
Albury	55-64	5-14	F	1284
Albury	55-64	5-14	M	1051
Albury	55-64	15-29	F	652
Albury	55-64	15-29	M	281
Albury	55-64	30+	F	396
Albury	55-64	30+	M	113
Albury	65-74		F	179
Albury	65-74		M	161
Albury	65-74	0	F	789
Albury	65-74	0	M	862
Albury	65-74	<5	F	239
Albury	65-74	<5	M	571
Albury	65-74	5-14	F	796
Albury	65-74	5-14	M	815
Albury	65-74	15-29	F	694
Albury	65-74	15-29	M	321
Albury	65-74	30+	F	477
Albury	65-74	30+	M	131
Albury	75-84		F	186
Albury	75-84		M	111
Albury	75-84	0	F	706
Albury	75-84	0	M	560
Albury	75-84	<5	F	156
Albury	75-84	<5	M	255
Albury	75-84	5-14	F	369
Albury	75-84	5-14	M	342
Albury	75-84	15-29	F	291
Albury	75-84	15-29	M	185
Albury	75-84	30+	F	286
Albury	75-84	30+	M	102
Albury	85+		F	99
Albury	85+		M	58
Albury	85+	0	F	469
Albury	85+	0	M	223
Albury	85+	<5	F	88
Albury	85+	<5	M	78
Albury	85+	5-14	F	121
Albury	85+	5-14	M	80
Albury	85+	15-29	F	64
Albury	85+	15-29	M	37
Albury	85+	30+	F	44
Albury	85+	30+	M	29
Armidale Regional	15-19		F	230
Armidale Regional	15-19		M	167
Armidale Regional	15-19	0	F	367
Armidale Regional	15-19	0	M	382
Armidale Regional	15-19	<5	F	475
Armidale Regional	15-19	<5	M	401
Armidale Regional	15-19	5-14	F	163
Armidale Regional	15-19	5-14	M	92
Armidale Regional	15-19	15-29	F	21
Armidale Regional	15-19	15-29	M	16
Armidale Regional	15-19	30+	F	9
Armidale Regional	15-19	30+	M	6
Armidale Regional	20-24		F	201
Armidale Regional	20-24		M	191
Armidale Regional	20-24	0	F	253
Armidale Regional	20-24	0	M	340
Armidale Regional	20-24	<5	F	285
Armidale Regional	20-24	<5	M	342
Armidale Regional	20-24	5-14	F	319
Armidale Regional	20-24	5-14	M	213
Armidale Regional	20-24	15-29	F	83
Armidale Regional	20-24	15-29	M	38
Armidale Regional	20-24	30+	F	46
Armidale Regional	20-24	30+	M	16
Armidale Regional	25-34		F	200
Armidale Regional	25-34		M	205
Armidale Regional	25-34	0	F	353
Armidale Regional	25-34	0	M	474
Armidale Regional	25-34	<5	F	255
Armidale Regional	25-34	<5	M	452
Armidale Regional	25-34	5-14	F	562
Armidale Regional	25-34	5-14	M	508
Armidale Regional	25-34	15-29	F	306
Armidale Regional	25-34	15-29	M	123
Armidale Regional	25-34	30+	F	252
Armidale Regional	25-34	30+	M	62
Armidale Regional	35-44		F	142
Armidale Regional	35-44		M	131
Armidale Regional	35-44	0	F	193
Armidale Regional	35-44	0	M	317
Armidale Regional	35-44	<5	F	138
Armidale Regional	35-44	<5	M	337
Armidale Regional	35-44	5-14	F	518
Armidale Regional	35-44	5-14	M	532
Armidale Regional	35-44	15-29	F	367
Armidale Regional	35-44	15-29	M	165
Armidale Regional	35-44	30+	F	267
Armidale Regional	35-44	30+	M	82
Armidale Regional	45-54		F	125
Armidale Regional	45-54		M	120
Armidale Regional	45-54	0	F	195
Armidale Regional	45-54	0	M	290
Armidale Regional	45-54	<5	F	178
Armidale Regional	45-54	<5	M	363
Armidale Regional	45-54	5-14	F	658
Armidale Regional	45-54	5-14	M	530
Armidale Regional	45-54	15-29	F	336
Armidale Regional	45-54	15-29	M	133
Armidale Regional	45-54	30+	F	203
Armidale Regional	45-54	30+	M	69
Armidale Regional	55-64		F	114
Armidale Regional	55-64		M	135
Armidale Regional	55-64	0	F	278
Armidale Regional	55-64	0	M	379
Armidale Regional	55-64	<5	F	223
Armidale Regional	55-64	<5	M	401
Armidale Regional	55-64	5-14	F	643
Armidale Regional	55-64	5-14	M	576
Armidale Regional	55-64	15-29	F	375
Armidale Regional	55-64	15-29	M	197
Armidale Regional	55-64	30+	F	189
Armidale Regional	55-64	30+	M	60
Armidale Regional	65-74		F	112
Armidale Regional	65-74		M	95
Armidale Regional	65-74	0	F	273
Armidale Regional	65-74	0	M	308
Armidale Regional	65-74	<5	F	112
Armidale Regional	65-74	<5	M	267
Armidale Regional	65-74	5-14	F	419
Armidale Regional	65-74	5-14	M	440
Armidale Regional	65-74	15-29	F	336
Armidale Regional	65-74	15-29	M	181
Armidale Regional	65-74	30+	F	234
Armidale Regional	65-74	30+	M	102
Armidale Regional	75-84		F	132
Armidale Regional	75-84		M	105
Armidale Regional	75-84	0	F	289
Armidale Regional	75-84	0	M	233
Armidale Regional	75-84	<5	F	76
Armidale Regional	75-84	<5	M	148
Armidale Regional	75-84	5-14	F	226
Armidale Regional	75-84	5-14	M	223
Armidale Regional	75-84	15-29	F	174
Armidale Regional	75-84	15-29	M	89
Armidale Regional	75-84	30+	F	162
Armidale Regional	75-84	30+	M	61
Armidale Regional	85+		F	95
Armidale Regional	85+		M	45
Armidale Regional	85+	0	F	164
Armidale Regional	85+	0	M	96
Armidale Regional	85+	<5	F	52
Armidale Regional	85+	<5	M	27
Armidale Regional	85+	5-14	F	81
Armidale Regional	85+	5-14	M	51
Armidale Regional	85+	15-29	F	32
Armidale Regional	85+	15-29	M	31
Armidale Regional	85+	30+	F	27
Armidale Regional	85+	30+	M	18
Ballina	15-19		F	68
Ballina	15-19		M	106
Ballina	15-19	0	F	375
Ballina	15-19	0	M	508
Ballina	15-19	<5	F	577
Ballina	15-19	<5	M	575
Ballina	15-19	5-14	F	116
Ballina	15-19	5-14	M	80
Ballina	15-19	15-29	F	8
Ballina	15-19	15-29	M	3
Ballina	15-19	30+	M	5
Ballina	20-24		F	62
Ballina	20-24		M	63
Ballina	20-24	0	F	216
Ballina	20-24	0	M	343
Ballina	20-24	<5	F	319
Ballina	20-24	<5	M	382
Ballina	20-24	5-14	F	228
Ballina	20-24	5-14	M	149
Ballina	20-24	15-29	F	48
Ballina	20-24	15-29	M	34
Ballina	20-24	30+	F	34
Ballina	20-24	30+	M	7
Ballina	25-34		F	152
Ballina	25-34		M	161
Ballina	25-34	0	F	307
Ballina	25-34	0	M	456
Ballina	25-34	<5	F	459
Ballina	25-34	<5	M	620
Ballina	25-34	5-14	F	696
Ballina	25-34	5-14	M	584
Ballina	25-34	15-29	F	343
Ballina	25-34	15-29	M	131
Ballina	25-34	30+	F	316
Ballina	25-34	30+	M	38
Ballina	35-44		F	155
Ballina	35-44		M	160
Ballina	35-44	0	F	230
Ballina	35-44	0	M	401
Ballina	35-44	<5	F	294
Ballina	35-44	<5	M	606
Ballina	35-44	5-14	F	940
Ballina	35-44	5-14	M	968
Ballina	35-44	15-29	F	564
Ballina	35-44	15-29	M	281
Ballina	35-44	30+	F	535
Ballina	35-44	30+	M	100
Ballina	45-54		F	151
Ballina	45-54		M	146
Ballina	45-54	0	F	322
Ballina	45-54	0	M	488
Ballina	45-54	<5	F	415
Ballina	45-54	<5	M	699
Ballina	45-54	5-14	F	1193
Ballina	45-54	5-14	M	1042
Ballina	45-54	15-29	F	659
Ballina	45-54	15-29	M	277
Ballina	45-54	30+	F	389
Ballina	45-54	30+	M	120
Ballina	55-64		F	164
Ballina	55-64		M	168
Ballina	55-64	0	F	447
Ballina	55-64	0	M	611
Ballina	55-64	<5	F	449
Ballina	55-64	<5	M	749
Ballina	55-64	5-14	F	1248
Ballina	55-64	5-14	M	1053
Ballina	55-64	15-29	F	726
Ballina	55-64	15-29	M	343
Ballina	55-64	30+	F	387
Ballina	55-64	30+	M	161
Ballina	65-74		F	186
Ballina	65-74		M	174
Ballina	65-74	0	F	720
Ballina	65-74	0	M	725
Ballina	65-74	<5	F	296
Ballina	65-74	<5	M	554
Ballina	65-74	5-14	F	890
Ballina	65-74	5-14	M	1017
Ballina	65-74	15-29	F	827
Ballina	65-74	15-29	M	486
Ballina	65-74	30+	F	618
Ballina	65-74	30+	M	237
Ballina	75-84		F	162
Ballina	75-84		M	122
Ballina	75-84	0	F	683
Ballina	75-84	0	M	553
Ballina	75-84	<5	F	187
Ballina	75-84	<5	M	272
Ballina	75-84	5-14	F	388
Ballina	75-84	5-14	M	467
Ballina	75-84	15-29	F	380
Ballina	75-84	15-29	M	238
Ballina	75-84	30+	F	339
Ballina	75-84	30+	M	169
Ballina	85+		F	199
Ballina	85+		M	88
Ballina	85+	0	F	557
Ballina	85+	0	M	308
Ballina	85+	<5	F	110
Ballina	85+	<5	M	75
Ballina	85+	5-14	F	136
Ballina	85+	5-14	M	115
Ballina	85+	15-29	F	72
Ballina	85+	15-29	M	72
Ballina	85+	30+	F	77
Ballina	85+	30+	M	35
Balranald	15-19		F	10
Balranald	15-19		M	8
Balranald	15-19	0	F	15
Balranald	15-19	0	M	28
Balranald	15-19	<5	F	21
Balranald	15-19	<5	M	22
Balranald	15-19	5-14	F	7
Balranald	15-19	5-14	M	5
Balranald	20-24		F	6
Balranald	20-24		M	11
Balranald	20-24	0	F	9
Balranald	20-24	0	M	23
Balranald	20-24	<5	F	11
Balranald	20-24	<5	M	23
Balranald	20-24	5-14	F	5
Balranald	20-24	5-14	M	10
Balranald	20-24	30+	F	5
Balranald	20-24	30+	M	6
Balranald	25-34		F	19
Balranald	25-34		M	16
Balranald	25-34	0	F	32
Balranald	25-34	0	M	37
Balranald	25-34	<5	F	10
Balranald	25-34	<5	M	31
Balranald	25-34	5-14	F	33
Balranald	25-34	5-14	M	27
Balranald	25-34	15-29	F	21
Balranald	25-34	15-29	M	10
Balranald	25-34	30+	F	31
Balranald	25-34	30+	M	4
Balranald	35-44		F	21
Balranald	35-44		M	17
Balranald	35-44	0	F	13
Balranald	35-44	0	M	31
Balranald	35-44	<5	F	4
Balranald	35-44	<5	M	23
Balranald	35-44	5-14	F	24
Balranald	35-44	5-14	M	35
Balranald	35-44	15-29	F	26
Balranald	35-44	30+	F	15
Balranald	45-54		F	25
Balranald	45-54		M	29
Balranald	45-54	0	F	26
Balranald	45-54	0	M	35
Balranald	45-54	<5	F	11
Balranald	45-54	<5	M	31
Balranald	45-54	5-14	F	38
Balranald	45-54	5-14	M	37
Balranald	45-54	15-29	F	22
Balranald	45-54	15-29	M	9
Balranald	45-54	30+	F	25
Balranald	55-64		F	25
Balranald	55-64		M	15
Balranald	55-64	0	F	26
Balranald	55-64	0	M	50
Balranald	55-64	<5	F	14
Balranald	55-64	<5	M	40
Balranald	55-64	5-14	F	43
Balranald	55-64	5-14	M	46
Balranald	55-64	15-29	F	36
Balranald	55-64	15-29	M	9
Balranald	55-64	30+	F	21
Balranald	55-64	30+	M	3
Balranald	65-74		F	29
Balranald	65-74		M	25
Balranald	65-74	0	F	31
Balranald	65-74	0	M	56
Balranald	65-74	<5	F	3
Balranald	65-74	<5	M	25
Balranald	65-74	5-14	F	18
Balranald	65-74	5-14	M	28
Balranald	65-74	15-29	F	24
Balranald	65-74	15-29	M	8
Balranald	65-74	30+	F	27
Balranald	65-74	30+	M	7
Balranald	75-84		F	12
Balranald	75-84		M	12
Balranald	75-84	0	F	20
Balranald	75-84	0	M	15
Balranald	75-84	<5	F	4
Balranald	75-84	<5	M	8
Balranald	75-84	5-14	F	6
Balranald	75-84	5-14	M	7
Balranald	75-84	15-29	F	11
Balranald	75-84	15-29	M	5
Balranald	75-84	30+	F	9
Balranald	75-84	30+	M	4
Balranald	85+		F	8
Balranald	85+		M	6
Balranald	85+	0	F	12
Balranald	85+	0	M	3
Balranald	85+	5-14	F	4
Balranald	85+	30+	M	5
Bathurst Regional	15-19		F	69
Bathurst Regional	15-19		M	100
Bathurst Regional	15-19	0	F	487
Bathurst Regional	15-19	0	M	618
Bathurst Regional	15-19	<5	F	648
Bathurst Regional	15-19	<5	M	646
Bathurst Regional	15-19	5-14	F	159
Bathurst Regional	15-19	5-14	M	118
Bathurst Regional	15-19	15-29	F	19
Bathurst Regional	15-19	15-29	M	19
Bathurst Regional	15-19	30+	F	7
Bathurst Regional	15-19	30+	M	9
Bathurst Regional	20-24		F	81
Bathurst Regional	20-24		M	210
Bathurst Regional	20-24	0	F	382
Bathurst Regional	20-24	0	M	540
Bathurst Regional	20-24	<5	F	359
Bathurst Regional	20-24	<5	M	476
Bathurst Regional	20-24	5-14	F	405
Bathurst Regional	20-24	5-14	M	230
Bathurst Regional	20-24	15-29	F	87
Bathurst Regional	20-24	15-29	M	35
Bathurst Regional	20-24	30+	F	49
Bathurst Regional	20-24	30+	M	22
Bathurst Regional	25-34		F	148
Bathurst Regional	25-34		M	478
Bathurst Regional	25-34	0	F	454
Bathurst Regional	25-34	0	M	654
Bathurst Regional	25-34	<5	F	393
Bathurst Regional	25-34	<5	M	756
Bathurst Regional	25-34	5-14	F	903
Bathurst Regional	25-34	5-14	M	797
Bathurst Regional	25-34	15-29	F	431
Bathurst Regional	25-34	15-29	M	173
Bathurst Regional	25-34	30+	F	427
Bathurst Regional	25-34	30+	M	78
Bathurst Regional	35-44		F	120
Bathurst Regional	35-44		M	415
Bathurst Regional	35-44	0	F	265
Bathurst Regional	35-44	0	M	466
Bathurst Regional	35-44	<5	F	238
Bathurst Regional	35-44	<5	M	582
Bathurst Regional	35-44	5-14	F	820
Bathurst Regional	35-44	5-14	M	832
Bathurst Regional	35-44	15-29	F	576
Bathurst Regional	35-44	15-29	M	240
Bathurst Regional	35-44	30+	F	479
Bathurst Regional	35-44	30+	M	100
Bathurst Regional	45-54		F	161
Bathurst Regional	45-54		M	276
Bathurst Regional	45-54	0	F	305
Bathurst Regional	45-54	0	M	495
Bathurst Regional	45-54	<5	F	286
Bathurst Regional	45-54	<5	M	619
Bathurst Regional	45-54	5-14	F	1056
Bathurst Regional	45-54	5-14	M	899
Bathurst Regional	45-54	15-29	F	607
Bathurst Regional	45-54	15-29	M	228
Bathurst Regional	45-54	30+	F	343
Bathurst Regional	45-54	30+	M	119
Bathurst Regional	55-64		F	128
Bathurst Regional	55-64		M	192
Bathurst Regional	55-64	0	F	419
Bathurst Regional	55-64	0	M	572
Bathurst Regional	55-64	<5	F	297
Bathurst Regional	55-64	<5	M	621
Bathurst Regional	55-64	5-14	F	911
Bathurst Regional	55-64	5-14	M	825
Bathurst Regional	55-64	15-29	F	595
Bathurst Regional	55-64	15-29	M	261
Bathurst Regional	55-64	30+	F	366
Bathurst Regional	55-64	30+	M	141
Bathurst Regional	65-74		F	111
Bathurst Regional	65-74		M	135
Bathurst Regional	65-74	0	F	517
Bathurst Regional	65-74	0	M	577
Bathurst Regional	65-74	<5	F	158
Bathurst Regional	65-74	<5	M	390
Bathurst Regional	65-74	5-14	F	547
Bathurst Regional	65-74	5-14	M	662
Bathurst Regional	65-74	15-29	F	513
Bathurst Regional	65-74	15-29	M	307
Bathurst Regional	65-74	30+	F	410
Bathurst Regional	65-74	30+	M	164
Bathurst Regional	75-84		F	96
Bathurst Regional	75-84		M	92
Bathurst Regional	75-84	0	F	462
Bathurst Regional	75-84	0	M	445
Bathurst Regional	75-84	<5	F	111
Bathurst Regional	75-84	<5	M	178
Bathurst Regional	75-84	5-14	F	233
Bathurst Regional	75-84	5-14	M	267
Bathurst Regional	75-84	15-29	F	201
Bathurst Regional	75-84	15-29	M	152
Bathurst Regional	75-84	30+	F	201
Bathurst Regional	75-84	30+	M	80
Bathurst Regional	85+		F	57
Bathurst Regional	85+		M	29
Bathurst Regional	85+	0	F	387
Bathurst Regional	85+	0	M	200
Bathurst Regional	85+	<5	F	71
Bathurst Regional	85+	<5	M	39
Bathurst Regional	85+	5-14	F	86
Bathurst Regional	85+	5-14	M	60
Bathurst Regional	85+	15-29	F	47
Bathurst Regional	85+	15-29	M	16
Bathurst Regional	85+	30+	F	32
Bathurst Regional	85+	30+	M	17
Bayside (NSW)	15-19		F	206
Bayside (NSW)	15-19		M	265
Bayside (NSW)	15-19	0	F	1501
Bayside (NSW)	15-19	0	M	2006
Bayside (NSW)	15-19	<5	F	1447
Bayside (NSW)	15-19	<5	M	1459
Bayside (NSW)	15-19	5-14	F	464
Bayside (NSW)	15-19	5-14	M	316
Bayside (NSW)	15-19	15-29	F	51
Bayside (NSW)	15-19	15-29	M	30
Bayside (NSW)	15-19	30+	F	19
Bayside (NSW)	15-19	30+	M	6
Bayside (NSW)	20-24		F	485
Bayside (NSW)	20-24		M	530
Bayside (NSW)	20-24	0	F	2660
Bayside (NSW)	20-24	0	M	3734
Bayside (NSW)	20-24	<5	F	1647
Bayside (NSW)	20-24	<5	M	1723
Bayside (NSW)	20-24	5-14	F	1312
Bayside (NSW)	20-24	5-14	M	946
Bayside (NSW)	20-24	15-29	F	287
Bayside (NSW)	20-24	15-29	M	148
Bayside (NSW)	20-24	30+	F	141
Bayside (NSW)	20-24	30+	M	93
Bayside (NSW)	25-34		F	1321
Bayside (NSW)	25-34		M	1470
Bayside (NSW)	25-34	0	F	5969
Bayside (NSW)	25-34	0	M	7603
Bayside (NSW)	25-34	<5	F	2985
Bayside (NSW)	25-34	<5	M	4183
Bayside (NSW)	25-34	5-14	F	4722
Bayside (NSW)	25-34	5-14	M	3973
Bayside (NSW)	25-34	15-29	F	1646
Bayside (NSW)	25-34	15-29	M	813
Bayside (NSW)	25-34	30+	F	1477
Bayside (NSW)	25-34	30+	M	373
Bayside (NSW)	35-44		F	777
Bayside (NSW)	35-44		M	903
Bayside (NSW)	35-44	0	F	2877
Bayside (NSW)	35-44	0	M	4101
Bayside (NSW)	35-44	<5	F	1442
Bayside (NSW)	35-44	<5	M	2994
Bayside (NSW)	35-44	5-14	F	3602
Bayside (NSW)	35-44	5-14	M	3875
Bayside (NSW)	35-44	15-29	F	2191
Bayside (NSW)	35-44	15-29	M	1130
Bayside (NSW)	35-44	30+	F	2154
Bayside (NSW)	35-44	30+	M	501
Bayside (NSW)	45-54		F	551
Bayside (NSW)	45-54		M	579
Bayside (NSW)	45-54	0	F	2183
Bayside (NSW)	45-54	0	M	2916
Bayside (NSW)	45-54	<5	F	981
Bayside (NSW)	45-54	<5	M	2288
Bayside (NSW)	45-54	5-14	F	3194
Bayside (NSW)	45-54	5-14	M	2966
Bayside (NSW)	45-54	15-29	F	2056
Bayside (NSW)	45-54	15-29	M	898
Bayside (NSW)	45-54	30+	F	1630
Bayside (NSW)	45-54	30+	M	386
Bayside (NSW)	55-64		F	443
Bayside (NSW)	55-64		M	519
Bayside (NSW)	55-64	0	F	2367
Bayside (NSW)	55-64	0	M	2757
Bayside (NSW)	55-64	<5	F	953
Bayside (NSW)	55-64	<5	M	1792
Bayside (NSW)	55-64	5-14	F	2376
Bayside (NSW)	55-64	5-14	M	2319
Bayside (NSW)	55-64	15-29	F	1578
Bayside (NSW)	55-64	15-29	M	804
Bayside (NSW)	55-64	30+	F	1230
Bayside (NSW)	55-64	30+	M	359
Bayside (NSW)	65-74		F	380
Bayside (NSW)	65-74		M	422
Bayside (NSW)	65-74	0	F	2252
Bayside (NSW)	65-74	0	M	2370
Bayside (NSW)	65-74	<5	F	626
Bayside (NSW)	65-74	<5	M	1121
Bayside (NSW)	65-74	5-14	F	1586
Bayside (NSW)	65-74	5-14	M	1606
Bayside (NSW)	65-74	15-29	F	1215
Bayside (NSW)	65-74	15-29	M	625
Bayside (NSW)	65-74	30+	F	975
Bayside (NSW)	65-74	30+	M	296
Bayside (NSW)	75-84		F	425
Bayside (NSW)	75-84		M	373
Bayside (NSW)	75-84	0	F	1730
Bayside (NSW)	75-84	0	M	1632
Bayside (NSW)	75-84	<5	F	482
Bayside (NSW)	75-84	<5	M	672
Bayside (NSW)	75-84	5-14	F	954
Bayside (NSW)	75-84	5-14	M	772
Bayside (NSW)	75-84	15-29	F	649
Bayside (NSW)	75-84	15-29	M	324
Bayside (NSW)	75-84	30+	F	506
Bayside (NSW)	75-84	30+	M	180
Bayside (NSW)	85+		F	443
Bayside (NSW)	85+		M	285
Bayside (NSW)	85+	0	F	1040
Bayside (NSW)	85+	0	M	726
Bayside (NSW)	85+	<5	F	244
Bayside (NSW)	85+	<5	M	206
Bayside (NSW)	85+	5-14	F	270
Bayside (NSW)	85+	5-14	M	188
Bayside (NSW)	85+	15-29	F	156
Bayside (NSW)	85+	15-29	M	97
Bayside (NSW)	85+	30+	F	102
Bayside (NSW)	85+	30+	M	53
Bega Valley	15-19		F	88
Bega Valley	15-19		M	110
Bega Valley	15-19	0	F	225
Bega Valley	15-19	0	M	295
Bega Valley	15-19	<5	F	401
Bega Valley	15-19	<5	M	439
Bega Valley	15-19	5-14	F	107
Bega Valley	15-19	5-14	M	76
Bega Valley	15-19	15-29	F	14
Bega Valley	15-19	15-29	M	7
Bega Valley	15-19	30+	F	5
Bega Valley	15-19	30+	M	4
Bega Valley	20-24		F	53
Bega Valley	20-24		M	42
Bega Valley	20-24	0	F	137
Bega Valley	20-24	0	M	221
Bega Valley	20-24	<5	F	160
Bega Valley	20-24	<5	M	221
Bega Valley	20-24	5-14	F	185
Bega Valley	20-24	5-14	M	145
Bega Valley	20-24	15-29	F	46
Bega Valley	20-24	15-29	M	26
Bega Valley	20-24	30+	F	35
Bega Valley	20-24	30+	M	9
Bega Valley	25-34		F	109
Bega Valley	25-34		M	132
Bega Valley	25-34	0	F	180
Bega Valley	25-34	0	M	337
Bega Valley	25-34	<5	F	208
Bega Valley	25-34	<5	M	405
Bega Valley	25-34	5-14	F	498
Bega Valley	25-34	5-14	M	435
Bega Valley	25-34	15-29	F	267
Bega Valley	25-34	15-29	M	135
Bega Valley	25-34	30+	F	278
Bega Valley	25-34	30+	M	43
Bega Valley	35-44		F	112
Bega Valley	35-44		M	114
Bega Valley	35-44	0	F	131
Bega Valley	35-44	0	M	232
Bega Valley	35-44	<5	F	191
Bega Valley	35-44	<5	M	355
Bega Valley	35-44	5-14	F	549
Bega Valley	35-44	5-14	M	551
Bega Valley	35-44	15-29	F	422
Bega Valley	35-44	15-29	M	206
Bega Valley	35-44	30+	F	368
Bega Valley	35-44	30+	M	105
Bega Valley	45-54		F	156
Bega Valley	45-54		M	153
Bega Valley	45-54	0	F	195
Bega Valley	45-54	0	M	364
Bega Valley	45-54	<5	F	223
Bega Valley	45-54	<5	M	494
Bega Valley	45-54	5-14	F	913
Bega Valley	45-54	5-14	M	716
Bega Valley	45-54	15-29	F	517
Bega Valley	45-54	15-29	M	241
Bega Valley	45-54	30+	F	284
Bega Valley	45-54	30+	M	94
Bega Valley	55-64		F	207
Bega Valley	55-64		M	202
Bega Valley	55-64	0	F	388
Bega Valley	55-64	0	M	523
Bega Valley	55-64	<5	F	377
Bega Valley	55-64	<5	M	632
Bega Valley	55-64	5-14	F	1154
Bega Valley	55-64	5-14	M	974
Bega Valley	55-64	15-29	F	775
Bega Valley	55-64	15-29	M	424
Bega Valley	55-64	30+	F	490
Bega Valley	55-64	30+	M	204
Bega Valley	65-74		F	178
Bega Valley	65-74		M	200
Bega Valley	65-74	0	F	562
Bega Valley	65-74	0	M	684
Bega Valley	65-74	<5	F	226
Bega Valley	65-74	<5	M	476
Bega Valley	65-74	5-14	F	768
Bega Valley	65-74	5-14	M	949
Bega Valley	65-74	15-29	F	711
Bega Valley	65-74	15-29	M	520
Bega Valley	65-74	30+	F	616
Bega Valley	65-74	30+	M	349
Bega Valley	75-84		F	143
Bega Valley	75-84		M	136
Bega Valley	75-84	0	F	434
Bega Valley	75-84	0	M	428
Bega Valley	75-84	<5	F	129
Bega Valley	75-84	<5	M	230
Bega Valley	75-84	5-14	F	315
Bega Valley	75-84	5-14	M	350
Bega Valley	75-84	15-29	F	286
Bega Valley	75-84	15-29	M	218
Bega Valley	75-84	30+	F	270
Bega Valley	75-84	30+	M	169
Bega Valley	85+		F	123
Bega Valley	85+		M	84
Bega Valley	85+	0	F	267
Bega Valley	85+	0	M	171
Bega Valley	85+	<5	F	62
Bega Valley	85+	<5	M	55
Bega Valley	85+	5-14	F	82
Bega Valley	85+	5-14	M	65
Bega Valley	85+	15-29	F	50
Bega Valley	85+	15-29	M	53
Bega Valley	85+	30+	F	36
Bega Valley	85+	30+	M	34
Bellingen	15-19		F	52
Bellingen	15-19		M	34
Bellingen	15-19	0	F	99
Bellingen	15-19	0	M	115
Bellingen	15-19	<5	F	147
Bellingen	15-19	<5	M	168
Bellingen	15-19	5-14	F	45
Bellingen	15-19	5-14	M	35
Bellingen	15-19	15-29	F	7
Bellingen	15-19	30+	F	4
Bellingen	20-24		F	14
Bellingen	20-24		M	16
Bellingen	20-24	0	F	43
Bellingen	20-24	0	M	50
Bellingen	20-24	<5	F	59
Bellingen	20-24	<5	M	80
Bellingen	20-24	5-14	F	64
Bellingen	20-24	5-14	M	40
Bellingen	20-24	15-29	F	17
Bellingen	20-24	15-29	M	16
Bellingen	20-24	30+	F	7
Bellingen	20-24	30+	M	5
Bellingen	25-34		F	40
Bellingen	25-34		M	41
Bellingen	25-34	0	F	60
Bellingen	25-34	0	M	90
Bellingen	25-34	<5	F	61
Bellingen	25-34	<5	M	144
Bellingen	25-34	5-14	F	156
Bellingen	25-34	5-14	M	158
Bellingen	25-34	15-29	F	104
Bellingen	25-34	15-29	M	56
Bellingen	25-34	30+	F	109
Bellingen	25-34	30+	M	21
Bellingen	35-44		F	62
Bellingen	35-44		M	68
Bellingen	35-44	0	F	48
Bellingen	35-44	0	M	89
Bellingen	35-44	<5	F	53
Bellingen	35-44	<5	M	125
Bellingen	35-44	5-14	F	206
Bellingen	35-44	5-14	M	219
Bellingen	35-44	15-29	F	168
Bellingen	35-44	15-29	M	77
Bellingen	35-44	30+	F	156
Bellingen	35-44	30+	M	38
Bellingen	45-54		F	65
Bellingen	45-54		M	71
Bellingen	45-54	0	F	69
Bellingen	45-54	0	M	111
Bellingen	45-54	<5	F	107
Bellingen	45-54	<5	M	158
Bellingen	45-54	5-14	F	341
Bellingen	45-54	5-14	M	301
Bellingen	45-54	15-29	F	241
Bellingen	45-54	15-29	M	111
Bellingen	45-54	30+	F	154
Bellingen	45-54	30+	M	47
