LGA_NAME21	EduInstitutionType	Sex	students
Ku-ring-gai	Technical or Further Educational Institution	F	1132
Ku-ring-gai	Technical or Further Educational Institution	M	773
Ku-ring-gai	University or other tertiary	F	4507
Ku-ring-gai	University or other tertiary	M	4035
Kyogle		F	511
Kyogle		M	492
Kyogle	Infants/Primary	F	326
Kyogle	Infants/Primary	M	314
Kyogle	Pre-school	F	72
Kyogle	Pre-school	M	66
Kyogle	Secondary	F	260
Kyogle	Secondary	M	241
Kyogle	Technical or Further Educational Institution	F	107
Kyogle	Technical or Further Educational Institution	M	66
Kyogle	University or other tertiary	F	93
Kyogle	University or other tertiary	M	46
Lachlan		F	375
Lachlan		M	362
Lachlan	Infants/Primary	F	248
Lachlan	Infants/Primary	M	317
Lachlan	Pre-school	F	66
Lachlan	Pre-school	M	67
Lachlan	Secondary	F	175
Lachlan	Secondary	M	159
Lachlan	Technical or Further Educational Institution	F	72
Lachlan	Technical or Further Educational Institution	M	38
Lachlan	University or other tertiary	F	49
Lachlan	University or other tertiary	M	13
Lake Macquarie		F	5052
Lake Macquarie		M	4782
Lake Macquarie	Infants/Primary	F	8609
Lake Macquarie	Infants/Primary	M	9153
Lake Macquarie	Pre-school	F	2423
Lake Macquarie	Pre-school	M	2590
Lake Macquarie	Secondary	F	6611
Lake Macquarie	Secondary	M	6732
Lake Macquarie	Technical or Further Educational Institution	F	2683
Lake Macquarie	Technical or Further Educational Institution	M	2560
Lake Macquarie	University or other tertiary	F	4424
Lake Macquarie	University or other tertiary	M	2793
Lane Cove		F	921
Lane Cove		M	796
Lane Cove	Infants/Primary	F	1561
Lane Cove	Infants/Primary	M	1675
Lane Cove	Pre-school	F	429
Lane Cove	Pre-school	M	502
Lane Cove	Secondary	F	1217
Lane Cove	Secondary	M	1378
Lane Cove	Technical or Further Educational Institution	F	439
Lane Cove	Technical or Further Educational Institution	M	340
