LGA_NAME21	AustCitizen	Sex	persons
Greater Hume Shire	0	F	562
Greater Hume Shire	0	M	565
Greater Hume Shire	1	F	4930
Greater Hume Shire	1	M	5092
Griffith	0	F	2698
Griffith	0	M	3007
Griffith	1	F	10796
Griffith	1	M	10584
Gunnedah	0	F	705
Gunnedah	0	M	716
Gunnedah	1	F	5790
Gunnedah	1	M	5722
Gwydir	0	F	247
Gwydir	0	M	246
Gwydir	1	F	2218
Gwydir	1	M	2201
Hawkesbury	0	F	3080
Hawkesbury	0	M	3094
Hawkesbury	1	F	30675
Hawkesbury	1	M	30367
Hay	0	F	212
Hay	0	M	230
Hay	1	F	1224
Hay	1	M	1218
Hilltops	0	F	1011
Hilltops	0	M	981
Hilltops	1	F	8776
Hilltops	1	M	8488
Hornsby	0	F	12912
Hornsby	0	M	11321
Hornsby	1	F	64543
Hornsby	1	M	63039
Hunters Hill	0	F	704
Hunters Hill	0	M	674
Hunters Hill	1	F	6258
Hunters Hill	1	M	5923
Inner West	0	F	14423
Inner West	0	M	14434
Inner West	1	F	79225
Inner West	1	M	74735
Inverell	0	F	1081
Inverell	0	M	1106
Inverell	1	F	7991
Inverell	1	M	7674
Junee	0	F	262
Junee	0	M	1195
Junee	1	F	2494
Junee	1	M	2469
Kempsey	0	F	1561
Kempsey	0	M	2154
Kempsey	1	F	13701
Kempsey	1	M	13272
Kiama	0	F	980
Kiama	0	M	920
Kiama	1	F	10871
Kiama	1	M	10300
Ku-ring-gai	0	F	10660
Ku-ring-gai	0	M	8736
Ku-ring-gai	1	F	53562
Ku-ring-gai	1	M	51114
Kyogle	0	F	555
Kyogle	0	M	556
Kyogle	1	F	4153
Kyogle	1	M	4092
Lachlan	0	F	448
Lachlan	0	M	432
Lachlan	1	F	2600
Lachlan	1	M	2614
Lake Macquarie	0	F	7825
Lake Macquarie	0	M	7447
Lake Macquarie	1	F	101704
Lake Macquarie	1	M	96864
Lane Cove	0	F	3763
Lane Cove	0	M	3255
Lane Cove	1	F	16367
Lane Cove	1	M	16050
Leeton	0	F	854
Leeton	0	M	841
Leeton	1	F	4954
Leeton	1	M	4802
Lismore	0	F	2367
Lismore	0	M	2364
Lismore	1	F	20206
Lismore	1	M	19394
Lithgow	0	F	1043
Lithgow	0	M	1313
Lithgow	1	F	9270
Lithgow	1	M	9216
Liverpool	0	F	19836
Liverpool	0	M	19507
Liverpool	1	F	97447
Liverpool	1	M	96656
Liverpool Plains	0	F	487
Liverpool Plains	0	M	486
Liverpool Plains	1	F	3274
Liverpool Plains	1	M	3303
Lockhart	0	F	154
Lockhart	0	M	163
Lockhart	1	F	1515
Lockhart	1	M	1486
Maitland	0	F	3331
Maitland	0	M	3179
Maitland	1	F	42979
Maitland	1	M	40738
Mid-Coast	0	F	4711
Mid-Coast	0	M	4466
Mid-Coast	1	F	44784
Mid-Coast	1	M	42620
Mid-Western Regional	0	F	1313
Mid-Western Regional	0	M	1375
Mid-Western Regional	1	F	11453
Mid-Western Regional	1	M	11570
Moree Plains	0	F	1497
Moree Plains	0	M	1502
Moree Plains	1	F	4872
Moree Plains	1	M	4874
Mosman	0	F	2365
Mosman	0	M	1948
Mosman	1	F	12929
Mosman	1	M	11085
Murray River	0	F	666
Murray River	0	M	712
Murray River	1	F	5775
Murray River	1	M	5697
Murrumbidgee	0	F	191
Murrumbidgee	0	M	219
Murrumbidgee	1	F	1410
Murrumbidgee	1	M	1532
Muswellbrook	0	F	781
Muswellbrook	0	M	1067
Muswellbrook	1	F	7176
Muswellbrook	1	M	7330
Nambucca Valley	0	F	1070
Nambucca Valley	0	M	1041
Nambucca Valley	1	F	9393
Nambucca Valley	1	M	8896
Narrabri	0	F	753
Narrabri	0	M	844
Narrabri	1	F	5554
Narrabri	1	M	5553
Narrandera	0	F	336
Narrandera	0	M	354
Narrandera	1	F	2537
Narrandera	1	M	2469
Narromine	0	F	473
Narromine	0	M	461
Narromine	1	F	2671
Narromine	1	M	2757
Newcastle	0	F	9138
Newcastle	0	M	9352
Newcastle	1	F	76755
Newcastle	1	M	73623
North Sydney	0	F	7666
North Sydney	0	M	6355
North Sydney	1	F	28839
North Sydney	1	M	26088
Northern Beaches	0	F	18258
Northern Beaches	0	M	17061
Northern Beaches	1	F	116365
Northern Beaches	1	M	111868
Oberon	0	F	379
Oberon	0	M	543
Oberon	1	F	2283
Oberon	1	M	2372
Orange	0	F	2219
Orange	0	M	2125
Orange	1	F	20114
Orange	1	M	19053
Parkes	0	F	698
Parkes	0	M	713
Parkes	1	F	6510
Parkes	1	M	6441
Parramatta	0	F	39028
Parramatta	0	M	39834
Parramatta	1	F	88967
Parramatta	1	M	88900
Penrith	0	F	14741
Penrith	0	M	14268
Penrith	1	F	95344
Penrith	1	M	93315
Port Macquarie-Hastings	0	F	3658
Port Macquarie-Hastings	0	M	3467
Port Macquarie-Hastings	1	F	41530
Port Macquarie-Hastings	1	M	38109
Port Stephens	0	F	3269
Port Stephens	0	M	3176
Port Stephens	1	F	34949
Port Stephens	1	M	33883
Queanbeyan-Palerang Regional	0	F	3334
Queanbeyan-Palerang Regional	0	M	3558
Queanbeyan-Palerang Regional	1	F	28107
Queanbeyan-Palerang Regional	1	M	28303
Randwick	0	F	14743
Randwick	0	M	15104
Randwick	1	F	54126
Randwick	1	M	50272
Richmond Valley	0	F	1313
Richmond Valley	0	M	1341
Richmond Valley	1	F	10628
Richmond Valley	1	M	10290
Ryde	0	F	17374
Ryde	0	M	15285
Ryde	1	F	48706
Ryde	1	M	47757
Shellharbour	0	F	3474
Shellharbour	0	M	3153
Shellharbour	1	F	35532
Shellharbour	1	M	34112
Shoalhaven	0	F	5350
Shoalhaven	0	M	5911
Shoalhaven	1	F	49463
Shoalhaven	1	M	47808
Singleton	0	F	1047
Singleton	0	M	1284
Singleton	1	F	10871
Singleton	1	M	11375
Snowy Monaro Regional	0	F	1329
Snowy Monaro Regional	0	M	1529
Snowy Monaro Regional	1	F	9171
Snowy Monaro Regional	1	M	9640
Snowy Valleys	0	F	830
Snowy Valleys	0	M	960
Snowy Valleys	1	F	6561
Snowy Valleys	1	M	6544
Strathfield	0	F	7248
Strathfield	0	M	8525
Strathfield	1	F	14981
Strathfield	1	M	14840
Sutherland Shire	0	F	10081
Sutherland Shire	0	M	9040
Sutherland Shire	1	F	107568
Sutherland Shire	1	M	103521
Sydney	0	F	36871
Sydney	0	M	37915
Sydney	1	F	64147
Sydney	1	M	72700
Tamworth Regional	0	F	3627
Tamworth Regional	0	M	3747
Tamworth Regional	1	F	28539
Tamworth Regional	1	M	27159
Temora	0	F	212
Temora	0	M	188
Temora	1	F	2873
Temora	1	M	2760
Tenterfield	0	F	415
Tenterfield	0	M	404
Tenterfield	1	F	3067
Tenterfield	1	M	2930
The Hills Shire	0	F	14907
The Hills Shire	0	M	13187
The Hills Shire	1	F	82314
The Hills Shire	1	M	81470
Tweed	0	F	5941
Tweed	0	M	5458
Tweed	1	F	44645
Tweed	1	M	41346
Upper Hunter Shire	0	F	743
Upper Hunter Shire	0	M	805
Upper Hunter Shire	1	F	6376
Upper Hunter Shire	1	M	6307
Upper Lachlan Shire	0	F	407
Upper Lachlan Shire	0	M	452
Upper Lachlan Shire	1	F	3791
Upper Lachlan Shire	1	M	3862
Uralla	0	F	264
Uralla	0	M	247
Uralla	1	F	2822
Uralla	1	M	2636
Wagga Wagga	0	F	3832
Wagga Wagga	0	M	3992
Wagga Wagga	1	F	30896
Wagga Wagga	1	M	28891
Walcha	0	F	158
Walcha	0	M	174
Walcha	1	F	1344
Walcha	1	M	1342
Walgett	0	F	792
Walgett	0	M	747
Walgett	1	F	1800
Walgett	1	M	1916
Warren	0	F	185
Warren	0	M	174
Warren	1	F	1094
Warren	1	M	1092
Warrumbungle Shire	0	F	730
Warrumbungle Shire	0	M	705
Warrumbungle Shire	1	F	3882
Warrumbungle Shire	1	M	3911
Waverley	0	F	8756
Waverley	0	M	7856
Waverley	1	F	26578
Waverley	1	M	25417
Weddin	0	F	155
Weddin	0	M	151
Weddin	1	F	1607
Weddin	1	M	1696
Wentworth	0	F	532
Wentworth	0	M	601
Wentworth	1	F	3052
Wentworth	1	M	3268
Willoughby	0	F	9300
Willoughby	0	M	7593
Willoughby	1	F	29915
Willoughby	1	M	28807
Wingecarribee	0	F	2987
Wingecarribee	0	M	2776
Wingecarribee	1	F	24410
Wingecarribee	1	M	22537
Wollondilly	0	F	2135
Wollondilly	0	M	2042
Wollondilly	1	F	24796
Wollondilly	1	M	24990
Wollongong	0	F	12079
Wollongong	0	M	12003
Wollongong	1	F	96869
Wollongong	1	M	93613
Woollahra	0	F	4369
Woollahra	0	M	3727
Woollahra	1	F	24174
Woollahra	1	M	21225
Yass Valley	0	F	592
Yass Valley	0	M	624
Yass Valley	1	F	8189
Yass Valley	1	M	7876
Unincorporated NSW	0	F	65
Unincorporated NSW	0	M	68
Unincorporated NSW	1	F	421
Unincorporated NSW	1	M	462
No usual address (NSW)	0	F	2050
No usual address (NSW)	0	M	2754
No usual address (NSW)	1	F	2947
No usual address (NSW)	1	M	3621
Migratory - Offshore - Shipping (NSW)	0	F	0
Migratory - Offshore - Shipping (NSW)	0	M	0
Migratory - Offshore - Shipping (NSW)	1	F	0
Migratory - Offshore - Shipping (NSW)	1	M	0
Alpine	0	F	742
Alpine	0	M	743
Alpine	1	F	5929
Alpine	1	M	5819
Ararat	0	F	625
Ararat	0	M	1386
Ararat	1	F	4981
Ararat	1	M	4887
Ballarat	0	F	5566
Ballarat	0	M	5401
Ballarat	1	F	53459
Ballarat	1	M	49339
Banyule	0	F	7622
Banyule	0	M	7021
Banyule	1	F	57213
Banyule	1	M	54384
Bass Coast	0	F	2422
Bass Coast	0	M	2157
Bass Coast	1	F	18533
Bass Coast	1	M	17677
Baw Baw	0	F	2914
Baw Baw	0	M	2770
Baw Baw	1	F	26676
Baw Baw	1	M	25265
Bayside (Vic.)	0	F	6416
Bayside (Vic.)	0	M	5702
Bayside (Vic.)	1	F	46514
Bayside (Vic.)	1	M	42676
Benalla	0	F	827
Benalla	0	M	795
Benalla	1	F	6645
Benalla	1	M	6257
Boroondara	0	F	14196
Boroondara	0	M	12043
Boroondara	1	F	73190
Boroondara	1	M	68474
Brimbank	0	F	20511
Brimbank	0	M	21915
Brimbank	1	F	76613
Brimbank	1	M	75576
Buloke	0	F	331
Buloke	0	M	375
Buloke	1	F	2660
Buloke	1	M	2811
Campaspe	0	F	1951
Campaspe	0	M	1917
Campaspe	1	F	17676
Campaspe	1	M	17188
Cardinia	0	F	8781
Cardinia	0	M	8436
Cardinia	1	F	51144
Cardinia	1	M	49833
Casey	0	F	36701
Casey	0	M	35876
Casey	1	F	146494
Casey	1	M	146165
Central Goldfields	0	F	671
Central Goldfields	0	M	659
Central Goldfields	1	F	6165
Central Goldfields	1	M	5991
Colac Otway	0	F	1272
Colac Otway	0	M	1376
Colac Otway	1	F	9928
Colac Otway	1	M	9848
Corangamite	0	F	775
Corangamite	0	M	816
Corangamite	1	F	7228
Corangamite	1	M	7296
Darebin	0	F	12049
Darebin	0	M	12131
Darebin	1	F	64361
Darebin	1	M	60031
East Gippsland	0	F	2800
East Gippsland	0	M	2656
East Gippsland	1	F	21969
East Gippsland	1	M	21292
Frankston	0	F	9010
Frankston	0	M	8484
Frankston	1	F	62230
Frankston	1	M	59554
Gannawarra	0	F	532
Gannawarra	0	M	514
Gannawarra	1	F	4836
Gannawarra	1	M	4800
Glen Eira	0	F	13715
Glen Eira	0	M	12530
Glen Eira	1	F	62975
Glen Eira	1	M	59693
Glenelg	0	F	994
Glenelg	0	M	1008
Glenelg	1	F	9110
Glenelg	1	M	9044
Golden Plains	0	F	923
Golden Plains	0	M	978
Golden Plains	1	F	11287
Golden Plains	1	M	11798
Greater Bendigo	0	F	6105
Greater Bendigo	0	M	5891
Greater Bendigo	1	F	56481
Greater Bendigo	1	M	52993
Greater Dandenong	0	F	21394
Greater Dandenong	0	M	23287
Greater Dandenong	1	F	56518
Greater Dandenong	1	M	57006
Greater Geelong	0	F	15592
Greater Geelong	0	M	17189
Greater Geelong	1	F	123611
Greater Geelong	1	M	114665
Greater Shepparton	0	F	5526
Greater Shepparton	0	M	5831
Greater Shepparton	1	F	28862
Greater Shepparton	1	M	28190
Hepburn	0	F	1008
Hepburn	0	M	966
Hepburn	1	F	7445
Hepburn	1	M	7190
Hindmarsh	0	F	320
Hindmarsh	0	M	306
Hindmarsh	1	F	2524
Hindmarsh	1	M	2551
Hobsons Bay	0	F	6997
Hobsons Bay	0	M	6932
Hobsons Bay	1	F	39632
Hobsons Bay	1	M	37762
Horsham	0	F	866
Horsham	0	M	858
Horsham	1	F	9553
Horsham	1	M	9152
Hume	0	F	24147
Hume	0	M	25241
Hume	1	F	97743
Hume	1	M	96772
Indigo	0	F	693
Indigo	0	M	801
Indigo	1	F	8089
Indigo	1	M	7785
Kingston (Vic.)	0	F	11152
Kingston (Vic.)	0	M	10605
Kingston (Vic.)	1	F	70324
Kingston (Vic.)	1	M	66051
Knox	0	F	12223
Knox	0	M	10737
Knox	1	F	68941
Knox	1	M	67203
Latrobe (Vic.)	0	F	4673
Latrobe (Vic.)	0	M	4501
Latrobe (Vic.)	1	F	34837
Latrobe (Vic.)	1	M	33316
Loddon	0	F	518
Loddon	0	M	509
Loddon	1	F	3318
Loddon	1	M	3414
Macedon Ranges	0	F	2261
Macedon Ranges	0	M	2272
Macedon Ranges	1	F	23850
Macedon Ranges	1	M	23081
Manningham	0	F	12056
Manningham	0	M	10741
Manningham	1	F	52318
Manningham	1	M	49583
Mansfield	0	F	580
Mansfield	0	M	540
Mansfield	1	F	4585
Mansfield	1	M	4472
Maribyrnong	0	F	8330
Maribyrnong	0	M	9115
Maribyrnong	1	F	34168
Maribyrnong	1	M	33598
Maroondah	0	F	8090
Maroondah	0	M	7296
Maroondah	1	F	51261
Maroondah	1	M	48392
Melbourne	0	F	36217
Melbourne	0	M	33692
Melbourne	1	F	38978
Melbourne	1	M	40731
Melton	0	F	16844
Melton	0	M	17363
Melton	1	F	72834
Melton	1	M	71917
Mildura	0	F	4313
Mildura	0	M	4547
Mildura	1	F	24619
Mildura	1	M	23493
Mitchell	0	F	2947
Mitchell	0	M	2944
Mitchell	1	F	21589
Mitchell	1	M	21977
Moira	0	F	1811
Moira	0	M	1841
Moira	1	F	13475
Moira	1	M	13393
Monash	0	F	25094
Monash	0	M	25700
Monash	1	F	70462
Monash	1	M	69141
Moonee Valley	0	F	8187
Moonee Valley	0	M	7576
Moonee Valley	1	F	54479
Moonee Valley	1	M	51615
Moorabool	0	F	1997
Moorabool	0	M	2013
Moorabool	1	F	16994
Moorabool	1	M	16628
Moreland	0	F	15274
Moreland	0	M	15564
Moreland	1	F	72635
Moreland	1	M	67882
Mornington Peninsula	0	F	8866
Mornington Peninsula	0	M	8251
Mornington Peninsula	1	F	78401
Mornington Peninsula	1	M	73430
Mount Alexander	0	F	1029
Mount Alexander	0	M	1446
Mount Alexander	1	F	9121
Mount Alexander	1	M	8659
Moyne	0	F	833
Moyne	0	M	820
Moyne	1	F	7947
Moyne	1	M	7772
Murrindindi	0	F	867
Murrindindi	0	M	980
Murrindindi	1	F	6511
Murrindindi	1	M	6842
Nillumbik	0	F	2307
Nillumbik	0	M	2163
Nillumbik	1	F	29487
Nillumbik	1	M	28938
Northern Grampians	0	F	767
Northern Grampians	0	M	792
Northern Grampians	1	F	5196
Northern Grampians	1	M	5197
Port Phillip	0	F	11538
Port Phillip	0	M	11249
Port Phillip	1	F	40700
Port Phillip	1	M	38453
Pyrenees	0	F	458
Pyrenees	0	M	727
Pyrenees	1	F	3213
Pyrenees	1	M	3273
Queenscliffe	0	F	138
Queenscliffe	0	M	162
Queenscliffe	1	F	1587
Queenscliffe	1	M	1388
South Gippsland	0	F	1555
South Gippsland	0	M	1509
South Gippsland	1	F	13900
South Gippsland	1	M	13608
Southern Grampians	0	F	773
Southern Grampians	0	M	691
Southern Grampians	1	F	7684
Southern Grampians	1	M	7435
Stonnington	0	F	10600
Stonnington	0	M	9298
Stonnington	1	F	44206
Stonnington	1	M	40595
Strathbogie	0	F	682
Strathbogie	0	M	669
Strathbogie	1	F	5089
Strathbogie	1	M	5018
Surf Coast	0	F	1775
Surf Coast	0	M	1696
Surf Coast	1	F	17312
Surf Coast	1	M	16908
Swan Hill	0	F	1990
Swan Hill	0	M	2275
Swan Hill	1	F	8662
Swan Hill	1	M	8473
Towong	0	F	339
Towong	0	M	351
Towong	1	F	2720
Towong	1	M	2815
Wangaratta	0	F	1444
Wangaratta	0	M	1289
Wangaratta	1	F	13981
Wangaratta	1	M	13095
Warrnambool	0	F	1817
Warrnambool	0	M	1894
Warrnambool	1	F	16552
Warrnambool	1	M	15139
Wellington	0	F	2503
Wellington	0	M	3214
Wellington	1	F	20150
Wellington	1	M	19781
West Wimmera	0	F	224
West Wimmera	0	M	215
West Wimmera	1	F	1773
West Wimmera	1	M	1797
Whitehorse	0	F	20324
Whitehorse	0	M	18879
Whitehorse	1	F	67106
Whitehorse	1	M	63038
Whittlesea	0	F	20048
Whittlesea	0	M	20295
Whittlesea	1	F	95508
Whittlesea	1	M	93539
Wodonga	0	F	1977
Wodonga	0	M	1952
Wodonga	1	F	20206
Wodonga	1	M	19112
Wyndham	0	F	41647
Wyndham	0	M	42647
Wyndham	1	F	102919
Wyndham	1	M	104797
Yarra	0	F	7970
Yarra	0	M	7631
Yarra	1	F	38155
Yarra	1	M	36362
Yarra Ranges	0	F	7407
Yarra Ranges	0	M	7172
Yarra Ranges	1	F	71471
Yarra Ranges	1	M	70016
Yarriambiack	0	F	351
Yarriambiack	0	M	320
Yarriambiack	1	F	2881
Yarriambiack	1	M	3007
Unincorporated Vic	0	F	177
Unincorporated Vic	0	M	162
Unincorporated Vic	1	F	286
Unincorporated Vic	1	M	334
No usual address (Vic.)	0	F	1762
No usual address (Vic.)	0	M	2629
No usual address (Vic.)	1	F	2153
No usual address (Vic.)	1	M	2541
Migratory - Offshore - Shipping (Vic.)	0	F	6
Migratory - Offshore - Shipping (Vic.)	0	M	31
Migratory - Offshore - Shipping (Vic.)	1	F	0
Migratory - Offshore - Shipping (Vic.)	1	M	5
Aurukun	0	F	42
Aurukun	0	M	36
Aurukun	1	F	530
Aurukun	1	M	490
Balonne	0	F	280
Balonne	0	M	268
Balonne	1	F	1869
Balonne	1	M	1900
Banana	0	F	1088
Banana	0	M	1310
Banana	1	F	5963
Banana	1	M	6153
Barcaldine	0	F	173
Barcaldine	0	M	181
Barcaldine	1	F	1236
Barcaldine	1	M	1257
Barcoo	0	F	14
Barcoo	0	M	24
Barcoo	1	F	135
Barcoo	1	M	136
Blackall Tambo	0	F	87
Blackall Tambo	0	M	88
Blackall Tambo	1	F	876
Blackall Tambo	1	M	856
Boulia	0	F	29
Boulia	0	M	27
Boulia	1	F	200
Boulia	1	M	200
Brisbane	0	F	111762
Brisbane	0	M	108857
Brisbane	1	F	519459
Brisbane	1	M	502741
Bulloo	0	F	4
Bulloo	0	M	19
Bulloo	1	F	143
Bulloo	1	M	171
Bundaberg	0	F	5673
Bundaberg	0	M	5746
Bundaberg	1	F	44744
Bundaberg	1	M	43050
Burdekin	0	F	989
Burdekin	0	M	1115
Burdekin	1	F	7220
Burdekin	1	M	7372
Burke	0	F	34
Burke	0	M	53
Burke	1	F	137
Burke	1	M	191
Cairns	0	F	15133
Cairns	0	M	13943
Cairns	1	F	69467
Cairns	1	M	68392
Carpentaria	0	F	114
Carpentaria	0	M	153
Carpentaria	1	F	868
Carpentaria	1	M	951
Cassowary Coast	0	F	2092
Cassowary Coast	0	M	2410
Cassowary Coast	1	F	12081
Cassowary Coast	1	M	12573
Central Highlands (Qld)	0	F	2203
Central Highlands (Qld)	0	M	2850
Central Highlands (Qld)	1	F	11103
Central Highlands (Qld)	1	M	11679
Charters Towers	0	F	862
Charters Towers	0	M	982
Charters Towers	1	F	5060
Charters Towers	1	M	4890
Cherbourg	0	F	17
Cherbourg	0	M	16
Cherbourg	1	F	597
Cherbourg	1	M	562
Cloncurry	0	F	293
Cloncurry	0	M	425
Cloncurry	1	F	1287
Cloncurry	1	M	1637
Cook	0	F	474
Cook	0	M	586
Cook	1	F	1619
Cook	1	M	1836
Croydon	0	F	19
Croydon	0	M	23
Croydon	1	F	107
Croydon	1	M	116
Diamantina	0	F	33
Diamantina	0	M	40
Diamantina	1	F	87
Diamantina	1	M	101
Doomadgee	0	F	35
Doomadgee	0	M	33
Doomadgee	1	F	655
Doomadgee	1	M	662
Douglas	0	F	1269
Douglas	0	M	1263
Douglas	1	F	4800
Douglas	1	M	5004
Etheridge	0	F	65
Etheridge	0	M	56
Etheridge	1	F	268
Etheridge	1	M	328
Flinders (Qld)	0	F	119
Flinders (Qld)	0	M	111
Flinders (Qld)	1	F	645
Flinders (Qld)	1	M	623
Fraser Coast	0	F	6030
Fraser Coast	0	M	6305
Fraser Coast	1	F	50667
Fraser Coast	1	M	48035
Gladstone	0	F	3859
Gladstone	0	M	4149
Gladstone	1	F	27442
Gladstone	1	M	28072
Gold Coast	0	F	62684
Gold Coast	0	M	58737
Gold Coast	1	F	258975
Gold Coast	1	M	244687
Goondiwindi	0	F	568
Goondiwindi	0	M	620
Goondiwindi	1	F	4576
Goondiwindi	1	M	4545
Gympie	0	F	2676
Gympie	0	M	2809
Gympie	1	F	24157
Gympie	1	M	23601
Hinchinbrook	0	F	490
Hinchinbrook	0	M	553
Hinchinbrook	1	F	4875
Hinchinbrook	1	M	5006
Hope Vale	0	F	24
Hope Vale	0	M	27
Hope Vale	1	F	448
Hope Vale	1	M	478
Ipswich	0	F	18269
Ipswich	0	M	18320
Ipswich	1	F	97710
Ipswich	1	M	94909
Isaac	0	F	2083
Isaac	0	M	3732
Isaac	1	F	7580
Isaac	1	M	8651
Kowanyama	0	F	53
Kowanyama	0	M	44
Kowanyama	1	F	501
Kowanyama	1	M	475
Livingstone	0	F	2004
Livingstone	0	M	3225
Livingstone	1	F	17135
Livingstone	1	M	17031
Lockhart River	0	F	33
Lockhart River	0	M	42
Lockhart River	1	F	271
Lockhart River	1	M	293
Lockyer Valley	0	F	2986
Lockyer Valley	0	M	2744
Lockyer Valley	1	F	17728
Lockyer Valley	1	M	17640
Logan	0	F	34717
Logan	0	M	34514
Logan	1	F	140060
Logan	1	M	135799
Longreach	0	F	321
Longreach	0	M	298
Longreach	1	F	1527
Longreach	1	M	1508
Mackay	0	F	8021
Mackay	0	M	9147
Mackay	1	F	52473
Mackay	1	M	52054
McKinlay	0	F	66
McKinlay	0	M	119
McKinlay	1	F	314
McKinlay	1	M	333
Mapoon	0	F	21
