LGA_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
Bayside (NSW)	Person not in same household	11812	148
Bayside (NSW)	Person not in same household	14437	263
Bayside (NSW)	Person not in same household	18375	513
Bayside (NSW)	Person not in same household	23625	590
Bayside (NSW)	Person not in same household	28875	452
Bayside (NSW)	Person not in same household	34125	254
Bayside (NSW)	Person not in same household	39375	114
Bayside (NSW)	Person not in same household	44625	55
Bayside (NSW)	Person not in same household	49875	60
Bayside (NSW)	Real estate agent	52	26
Bayside (NSW)	Real estate agent	5250	33
Bayside (NSW)	Real estate agent	7875	63
Bayside (NSW)	Real estate agent	10500	72
Bayside (NSW)	Real estate agent	11812	194
Bayside (NSW)	Real estate agent	14437	966
Bayside (NSW)	Real estate agent	18375	4394
Bayside (NSW)	Real estate agent	23625	5857
Bayside (NSW)	Real estate agent	28875	4674
Bayside (NSW)	Real estate agent	34125	2682
Bayside (NSW)	Real estate agent	39375	1143
Bayside (NSW)	Real estate agent	44625	482
Bayside (NSW)	Real estate agent	49875	438
Bayside (NSW)	State or territory housing authority	52	57
Bayside (NSW)	State or territory housing authority	3937	96
Bayside (NSW)	State or territory housing authority	5250	840
Bayside (NSW)	State or territory housing authority	7875	254
Bayside (NSW)	State or territory housing authority	10500	125
Bayside (NSW)	State or territory housing authority	11812	124
Bayside (NSW)	State or territory housing authority	14437	74
Bayside (NSW)	State or territory housing authority	18375	57
Bayside (NSW)	State or territory housing authority	23625	48
Bayside (NSW)	State or territory housing authority	28875	20
Bayside (NSW)	State or territory housing authority	34125	17
Bayside (NSW)	State or territory housing authority	39375	6
Bayside (NSW)	State or territory housing authority	44625	5
Bayside (NSW)	State or territory housing authority	49875	3
Bega Valley		7875	3
Bega Valley		14437	4
Bega Valley		18375	6
Bega Valley	(Other)	52	8
Bega Valley	(Other)	5250	23
Bega Valley	(Other)	7875	10
Bega Valley	(Other)	10500	12
Bega Valley	(Other)	11812	15
Bega Valley	(Other)	14437	15
Bega Valley	(Other)	18375	16
Bega Valley	(Other)	23625	4
Bega Valley	Co-op/church group etc	3937	5
Bega Valley	Co-op/church group etc	5250	21
Bega Valley	Co-op/church group etc	7875	17
Bega Valley	Co-op/church group etc	10500	9
Bega Valley	Co-op/church group etc	11812	12
Bega Valley	Co-op/church group etc	14437	10
Bega Valley	Co-op/church group etc	18375	6
Bega Valley	Person not in same household	52	15
Bega Valley	Person not in same household	3937	6
Bega Valley	Person not in same household	5250	50
Bega Valley	Person not in same household	7875	81
Bega Valley	Person not in same household	10500	91
Bega Valley	Person not in same household	11812	130
Bega Valley	Person not in same household	14437	182
Bega Valley	Person not in same household	18375	199
Bega Valley	Person not in same household	23625	54
Bega Valley	Person not in same household	28875	12
Bega Valley	Person not in same household	34125	4
Bega Valley	Person not in same household	49875	10
Bega Valley	Real estate agent	5250	16
Bega Valley	Real estate agent	7875	36
Bega Valley	Real estate agent	10500	84
Bega Valley	Real estate agent	11812	194
Bega Valley	Real estate agent	14437	423
Bega Valley	Real estate agent	18375	558
Bega Valley	Real estate agent	23625	219
Bega Valley	Real estate agent	28875	40
Bega Valley	Real estate agent	34125	6
Bega Valley	State or territory housing authority	52	4
Bega Valley	State or territory housing authority	3937	8
Bega Valley	State or territory housing authority	5250	103
Bega Valley	State or territory housing authority	7875	49
Bega Valley	State or territory housing authority	10500	18
Bega Valley	State or territory housing authority	11812	33
Bega Valley	State or territory housing authority	14437	32
Bega Valley	State or territory housing authority	18375	14
Bellingen		11812	3
Bellingen	(Other)	52	4
Bellingen	(Other)	5250	12
Bellingen	(Other)	7875	3
Bellingen	(Other)	10500	5
Bellingen	(Other)	11812	6
Bellingen	(Other)	14437	7
Bellingen	(Other)	18375	10
Bellingen	Co-op/church group etc	7875	11
Bellingen	Co-op/church group etc	10500	3
Bellingen	Co-op/church group etc	11812	3
Bellingen	Co-op/church group etc	14437	8
Bellingen	Person not in same household	52	7
Bellingen	Person not in same household	5250	11
Bellingen	Person not in same household	7875	24
Bellingen	Person not in same household	10500	37
Bellingen	Person not in same household	11812	44
Bellingen	Person not in same household	14437	86
Bellingen	Person not in same household	18375	110
Bellingen	Person not in same household	23625	30
Bellingen	Person not in same household	28875	5
Bellingen	Real estate agent	5250	6
Bellingen	Real estate agent	10500	11
Bellingen	Real estate agent	11812	49
Bellingen	Real estate agent	14437	139
Bellingen	Real estate agent	18375	225
Bellingen	Real estate agent	23625	106
Bellingen	Real estate agent	28875	25
Bellingen	Real estate agent	34125	3
Bellingen	State or territory housing authority	3937	3
Bellingen	State or territory housing authority	5250	9
Bellingen	State or territory housing authority	7875	30
Bellingen	State or territory housing authority	10500	4
Bellingen	State or territory housing authority	11812	9
Bellingen	State or territory housing authority	14437	12
Bellingen	State or territory housing authority	18375	9
Berrigan		5250	4
Berrigan	(Other)	52	5
Berrigan	(Other)	3937	3
Berrigan	(Other)	5250	23
Berrigan	(Other)	7875	8
Berrigan	(Other)	10500	8
Berrigan	(Other)	11812	6
Berrigan	(Other)	14437	6
Berrigan	Co-op/church group etc	3937	11
Berrigan	Co-op/church group etc	5250	5
Berrigan	Co-op/church group etc	7875	4
Berrigan	Co-op/church group etc	10500	5
Berrigan	Co-op/church group etc	11812	3
Berrigan	Person not in same household	52	4
Berrigan	Person not in same household	3937	4
Berrigan	Person not in same household	5250	27
Berrigan	Person not in same household	7875	61
Berrigan	Person not in same household	10500	34
Berrigan	Person not in same household	11812	28
Berrigan	Person not in same household	14437	23
Berrigan	Person not in same household	18375	19
Berrigan	Person not in same household	23625	4
Berrigan	Real estate agent	5250	35
Berrigan	Real estate agent	7875	44
Berrigan	Real estate agent	10500	54
Berrigan	Real estate agent	11812	74
Berrigan	Real estate agent	14437	84
Berrigan	Real estate agent	18375	29
Berrigan	State or territory housing authority	5250	4
Berrigan	State or territory housing authority	7875	7
Blacktown		52	4
Blacktown		3937	5
Blacktown		5250	15
Blacktown		7875	10
Blacktown		10500	12
Blacktown		11812	7
Blacktown		14437	15
Blacktown		18375	45
Blacktown		23625	22
Blacktown		28875	6
Blacktown		34125	5
Blacktown		39375	3
Blacktown	(Other)	52	5
Blacktown	(Other)	3937	10
Blacktown	(Other)	5250	20
Blacktown	(Other)	7875	42
Blacktown	(Other)	10500	18
Blacktown	(Other)	11812	97
Blacktown	(Other)	14437	106
Blacktown	(Other)	18375	264
Blacktown	(Other)	23625	144
Blacktown	(Other)	28875	38
Blacktown	(Other)	34125	9
Blacktown	(Other)	39375	5
Blacktown	(Other)	49875	8
Blacktown	Co-op/church group etc	52	8
Blacktown	Co-op/church group etc	3937	22
Blacktown	Co-op/church group etc	5250	91
Blacktown	Co-op/church group etc	7875	160
Blacktown	Co-op/church group etc	10500	64
Blacktown	Co-op/church group etc	11812	95
Blacktown	Co-op/church group etc	14437	94
Blacktown	Co-op/church group etc	18375	125
Blacktown	Co-op/church group etc	23625	26
Blacktown	Co-op/church group etc	28875	8
Blacktown	Co-op/church group etc	39375	6
Blacktown	Person not in same household	52	29
Blacktown	Person not in same household	3937	11
Blacktown	Person not in same household	5250	86
Blacktown	Person not in same household	7875	161
Blacktown	Person not in same household	10500	164
Blacktown	Person not in same household	11812	240
Blacktown	Person not in same household	14437	609
Blacktown	Person not in same household	18375	1564
Blacktown	Person not in same household	23625	828
Blacktown	Person not in same household	28875	337
Blacktown	Person not in same household	34125	119
Blacktown	Person not in same household	39375	27
Blacktown	Person not in same household	44625	9
Blacktown	Person not in same household	49875	16
Blacktown	Real estate agent	52	27
Blacktown	Real estate agent	3937	12
Blacktown	Real estate agent	5250	40
Blacktown	Real estate agent	7875	97
Blacktown	Real estate agent	10500	150
Blacktown	Real estate agent	11812	499
Blacktown	Real estate agent	14437	2857
Blacktown	Real estate agent	18375	10368
Blacktown	Real estate agent	23625	7210
Blacktown	Real estate agent	28875	4620
Blacktown	Real estate agent	34125	1484
Blacktown	Real estate agent	39375	236
Blacktown	Real estate agent	44625	57
Blacktown	Real estate agent	49875	74
Blacktown	State or territory housing authority	52	179
Blacktown	State or territory housing authority	3937	373
Blacktown	State or territory housing authority	5250	2032
Blacktown	State or territory housing authority	7875	1259
Blacktown	State or territory housing authority	10500	573
Blacktown	State or territory housing authority	11812	640
Blacktown	State or territory housing authority	14437	716
Blacktown	State or territory housing authority	18375	752
Blacktown	State or territory housing authority	23625	132
Blacktown	State or territory housing authority	28875	16
Blacktown	State or territory housing authority	34125	5
Blacktown	State or territory housing authority	39375	3
Bland		10500	4
Bland	(Other)	52	3
Bland	(Other)	5250	14
Bland	(Other)	7875	6
Bland	(Other)	10500	5
Bland	(Other)	11812	11
Bland	(Other)	14437	8
Bland	Co-op/church group etc	52	6
Bland	Co-op/church group etc	5250	9
Bland	Co-op/church group etc	7875	4
Bland	Person not in same household	52	8
Bland	Person not in same household	3937	3
Bland	Person not in same household	5250	26
Bland	Person not in same household	7875	22
Bland	Person not in same household	10500	19
Bland	Person not in same household	11812	22
Bland	Person not in same household	14437	18
Bland	Person not in same household	18375	4
Bland	Person not in same household	39375	6
Bland	Real estate agent	5250	3
Bland	Real estate agent	7875	34
Bland	Real estate agent	10500	9
Bland	Real estate agent	11812	24
Bland	Real estate agent	14437	35
Bland	Real estate agent	18375	13
Bland	Real estate agent	23625	4
Bland	State or territory housing authority	52	3
Bland	State or territory housing authority	3937	4
Bland	State or territory housing authority	5250	7
Bland	State or territory housing authority	7875	7
Bland	State or territory housing authority	11812	3
Bland	State or territory housing authority	14437	5
Blayney	(Other)	52	3
Blayney	(Other)	5250	3
Blayney	(Other)	7875	5
Blayney	Co-op/church group etc	5250	16
Blayney	Co-op/church group etc	7875	3
Blayney	Person not in same household	5250	9
Blayney	Person not in same household	7875	18
Blayney	Person not in same household	10500	30
Blayney	Person not in same household	11812	25
Blayney	Person not in same household	14437	31
Blayney	Person not in same household	18375	14
Blayney	Person not in same household	23625	4
Blayney	Person not in same household	49875	5
Blayney	Real estate agent	52	3
Blayney	Real estate agent	5250	4
Blayney	Real estate agent	7875	29
Blayney	Real estate agent	10500	32
Blayney	Real estate agent	11812	73
Blayney	Real estate agent	14437	116
Blayney	Real estate agent	18375	80
Blayney	Real estate agent	23625	11
Blayney	Real estate agent	28875	6
Blayney	State or territory housing authority	52	3
Blayney	State or territory housing authority	3937	5
Blayney	State or territory housing authority	5250	13
Blayney	State or territory housing authority	7875	11
Blayney	State or territory housing authority	10500	3
Blayney	State or territory housing authority	11812	12
Blue Mountains		7875	3
Blue Mountains		11812	5
Blue Mountains		14437	4
Blue Mountains		18375	4
Blue Mountains		23625	6
Blue Mountains	(Other)	7875	12
Blue Mountains	(Other)	10500	9
Blue Mountains	(Other)	11812	12
Blue Mountains	(Other)	14437	6
Blue Mountains	(Other)	18375	19
Blue Mountains	(Other)	23625	9
Blue Mountains	(Other)	28875	7
Blue Mountains	Co-op/church group etc	3937	10
Blue Mountains	Co-op/church group etc	5250	18
Blue Mountains	Co-op/church group etc	7875	126
Blue Mountains	Co-op/church group etc	10500	32
Blue Mountains	Co-op/church group etc	11812	65
Blue Mountains	Co-op/church group etc	14437	52
Blue Mountains	Co-op/church group etc	18375	42
Blue Mountains	Co-op/church group etc	23625	13
Blue Mountains	Person not in same household	3937	6
Blue Mountains	Person not in same household	5250	35
Blue Mountains	Person not in same household	7875	59
Blue Mountains	Person not in same household	10500	60
Blue Mountains	Person not in same household	11812	120
Blue Mountains	Person not in same household	14437	208
Blue Mountains	Person not in same household	18375	352
Blue Mountains	Person not in same household	23625	159
Blue Mountains	Person not in same household	28875	41
Blue Mountains	Person not in same household	34125	12
Blue Mountains	Person not in same household	44625	3
Blue Mountains	Person not in same household	49875	3
Blue Mountains	Real estate agent	5250	9
Blue Mountains	Real estate agent	7875	22
Blue Mountains	Real estate agent	10500	33
Blue Mountains	Real estate agent	11812	128
Blue Mountains	Real estate agent	14437	396
Blue Mountains	Real estate agent	18375	1321
Blue Mountains	Real estate agent	23625	1094
Blue Mountains	Real estate agent	28875	330
Blue Mountains	Real estate agent	34125	130
Blue Mountains	Real estate agent	39375	42
Blue Mountains	Real estate agent	44625	13
Blue Mountains	Real estate agent	49875	7
Blue Mountains	State or territory housing authority	52	5
Blue Mountains	State or territory housing authority	3937	11
Blue Mountains	State or territory housing authority	5250	13
Blue Mountains	State or territory housing authority	7875	84
Blue Mountains	State or territory housing authority	10500	20
Blue Mountains	State or territory housing authority	11812	16
Blue Mountains	State or territory housing authority	14437	29
Blue Mountains	State or territory housing authority	18375	15
Blue Mountains	State or territory housing authority	23625	7
Bogan	(Other)	52	7
Bogan	(Other)	3937	4
Bogan	(Other)	5250	16
Bogan	(Other)	7875	8
Bogan	(Other)	10500	4
Bogan	(Other)	11812	9
Bogan	Co-op/church group etc	5250	4
Bogan	Co-op/church group etc	7875	7
Bogan	Co-op/church group etc	10500	4
Bogan	Person not in same household	52	3
Bogan	Person not in same household	5250	18
Bogan	Person not in same household	7875	16
Bogan	Person not in same household	10500	12
Bogan	Person not in same household	11812	17
Bogan	Person not in same household	14437	16
Bogan	Person not in same household	18375	6
Bogan	Person not in same household	49875	3
Bogan	Real estate agent	7875	5
Bogan	Real estate agent	10500	4
Bogan	Real estate agent	11812	6
Bogan	Real estate agent	14437	11
Bogan	Real estate agent	18375	4
Bogan	State or territory housing authority	52	5
Bogan	State or territory housing authority	3937	3
Bogan	State or territory housing authority	5250	6
Bogan	State or territory housing authority	7875	4
Bogan	State or territory housing authority	10500	3
Bogan	State or territory housing authority	11812	7
Bourke		3937	4
Bourke	(Other)	52	33
Bourke	(Other)	3937	5
Bourke	(Other)	5250	4
Bourke	(Other)	7875	9
Bourke	(Other)	10500	7
Bourke	(Other)	11812	6
Bourke	Co-op/church group etc	3937	5
Bourke	Co-op/church group etc	5250	10
Bourke	Co-op/church group etc	7875	15
Bourke	Co-op/church group etc	10500	5
Bourke	Co-op/church group etc	14437	4
Bourke	Person not in same household	52	4
Bourke	Person not in same household	5250	10
Bourke	Person not in same household	7875	7
Bourke	Person not in same household	10500	4
Bourke	Person not in same household	11812	18
Bourke	Person not in same household	14437	12
Bourke	Person not in same household	18375	5
Bourke	Real estate agent	52	3
Bourke	Real estate agent	7875	4
Bourke	Real estate agent	10500	5
Bourke	Real estate agent	11812	20
Bourke	Real estate agent	14437	4
Bourke	Real estate agent	18375	5
Bourke	State or territory housing authority	52	7
Bourke	State or territory housing authority	5250	10
Bourke	State or territory housing authority	7875	10
Bourke	State or territory housing authority	10500	3
Bourke	State or territory housing authority	11812	11
Bourke	State or territory housing authority	18375	3
Brewarrina		5250	3
Brewarrina	(Other)	52	13
Brewarrina	(Other)	5250	3
Brewarrina	(Other)	7875	5
Brewarrina	Co-op/church group etc	3937	5
Brewarrina	Co-op/church group etc	5250	3
Brewarrina	Co-op/church group etc	7875	23
Brewarrina	Co-op/church group etc	10500	4
Brewarrina	Person not in same household	5250	3
Brewarrina	Person not in same household	7875	8
Brewarrina	Person not in same household	10500	4
Brewarrina	Person not in same household	14437	3
Brewarrina	Real estate agent	7875	4
Brewarrina	Real estate agent	11812	3
Brewarrina	State or territory housing authority	52	5
Brewarrina	State or territory housing authority	3937	3
Brewarrina	State or territory housing authority	5250	24
Brewarrina	State or territory housing authority	7875	48
Brewarrina	State or territory housing authority	10500	3
Brewarrina	State or territory housing authority	11812	5
Brewarrina	State or territory housing authority	18375	3
Broken Hill		5250	4
Broken Hill	(Other)	52	36
Broken Hill	(Other)	3937	25
Broken Hill	(Other)	5250	19
Broken Hill	(Other)	7875	31
Broken Hill	(Other)	10500	27
Broken Hill	(Other)	11812	16
Broken Hill	(Other)	14437	5
Broken Hill	(Other)	18375	6
Broken Hill	Co-op/church group etc	3937	11
Broken Hill	Co-op/church group etc	5250	7
Broken Hill	Co-op/church group etc	7875	28
Broken Hill	Co-op/church group etc	10500	9
Broken Hill	Co-op/church group etc	11812	8
Broken Hill	Person not in same household	52	8
Broken Hill	Person not in same household	3937	8
Broken Hill	Person not in same household	5250	69
Broken Hill	Person not in same household	7875	126
Broken Hill	Person not in same household	10500	113
Broken Hill	Person not in same household	11812	117
Broken Hill	Person not in same household	14437	67
Broken Hill	Person not in same household	18375	26
Broken Hill	Person not in same household	28875	6
Broken Hill	Real estate agent	3937	7
Broken Hill	Real estate agent	5250	29
Broken Hill	Real estate agent	7875	160
Broken Hill	Real estate agent	10500	125
Broken Hill	Real estate agent	11812	211
Broken Hill	Real estate agent	14437	151
Broken Hill	Real estate agent	18375	77
Broken Hill	Real estate agent	23625	11
Broken Hill	State or territory housing authority	52	13
Broken Hill	State or territory housing authority	3937	10
Broken Hill	State or territory housing authority	5250	12
Broken Hill	State or territory housing authority	7875	32
Broken Hill	State or territory housing authority	10500	19
Broken Hill	State or territory housing authority	11812	22
Broken Hill	State or territory housing authority	14437	9
Broken Hill	State or territory housing authority	18375	5
Burwood		7875	3
Burwood		14437	3
Burwood		18375	5
Burwood		23625	5
Burwood	(Other)	5250	9
Burwood	(Other)	7875	13
Burwood	(Other)	10500	13
Burwood	(Other)	11812	18
Burwood	(Other)	14437	17
Burwood	(Other)	18375	27
Burwood	(Other)	23625	40
Burwood	(Other)	28875	21
Burwood	(Other)	34125	8
Burwood	(Other)	39375	9
Burwood	(Other)	44625	3
Burwood	(Other)	49875	6
Burwood	Co-op/church group etc	5250	18
Burwood	Co-op/church group etc	7875	28
Burwood	Co-op/church group etc	11812	10
Burwood	Co-op/church group etc	14437	12
Burwood	Co-op/church group etc	18375	10
Burwood	Co-op/church group etc	23625	17
Burwood	Co-op/church group etc	28875	9
Burwood	Co-op/church group etc	34125	3
