LGA_NAME16	HomeCensusNight	Sex	persons
Eurobodalla	0	M	1120
Eurobodalla	1	F	19704
Eurobodalla	1	M	18773
Fairfield	0	F	2234
Fairfield	0	M	2222
Fairfield	1	F	103364
Fairfield	1	M	100653
Federation	0	F	339
Federation	0	M	390
Federation	1	F	6131
Federation	1	M	6037
Forbes	0	F	216
Forbes	0	M	260
Forbes	1	F	4506
Forbes	1	M	4344
Georges River	0	F	1673
Georges River	0	M	1547
Georges River	1	F	75582
Georges River	1	M	73476
Gilgandra	0	F	103
Gilgandra	0	M	98
Gilgandra	1	F	2076
Gilgandra	1	M	2015
Glen Innes Severn	0	F	223
Glen Innes Severn	0	M	223
Glen Innes Severn	1	F	4297
Glen Innes Severn	1	M	4187
Goulburn Mulwaree	0	F	556
Goulburn Mulwaree	0	M	657
Goulburn Mulwaree	1	F	15351
Goulburn Mulwaree	1	M	15483
Greater Hume Shire	0	F	224
Greater Hume Shire	0	M	276
Greater Hume Shire	1	F	5266
Greater Hume Shire	1	M	5385
Griffith	0	F	390
Griffith	0	M	468
Griffith	1	F	13101
Griffith	1	M	13126
Gunnedah	0	F	226
Gunnedah	0	M	261
Gunnedah	1	F	6272
Gunnedah	1	M	6173
Gwydir	0	F	122
Gwydir	0	M	145
Gwydir	1	F	2344
Gwydir	1	M	2303
Hawkesbury	0	F	804
Hawkesbury	0	M	1013
Hawkesbury	1	F	32949
Hawkesbury	1	M	32449
Hay	0	F	65
Hay	0	M	103
Hay	1	F	1372
Hay	1	M	1339
Hilltops	0	F	490
Hilltops	0	M	498
Hilltops	1	F	9299
Hilltops	1	M	8966
Hornsby	0	F	1671
Hornsby	0	M	1616
Hornsby	1	F	75784
Hornsby	1	M	72744
Hunters Hill	0	F	459
Hunters Hill	0	M	419
Hunters Hill	1	F	6506
Hunters Hill	1	M	6176
Inner West	0	F	3286
Inner West	0	M	3105
Inner West	1	F	90357
Inner West	1	M	86060
Inverell	0	F	383
Inverell	0	M	440
Inverell	1	F	8690
Inverell	1	M	8341
Junee	0	F	86
Junee	0	M	125
Junee	1	F	2667
Junee	1	M	3536
Kempsey	0	F	657
Kempsey	0	M	742
Kempsey	1	F	14605
Kempsey	1	M	14681
Kiama	0	F	577
Kiama	0	M	604
Kiama	1	F	11271
Kiama	1	M	10617
Ku-ring-gai	0	F	1648
Ku-ring-gai	0	M	1599
Ku-ring-gai	1	F	62575
Ku-ring-gai	1	M	58253
Kyogle	0	F	184
Kyogle	0	M	216
Kyogle	1	F	4527
Kyogle	1	M	4437
Lachlan	0	F	161
Lachlan	0	M	188
Lachlan	1	F	2885
Lachlan	1	M	2861
Lake Macquarie	0	F	3729
Lake Macquarie	0	M	4293
Lake Macquarie	1	F	105804
Lake Macquarie	1	M	100017
Lane Cove	0	F	681
Lane Cove	0	M	663
Lane Cove	1	F	19447
Lane Cove	1	M	18642
Leeton	0	F	228
Leeton	0	M	228
Leeton	1	F	5581
Leeton	1	M	5419
Lismore	0	F	760
Lismore	0	M	827
Lismore	1	F	21807
Lismore	1	M	20934
Lithgow	0	F	399
Lithgow	0	M	504
Lithgow	1	F	9915
Lithgow	1	M	10026
Liverpool	0	F	2095
Liverpool	0	M	2407
Liverpool	1	F	115182
Liverpool	1	M	113757
Liverpool Plains	0	F	138
Liverpool Plains	0	M	189
Liverpool Plains	1	F	3625
Liverpool Plains	1	M	3602
Lockhart	0	F	61
Lockhart	0	M	74
Lockhart	1	F	1609
Lockhart	1	M	1577
Maitland	0	F	1336
Maitland	0	M	1631
Maitland	1	F	44975
Maitland	1	M	42279
Mid-Coast	0	F	2150
Mid-Coast	0	M	2513
Mid-Coast	1	F	47342
Mid-Coast	1	M	44571
Mid-Western Regional	0	F	486
Mid-Western Regional	0	M	573
Mid-Western Regional	1	F	12284
Mid-Western Regional	1	M	12369
Moree Plains	0	F	279
Moree Plains	0	M	341
Moree Plains	1	F	6093
Moree Plains	1	M	6036
Mosman	0	F	740
Mosman	0	M	620
Mosman	1	F	14548
Mosman	1	M	12411
Murray River	0	F	368
Murray River	0	M	404
Murray River	1	F	6076
Murray River	1	M	6005
Murrumbidgee	0	F	99
Murrumbidgee	0	M	116
Murrumbidgee	1	F	1510
Murrumbidgee	1	M	1634
Muswellbrook	0	F	250
Muswellbrook	0	M	309
Muswellbrook	1	F	7706
Muswellbrook	1	M	8090
Nambucca Valley	0	F	413
Nambucca Valley	0	M	452
Nambucca Valley	1	F	10051
Nambucca Valley	1	M	9485
Narrabri	0	F	247
Narrabri	0	M	290
Narrabri	1	F	6060
Narrabri	1	M	6109
Narrandera	0	F	134
Narrandera	0	M	167
Narrandera	1	F	2743
Narrandera	1	M	2656
Narromine	0	F	138
Narromine	0	M	173
Narromine	1	F	3006
Narromine	1	M	3040
Newcastle	0	F	3581
Newcastle	0	M	3802
Newcastle	1	F	82311
Newcastle	1	M	79178
North Sydney	0	F	1667
North Sydney	0	M	1450
North Sydney	1	F	34837
North Sydney	1	M	30991
Northern Beaches	0	F	4142
Northern Beaches	0	M	4149
Northern Beaches	1	F	130482
Northern Beaches	1	M	124781
Oberon	0	F	115
Oberon	0	M	151
Oberon	1	F	2544
Oberon	1	M	2760
Orange	0	F	782
Orange	0	M	965
Orange	1	F	21548
Orange	1	M	20212
Parkes	0	F	308
Parkes	0	M	358
Parkes	1	F	6895
Parkes	1	M	6794
Parramatta	0	F	2444
Parramatta	0	M	2540
Parramatta	1	F	125552
Parramatta	1	M	126198
Penrith	0	F	2252
Penrith	0	M	2533
Penrith	1	F	107825
Penrith	1	M	105053
Port Macquarie-Hastings	0	F	1794
Port Macquarie-Hastings	0	M	1907
Port Macquarie-Hastings	1	F	43393
Port Macquarie-Hastings	1	M	39667
Port Stephens	0	F	1544
Port Stephens	0	M	1746
Port Stephens	1	F	36674
Port Stephens	1	M	35312
Queanbeyan-Palerang Regional	0	F	1073
Queanbeyan-Palerang Regional	0	M	1256
Queanbeyan-Palerang Regional	1	F	30367
Queanbeyan-Palerang Regional	1	M	30609
Randwick	0	F	2512
Randwick	0	M	2363
Randwick	1	F	66358
Randwick	1	M	63015
Richmond Valley	0	F	394
Richmond Valley	0	M	504
Richmond Valley	1	F	11546
Richmond Valley	1	M	11131
Ryde	0	F	1682
Ryde	0	M	1563
Ryde	1	F	64398
Ryde	1	M	61478
Shellharbour	0	F	971
Shellharbour	0	M	1108
Shellharbour	1	F	38036
Shellharbour	1	M	36151
Shoalhaven	0	F	2433
Shoalhaven	0	M	2841
Shoalhaven	1	F	52374
Shoalhaven	1	M	50880
Singleton	0	F	300
Singleton	0	M	411
Singleton	1	F	11619
Singleton	1	M	12250
Snowy Monaro Regional	0	F	598
Snowy Monaro Regional	0	M	629
Snowy Monaro Regional	1	F	9898
Snowy Monaro Regional	1	M	10543
Snowy Valleys	0	F	318
Snowy Valleys	0	M	413
Snowy Valleys	1	F	7073
Snowy Valleys	1	M	7085
Strathfield	0	F	439
Strathfield	0	M	476
Strathfield	1	F	21791
Strathfield	1	M	22885
Sutherland Shire	0	F	2828
Sutherland Shire	0	M	3058
Sutherland Shire	1	F	114822
Sutherland Shire	1	M	109498
Sydney	0	F	4911
Sydney	0	M	4844
Sydney	1	F	96106
Sydney	1	M	105776
Tamworth Regional	0	F	1102
Tamworth Regional	0	M	1299
Tamworth Regional	1	F	31059
Tamworth Regional	1	M	29608
Temora	0	F	152
Temora	0	M	170
Temora	1	F	2936
Temora	1	M	2776
Tenterfield	0	F	149
Tenterfield	0	M	163
Tenterfield	1	F	3330
Tenterfield	1	M	3167
The Hills Shire	0	F	1629
The Hills Shire	0	M	1675
The Hills Shire	1	F	95590
The Hills Shire	1	M	92980
Tweed	0	F	1956
Tweed	0	M	2099
Tweed	1	F	48629
Tweed	1	M	44711
Upper Hunter Shire	0	F	239
Upper Hunter Shire	0	M	291
Upper Hunter Shire	1	F	6877
Upper Hunter Shire	1	M	6821
Upper Lachlan Shire	0	F	181
Upper Lachlan Shire	0	M	193
Upper Lachlan Shire	1	F	4018
Upper Lachlan Shire	1	M	4122
Uralla	0	F	113
Uralla	0	M	117
Uralla	1	F	2971
Uralla	1	M	2765
Wagga Wagga	0	F	1243
Wagga Wagga	0	M	1398
Wagga Wagga	1	F	33479
Wagga Wagga	1	M	31484
Walcha	0	F	84
Walcha	0	M	104
Walcha	1	F	1416
Walcha	1	M	1416
Walgett	0	F	167
Walgett	0	M	190
Walgett	1	F	2427
Walgett	1	M	2468
Warren	0	F	65
Warren	0	M	72
Warren	1	F	1213
Warren	1	M	1197
Warrumbungle Shire	0	F	187
Warrumbungle Shire	0	M	250
Warrumbungle Shire	1	F	4428
Warrumbungle Shire	1	M	4364
Waverley	0	F	1491
Waverley	0	M	1381
Waverley	1	F	33841
Waverley	1	M	31893
Weddin	0	F	101
Weddin	0	M	99
Weddin	1	F	1665
Weddin	1	M	1746
Wentworth	0	F	155
Wentworth	0	M	235
Wentworth	1	F	3434
Wentworth	1	M	3635
Willoughby	0	F	1130
Willoughby	0	M	1072
Willoughby	1	F	38082
Willoughby	1	M	35329
Wingecarribee	0	F	962
Wingecarribee	0	M	992
Wingecarribee	1	F	26432
Wingecarribee	1	M	24323
Wollondilly	0	F	624
Wollondilly	0	M	691
Wollondilly	1	F	26313
Wollondilly	1	M	26349
Wollongong	0	F	3215
Wollongong	0	M	3340
Wollongong	1	F	105735
Wollongong	1	M	102280
Woollahra	0	F	1746
Woollahra	0	M	1474
Woollahra	1	F	26798
Woollahra	1	M	23473
Yass Valley	0	F	358
Yass Valley	0	M	370
Yass Valley	1	F	8421
Yass Valley	1	M	8124
Unincorporated NSW	0	F	49
Unincorporated NSW	0	M	52
Unincorporated NSW	1	F	440
Unincorporated NSW	1	M	474
No usual address (NSW)	0	F	4997
No usual address (NSW)	0	M	6375
Alpine	0	F	427
Alpine	0	M	454
Alpine	1	F	6244
Alpine	1	M	6109
Ararat	0	F	240
Ararat	0	M	222
Ararat	1	F	5363
Ararat	1	M	6054
Ballarat	0	F	2101
Ballarat	0	M	2185
Ballarat	1	F	56920
Ballarat	1	M	52551
Banyule	0	F	1798
Banyule	0	M	1754
Banyule	1	F	63035
Banyule	1	M	59642
Bass Coast	0	F	1278
Bass Coast	0	M	1298
Bass Coast	1	F	19677
Bass Coast	1	M	18533
Baw Baw	0	F	1120
Baw Baw	0	M	1217
Baw Baw	1	F	28466
Baw Baw	1	M	26815
Bayside (Vic.)	0	F	1938
Bayside (Vic.)	0	M	1794
Bayside (Vic.)	1	F	50995
Bayside (Vic.)	1	M	46590
Benalla	0	F	296
Benalla	0	M	346
Benalla	1	F	7177
Benalla	1	M	6708
Boroondara	0	F	3003
Boroondara	0	M	2778
Boroondara	1	F	84387
Boroondara	1	M	77731
Brimbank	0	F	1798
Brimbank	0	M	1878
Brimbank	1	F	95325
Brimbank	1	M	95613
Buloke	0	F	93
Buloke	0	M	114
Buloke	1	F	2901
Buloke	1	M	3073
Campaspe	0	F	806
Campaspe	0	M	915
Campaspe	1	F	18827
Campaspe	1	M	18190
Cardinia	0	F	1482
Cardinia	0	M	1519
Cardinia	1	F	58445
Cardinia	1	M	56755
Casey	0	F	3218
Casey	0	M	3480
Casey	1	F	179985
Casey	1	M	178560
Central Goldfields	0	F	216
Central Goldfields	0	M	297
Central Goldfields	1	F	6614
Central Goldfields	1	M	6347
Colac Otway	0	F	549
Colac Otway	0	M	604
Colac Otway	1	F	10650
Colac Otway	1	M	10622
Corangamite	0	F	341
Corangamite	0	M	380
Corangamite	1	F	7662
Corangamite	1	M	7730
Darebin	0	F	2428
Darebin	0	M	2119
Darebin	1	F	73983
Darebin	1	M	70043
East Gippsland	0	F	1287
East Gippsland	0	M	1475
East Gippsland	1	F	23479
East Gippsland	1	M	22476
Frankston	0	F	1954
Frankston	0	M	2029
Frankston	1	F	69285
Frankston	1	M	66012
Gannawarra	0	F	216
Gannawarra	0	M	288
Gannawarra	1	F	5147
Gannawarra	1	M	5025
Glen Eira	0	F	2057
Glen Eira	0	M	1823
Glen Eira	1	F	74630
Glen Eira	1	M	70400
Glenelg	0	F	499
Glenelg	0	M	545
Glenelg	1	F	9599
Glenelg	1	M	9504
Golden Plains	0	F	337
Golden Plains	0	M	445
Golden Plains	1	F	11865
Golden Plains	1	M	12335
Greater Bendigo	0	F	2176
Greater Bendigo	0	M	2337
Greater Bendigo	1	F	60410
Greater Bendigo	1	M	56548
Greater Dandenong	0	F	1533
Greater Dandenong	0	M	1672
Greater Dandenong	1	F	76382
Greater Dandenong	1	M	78621
Greater Geelong	0	F	4962
Greater Geelong	0	M	5230
Greater Geelong	1	F	134236
Greater Geelong	1	M	126629
Greater Shepparton	0	F	1207
Greater Shepparton	0	M	1354
Greater Shepparton	1	F	33181
Greater Shepparton	1	M	32671
Hepburn	0	F	411
Hepburn	0	M	434
Hepburn	1	F	8041
Hepburn	1	M	7720
Hindmarsh	0	F	116
Hindmarsh	0	M	142
Hindmarsh	1	F	2729
Hindmarsh	1	M	2714
Hobsons Bay	0	F	1184
Hobsons Bay	0	M	1199
Hobsons Bay	1	F	45444
Hobsons Bay	1	M	43495
Horsham	0	F	371
Horsham	0	M	461
Horsham	1	F	10041
Horsham	1	M	9550
Hume	0	F	2014
Hume	0	M	2131
Hume	1	F	119877
Hume	1	M	119876
Indigo	0	F	374
Indigo	0	M	468
Indigo	1	F	8409
Indigo	1	M	8115
Kingston (Vic.)	0	F	2056
Kingston (Vic.)	0	M	1971
Kingston (Vic.)	1	F	79420
Kingston (Vic.)	1	M	74681
Knox	0	F	1755
Knox	0	M	1760
Knox	1	F	79412
Knox	1	M	76177
Latrobe (Vic.)	0	F	1478
Latrobe (Vic.)	0	M	1590
Latrobe (Vic.)	1	F	38026
Latrobe (Vic.)	1	M	36224
Loddon	0	F	165
Loddon	0	M	170
Loddon	1	F	3661
Loddon	1	M	3751
Macedon Ranges	0	F	875
Macedon Ranges	0	M	954
Macedon Ranges	1	F	25231
Macedon Ranges	1	M	24395
Manningham	0	F	1481
Manningham	0	M	1422
Manningham	1	F	62895
Manningham	1	M	58901
Mansfield	0	F	382
Mansfield	0	M	402
Mansfield	1	F	4780
Mansfield	1	M	4615
Maribyrnong	0	F	1185
Maribyrnong	0	M	1164
Maribyrnong	1	F	41312
Maribyrnong	1	M	41548
Maroondah	0	F	1631
Maroondah	0	M	1582
Maroondah	1	F	57725
Maroondah	1	M	54111
Melbourne	0	F	2987
Melbourne	0	M	2776
Melbourne	1	F	72203
Melbourne	1	M	71649
Melton	0	F	1456
Melton	0	M	1515
Melton	1	F	88224
Melton	1	M	87767
Mildura	0	F	1014
Mildura	0	M	1278
Mildura	1	F	27917
Mildura	1	M	26760
Mitchell	0	F	714
Mitchell	0	M	788
Mitchell	1	F	23828
Mitchell	1	M	24134
Moira	0	F	718
Moira	0	M	784
Moira	1	F	14571
Moira	1	M	14448
Monash	0	F	2065
Monash	0	M	1945
Monash	1	F	93487
Monash	1	M	92900
Moonee Valley	0	F	1790
Moonee Valley	0	M	1726
Moonee Valley	1	F	60875
Moonee Valley	1	M	57459
Moorabool	0	F	582
Moorabool	0	M	621
Moorabool	1	F	18405
Moorabool	1	M	18017
Moreland	0	F	2578
Moreland	0	M	2270
Moreland	1	F	85330
Moreland	1	M	81178
Mornington Peninsula	0	F	4165
Mornington Peninsula	0	M	4275
Mornington Peninsula	1	F	83104
Mornington Peninsula	1	M	77406
Mount Alexander	0	F	386
Mount Alexander	0	M	342
Mount Alexander	1	F	9757
Mount Alexander	1	M	9763
Moyne	0	F	372
Moyne	0	M	420
Moyne	1	F	8411
Moyne	1	M	8174
Murrindindi	0	F	335
Murrindindi	0	M	398
Murrindindi	1	F	7042
Murrindindi	1	M	7422
Nillumbik	0	F	906
Nillumbik	0	M	975
Nillumbik	1	F	30889
Nillumbik	1	M	30126
Northern Grampians	0	F	262
Northern Grampians	0	M	284
Northern Grampians	1	F	5703
Northern Grampians	1	M	5705
Port Phillip	0	F	2471
Port Phillip	0	M	2123
Port Phillip	1	F	49770
Port Phillip	1	M	47581
Pyrenees	0	F	156
Pyrenees	0	M	178
Pyrenees	1	F	3512
Pyrenees	1	M	3817
Queenscliffe	0	F	141
Queenscliffe	0	M	141
Queenscliffe	1	F	1588
Queenscliffe	1	M	1408
South Gippsland	0	F	745
South Gippsland	0	M	786
South Gippsland	1	F	14710
South Gippsland	1	M	14331
Southern Grampians	0	F	380
Southern Grampians	0	M	395
Southern Grampians	1	F	8079
Southern Grampians	1	M	7731
Stonnington	0	F	2573
Stonnington	0	M	2323
Stonnington	1	F	52235
Stonnington	1	M	47573
Strathbogie	0	F	232
Strathbogie	0	M	297
Strathbogie	1	F	5542
Strathbogie	1	M	5386
Surf Coast	0	F	1138
Surf Coast	0	M	1250
Surf Coast	1	F	17954
Surf Coast	1	M	17359
Swan Hill	0	F	425
Swan Hill	0	M	491
Swan Hill	1	F	10227
Swan Hill	1	M	10257
Towong	0	F	188
Towong	0	M	216
Towong	1	F	2868
Towong	1	M	2950
Wangaratta	0	F	598
Wangaratta	0	M	671
Wangaratta	1	F	14827
Wangaratta	1	M	13712
Warrnambool	0	F	710
Warrnambool	0	M	746
Warrnambool	1	F	17661
Warrnambool	1	M	16289
Wellington	0	F	988
Wellington	0	M	1266
Wellington	1	F	21661
Wellington	1	M	21723
West Wimmera	0	F	103
West Wimmera	0	M	95
West Wimmera	1	F	1895
West Wimmera	1	M	1914
Whitehorse	0	F	2209
Whitehorse	0	M	1970
Whitehorse	1	F	85215
Whitehorse	1	M	79950
Whittlesea	0	F	2047
Whittlesea	0	M	2126
Whittlesea	1	F	113514
Whittlesea	1	M	111713
Wodonga	0	F	837
Wodonga	0	M	878
Wodonga	1	F	21347
Wodonga	1	M	20187
Wyndham	0	F	2111
Wyndham	0	M	2423
Wyndham	1	F	142448
Wyndham	1	M	145027
Yarra	0	F	2206
Yarra	0	M	2109
Yarra	1	F	43921
Yarra	1	M	41878
Yarra Ranges	0	F	2489
Yarra Ranges	0	M	2690
Yarra Ranges	1	F	76386
Yarra Ranges	1	M	74504
Yarriambiack	0	F	136
Yarriambiack	0	M	167
Yarriambiack	1	F	3093
Yarriambiack	1	M	3159
Unincorporated Vic	0	F	21
Unincorporated Vic	0	M	23
Unincorporated Vic	1	F	441
Unincorporated Vic	1	M	476
No usual address (Vic.)	0	F	3915
No usual address (Vic.)	0	M	5170
Migratory - Offshore - Shipping (Vic.)	1	F	6
Migratory - Offshore - Shipping (Vic.)	1	M	35
Aurukun	0	F	72
Aurukun	0	M	51
Aurukun	1	F	504
Aurukun	1	M	470
Balonne	0	F	156
Balonne	0	M	168
Balonne	1	F	1990
Balonne	1	M	2003
Banana	0	F	382
Banana	0	M	440
Banana	1	F	6668
Banana	1	M	7024
Barcaldine	0	F	136
Barcaldine	0	M	151
Barcaldine	1	F	1278
Barcaldine	1	M	1280
Barcoo	0	F	18
Barcoo	0	M	14
Barcoo	1	F	135
Barcoo	1	M	144
Blackall Tambo	0	F	89
Blackall Tambo	0	M	63
Blackall Tambo	1	F	874
Blackall Tambo	1	M	880
Boulia	0	F	23
Boulia	0	M	25
Boulia	1	F	209
Boulia	1	M	205
Brisbane	0	F	19017
Brisbane	0	M	21548
Brisbane	1	F	612208
Brisbane	1	M	590046
Bulloo	0	F	11
Bulloo	0	M	21
Bulloo	1	F	135
Bulloo	1	M	170
Bundaberg	0	F	2295
Bundaberg	0	M	3044
Bundaberg	1	F	48122
Bundaberg	1	M	45754
Burdekin	0	F	382
Burdekin	0	M	479
Burdekin	1	F	7828
Burdekin	1	M	8012
Burke	0	F	11
Burke	0	M	10
Burke	1	F	162
Burke	1	M	232
Cairns	0	F	3604
Cairns	0	M	4557
Cairns	1	F	81001
Cairns	1	M	77782
Carpentaria	0	F	80
Carpentaria	0	M	117
Carpentaria	1	F	905
Carpentaria	1	M	991
Cassowary Coast	0	F	633
Cassowary Coast	0	M	881
Cassowary Coast	1	F	13541
Cassowary Coast	1	M	14101
Central Highlands (Qld)	0	F	696
Central Highlands (Qld)	0	M	1119
Central Highlands (Qld)	1	F	12607
Central Highlands (Qld)	1	M	13405
Charters Towers	0	F	321
Charters Towers	0	M	496
Charters Towers	1	F	5603
Charters Towers	1	M	5377
Cherbourg	0	F	23
Cherbourg	0	M	36
Cherbourg	1	F	592
Cherbourg	1	M	548
Cloncurry	0	F	92
Cloncurry	0	M	136
Cloncurry	1	F	1493
Cloncurry	1	M	1922
Cook	0	F	130
Cook	0	M	170
Cook	1	F	1959
Cook	1	M	2247
Croydon	0	F	10
Croydon	0	M	22
Croydon	1	F	117
Croydon	1	M	114
Diamantina	0	F	11
Diamantina	0	M	13
Diamantina	1	F	108
Diamantina	1	M	128
Doomadgee	0	F	23
Doomadgee	0	M	19
Doomadgee	1	F	668
Doomadgee	1	M	675
Douglas	0	F	298
Douglas	0	M	391
Douglas	1	F	5774
Douglas	1	M	5871
Etheridge	0	F	57
Etheridge	0	M	62
Etheridge	1	F	277
Etheridge	1	M	315
Flinders (Qld)	0	F	92
Flinders (Qld)	0	M	79
Flinders (Qld)	1	F	674
Flinders (Qld)	1	M	658
Fraser Coast	0	F	2783
Fraser Coast	0	M	3167
Fraser Coast	1	F	53914
Fraser Coast	1	M	51170
Gladstone	0	F	1442
Gladstone	0	M	2208
Gladstone	1	F	29861
Gladstone	1	M	30008
Gold Coast	0	F	9791
Gold Coast	0	M	11529
Gold Coast	1	F	311871
Gold Coast	1	M	291893
Goondiwindi	0	F	258
Goondiwindi	0	M	358
Goondiwindi	1	F	4890
Goondiwindi	1	M	4806
Gympie	0	F	1214
Gympie	0	M	1665
Gympie	1	F	25623
Gympie	1	M	24741
Hinchinbrook	0	F	256
Hinchinbrook	0	M	366
Hinchinbrook	1	F	5105
Hinchinbrook	1	M	5191
Hope Vale	0	F	28
Hope Vale	0	M	34
Hope Vale	1	F	439
Hope Vale	1	M	469
Ipswich	0	F	3134
Ipswich	0	M	3953
Ipswich	1	F	112845
Ipswich	1	M	109271
Isaac	0	F	563
Isaac	0	M	752
Isaac	1	F	9103
Isaac	1	M	11632
Kowanyama	0	F	34
Kowanyama	0	M	37
Kowanyama	1	F	518
Kowanyama	1	M	484
Livingstone	0	F	1058
Livingstone	0	M	1932
Livingstone	1	F	18082
Livingstone	1	M	18322
Lockhart River	0	F	35
Lockhart River	0	M	31
Lockhart River	1	F	268
Lockhart River	1	M	302
Lockyer Valley	0	F	710
Lockyer Valley	0	M	941
Lockyer Valley	1	F	20003
Lockyer Valley	1	M	19442
Logan	0	F	4508
Logan	0	M	5368
Logan	1	F	170273
Logan	1	M	164947
Longreach	0	F	160
Longreach	0	M	152
Longreach	1	F	1684
Longreach	1	M	1653
Mackay	0	F	2857
Mackay	0	M	5407
Mackay	1	F	57631
Mackay	1	M	55798
McKinlay	0	F	27
McKinlay	0	M	33
McKinlay	1	F	347
McKinlay	1	M	416
Mapoon	0	F	23
Mapoon	0	M	34
Mapoon	1	F	195
Mapoon	1	M	185
Maranoa	0	F	392
Maranoa	0	M	472
Maranoa	1	F	6034
Maranoa	1	M	5925
Mareeba	0	F	504
Mareeba	0	M	694
Mareeba	1	F	10271
Mareeba	1	M	11396
Moreton Bay	0	F	7166
Moreton Bay	0	M	8981
Moreton Bay	1	F	236338
Moreton Bay	1	M	223857
Mornington	0	F	63
Mornington	0	M	56
Mornington	1	F	469
Mornington	1	M	440
Mount Isa	0	F	446
Mount Isa	0	M	585
Mount Isa	1	F	8625
Mount Isa	1	M	9068
Murweh	0	F	150
Murweh	0	M	146
