LGA_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Coolamon	0	1	450
Coolamon	0	2	37
Coolamon	0	4	3
Coolamon	1	2	605
Coolamon	1	3	199
Coolamon	1	4	150
Coolamon	1	5	148
Coolamon	1	6	58
Coonamble	0	1	420
Coonamble	0	2	42
Coonamble	0	3	6
Coonamble	1	2	410
Coonamble	1	3	178
Coonamble	1	4	122
Coonamble	1	5	83
Coonamble	1	6	53
Cootamundra-Gundagai Regional	0	1	1419
Cootamundra-Gundagai Regional	0	2	72
Cootamundra-Gundagai Regional	0	3	9
Cootamundra-Gundagai Regional	0	4	4
Cootamundra-Gundagai Regional	1	2	1657
Cootamundra-Gundagai Regional	1	3	497
Cootamundra-Gundagai Regional	1	4	452
Cootamundra-Gundagai Regional	1	5	254
Cootamundra-Gundagai Regional	1	6	119
Cowra	0	1	1641
Cowra	0	2	115
Cowra	0	3	10
Cowra	0	4	3
Cowra	1	2	1801
Cowra	1	3	621
Cowra	1	4	501
Cowra	1	5	271
Cowra	1	6	120
Cumberland	0	1	13989
Cumberland	0	2	1931
Cumberland	0	3	994
Cumberland	0	4	698
Cumberland	0	5	336
Cumberland	0	6	223
Cumberland	1	2	15789
Cumberland	1	3	12691
Cumberland	1	4	12806
Cumberland	1	5	6389
Cumberland	1	6	5820
Dubbo Regional	0	1	5256
Dubbo Regional	0	2	481
Dubbo Regional	0	3	106
Dubbo Regional	0	4	39
Dubbo Regional	0	5	13
Dubbo Regional	0	6	13
Dubbo Regional	1	2	5940
Dubbo Regional	1	3	2847
Dubbo Regional	1	4	2556
Dubbo Regional	1	5	1316
Dubbo Regional	1	6	708
Dungog	0	1	865
Dungog	0	2	50
Dungog	1	2	1308
Dungog	1	3	500
Dungog	1	4	498
Dungog	1	5	241
Dungog	1	6	120
Edward River	0	1	1112
Edward River	0	2	76
Edward River	0	3	3
Edward River	1	2	1185
Edward River	1	3	348
Edward River	1	4	357
Edward River	1	5	167
Edward River	1	6	76
Eurobodalla	0	1	5135
Eurobodalla	0	2	362
Eurobodalla	0	3	40
Eurobodalla	0	4	18
Eurobodalla	0	5	6
Eurobodalla	1	2	6803
Eurobodalla	1	3	1738
Eurobodalla	1	4	1510
Eurobodalla	1	5	648
Eurobodalla	1	6	349
Fairfield	0	1	10680
Fairfield	0	2	983
Fairfield	0	3	230
Fairfield	0	4	90
Fairfield	0	5	51
Fairfield	0	6	32
Fairfield	1	2	13935
Fairfield	1	3	10695
Fairfield	1	4	11013
Fairfield	1	5	6850
Fairfield	1	6	6352
Federation	0	1	1667
Federation	0	2	108
Federation	0	3	9
Federation	0	4	6
Federation	1	2	2003
Federation	1	3	569
Federation	1	4	512
Federation	1	5	243
Federation	1	6	109
Forbes	0	1	1115
Forbes	0	2	76
Forbes	0	3	7
Forbes	1	2	1235
Forbes	1	3	407
Forbes	1	4	388
Forbes	1	5	227
Forbes	1	6	114
Georges River	0	1	11070
Georges River	0	2	1219
Georges River	0	3	445
Georges River	0	4	253
Georges River	0	5	100
Georges River	0	6	59
Georges River	1	2	14052
Georges River	1	3	9628
Georges River	1	4	9477
Georges River	1	5	4002
Georges River	1	6	2107
Gilgandra	0	1	478
Gilgandra	0	2	27
Gilgandra	0	3	5
Gilgandra	1	2	575
Gilgandra	1	3	197
Gilgandra	1	4	160
Gilgandra	1	5	106
Gilgandra	1	6	35
Glen Innes Severn	0	1	1292
Glen Innes Severn	0	2	83
Glen Innes Severn	0	3	12
Glen Innes Severn	1	2	1328
Glen Innes Severn	1	3	370
Glen Innes Severn	1	4	315
Glen Innes Severn	1	5	162
Glen Innes Severn	1	6	61
Goulburn Mulwaree	0	1	3665
Goulburn Mulwaree	0	2	261
Goulburn Mulwaree	0	3	38
Goulburn Mulwaree	0	4	10
Goulburn Mulwaree	0	5	7
Goulburn Mulwaree	0	6	5
Goulburn Mulwaree	1	2	3936
Goulburn Mulwaree	1	3	1566
Goulburn Mulwaree	1	4	1465
Goulburn Mulwaree	1	5	719
Goulburn Mulwaree	1	6	368
Greater Hume Shire	0	1	1000
Greater Hume Shire	0	2	66
Greater Hume Shire	0	3	3
Greater Hume Shire	0	4	3
Greater Hume Shire	1	2	1430
Greater Hume Shire	1	3	488
Greater Hume Shire	1	4	490
Greater Hume Shire	1	5	282
Greater Hume Shire	1	6	171
Griffith	0	1	2278
Griffith	0	2	170
Griffith	0	3	57
Griffith	0	4	19
Griffith	0	5	8
Griffith	0	6	9
Griffith	1	2	2779
Griffith	1	3	1404
Griffith	1	4	1398
Griffith	1	5	717
Griffith	1	6	428
Gunnedah	0	1	1301
Gunnedah	0	2	114
Gunnedah	0	3	18
Gunnedah	0	4	10
Gunnedah	1	2	1519
Gunnedah	1	3	628
Gunnedah	1	4	627
Gunnedah	1	5	330
Gunnedah	1	6	149
Gwydir	0	1	573
Gwydir	0	2	42
Gwydir	1	2	721
Gwydir	1	3	204
Gwydir	1	4	181
Gwydir	1	5	106
Gwydir	1	6	64
Hawkesbury	0	1	5019
Hawkesbury	0	2	405
Hawkesbury	0	3	58
Hawkesbury	0	4	22
Hawkesbury	1	2	6895
Hawkesbury	1	3	3785
Hawkesbury	1	4	3763
Hawkesbury	1	5	1928
Hawkesbury	1	6	1177
Hay	0	1	380
Hay	0	2	15
Hay	0	3	3
Hay	1	2	406
Hay	1	3	137
Hay	1	4	97
Hay	1	5	57
Hay	1	6	25
Hilltops	0	1	2290
Hilltops	0	2	163
Hilltops	0	3	13
Hilltops	1	2	2586
Hilltops	1	3	867
Hilltops	1	4	768
Hilltops	1	5	457
Hilltops	1	6	260
Hornsby	0	1	9546
Hornsby	0	2	684
Hornsby	0	3	146
Hornsby	0	4	63
Hornsby	0	5	30
Hornsby	0	6	4
Hornsby	1	2	14429
Hornsby	1	3	9568
Hornsby	1	4	11346
Hornsby	1	5	3996
Hornsby	1	6	1806
Hunters Hill	0	1	1126
Hunters Hill	0	2	65
Hunters Hill	0	3	12
Hunters Hill	1	2	1447
Hunters Hill	1	3	659
Hunters Hill	1	4	844
Hunters Hill	1	5	395
Hunters Hill	1	6	130
Inner West	0	1	22451
Inner West	0	2	3345
Inner West	0	3	1385
Inner West	0	4	599
Inner West	0	5	172
Inner West	0	6	61
Inner West	1	2	22442
Inner West	1	3	10609
Inner West	1	4	9513
Inner West	1	5	2582
Inner West	1	6	937
Inverell	0	1	1934
Inverell	0	2	147
Inverell	0	3	20
Inverell	0	4	7
Inverell	0	5	3
Inverell	1	2	2316
Inverell	1	3	909
Inverell	1	4	720
Inverell	1	5	353
Inverell	1	6	210
Junee	0	1	585
Junee	0	2	47
Junee	0	3	5
Junee	0	4	3
Junee	0	5	3
Junee	0	6	5
Junee	1	2	714
Junee	1	3	279
Junee	1	4	259
Junee	1	5	143
Junee	1	6	65
Kempsey	0	1	3282
Kempsey	0	2	321
Kempsey	0	3	34
Kempsey	0	4	6
Kempsey	1	2	4099
Kempsey	1	3	1502
Kempsey	1	4	1145
Kempsey	1	5	558
Kempsey	1	6	403
Kiama	0	1	1957
Kiama	0	2	136
Kiama	0	3	27
Kiama	0	4	6
Kiama	1	2	3368
Kiama	1	3	1108
Kiama	1	4	1240
Kiama	1	5	580
Kiama	1	6	195
Ku-ring-gai	0	1	7065
Ku-ring-gai	0	2	435
Ku-ring-gai	0	3	82
Ku-ring-gai	0	4	27
Ku-ring-gai	0	5	12
Ku-ring-gai	0	6	14
Ku-ring-gai	1	2	12140
Ku-ring-gai	1	3	7642
Ku-ring-gai	1	4	9461
Ku-ring-gai	1	5	3667
Ku-ring-gai	1	6	1310
Kyogle	0	1	1208
Kyogle	0	2	115
Kyogle	0	3	11
Kyogle	1	2	1384
Kyogle	1	3	418
Kyogle	1	4	320
Kyogle	1	5	172
Kyogle	1	6	109
Lachlan	0	1	674
Lachlan	0	2	33
Lachlan	0	3	3
Lachlan	1	2	718
Lachlan	1	3	292
Lachlan	1	4	230
Lachlan	1	5	161
Lachlan	1	6	72
Lake Macquarie	0	1	20010
Lake Macquarie	0	2	1593
Lake Macquarie	0	3	265
Lake Macquarie	0	4	84
Lake Macquarie	0	5	36
Lake Macquarie	0	6	6
Lake Macquarie	1	2	26999
Lake Macquarie	1	3	12222
Lake Macquarie	1	4	12437
Lake Macquarie	1	5	4906
Lake Macquarie	1	6	2111
Lane Cove	0	1	4163
Lane Cove	0	2	465
Lane Cove	0	3	87
Lane Cove	0	4	19
Lane Cove	0	5	6
Lane Cove	0	6	4
Lane Cove	1	2	4766
Lane Cove	1	3	2434
Lane Cove	1	4	2390
Lane Cove	1	5	869
Lane Cove	1	6	220
Leeton	0	1	1114
Leeton	0	2	71
Leeton	0	3	17
Leeton	0	4	3
Leeton	0	5	3
Leeton	0	6	3
Leeton	1	2	1287
Leeton	1	3	552
Leeton	1	4	498
Leeton	1	5	290
Leeton	1	6	132
Lismore	0	1	5212
Lismore	0	2	640
Lismore	0	3	113
Lismore	0	4	28
Lismore	0	5	13
Lismore	0	6	7
Lismore	1	2	5436
Lismore	1	3	2351
Lismore	1	4	1983
Lismore	1	5	887
Lismore	1	6	496
Lithgow	0	1	2831
Lithgow	0	2	178
Lithgow	0	3	23
Lithgow	0	4	3
Lithgow	1	2	2770
Lithgow	1	3	995
Lithgow	1	4	902
Lithgow	1	5	399
Lithgow	1	6	212
Liverpool	0	1	11919
Liverpool	0	2	1059
Liverpool	0	3	155
Liverpool	0	4	62
Liverpool	0	5	29
Liverpool	0	6	4
Liverpool	1	2	15435
Liverpool	1	3	12514
Liverpool	1	4	14521
Liverpool	1	5	7766
Liverpool	1	6	5854
Liverpool Plains	0	1	876
Liverpool Plains	0	2	72
Liverpool Plains	0	3	6
Liverpool Plains	1	2	1003
Liverpool Plains	1	3	335
Liverpool Plains	1	4	320
Liverpool Plains	1	5	171
Liverpool Plains	1	6	74
Lockhart	0	1	323
Lockhart	0	2	27
Lockhart	1	2	442
Lockhart	1	3	140
Lockhart	1	4	125
Lockhart	1	5	77
Lockhart	1	6	69
Maitland	0	1	7256
Maitland	0	2	652
Maitland	0	3	107
Maitland	0	4	30
Maitland	0	5	16
Maitland	0	6	6
Maitland	1	2	10215
Maitland	1	3	5476
Maitland	1	4	5444
Maitland	1	5	2369
Maitland	1	6	1084
Mid-Coast	0	1	12219
Mid-Coast	0	2	964
Mid-Coast	0	3	91
Mid-Coast	0	4	23
Mid-Coast	0	5	18
Mid-Coast	0	6	9
Mid-Coast	1	2	15754
Mid-Coast	1	3	4417
Mid-Coast	1	4	3578
Mid-Coast	1	5	1659
Mid-Coast	1	6	918
Mid-Western Regional	0	1	2724
Mid-Western Regional	0	2	233
Mid-Western Regional	0	3	31
Mid-Western Regional	0	4	7
Mid-Western Regional	1	2	3235
Mid-Western Regional	1	3	1265
Mid-Western Regional	1	4	1212
Mid-Western Regional	1	5	641
Mid-Western Regional	1	6	286
Moree Plains	0	1	1185
Moree Plains	0	2	108
Moree Plains	0	3	13
Moree Plains	0	4	3
Moree Plains	0	5	3
Moree Plains	1	2	1258
Moree Plains	1	3	538
Moree Plains	1	4	498
Moree Plains	1	5	287
Moree Plains	1	6	151
Mosman	0	1	3658
Mosman	0	2	222
Mosman	0	3	29
Mosman	0	4	3
Mosman	1	2	3772
Mosman	1	3	1501
Mosman	1	4	1574
Mosman	1	5	613
Mosman	1	6	160
Murray River	0	1	1341
Murray River	0	2	78
Murray River	0	3	5
Murray River	0	4	5
Murray River	0	6	4
Murray River	1	2	1911
Murray River	1	3	550
Murray River	1	4	558
Murray River	1	5	294
Murray River	1	6	116
Murrumbidgee	0	1	413
Murrumbidgee	0	2	27
Murrumbidgee	1	2	458
Murrumbidgee	1	3	161
Murrumbidgee	1	4	117
Murrumbidgee	1	5	76
Murrumbidgee	1	6	39
Muswellbrook	0	1	1712
Muswellbrook	0	2	143
Muswellbrook	0	3	16
Muswellbrook	0	5	4
Muswellbrook	1	2	1827
Muswellbrook	1	3	871
Muswellbrook	1	4	823
Muswellbrook	1	5	390
Muswellbrook	1	6	213
Nambucca Valley	0	1	2737
Nambucca Valley	0	2	245
Nambucca Valley	0	3	13
Nambucca Valley	1	2	2912
Nambucca Valley	1	3	956
Nambucca Valley	1	4	770
Nambucca Valley	1	5	402
Nambucca Valley	1	6	228
Narrabri	0	1	1316
Narrabri	0	2	109
Narrabri	0	3	21
Narrabri	0	4	3
Narrabri	1	2	1545
Narrabri	1	3	608
Narrabri	1	4	508
Narrabri	1	5	325
Narrabri	1	6	138
Narrandera	0	1	685
Narrandera	0	2	46
Narrandera	0	4	6
Narrandera	1	2	734
Narrandera	1	3	274
Narrandera	1	4	203
Narrandera	1	5	126
Narrandera	1	6	70
Narromine	0	1	649
Narromine	0	2	42
Narromine	0	3	9
Narromine	1	2	717
Narromine	1	3	292
Narromine	1	4	276
Narromine	1	5	155
Narromine	1	6	80
Newcastle	0	1	19486
Newcastle	0	2	2697
Newcastle	0	3	1256
Newcastle	0	4	427
Newcastle	0	5	139
Newcastle	0	6	73
Newcastle	1	2	19868
Newcastle	1	3	9208
Newcastle	1	4	8556
Newcastle	1	5	3243
Newcastle	1	6	1179
North Sydney	0	1	12490
North Sydney	0	2	1193
North Sydney	0	3	355
North Sydney	0	4	62
North Sydney	0	5	12
North Sydney	0	6	8
North Sydney	1	2	10981
North Sydney	1	3	3826
North Sydney	1	4	2721
North Sydney	1	5	604
North Sydney	1	6	149
Northern Beaches	0	1	21056
Northern Beaches	0	2	2141
Northern Beaches	0	3	571
Northern Beaches	0	4	176
Northern Beaches	0	5	70
Northern Beaches	0	6	26
Northern Beaches	1	2	28119
Northern Beaches	1	3	14472
Northern Beaches	1	4	18123
Northern Beaches	1	5	7052
Northern Beaches	1	6	2576
Oberon	0	1	587
Oberon	0	2	40
Oberon	0	3	5
Oberon	1	2	771
Oberon	1	3	245
Oberon	1	4	229
Oberon	1	5	102
Oberon	1	6	58
Orange	0	1	4669
Orange	0	2	365
Orange	0	3	91
Orange	0	4	41
Orange	0	5	13
Orange	0	6	4
Orange	1	2	4976
Orange	1	3	2226
Orange	1	4	2187
Orange	1	5	1107
Orange	1	6	495
Parkes	0	1	1683
Parkes	0	2	107
Parkes	0	3	19
Parkes	0	4	4
Parkes	0	5	3
Parkes	1	2	1723
Parkes	1	3	698
Parkes	1	4	617
Parkes	1	5	369
Parkes	1	6	176
Parramatta	0	1	20742
Parramatta	0	2	3074
Parramatta	0	3	950
Parramatta	0	4	377
Parramatta	0	5	141
Parramatta	0	6	81
Parramatta	1	2	25528
Parramatta	1	3	17351
Parramatta	1	4	15653
Parramatta	1	5	5475
Parramatta	1	6	2734
Penrith	0	1	15971
Penrith	0	2	1609
Penrith	0	3	215
Penrith	0	4	69
Penrith	0	5	24
Penrith	0	6	16
Penrith	1	2	20060
Penrith	1	3	12924
Penrith	1	4	12886
Penrith	1	5	6006
Penrith	1	6	3613
Port Macquarie-Hastings	0	1	10035
Port Macquarie-Hastings	0	2	830
Port Macquarie-Hastings	0	3	140
Port Macquarie-Hastings	0	4	42
Port Macquarie-Hastings	0	5	15
Port Macquarie-Hastings	0	6	8
Port Macquarie-Hastings	1	2	13123
Port Macquarie-Hastings	1	3	4260
Port Macquarie-Hastings	1	4	3882
Port Macquarie-Hastings	1	5	1688
Port Macquarie-Hastings	1	6	834
Port Stephens	0	1	7503
Port Stephens	0	2	589
Port Stephens	0	3	64
Port Stephens	0	4	27
Port Stephens	0	5	6
Port Stephens	1	2	10647
Port Stephens	1	3	3824
Port Stephens	1	4	3616
Port Stephens	1	5	1673
Port Stephens	1	6	901
Queanbeyan-Palerang Regional	0	1	5819
Queanbeyan-Palerang Regional	0	2	393
Queanbeyan-Palerang Regional	0	3	67
Queanbeyan-Palerang Regional	0	4	29
Queanbeyan-Palerang Regional	0	5	3
Queanbeyan-Palerang Regional	0	6	5
Queanbeyan-Palerang Regional	1	2	7019
Queanbeyan-Palerang Regional	1	3	3706
Queanbeyan-Palerang Regional	1	4	3850
Queanbeyan-Palerang Regional	1	5	1541
Queanbeyan-Palerang Regional	1	6	665
Randwick	0	1	14505
Randwick	0	2	2616
Randwick	0	3	891
Randwick	0	4	235
Randwick	0	5	75
Randwick	0	6	51
Randwick	1	2	14972
Randwick	1	3	7419
Randwick	1	4	7418
Randwick	1	5	2422
Randwick	1	6	822
Richmond Valley	0	1	2578
Richmond Valley	0	2	232
Richmond Valley	0	3	20
Richmond Valley	0	4	10
Richmond Valley	1	2	3096
Richmond Valley	1	3	1119
Richmond Valley	1	4	951
Richmond Valley	1	5	501
Richmond Valley	1	6	331
Ryde	0	1	12976
Ryde	0	2	1541
Ryde	0	3	367
Ryde	0	4	151
Ryde	0	5	50
Ryde	0	6	48
Ryde	1	2	14437
Ryde	1	3	8196
Ryde	1	4	7532
Ryde	1	5	2561
Ryde	1	6	1186
Shellharbour	0	1	5942
Shellharbour	0	2	465
Shellharbour	0	3	77
Shellharbour	0	4	38
Shellharbour	0	5	8
Shellharbour	1	2	9062
Shellharbour	1	3	4501
Shellharbour	1	4	4602
Shellharbour	1	5	1908
Shellharbour	1	6	933
Shoalhaven	0	1	12150
Shoalhaven	0	2	986
Shoalhaven	0	3	117
Shoalhaven	0	4	47
Shoalhaven	0	5	15
Shoalhaven	0	6	7
Shoalhaven	1	2	16312
Shoalhaven	1	3	5305
Shoalhaven	1	4	4660
Shoalhaven	1	5	2055
Shoalhaven	1	6	1017
Singleton	0	1	1901
Singleton	0	2	162
Singleton	0	3	17
Singleton	0	4	3
Singleton	1	2	2647
Singleton	1	3	1311
Singleton	1	4	1357
Singleton	1	5	693
Singleton	1	6	347
Snowy Monaro Regional	0	1	2386
Snowy Monaro Regional	0	2	234
Snowy Monaro Regional	0	3	58
Snowy Monaro Regional	0	4	42
Snowy Monaro Regional	0	5	3
Snowy Monaro Regional	0	6	19
Snowy Monaro Regional	1	2	2716
Snowy Monaro Regional	1	3	1019
Snowy Monaro Regional	1	4	950
Snowy Monaro Regional	1	5	429
Snowy Monaro Regional	1	6	175
Snowy Valleys	0	1	1668
Snowy Valleys	0	2	81
Snowy Valleys	0	3	11
Snowy Valleys	0	5	4
Snowy Valleys	1	2	2057
Snowy Valleys	1	3	707
Snowy Valleys	1	4	670
Snowy Valleys	1	5	321
Snowy Valleys	1	6	146
Strathfield	0	1	3224
Strathfield	0	2	722
Strathfield	0	3	310
Strathfield	0	4	205
Strathfield	0	5	91
Strathfield	0	6	45
Strathfield	1	2	4095
Strathfield	1	3	2881
Strathfield	1	4	2556
Strathfield	1	5	1034
Strathfield	1	6	578
Sutherland Shire	0	1	18511
Sutherland Shire	0	2	1472
Sutherland Shire	0	3	218
Sutherland Shire	0	4	50
Sutherland Shire	0	5	29
Sutherland Shire	0	6	8
Sutherland Shire	1	2	25706
Sutherland Shire	1	3	13120
Sutherland Shire	1	4	15524
Sutherland Shire	1	5	6428
Sutherland Shire	1	6	2224
Sydney	0	1	40160
Sydney	0	2	7032
Sydney	0	3	2612
Sydney	0	4	1153
Sydney	0	5	340
Sydney	0	6	161
Sydney	1	2	30655
Sydney	1	3	8763
Sydney	1	4	5101
Sydney	1	5	1240
Sydney	1	6	520
Tamworth Regional	0	1	6726
Tamworth Regional	0	2	562
Tamworth Regional	0	3	90
Tamworth Regional	0	4	37
Tamworth Regional	0	5	21
Tamworth Regional	0	6	11
Tamworth Regional	1	2	7641
Tamworth Regional	1	3	3316
Tamworth Regional	1	4	3068
Tamworth Regional	1	5	1417
Tamworth Regional	1	6	725
Temora	0	1	756
Temora	0	2	31
Temora	1	2	881
Temora	1	3	253
Temora	1	4	250
Temora	1	5	119
Temora	1	6	100
Tenterfield	0	1	1024
Tenterfield	0	2	74
Tenterfield	0	3	8
Tenterfield	1	2	1116
Tenterfield	1	3	282
Tenterfield	1	4	216
Tenterfield	1	5	108
Tenterfield	1	6	55
The Hills Shire	0	1	7282
The Hills Shire	0	2	567
The Hills Shire	0	3	129
The Hills Shire	0	4	81
The Hills Shire	0	5	41
The Hills Shire	0	6	19
The Hills Shire	1	2	15546
