LGA_NAME21	medianRent
Port Adelaide Enfield	15600
Port Augusta	10400
Port Lincoln	12480
Port Pirie	9620
Prospect	17212
Renmark Paringa	10400
Robe	13000
Roxby Downs	13520
Salisbury	15600
Southern Mallee	8320
Streaky Bay	12480
Tatiara	10400
Tea Tree Gully	17160
Coorong	9880
Tumby Bay	10920
Unley	18200
Victor Harbor	15080
Wakefield	11440
Walkerville	19760
Wattle Range	9360
West Torrens	16120
Whyalla	9360
Wudinna	7800
Yankalilla	14300
Yorke Peninsula	10400
Unincorporated SA	4680
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Albany	15600
Armadale	15860
Ashburton	2496
Augusta Margaret River	18200
Bassendean	17160
Bayswater	17680
Belmont	18200
Beverley	10400
Boddington	14560
Boyup Brook	11440
Bridgetown-Greenbushes	14560
Brookton	10400
Broome	15600
Broomehill-Tambellup	8736
Bruce Rock	8320
Bunbury	15600
Busselton	19032
Cambridge	23400
Canning	18460
Capel	18200
Carnamah	7800
Carnarvon	10868
Chapman Valley	13520
Chittering	16640
Christmas Island	7800
Claremont	25220
Cockburn	19240
Cocos Islands	12012
Collie	13000
Coolgardie	10400
Coorow	10920
Corrigin	9360
Cottesloe	27820
Cranbrook	8736
Cuballing	10400
Cue	5200
Cunderdin	10400
Dalwallinu	11960
Dandaragan	16120
Dardanup	17680
Denmark	15600
Derby-West Kimberley	5200
Donnybrook-Balingup	15080
Dowerin	7800
Dumbleyung	7800
Dundas	7800
East Fremantle	21840
East Pilbara	5460
Esperance	13780
Exmouth	17160
Fremantle	19240
Gingin	14040
Gnowangerup	9360
Goomalling	10400
Gosnells	17160
Greater Geraldton	13520
Halls Creek	4680
Harvey	16640
Irwin	13000
Jerramungup	9672
Joondalup	20800
Kalamunda	19240
Kalgoorlie-Boulder	15600
Karratha	14820
Katanning	10400
Kellerberrin	8320
Kent	5460
Kojonup	10400
Kondinin	7696
Koorda	6708
Kulin	8788
Kwinana	16380
Lake Grace	9360
Laverton	4160
Leonora	4836
Mandurah	15600
Manjimup	11960
Meekatharra	5980
Melville	20800
Menzies	7800
Merredin	10920
Mingenew	7800
Moora	11700
Morawa	9880
Mosman Park	15600
Mount Magnet	9100
Mount Marshall	7540
Mukinbudin	8060
Mundaring	18200
Murchison	7228
Murray	15600
Nannup	13208
Narembeen	7800
Narrogin	12480
Nedlands	27040
Ngaanyatjarraku	3380
Northam	13000
Northampton	13000
Nungarin	4576
Peppermint Grove	22880
Perenjori	8840
Perth	20800
Pingelly	10400
Plantagenet	11700
Port Hedland	11700
Quairading	6760
Ravensthorpe	13000
Rockingham	17160
Sandstone	3640
Serpentine-Jarrahdale	19760
Shark Bay	11440
South Perth	18720
Stirling	17680
Subiaco	20800
Swan	17680
Tammin	8372
Three Springs	6240
Toodyay	14820
Trayning	6240
Upper Gascoyne	3900
Victoria Park	18200
Victoria Plains	7800
Vincent	20800
Wagin	10140
Wandering	10400
Wanneroo	18200
Waroona	13520
West Arthur	7436
Westonia	4420
Wickepin	7228
Williams	10400
Wiluna	6136
Wongan-Ballidu	9360
Woodanilling	7800
Wyalkatchem	7800
Wyndham-East Kimberley	11960
Yalgoo	7800
Yilgarn	7800
York	13520
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Break O'Day	12480
Brighton	14560
Burnie	12480
Central Coast (Tas.)	13000
Central Highlands (Tas.)	10400
Circular Head	11440
Clarence	18200
Derwent Valley	14820
Devonport	13000
Dorset	11440
Flinders (Tas.)	7228
George Town	11440
Glamorgan-Spring Bay	13000
Glenorchy	16900
Hobart	20280
Huon Valley	15080
Kentish	11960
King Island	9880
Kingborough	19760
Latrobe (Tas.)	13520
Launceston	14456
Meander Valley	14040
Northern Midlands	13000
Sorell	18200
Southern Midlands	13000
Tasman	13000
Waratah-Wynyard	12480
West Coast	8320
West Tamar	15600
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Alice Springs	19500
Barkly	5980
Belyuen	3900
Central Desert	3900
Coomalie	9100
Darwin	19760
Darwin Waterfront Precinct	27716
East Arnhem	4160
Katherine	15340
Litchfield	19760
MacDonnell	3900
Palmerston	20800
Roper Gulf	3900
Tiwi Islands	4160
Victoria Daly	4420
Wagait	13000
West Arnhem	4160
West Daly	2600
Unincorporated NT	6396
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Unincorporated ACT	23400
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Unincorp. Other Territories	11856
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
