LGA_NAME21	OnlyEnglishSpokenHome	Sex	persons
Hunters Hill	0	F	1448
Hunters Hill	0	M	1236
Hunters Hill	1	F	5046
Hunters Hill	1	M	5004
Inner West	0	F	25249
Inner West	0	M	21991
Inner West	1	F	64555
Inner West	1	M	62960
Inverell	0	F	337
Inverell	0	M	347
Inverell	1	F	7922
Inverell	1	M	7589
Junee	0	F	113
Junee	0	M	185
Junee	1	F	2475
Junee	1	M	2474
Kempsey	0	F	489
Kempsey	0	M	398
Kempsey	1	F	13574
Kempsey	1	M	13141
Kiama	0	F	569
Kiama	0	M	466
Kiama	1	F	10746
Kiama	1	M	10244
Ku-ring-gai	0	F	22484
Ku-ring-gai	0	M	18983
Ku-ring-gai	1	F	40090
Ku-ring-gai	1	M	39378
Kyogle	0	F	166
Kyogle	0	M	141
Kyogle	1	F	4084
Kyogle	1	M	4055
Lachlan	0	F	104
Lachlan	0	M	114
Lachlan	1	F	2568
Lachlan	1	M	2579
Lake Macquarie	0	F	6072
Lake Macquarie	0	M	5191
Lake Macquarie	1	F	99284
Lake Macquarie	1	M	95020
Lane Cove	0	F	6064
Lane Cove	0	M	5113
Lane Cove	1	F	13269
Lane Cove	1	M	13527
Leeton	0	F	571
Leeton	0	M	532
Leeton	1	F	4750
Leeton	1	M	4623
Lismore	0	F	1258
Lismore	0	M	1061
Lismore	1	F	19689
Lismore	1	M	19065
Lithgow	0	F	455
Lithgow	0	M	441
Lithgow	1	F	9156
Lithgow	1	M	9044
Liverpool	0	F	64455
Liverpool	0	M	61101
Liverpool	1	F	45016
Liverpool	1	M	47130
Liverpool Plains	0	F	107
Liverpool Plains	0	M	95
Liverpool Plains	1	F	3241
Liverpool Plains	1	M	3262
Lockhart	0	F	32
Lockhart	0	M	26
Lockhart	1	F	1514
Lockhart	1	M	1488
Maitland	0	F	2661
Maitland	0	M	2306
Maitland	1	F	41912
Maitland	1	M	39812
Mid-Coast	0	F	1693
Mid-Coast	0	M	1388
Mid-Coast	1	F	44410
Mid-Coast	1	M	42396
Mid-Western Regional	0	F	437
Mid-Western Regional	0	M	421
Mid-Western Regional	1	F	11407
Mid-Western Regional	1	M	11517
Moree Plains	0	F	245
Moree Plains	0	M	223
Moree Plains	1	F	4836
Moree Plains	1	M	4821
Mosman	0	F	2634
Mosman	0	M	2042
Mosman	1	F	12150
Mosman	1	M	10527
Murray River	0	F	232
Murray River	0	M	225
Murray River	1	F	5770
Murray River	1	M	5688
Murrumbidgee	0	F	70
Murrumbidgee	0	M	68
Murrumbidgee	1	F	1389
Murrumbidgee	1	M	1504
Muswellbrook	0	F	355
Muswellbrook	0	M	309
Muswellbrook	1	F	7118
Muswellbrook	1	M	7288
Nambucca Valley	0	F	369
Nambucca Valley	0	M	304
Nambucca Valley	1	F	9306
Nambucca Valley	1	M	8851
Narrabri	0	F	155
Narrabri	0	M	156
Narrabri	1	F	5518
Narrabri	1	M	5526
Narrandera	0	F	102
Narrandera	0	M	96
Narrandera	1	F	2509
Narrandera	1	M	2431
Narromine	0	F	58
Narromine	0	M	55
Narromine	1	F	2646
Narromine	1	M	2726
Newcastle	0	F	9030
Newcastle	0	M	8733
Newcastle	1	F	72941
Newcastle	1	M	70246
North Sydney	0	F	9293
North Sydney	0	M	7172
North Sydney	1	F	25625
North Sydney	1	M	23875
Northern Beaches	0	F	22075
Northern Beaches	0	M	18975
Northern Beaches	1	F	107883
Northern Beaches	1	M	105476
Oberon	0	F	121
Oberon	0	M	141
Oberon	1	F	2255
Oberon	1	M	2356
Orange	0	F	1586
Orange	0	M	1542
Orange	1	F	19527
Orange	1	M	18431
Parkes	0	F	244
Parkes	0	M	256
Parkes	1	F	6460
Parkes	1	M	6332
Parramatta	0	F	73833
Parramatta	0	M	70976
Parramatta	1	F	47818
Parramatta	1	M	50292
Penrith	0	F	22182
Penrith	0	M	20543
Penrith	1	F	81158
Penrith	1	M	80258
Port Macquarie-Hastings	0	F	1888
Port Macquarie-Hastings	0	M	1577
Port Macquarie-Hastings	1	F	41277
Port Macquarie-Hastings	1	M	37972
Port Stephens	0	F	1611
Port Stephens	0	M	1411
Port Stephens	1	F	34699
Port Stephens	1	M	33688
Queanbeyan-Palerang Regional	0	F	4269
Queanbeyan-Palerang Regional	0	M	4269
Queanbeyan-Palerang Regional	1	F	25605
Queanbeyan-Palerang Regional	1	M	25953
Randwick	0	F	20042
Randwick	0	M	17280
Randwick	1	F	45201
Randwick	1	M	43567
Richmond Valley	0	F	328
Richmond Valley	0	M	233
Richmond Valley	1	F	10499
Richmond Valley	1	M	10211
Ryde	0	F	33745
Ryde	0	M	30221
Ryde	1	F	29575
Ryde	1	M	30164
Shellharbour	0	F	4013
Shellharbour	0	M	3455
Shellharbour	1	F	33205
Shellharbour	1	M	31950
Shoalhaven	0	F	2837
Shoalhaven	0	M	2458
Shoalhaven	1	F	48757
Shoalhaven	1	M	47169
Singleton	0	F	416
Singleton	0	M	415
Singleton	1	F	10894
Singleton	1	M	11372
Snowy Monaro Regional	0	F	704
Snowy Monaro Regional	0	M	649
Snowy Monaro Regional	1	F	9061
Snowy Monaro Regional	1	M	9524
Snowy Valleys	0	F	335
Snowy Valleys	0	M	319
Snowy Valleys	1	F	6501
Snowy Valleys	1	M	6474
Strathfield	0	F	14825
Strathfield	0	M	14936
Strathfield	1	F	6235
Strathfield	1	M	7045
Sutherland Shire	0	F	17139
Sutherland Shire	0	M	14613
Sutherland Shire	1	F	96526
Sutherland Shire	1	M	94217
Sydney	0	F	38552
Sydney	0	M	35171
Sydney	1	F	55605
Sydney	1	M	67116
Tamworth Regional	0	F	1792
Tamworth Regional	0	M	1846
Tamworth Regional	1	F	28137
Tamworth Regional	1	M	26830
Temora	0	F	85
Temora	0	M	66
Temora	1	F	2835
Temora	1	M	2725
Tenterfield	0	F	103
Tenterfield	0	M	91
Tenterfield	1	F	3038
Tenterfield	1	M	2926
The Hills Shire	0	F	38723
The Hills Shire	0	M	35654
The Hills Shire	1	F	55962
The Hills Shire	1	M	56430
Tweed	0	F	2722
Tweed	0	M	2141
Tweed	1	F	44468
Tweed	1	M	41348
Upper Hunter Shire	0	F	280
Upper Hunter Shire	0	M	304
Upper Hunter Shire	1	F	6390
Upper Hunter Shire	1	M	6336
Upper Lachlan Shire	0	F	105
Upper Lachlan Shire	0	M	109
Upper Lachlan Shire	1	F	3764
Upper Lachlan Shire	1	M	3840
Uralla	0	F	86
Uralla	0	M	60
Uralla	1	F	2816
Uralla	1	M	2634
Wagga Wagga	0	F	3037
Wagga Wagga	0	M	3129
Wagga Wagga	1	F	29858
Wagga Wagga	1	M	27840
Walcha	0	F	28
Walcha	0	M	28
Walcha	1	F	1324
Walcha	1	M	1340
Walgett	0	F	149
Walgett	0	M	135
Walgett	1	F	1743
Walgett	1	M	1851
Warren	0	F	33
Warren	0	M	42
Warren	1	F	1108
Warren	1	M	1095
Warrumbungle Shire	0	F	113
Warrumbungle Shire	0	M	104
Warrumbungle Shire	1	F	3875
Warrumbungle Shire	1	M	3884
Waverley	0	F	7851
Waverley	0	M	6513
Waverley	1	F	25386
Waverley	1	M	24774
Weddin	0	F	31
Weddin	0	M	21
Weddin	1	F	1606
Weddin	1	M	1698
Wentworth	0	F	142
Wentworth	0	M	145
Wentworth	1	F	3022
Wentworth	1	M	3232
Willoughby	0	F	17092
Willoughby	0	M	13938
Willoughby	1	F	20740
Willoughby	1	M	21236
Wingecarribee	0	F	1944
Wingecarribee	0	M	1741
Wingecarribee	1	F	24090
Wingecarribee	1	M	22267
Wollondilly	0	F	1611
Wollondilly	0	M	1470
Wollondilly	1	F	24048
Wollondilly	1	M	24312
Wollongong	0	F	17584
Wollongong	0	M	16281
Wollongong	1	F	86494
Wollongong	1	M	84686
Woollahra	0	F	4616
Woollahra	0	M	3682
Woollahra	1	F	22507
Woollahra	1	M	20020
Yass Valley	0	F	366
Yass Valley	0	M	339
Yass Valley	1	F	8017
Yass Valley	1	M	7730
Unincorporated NSW	0	F	21
Unincorporated NSW	0	M	25
Unincorporated NSW	1	F	429
Unincorporated NSW	1	M	468
No usual address (NSW)	0	F	579
No usual address (NSW)	0	M	576
No usual address (NSW)	1	F	2889
No usual address (NSW)	1	M	3530
Alpine	0	F	499
Alpine	0	M	416
Alpine	1	F	5725
Alpine	1	M	5702
Ararat	0	F	299
Ararat	0	M	297
Ararat	1	F	4971
Ararat	1	M	4859
Ballarat	0	F	4062
Ballarat	0	M	3914
Ballarat	1	F	52116
Ballarat	1	M	48059
Banyule	0	F	14605
Banyule	0	M	12940
Banyule	1	F	48237
Banyule	1	M	46398
Bass Coast	0	F	1102
Bass Coast	0	M	958
Bass Coast	1	F	18430
Bass Coast	1	M	17553
Baw Baw	0	F	1506
Baw Baw	0	M	1311
Baw Baw	1	F	26484
Baw Baw	1	M	25121
Bayside (Vic.)	0	F	8604
Bayside (Vic.)	0	M	7040
Bayside (Vic.)	1	F	42455
Bayside (Vic.)	1	M	39675
Benalla	0	F	278
Benalla	0	M	247
Benalla	1	F	6578
Benalla	1	M	6222
Boroondara	0	F	26261
Boroondara	0	M	21962
Boroondara	1	F	58468
Boroondara	1	M	56094
Brimbank	0	F	56941
Brimbank	0	M	54481
Brimbank	1	F	34160
Brimbank	1	M	36496
Buloke	0	F	105
Buloke	0	M	102
Buloke	1	F	2647
Buloke	1	M	2795
Campaspe	0	F	799
Campaspe	0	M	717
Campaspe	1	F	17528
Campaspe	1	M	17022
Cardinia	0	F	10661
Cardinia	0	M	10410
Cardinia	1	F	46211
Cardinia	1	M	44901
Casey	0	F	76820
Casey	0	M	75708
Casey	1	F	96884
Casey	1	M	96918
Central Goldfields	0	F	220
Central Goldfields	0	M	186
Central Goldfields	1	F	6155
Central Goldfields	1	M	5945
Colac Otway	0	F	620
Colac Otway	0	M	686
Colac Otway	1	F	9872
Colac Otway	1	M	9795
Corangamite	0	F	216
Corangamite	0	M	200
Corangamite	1	F	7239
Corangamite	1	M	7310
Darebin	0	F	25053
Darebin	0	M	22950
Darebin	1	F	48163
Darebin	1	M	45958
East Gippsland	0	F	1074
East Gippsland	0	M	890
East Gippsland	1	F	21878
East Gippsland	1	M	21204
Frankston	0	F	8505
Frankston	0	M	7225
Frankston	1	F	59216
Frankston	1	M	57204
Gannawarra	0	F	144
Gannawarra	0	M	112
Gannawarra	1	F	4812
Gannawarra	1	M	4764
Glen Eira	0	F	24261
Glen Eira	0	M	21800
Glen Eira	1	F	49722
Glen Eira	1	M	47987
Glenelg	0	F	325
Glenelg	0	M	261
Glenelg	1	F	9117
Glenelg	1	M	9062
Golden Plains	0	F	381
Golden Plains	0	M	366
Golden Plains	1	F	11269
Golden Plains	1	M	11779
Greater Bendigo	0	F	4093
Greater Bendigo	0	M	3779
Greater Bendigo	1	F	55033
Greater Bendigo	1	M	51657
Greater Dandenong	0	F	51049
Greater Dandenong	0	M	50798
Greater Dandenong	1	F	22064
Greater Dandenong	1	M	24302
Greater Geelong	0	F	16132
Greater Geelong	0	M	15666
Greater Geelong	1	F	116608
Greater Geelong	1	M	108735
Greater Shepparton	0	F	6048
Greater Shepparton	0	M	6010
Greater Shepparton	1	F	25871
Greater Shepparton	1	M	25220
Hepburn	0	F	415
Hepburn	0	M	385
Hepburn	1	F	7361
Hepburn	1	M	7150
Hindmarsh	0	F	200
Hindmarsh	0	M	205
Hindmarsh	1	F	2457
Hindmarsh	1	M	2450
Hobsons Bay	0	F	13151
Hobsons Bay	0	M	11587
Hobsons Bay	1	F	31447
Hobsons Bay	1	M	30926
Horsham	0	F	513
Horsham	0	M	445
Horsham	1	F	9368
Horsham	1	M	9000
Hume	0	F	59664
Hume	0	M	59350
Hume	1	F	54997
Hume	1	M	55187
Indigo	0	F	229
Indigo	0	M	175
Indigo	1	F	8099
Indigo	1	M	7803
Kingston (Vic.)	0	F	21678
Kingston (Vic.)	0	M	19449
Kingston (Vic.)	1	F	57053
Kingston (Vic.)	1	M	54487
Knox	0	F	23943
Knox	0	M	21788
Knox	1	F	54509
Knox	1	M	53648
Latrobe (Vic.)	0	F	2761
Latrobe (Vic.)	0	M	2369
Latrobe (Vic.)	1	F	33905
Latrobe (Vic.)	1	M	32599
Loddon	0	F	129
Loddon	0	M	106
Loddon	1	F	3299
Loddon	1	M	3395
Macedon Ranges	0	F	1271
Macedon Ranges	0	M	1070
Macedon Ranges	1	F	23535
Macedon Ranges	1	M	23000
Manningham	0	F	30555
Manningham	0	M	27126
Manningham	1	F	31821
Manningham	1	M	31371
Mansfield	0	F	235
Mansfield	0	M	184
Mansfield	1	F	4553
Mansfield	1	M	4456
Maribyrnong	0	F	16587
Maribyrnong	0	M	15849
Maribyrnong	1	F	23808
Maribyrnong	1	M	24434
Maroondah	0	F	12088
Maroondah	0	M	10662
Maroondah	1	F	45289
Maroondah	1	M	43138
Melbourne	0	F	36738
Melbourne	0	M	32144
Melbourne	1	F	32954
Melbourne	1	M	36410
Melton	0	F	35621
Melton	0	M	34106
Melton	1	F	48826
Melton	1	M	48435
Mildura	0	F	3413
Mildura	0	M	3589
Mildura	1	F	23371
Mildura	1	M	22140
Mitchell	0	F	2811
Mitchell	0	M	2828
Mitchell	1	F	20311
Mitchell	1	M	20574
Moira	0	F	801
Moira	0	M	798
Moira	1	F	13412
Moira	1	M	13302
Monash	0	F	50655
Monash	0	M	48342
Monash	1	F	41126
Monash	1	M	42422
Moonee Valley	0	F	18388
Moonee Valley	0	M	15964
Moonee Valley	1	F	41889
Moonee Valley	1	M	40891
Moorabool	0	F	1487
Moorabool	0	M	1428
Moorabool	1	F	16619
Moorabool	1	M	16241
Moreland	0	F	30618
Moreland	0	M	28502
Moreland	1	F	53420
Moreland	1	M	51134
Mornington Peninsula	0	F	4884
Mornington Peninsula	0	M	4293
Mornington Peninsula	1	F	77708
Mornington Peninsula	1	M	72957
Mount Alexander	0	F	336
Mount Alexander	0	M	320
Mount Alexander	1	F	9021
Mount Alexander	1	M	8587
Moyne	0	F	205
Moyne	0	M	175
Moyne	1	F	8036
Moyne	1	M	7862
Murrindindi	0	F	279
Murrindindi	0	M	284
Murrindindi	1	F	6501
Murrindindi	1	M	6826
Nillumbik	0	F	3284
Nillumbik	0	M	2759
Nillumbik	1	F	27664
Nillumbik	1	M	27484
Northern Grampians	0	F	322
Northern Grampians	0	M	323
Northern Grampians	1	F	5143
Northern Grampians	1	M	5120
Port Phillip	0	F	11417
Port Phillip	0	M	10041
Port Phillip	1	F	37592
Port Phillip	1	M	36299
Pyrenees	0	F	84
Pyrenees	0	M	80
Pyrenees	1	F	3258
Pyrenees	1	M	3297
Queenscliffe	0	F	66
Queenscliffe	0	M	48
Queenscliffe	1	F	1558
Queenscliffe	1	M	1389
South Gippsland	0	F	646
South Gippsland	0	M	541
South Gippsland	1	F	13809
South Gippsland	1	M	13574
Southern Grampians	0	F	274
Southern Grampians	0	M	229
Southern Grampians	1	F	7696
Southern Grampians	1	M	7414
Stonnington	0	F	12789
Stonnington	0	M	10417
Stonnington	1	F	39457
Stonnington	1	M	37087
Strathbogie	0	F	232
Strathbogie	0	M	192
Strathbogie	1	F	5038
Strathbogie	1	M	4970
Surf Coast	0	F	830
Surf Coast	0	M	732
Surf Coast	1	F	17287
Surf Coast	1	M	16897
Swan Hill	0	F	1667
Swan Hill	0	M	1834
Swan Hill	1	F	8071
Swan Hill	1	M	7961
Towong	0	F	84
Towong	0	M	86
Towong	1	F	2724
Towong	1	M	2797
Wangaratta	0	F	838
Wangaratta	0	M	719
Wangaratta	1	F	13701
Wangaratta	1	M	12832
Warrnambool	0	F	959
Warrnambool	0	M	938
Warrnambool	1	F	16408
Warrnambool	1	M	15108
Wellington	0	F	960
Wellington	0	M	837
Wellington	1	F	20083
Wellington	1	M	19725
West Wimmera	0	F	51
West Wimmera	0	M	39
West Wimmera	1	F	1776
West Wimmera	1	M	1809
Whitehorse	0	F	36178
Whitehorse	0	M	32414
Whitehorse	1	F	48084
Whitehorse	1	M	46526
Whittlesea	0	F	52289
Whittlesea	0	M	51161
Whittlesea	1	F	57803
Whittlesea	1	M	57316
Wodonga	0	F	1542
Wodonga	0	M	1448
Wodonga	1	F	19561
Wodonga	1	M	18537
Wyndham	0	F	72396
Wyndham	0	M	72999
Wyndham	1	F	63820
Wyndham	1	M	64736
Yarra	0	F	9949
Yarra	0	M	8076
Yarra	1	F	33917
Yarra	1	M	33470
Yarra Ranges	0	F	6509
Yarra Ranges	0	M	5933
Yarra Ranges	1	F	69598
Yarra Ranges	1	M	68254
Yarriambiack	0	F	99
Yarriambiack	0	M	96
Yarriambiack	1	F	2887
Yarriambiack	1	M	2987
Unincorporated Vic	0	F	57
Unincorporated Vic	0	M	53
Unincorporated Vic	1	F	283
Unincorporated Vic	1	M	327
No usual address (Vic.)	0	F	492
No usual address (Vic.)	0	M	490
No usual address (Vic.)	1	F	2041
No usual address (Vic.)	1	M	2445
Migratory - Offshore - Shipping (Vic.)	0	M	5
Migratory - Offshore - Shipping (Vic.)	1	M	9
Aurukun	0	F	491
Aurukun	0	M	427
Aurukun	1	F	45
Aurukun	1	M	59
Balonne	0	F	91
Balonne	0	M	64
Balonne	1	F	1840
Balonne	1	M	1888
Banana	0	F	320
Banana	0	M	333
Banana	1	F	5903
Banana	1	M	6119
Barcaldine	0	F	22
Barcaldine	0	M	29
Barcaldine	1	F	1252
Barcaldine	1	M	1247
Barcoo	1	F	129
Barcoo	1	M	142
Blackall Tambo	0	F	20
Blackall Tambo	0	M	7
Blackall Tambo	1	F	867
Blackall Tambo	1	M	851
Boulia	0	F	8
Boulia	0	M	16
Boulia	1	F	196
Boulia	1	M	190
Brisbane	0	F	156570
Brisbane	0	M	141101
Brisbane	1	F	449472
Brisbane	1	M	440928
Bulloo	0	F	6
Bulloo	0	M	5
Bulloo	1	F	136
Bulloo	1	M	176
Bundaberg	0	F	2767
Bundaberg	0	M	2360
Bundaberg	1	F	44627
Bundaberg	1	M	43084
Burdekin	0	F	564
Burdekin	0	M	506
Burdekin	1	F	6963
Burdekin	1	M	7180
Burke	0	F	7
Burke	0	M	6
Burke	1	F	127
Burke	1	M	184
Cairns	0	F	13032
Cairns	0	M	10430
Cairns	1	F	64324
Cairns	1	M	63817
Carpentaria	0	F	34
Carpentaria	0	M	47
Carpentaria	1	F	854
Carpentaria	1	M	916
Cassowary Coast	0	F	1467
Cassowary Coast	0	M	1503
Cassowary Coast	1	F	11381
Cassowary Coast	1	M	11905
Central Highlands (Qld)	0	F	814
Central Highlands (Qld)	0	M	815
Central Highlands (Qld)	1	F	11216
Central Highlands (Qld)	1	M	11802
Charters Towers	0	F	159
Charters Towers	0	M	134
Charters Towers	1	F	5068
Charters Towers	1	M	4900
Cherbourg	0	F	18
Cherbourg	0	M	14
Cherbourg	1	F	580
Cherbourg	1	M	552
Cloncurry	0	F	67
Cloncurry	0	M	86
Cloncurry	1	F	1295
Cloncurry	1	M	1633
Cook	0	F	219
Cook	0	M	217
Cook	1	F	1521
Cook	1	M	1741
Croydon	0	M	5
Croydon	1	F	108
Croydon	1	M	116
Diamantina	0	F	10
Diamantina	0	M	11
Diamantina	1	F	88
Diamantina	1	M	102
Doomadgee	0	F	21
Doomadgee	0	M	24
Doomadgee	1	F	649
Doomadgee	1	M	640
Douglas	0	F	645
Douglas	0	M	520
Douglas	1	F	4736
Douglas	1	M	4980
Etheridge	0	F	5
Etheridge	0	M	3
Etheridge	1	F	286
Etheridge	1	M	333
Flinders (Qld)	0	F	13
Flinders (Qld)	0	M	22
Flinders (Qld)	1	F	652
Flinders (Qld)	1	M	622
Fraser Coast	0	F	2514
Fraser Coast	0	M	1767
Fraser Coast	1	F	50942
Fraser Coast	1	M	48470
Gladstone	0	F	1937
Gladstone	0	M	1675
Gladstone	1	F	27458
Gladstone	1	M	28080
Gold Coast	0	F	46307
Gold Coast	0	M	39143
Gold Coast	1	F	256489
Gold Coast	1	M	245495
Goondiwindi	0	F	163
Goondiwindi	0	M	165
Goondiwindi	1	F	4557
Goondiwindi	1	M	4507
Gympie	0	F	849
Gympie	0	M	620
Gympie	1	F	24311
Gympie	1	M	23905
Hinchinbrook	0	F	319
Hinchinbrook	0	M	266
Hinchinbrook	1	F	4667
Hinchinbrook	1	M	4818
Hope Vale	0	F	283
Hope Vale	0	M	310
Hope Vale	1	F	161
Hope Vale	1	M	158
Ipswich	0	F	16963
Ipswich	0	M	15282
Ipswich	1	F	92469
Ipswich	1	M	90377
Isaac	0	F	545
Isaac	0	M	514
Isaac	1	F	7680
Isaac	1	M	8713
Kowanyama	0	F	13
Kowanyama	0	M	19
Kowanyama	1	F	480
Kowanyama	1	M	446
Livingstone	0	F	591
Livingstone	0	M	486
Livingstone	1	F	17316
Livingstone	1	M	17246
Lockhart River	0	F	196
Lockhart River	0	M	222
Lockhart River	1	F	71
Lockhart River	1	M	78
Lockyer Valley	0	F	1542
Lockyer Valley	0	M	1372
Lockyer Valley	1	F	17727
Lockyer Valley	1	M	17693
Logan	0	F	32221
Logan	0	M	30317
Logan	1	F	131017
Logan	1	M	128245
Longreach	0	F	66
Longreach	0	M	58
Longreach	1	F	1556
Longreach	1	M	1516
Mackay	0	F	3918
Mackay	0	M	3321
Mackay	1	F	51769
Mackay	1	M	51630
McKinlay	0	F	3
McKinlay	0	M	6
McKinlay	1	F	321
McKinlay	1	M	343
Mapoon	0	F	79
Mapoon	0	M	64
Mapoon	1	F	115
Mapoon	1	M	119
Maranoa	0	F	262
Maranoa	0	M	251
Maranoa	1	F	5474
Maranoa	1	M	5430
Mareeba	0	F	1236
Mareeba	0	M	1135
Mareeba	1	F	8428
Mareeba	1	M	8576
Moreton Bay	0	F	21996
Moreton Bay	0	M	18698
Moreton Bay	1	F	210928
Moreton Bay	1	M	201833
Mornington	0	F	182
Mornington	0	M	176
Mornington	1	F	303
Mornington	1	M	270
