LGA_NAME16	Age	persons
Central Darling	35-44	182
Central Darling	45-54	225
Central Darling	55-64	240
Central Darling	65-74	222
Central Darling	75-84	105
Central Darling	85+	22
Cessnock	0-4	4283
Cessnock	5-14	8551
Cessnock	15-19	3736
Cessnock	20-24	3846
Cessnock	25-34	9106
Cessnock	35-44	7898
Cessnock	45-54	7749
Cessnock	55-64	7635
Cessnock	65-74	6577
Cessnock	75-84	3083
Cessnock	85+	1167
Clarence Valley	0-4	2578
Clarence Valley	5-14	6082
Clarence Valley	15-19	2731
Clarence Valley	20-24	2369
Clarence Valley	25-34	5203
Clarence Valley	35-44	5404
Clarence Valley	45-54	6516
Clarence Valley	55-64	8407
Clarence Valley	65-74	8356
Clarence Valley	75-84	4719
Clarence Valley	85+	1757
Cobar	0-4	279
Cobar	5-14	552
Cobar	15-19	231
Cobar	20-24	228
Cobar	25-34	592
Cobar	35-44	508
Cobar	45-54	444
Cobar	55-64	552
Cobar	65-74	390
Cobar	75-84	211
Cobar	85+	75
Coffs Harbour	0-4	4060
Coffs Harbour	5-14	9907
Coffs Harbour	15-19	4505
Coffs Harbour	20-24	3601
Coffs Harbour	25-34	8788
Coffs Harbour	35-44	9273
Coffs Harbour	45-54	9821
Coffs Harbour	55-64	10579
Coffs Harbour	65-74	10183
Coffs Harbour	75-84	5726
Coffs Harbour	85+	2320
Coolamon	0-4	240
Coolamon	5-14	624
Coolamon	15-19	293
Coolamon	20-24	179
Coolamon	25-34	439
Coolamon	35-44	438
Coolamon	45-54	533
Coolamon	55-64	599
Coolamon	65-74	565
Coolamon	75-84	335
Coolamon	85+	135
Coonamble	0-4	309
Coonamble	5-14	503
Coonamble	15-19	207
Coonamble	20-24	184
Coonamble	25-34	460
Coonamble	35-44	395
Coonamble	45-54	435
Coonamble	55-64	511
Coonamble	65-74	404
Coonamble	75-84	240
Coonamble	85+	85
Cootamundra-Gundagai Regional	0-4	607
Cootamundra-Gundagai Regional	5-14	1378
Cootamundra-Gundagai Regional	15-19	636
Cootamundra-Gundagai Regional	20-24	490
Cootamundra-Gundagai Regional	25-34	999
Cootamundra-Gundagai Regional	35-44	1096
Cootamundra-Gundagai Regional	45-54	1303
Cootamundra-Gundagai Regional	55-64	1674
Cootamundra-Gundagai Regional	65-74	1763
Cootamundra-Gundagai Regional	75-84	1086
Cootamundra-Gundagai Regional	85+	382
Cowra	0-4	684
Cowra	5-14	1474
Cowra	15-19	719
Cowra	20-24	647
Cowra	25-34	1285
Cowra	35-44	1203
Cowra	45-54	1560
Cowra	55-64	1763
Cowra	65-74	1869
Cowra	75-84	1105
Cowra	85+	411
Cumberland	0-4	16450
Cumberland	5-14	30434
Cumberland	15-19	12646
Cumberland	20-24	18657
Cumberland	25-34	43631
Cumberland	35-44	36083
Cumberland	45-54	25996
Cumberland	55-64	23165
Cumberland	65-74	16129
Cumberland	75-84	8806
Cumberland	85+	3442
Dubbo Regional	0-4	3888
Dubbo Regional	5-14	7620
Dubbo Regional	15-19	3148
Dubbo Regional	20-24	3086
Dubbo Regional	25-34	8321
Dubbo Regional	35-44	6671
Dubbo Regional	45-54	6273
Dubbo Regional	55-64	6424
Dubbo Regional	65-74	5169
Dubbo Regional	75-84	3131
Dubbo Regional	85+	1186
Dungog	0-4	509
Dungog	5-14	1257
Dungog	15-19	525
Dungog	20-24	394
Dungog	25-34	864
Dungog	35-44	1120
Dungog	45-54	1242
Dungog	55-64	1529
Dungog	65-74	1254
Dungog	75-84	658
Dungog	85+	184
Edward River	0-4	444
Edward River	5-14	1037
Edward River	15-19	480
Edward River	20-24	398
Edward River	25-34	868
Edward River	35-44	846
Edward River	45-54	1022
Edward River	55-64	1262
Edward River	65-74	1136
Edward River	75-84	676
Edward River	85+	286
Eurobodalla	0-4	1648
Eurobodalla	5-14	3971
Eurobodalla	15-19	1898
Eurobodalla	20-24	1342
Eurobodalla	25-34	3172
Eurobodalla	35-44	3547
Eurobodalla	45-54	4767
Eurobodalla	55-64	6929
Eurobodalla	65-74	7823
Eurobodalla	75-84	4000
Eurobodalla	85+	1498
Fairfield	0-4	10848
Fairfield	5-14	26395
Fairfield	15-19	14439
Fairfield	20-24	14686
Fairfield	25-34	27047
Fairfield	35-44	24959
Fairfield	45-54	27188
Fairfield	55-64	27942
Fairfield	65-74	20373
Fairfield	75-84	10159
Fairfield	85+	4440
Federation	0-4	599
Federation	5-14	1423
Federation	15-19	659
Federation	20-24	534
Federation	25-34	1135
Federation	35-44	1153
Federation	45-54	1525
Federation	55-64	1956
Federation	65-74	2169
Federation	75-84	1284
Federation	85+	468
Forbes	0-4	548
Forbes	5-14	1302
Forbes	15-19	539
Forbes	20-24	482
Forbes	25-34	1003
Forbes	35-44	1003
Forbes	45-54	1074
Forbes	55-64	1217
Forbes	65-74	1126
Forbes	75-84	748
Forbes	85+	284
Georges River	0-4	7632
Georges River	5-14	16631
Georges River	15-19	8009
Georges River	20-24	11587
Georges River	25-34	23667
Georges River	35-44	20681
Georges River	45-54	19057
Georges River	55-64	18651
Georges River	65-74	13895
Georges River	75-84	8224
Georges River	85+	4229
Gilgandra	0-4	258
Gilgandra	5-14	563
Gilgandra	15-19	219
Gilgandra	20-24	160
Gilgandra	25-34	444
Gilgandra	35-44	435
Gilgandra	45-54	531
Gilgandra	55-64	650
Gilgandra	65-74	555
Gilgandra	75-84	353
Gilgandra	85+	129
Glen Innes Severn	0-4	385
Glen Innes Severn	5-14	976
Glen Innes Severn	15-19	493
Glen Innes Severn	20-24	355
Glen Innes Severn	25-34	849
Glen Innes Severn	35-44	840
Glen Innes Severn	45-54	1074
Glen Innes Severn	55-64	1416
Glen Innes Severn	65-74	1375
Glen Innes Severn	75-84	855
Glen Innes Severn	85+	303
Goulburn Mulwaree	0-4	1829
Goulburn Mulwaree	5-14	3953
Goulburn Mulwaree	15-19	1775
Goulburn Mulwaree	20-24	1698
Goulburn Mulwaree	25-34	4097
Goulburn Mulwaree	35-44	3740
Goulburn Mulwaree	45-54	3987
Goulburn Mulwaree	55-64	4284
Goulburn Mulwaree	65-74	3744
Goulburn Mulwaree	75-84	2121
Goulburn Mulwaree	85+	825
Greater Hume Shire	0-4	653
Greater Hume Shire	5-14	1591
Greater Hume Shire	15-19	797
Greater Hume Shire	20-24	433
Greater Hume Shire	25-34	934
Greater Hume Shire	35-44	1253
Greater Hume Shire	45-54	1376
Greater Hume Shire	55-64	1669
Greater Hume Shire	65-74	1486
Greater Hume Shire	75-84	743
Greater Hume Shire	85+	229
Griffith	0-4	1746
Griffith	5-14	3514
Griffith	15-19	1709
Griffith	20-24	1560
Griffith	25-34	4019
Griffith	35-44	3396
Griffith	45-54	3433
Griffith	55-64	3221
Griffith	65-74	2369
Griffith	75-84	1431
Griffith	85+	689
Gunnedah	0-4	949
Gunnedah	5-14	1943
Gunnedah	15-19	681
Gunnedah	20-24	689
Gunnedah	25-34	1747
Gunnedah	35-44	1509
Gunnedah	45-54	1394
Gunnedah	55-64	1575
Gunnedah	65-74	1264
Gunnedah	75-84	851
Gunnedah	85+	332
Gwydir	0-4	225
Gwydir	5-14	638
Gwydir	15-19	211
Gwydir	20-24	169
Gwydir	25-34	393
Gwydir	35-44	501
Gwydir	45-54	616
Gwydir	55-64	758
Gwydir	65-74	742
Gwydir	75-84	477
Gwydir	85+	173
Hawkesbury	0-4	4152
Hawkesbury	5-14	8699
Hawkesbury	15-19	4391
Hawkesbury	20-24	4245
Hawkesbury	25-34	8834
Hawkesbury	35-44	7916
Hawkesbury	45-54	9184
Hawkesbury	55-64	8650
Hawkesbury	65-74	6361
Hawkesbury	75-84	3560
Hawkesbury	85+	1215
Hay	0-4	167
Hay	5-14	298
Hay	15-19	139
Hay	20-24	168
Hay	25-34	314
Hay	35-44	259
Hay	45-54	333
Hay	55-64	522
Hay	65-74	331
Hay	75-84	255
Hay	85+	90
Hilltops	0-4	1128
Hilltops	5-14	2512
Hilltops	15-19	1123
Hilltops	20-24	882
Hilltops	25-34	1969
Hilltops	35-44	1979
Hilltops	45-54	2293
Hilltops	55-64	2747
Hilltops	65-74	2587
Hilltops	75-84	1504
Hilltops	85+	541
Hornsby	0-4	7607
Hornsby	5-14	21251
Hornsby	15-19	9774
Hornsby	20-24	8346
Hornsby	25-34	14405
Hornsby	35-44	22239
Hornsby	45-54	22004
Hornsby	55-64	18731
Hornsby	65-74	14233
Hornsby	75-84	8902
Hornsby	85+	4327
Hunters Hill	0-4	582
Hunters Hill	5-14	1738
Hunters Hill	15-19	1027
Hunters Hill	20-24	704
Hunters Hill	25-34	996
Hunters Hill	35-44	1537
Hunters Hill	45-54	2017
Hunters Hill	55-64	1714
Hunters Hill	65-74	1498
Hunters Hill	75-84	1009
Hunters Hill	85+	734
Inner West	0-4	9148
Inner West	5-14	17556
Inner West	15-19	7422
Inner West	20-24	11284
Inner West	25-34	35238
Inner West	35-44	30530
Inner West	45-54	26101
Inner West	55-64	19845
Inner West	65-74	14219
Inner West	75-84	7906
Inner West	85+	3569
Inverell	0-4	1026
Inverell	5-14	2399
Inverell	15-19	1116
Inverell	20-24	909
Inverell	25-34	1971
Inverell	35-44	1832
Inverell	45-54	2171
Inverell	55-64	2366
Inverell	65-74	2170
Inverell	75-84	1424
Inverell	85+	471
Junee	0-4	331
Junee	5-14	721
Junee	15-19	322
Junee	20-24	371
Junee	25-34	890
Junee	35-44	840
Junee	45-54	844
Junee	55-64	868
Junee	65-74	719
Junee	75-84	391
Junee	85+	125
Kempsey	0-4	1548
Kempsey	5-14	3528
Kempsey	15-19	1694
Kempsey	20-24	1447
Kempsey	25-34	3062
Kempsey	35-44	3017
Kempsey	45-54	3570
Kempsey	55-64	4773
Kempsey	65-74	4743
Kempsey	75-84	2444
Kempsey	85+	863
Kiama	0-4	1149
Kiama	5-14	2647
Kiama	15-19	1281
Kiama	20-24	954
Kiama	25-34	1992
Kiama	35-44	2485
Kiama	45-54	2763
Kiama	55-64	3436
Kiama	65-74	3597
Kiama	75-84	1988
Kiama	85+	777
Ku-ring-gai	0-4	5602
Ku-ring-gai	5-14	18548
Ku-ring-gai	15-19	9124
Ku-ring-gai	20-24	6968
Ku-ring-gai	25-34	9330
Ku-ring-gai	35-44	16439
Ku-ring-gai	45-54	18833
Ku-ring-gai	55-64	15230
Ku-ring-gai	65-74	11713
Ku-ring-gai	75-84	8150
Ku-ring-gai	85+	4138
Kyogle	0-4	402
Kyogle	5-14	1084
Kyogle	15-19	480
Kyogle	20-24	314
Kyogle	25-34	710
Kyogle	35-44	907
Kyogle	45-54	1167
Kyogle	55-64	1811
Kyogle	65-74	1588
Kyogle	75-84	675
Kyogle	85+	228
Lachlan	0-4	398
Lachlan	5-14	898
Lachlan	15-19	316
Lachlan	20-24	267
Lachlan	25-34	710
Lachlan	35-44	678
Lachlan	45-54	706
Lachlan	55-64	818
Lachlan	65-74	687
Lachlan	75-84	412
Lachlan	85+	199
Lake Macquarie	0-4	11966
Lake Macquarie	5-14	26797
Lake Macquarie	15-19	12340
Lake Macquarie	20-24	11654
Lake Macquarie	25-34	24165
Lake Macquarie	35-44	25799
Lake Macquarie	45-54	26769
Lake Macquarie	55-64	27279
Lake Macquarie	65-74	25149
Lake Macquarie	75-84	15618
Lake Macquarie	85+	6305
Lane Cove	0-4	2403
Lane Cove	5-14	4777
Lane Cove	15-19	2017
Lane Cove	20-24	1963
Lane Cove	25-34	6440
Lane Cove	35-44	6953
Lane Cove	45-54	5239
Lane Cove	55-64	3990
Lane Cove	65-74	3110
Lane Cove	75-84	1824
Lane Cove	85+	725
Leeton	0-4	703
Leeton	5-14	1715
Leeton	15-19	909
Leeton	20-24	618
Leeton	25-34	1366
Leeton	35-44	1258
Leeton	45-54	1385
Leeton	55-64	1447
Leeton	65-74	1065
Leeton	75-84	710
Leeton	85+	284
Lismore	0-4	2106
Lismore	5-14	5479
Lismore	15-19	2657
Lismore	20-24	2285
Lismore	25-34	4751
Lismore	35-44	5196
Lismore	45-54	5986
Lismore	55-64	6638
Lismore	65-74	5537
Lismore	75-84	2620
Lismore	85+	1081
Lithgow	0-4	958
Lithgow	5-14	2461
Lithgow	15-19	1104
Lithgow	20-24	1010
Lithgow	25-34	2273
Lithgow	35-44	2144
Lithgow	45-54	2613
Lithgow	55-64	3171
Lithgow	65-74	2910
Lithgow	75-84	1666
Lithgow	85+	534
Liverpool	0-4	16664
Liverpool	5-14	34907
Liverpool	15-19	16212
Liverpool	20-24	16481
Liverpool	25-34	33456
Liverpool	35-44	33975
Liverpool	45-54	29602
Liverpool	55-64	25169
Liverpool	65-74	15987
Liverpool	75-84	8048
Liverpool	85+	2943
Liverpool Plains	0-4	385
Liverpool Plains	5-14	949
Liverpool Plains	15-19	446
Liverpool Plains	20-24	330
Liverpool Plains	25-34	703
Liverpool Plains	35-44	786
Liverpool Plains	45-54	961
Liverpool Plains	55-64	1136
Liverpool Plains	65-74	1073
Liverpool Plains	75-84	600
Liverpool Plains	85+	189
Lockhart	0-4	204
Lockhart	5-14	482
Lockhart	15-19	199
Lockhart	20-24	136
Lockhart	25-34	265
Lockhart	35-44	309
Lockhart	45-54	389
Lockhart	55-64	527
Lockhart	65-74	433
Lockhart	75-84	248
Lockhart	85+	125
Maitland	0-4	6220
Maitland	5-14	13049
Maitland	15-19	5568
Maitland	20-24	5471
Maitland	25-34	12943
Maitland	35-44	12042
Maitland	45-54	10990
Maitland	55-64	9936
Maitland	65-74	8181
Maitland	75-84	4334
Maitland	85+	1494
Mid-Coast	0-4	3907
Mid-Coast	5-14	10165
Mid-Coast	15-19	4668
Mid-Coast	20-24	3453
Mid-Coast	25-34	7601
Mid-Coast	35-44	8382
Mid-Coast	45-54	10914
Mid-Coast	55-64	15414
Mid-Coast	65-74	17646
Mid-Coast	75-84	10533
Mid-Coast	85+	3884
Mid-Western Regional	0-4	1528
Mid-Western Regional	5-14	3588
Mid-Western Regional	15-19	1438
Mid-Western Regional	20-24	1092
Mid-Western Regional	25-34	2945
Mid-Western Regional	35-44	2981
Mid-Western Regional	45-54	3329
Mid-Western Regional	55-64	3497
Mid-Western Regional	65-74	2935
Mid-Western Regional	75-84	1782
Mid-Western Regional	85+	598
Moree Plains	0-4	815
Moree Plains	5-14	1806
Moree Plains	15-19	678
Moree Plains	20-24	795
Moree Plains	25-34	1699
Moree Plains	35-44	1508
Moree Plains	45-54	1607
Moree Plains	55-64	1723
Moree Plains	65-74	1238
Moree Plains	75-84	690
Moree Plains	85+	199
Mosman	0-4	1220
Mosman	5-14	3391
Mosman	15-19	1619
Mosman	20-24	1346
Mosman	25-34	2935
Mosman	35-44	3649
Mosman	45-54	4238
Mosman	55-64	3727
Mosman	65-74	3073
Mosman	75-84	2216
Mosman	85+	916
Murray River	0-4	664
Murray River	5-14	1504
Murray River	15-19	643
Murray River	20-24	449
Murray River	25-34	1194
Murray River	35-44	1277
Murray River	45-54	1533
Murray River	55-64	1926
Murray River	65-74	2034
Murray River	75-84	1223
Murray River	85+	401
Murrumbidgee	0-4	186
Murrumbidgee	5-14	383
Murrumbidgee	15-19	168
Murrumbidgee	20-24	171
Murrumbidgee	25-34	406
Murrumbidgee	35-44	353
Murrumbidgee	45-54	418
Murrumbidgee	55-64	545
Murrumbidgee	65-74	436
Murrumbidgee	75-84	214
Murrumbidgee	85+	76
Muswellbrook	0-4	1028
Muswellbrook	5-14	2430
Muswellbrook	15-19	1053
Muswellbrook	20-24	870
Muswellbrook	25-34	2309
Muswellbrook	35-44	2112
Muswellbrook	45-54	2116
Muswellbrook	55-64	1977
Muswellbrook	65-74	1451
Muswellbrook	75-84	746
Muswellbrook	85+	256
Nambucca Valley	0-4	978
Nambucca Valley	5-14	2234
Nambucca Valley	15-19	1071
Nambucca Valley	20-24	705
Nambucca Valley	25-34	1675
Nambucca Valley	35-44	1828
Nambucca Valley	45-54	2313
Nambucca Valley	55-64	3461
Nambucca Valley	65-74	3471
Nambucca Valley	75-84	1953
Nambucca Valley	85+	713
Narrabri	0-4	764
Narrabri	5-14	1783
Narrabri	15-19	690
Narrabri	20-24	714
Narrabri	25-34	1564
Narrabri	35-44	1388
Narrabri	45-54	1552
Narrabri	55-64	1822
Narrabri	65-74	1345
Narrabri	75-84	787
Narrabri	85+	303
Narrandera	0-4	324
Narrandera	5-14	820
Narrandera	15-19	317
Narrandera	20-24	252
Narrandera	25-34	549
Narrandera	35-44	616
Narrandera	45-54	667
Narrandera	55-64	822
Narrandera	65-74	687
Narrandera	75-84	437
Narrandera	85+	203
Narromine	0-4	405
Narromine	5-14	944
Narromine	15-19	370
Narromine	20-24	301
Narromine	25-34	712
Narromine	35-44	687
Narromine	45-54	703
Narromine	55-64	854
Narromine	65-74	749
Narromine	75-84	473
Narromine	85+	173
Newcastle	0-4	8792
Newcastle	5-14	18563
Newcastle	15-19	9722
Newcastle	20-24	14428
Newcastle	25-34	26941
Newcastle	35-44	21852
Newcastle	45-54	20660
Newcastle	55-64	19267
Newcastle	65-74	15262
Newcastle	75-84	8967
Newcastle	85+	4421
North Sydney	0-4	3435
North Sydney	5-14	5293
North Sydney	15-19	2145
North Sydney	20-24	3361
North Sydney	25-34	14656
North Sydney	35-44	12343
North Sydney	45-54	8800
North Sydney	55-64	7436
North Sydney	65-74	6417
North Sydney	75-84	3848
North Sydney	85+	1226
Northern Beaches	0-4	14169
Northern Beaches	5-14	34559
Northern Beaches	15-19	16263
Northern Beaches	20-24	13740
Northern Beaches	25-34	28875
Northern Beaches	35-44	35504
Northern Beaches	45-54	40004
Northern Beaches	55-64	32479
Northern Beaches	65-74	24219
Northern Beaches	75-84	16501
Northern Beaches	85+	7243
Oberon	0-4	264
Oberon	5-14	692
Oberon	15-19	270
Oberon	20-24	254
Oberon	25-34	539
Oberon	35-44	609
Oberon	45-54	742
Oberon	55-64	828
Oberon	65-74	846
Oberon	75-84	429
Oberon	85+	107
Orange	0-4	3052
Orange	5-14	6325
Orange	15-19	2662
Orange	20-24	2407
Orange	25-34	5893
Orange	35-44	5464
Orange	45-54	5108
Orange	55-64	4776
Orange	65-74	4256
Orange	75-84	2511
Orange	85+	1049
Parkes	0-4	910
Parkes	5-14	2025
Parkes	15-19	875
Parkes	20-24	788
Parkes	25-34	1631
Parkes	35-44	1562
Parkes	45-54	1672
Parkes	55-64	1915
Parkes	65-74	1551
Parkes	75-84	995
Parkes	85+	438
Parramatta	0-4	16047
Parramatta	5-14	30593
Parramatta	15-19	11542
Parramatta	20-24	16999
Parramatta	25-34	49933
Parramatta	35-44	45531
Parramatta	45-54	29102
Parramatta	55-64	24787
Parramatta	65-74	18185
Parramatta	75-84	9948
Parramatta	85+	4067
Penrith	0-4	15640
Penrith	5-14	30474
Penrith	15-19	13523
Penrith	20-24	14793
Penrith	25-34	32976
Penrith	35-44	31767
Penrith	45-54	26855
Penrith	55-64	23332
Penrith	65-74	17418
Penrith	75-84	8164
Penrith	85+	2713
Port Macquarie-Hastings	0-4	3849
Port Macquarie-Hastings	5-14	10013
Port Macquarie-Hastings	15-19	4938
Port Macquarie-Hastings	20-24	3865
Port Macquarie-Hastings	25-34	7637
Port Macquarie-Hastings	35-44	8655
Port Macquarie-Hastings	45-54	10452
Port Macquarie-Hastings	55-64	12073
Port Macquarie-Hastings	65-74	13187
Port Macquarie-Hastings	75-84	8690
Port Macquarie-Hastings	85+	3417
Port Stephens	0-4	3630
Port Stephens	5-14	9258
Port Stephens	15-19	4347
Port Stephens	20-24	3589
Port Stephens	25-34	7049
Port Stephens	35-44	7877
Port Stephens	45-54	9271
Port Stephens	55-64	10759
Port Stephens	65-74	11058
Port Stephens	75-84	6564
Port Stephens	85+	1860
Queanbeyan-Palerang Regional	0-4	4225
Queanbeyan-Palerang Regional	5-14	8131
Queanbeyan-Palerang Regional	15-19	3427
Queanbeyan-Palerang Regional	20-24	3400
Queanbeyan-Palerang Regional	25-34	9347
Queanbeyan-Palerang Regional	35-44	9004
Queanbeyan-Palerang Regional	45-54	9200
Queanbeyan-Palerang Regional	55-64	8022
Queanbeyan-Palerang Regional	65-74	5281
Queanbeyan-Palerang Regional	75-84	2475
Queanbeyan-Palerang Regional	85+	777
