LGA_NAME16	CountryOfBirth	Sex	persons
Armidale Regional	EGY	M	5
Armidale Regional	FJI	F	10
Armidale Regional	FJI	M	13
Armidale Regional	FRA	F	20
Armidale Regional	FRA	M	16
Armidale Regional	GBR	F	347
Armidale Regional	GBR	M	338
Armidale Regional	GRC	F	5
Armidale Regional	GRC	M	3
Armidale Regional	HKG	F	13
Armidale Regional	HKG	M	8
Armidale Regional	HRV	F	4
Armidale Regional	HRV	M	4
Armidale Regional	IDN	F	21
Armidale Regional	IDN	M	12
Armidale Regional	IND	F	140
Armidale Regional	IND	M	136
Armidale Regional	IRL	F	12
Armidale Regional	IRL	M	17
Armidale Regional	IRN	F	19
Armidale Regional	IRN	M	22
Armidale Regional	IRQ	F	310
Armidale Regional	IRQ	M	270
Armidale Regional	ITA	F	12
Armidale Regional	ITA	M	6
Armidale Regional	JPN	F	31
Armidale Regional	JPN	M	7
Armidale Regional	KOR	F	14
Armidale Regional	KOR	M	6
Armidale Regional	LBN	F	8
Armidale Regional	LBN	M	3
Armidale Regional	LKA	F	54
Armidale Regional	LKA	M	40
Armidale Regional	MMR	F	8
Armidale Regional	MUS	M	3
Armidale Regional	MYS	F	18
Armidale Regional	MYS	M	21
Armidale Regional	NLD	F	31
Armidale Regional	NLD	M	21
Armidale Regional	NPL	F	139
Armidale Regional	NPL	M	125
Armidale Regional	NZL	F	141
Armidale Regional	NZL	M	143
Armidale Regional	PAK	F	10
Armidale Regional	PAK	M	21
Armidale Regional	PHL	F	109
Armidale Regional	PHL	M	57
Armidale Regional	PNG	F	18
Armidale Regional	PNG	M	17
Armidale Regional	POL	F	3
Armidale Regional	POL	M	9
Armidale Regional	SGP	F	7
Armidale Regional	SGP	M	5
Armidale Regional	THA	F	22
Armidale Regional	THA	M	6
Armidale Regional	TUR	F	7
Armidale Regional	TUR	M	9
Armidale Regional	TWN	F	26
Armidale Regional	TWN	M	10
Armidale Regional	USA	F	86
Armidale Regional	USA	M	67
Armidale Regional	VNM	F	45
Armidale Regional	VNM	M	33
Armidale Regional	WSM	M	6
Armidale Regional	ZAF	F	54
Armidale Regional	ZAF	M	59
Armidale Regional	ZWE	F	18
Armidale Regional	ZWE	M	21
Ballina		F	1712
Ballina		M	1571
Ballina	AUS	F	19424
Ballina	AUS	M	18278
Ballina	BGD	F	3
Ballina	BGD	M	4
Ballina	BRA	F	60
Ballina	BRA	M	35
Ballina	CAN	F	83
Ballina	CAN	M	70
Ballina	CHL	F	24
Ballina	CHL	M	22
Ballina	CHN	F	38
Ballina	CHN	M	16
Ballina	DEU	F	106
Ballina	DEU	M	81
Ballina	EGY	F	6
Ballina	EGY	M	5
Ballina	FJI	F	21
Ballina	FJI	M	15
Ballina	FRA	F	46
Ballina	FRA	M	31
Ballina	GBR	F	1008
Ballina	GBR	M	926
Ballina	GRC	F	6
Ballina	GRC	M	5
Ballina	HKG	F	21
Ballina	HKG	M	9
Ballina	HRV	F	4
Ballina	HRV	M	4
Ballina	IDN	F	31
Ballina	IDN	M	14
Ballina	IND	F	86
Ballina	IND	M	98
Ballina	IRL	F	31
Ballina	IRL	M	51
Ballina	IRN	F	9
Ballina	IRN	M	14
Ballina	ITA	F	42
Ballina	ITA	M	60
Ballina	JPN	F	57
Ballina	JPN	M	30
Ballina	KHM	F	7
Ballina	KOR	F	12
Ballina	KOR	M	12
Ballina	LBN	M	3
Ballina	LKA	F	11
Ballina	LKA	M	16
Ballina	MKD	M	5
Ballina	MLT	F	13
Ballina	MLT	M	8
Ballina	MMR	F	4
Ballina	MUS	F	4
Ballina	MUS	M	5
Ballina	MYS	F	38
Ballina	MYS	M	26
Ballina	NLD	F	88
Ballina	NLD	M	61
Ballina	NPL	F	12
Ballina	NPL	M	17
Ballina	NZL	F	400
Ballina	NZL	M	373
Ballina	PAK	F	3
Ballina	PAK	M	3
Ballina	PHL	F	133
Ballina	PHL	M	32
Ballina	PNG	F	33
Ballina	PNG	M	34
Ballina	POL	F	14
Ballina	POL	M	11
Ballina	SGP	F	15
Ballina	SGP	M	13
Ballina	THA	F	100
Ballina	THA	M	29
Ballina	TUR	M	3
Ballina	TWN	F	3
Ballina	USA	F	130
Ballina	USA	M	112
Ballina	VNM	F	26
Ballina	VNM	M	15
Ballina	WSM	F	3
Ballina	WSM	M	3
Ballina	ZAF	F	132
Ballina	ZAF	M	130
Ballina	ZWE	F	24
Ballina	ZWE	M	23
Balranald		F	158
Balranald		M	156
Balranald	AUS	F	841
Balranald	AUS	M	873
Balranald	CHL	F	6
Balranald	CHN	M	3
Balranald	FJI	F	6
Balranald	FJI	M	8
Balranald	GBR	F	11
Balranald	GBR	M	7
Balranald	IND	F	4
Balranald	IND	M	3
Balranald	ITA	F	8
Balranald	ITA	M	4
Balranald	MYS	F	7
Balranald	MYS	M	26
Balranald	NLD	M	4
Balranald	NPL	M	5
Balranald	NZL	F	10
Balranald	NZL	M	4
Balranald	PHL	F	3
Balranald	PHL	M	5
Balranald	THA	F	10
Balranald	THA	M	3
Balranald	TWN	F	5
Balranald	VNM	F	4
Balranald	VNM	M	3
Bathurst Regional		F	1304
Bathurst Regional		M	1407
Bathurst Regional	AFG	F	9
Bathurst Regional	AFG	M	11
Bathurst Regional	AUS	F	18426
Bathurst Regional	AUS	M	18478
Bathurst Regional	BGD	F	28
Bathurst Regional	BGD	M	28
Bathurst Regional	BIH	M	5
Bathurst Regional	BRA	F	4
Bathurst Regional	CAN	F	30
Bathurst Regional	CAN	M	31
Bathurst Regional	CHL	F	8
Bathurst Regional	CHL	M	8
Bathurst Regional	CHN	F	53
Bathurst Regional	CHN	M	47
Bathurst Regional	DEU	F	51
Bathurst Regional	DEU	M	46
Bathurst Regional	EGY	F	10
Bathurst Regional	EGY	M	13
Bathurst Regional	FJI	F	24
Bathurst Regional	FJI	M	28
Bathurst Regional	FRA	F	12
Bathurst Regional	FRA	M	17
Bathurst Regional	GBR	F	514
Bathurst Regional	GBR	M	522
Bathurst Regional	GRC	F	11
Bathurst Regional	GRC	M	11
Bathurst Regional	HKG	F	9
Bathurst Regional	HKG	M	3
Bathurst Regional	HRV	F	16
Bathurst Regional	HRV	M	16
Bathurst Regional	IDN	F	22
Bathurst Regional	IDN	M	17
Bathurst Regional	IND	F	152
Bathurst Regional	IND	M	200
Bathurst Regional	IRL	F	42
Bathurst Regional	IRL	M	37
Bathurst Regional	IRN	F	18
Bathurst Regional	IRN	M	23
Bathurst Regional	IRQ	F	3
Bathurst Regional	IRQ	M	10
Bathurst Regional	ITA	F	21
Bathurst Regional	ITA	M	20
Bathurst Regional	JPN	F	21
Bathurst Regional	JPN	M	5
Bathurst Regional	KHM	F	10
Bathurst Regional	KHM	M	4
Bathurst Regional	KOR	F	16
Bathurst Regional	KOR	M	16
Bathurst Regional	LBN	F	13
Bathurst Regional	LBN	M	32
Bathurst Regional	LKA	F	46
Bathurst Regional	LKA	M	50
Bathurst Regional	MKD	F	3
Bathurst Regional	MLT	F	9
Bathurst Regional	MLT	M	9
Bathurst Regional	MUS	F	4
Bathurst Regional	MUS	M	5
Bathurst Regional	MYS	F	29
Bathurst Regional	MYS	M	23
Bathurst Regional	NLD	F	60
Bathurst Regional	NLD	M	45
Bathurst Regional	NPL	F	85
Bathurst Regional	NPL	M	88
Bathurst Regional	NZL	F	199
Bathurst Regional	NZL	M	237
Bathurst Regional	PAK	F	27
Bathurst Regional	PAK	M	36
Bathurst Regional	PHL	F	147
Bathurst Regional	PHL	M	103
Bathurst Regional	PNG	F	15
Bathurst Regional	PNG	M	8
Bathurst Regional	POL	F	10
Bathurst Regional	POL	M	9
Bathurst Regional	SGP	F	9
Bathurst Regional	SGP	M	16
Bathurst Regional	THA	F	52
Bathurst Regional	THA	M	24
Bathurst Regional	TUR	M	4
Bathurst Regional	TWN	F	10
Bathurst Regional	TWN	M	5
Bathurst Regional	USA	F	54
Bathurst Regional	USA	M	46
Bathurst Regional	VNM	F	44
Bathurst Regional	VNM	M	39
Bathurst Regional	WSM	M	6
Bathurst Regional	ZAF	F	70
Bathurst Regional	ZAF	M	61
Bathurst Regional	ZWE	F	15
Bathurst Regional	ZWE	M	11
Bayside (NSW)		F	10717
Bayside (NSW)		M	10759
Bayside (NSW)	AFG	F	30
Bayside (NSW)	AFG	M	35
Bayside (NSW)	AUS	F	40276
Bayside (NSW)	AUS	M	41486
Bayside (NSW)	BGD	F	1022
Bayside (NSW)	BGD	M	1476
Bayside (NSW)	BIH	F	173
Bayside (NSW)	BIH	M	160
Bayside (NSW)	BRA	F	1175
Bayside (NSW)	BRA	M	1238
Bayside (NSW)	CAN	F	116
Bayside (NSW)	CAN	M	113
Bayside (NSW)	CHL	F	429
Bayside (NSW)	CHL	M	407
Bayside (NSW)	CHN	F	6685
Bayside (NSW)	CHN	M	5146
Bayside (NSW)	DEU	F	193
Bayside (NSW)	DEU	M	208
Bayside (NSW)	EGY	F	793
Bayside (NSW)	EGY	M	776
Bayside (NSW)	FJI	F	459
Bayside (NSW)	FJI	M	377
Bayside (NSW)	FRA	F	168
Bayside (NSW)	FRA	M	176
Bayside (NSW)	GBR	F	1528
Bayside (NSW)	GBR	M	2052
Bayside (NSW)	GRC	F	2108
Bayside (NSW)	GRC	M	1820
Bayside (NSW)	HKG	F	995
Bayside (NSW)	HKG	M	907
Bayside (NSW)	HRV	F	276
Bayside (NSW)	HRV	M	235
Bayside (NSW)	IDN	F	2382
Bayside (NSW)	IDN	M	2083
Bayside (NSW)	IND	F	1299
Bayside (NSW)	IND	M	1608
Bayside (NSW)	IRL	F	803
Bayside (NSW)	IRL	M	945
Bayside (NSW)	IRN	F	191
Bayside (NSW)	IRN	M	232
Bayside (NSW)	IRQ	F	275
Bayside (NSW)	IRQ	M	268
Bayside (NSW)	ITA	F	797
Bayside (NSW)	ITA	M	834
Bayside (NSW)	JPN	F	367
Bayside (NSW)	JPN	M	156
Bayside (NSW)	KHM	F	88
Bayside (NSW)	KHM	M	52
Bayside (NSW)	KOR	F	387
Bayside (NSW)	KOR	M	263
Bayside (NSW)	LBN	F	1634
Bayside (NSW)	LBN	M	1731
Bayside (NSW)	LKA	F	127
Bayside (NSW)	LKA	M	177
Bayside (NSW)	MKD	F	1513
Bayside (NSW)	MKD	M	1405
Bayside (NSW)	MLT	F	225
Bayside (NSW)	MLT	M	203
Bayside (NSW)	MMR	F	68
Bayside (NSW)	MMR	M	65
Bayside (NSW)	MUS	F	89
Bayside (NSW)	MUS	M	87
Bayside (NSW)	MYS	F	736
Bayside (NSW)	MYS	M	723
Bayside (NSW)	NLD	F	66
Bayside (NSW)	NLD	M	82
Bayside (NSW)	NPL	F	2006
Bayside (NSW)	NPL	M	2679
Bayside (NSW)	NZL	F	1207
Bayside (NSW)	NZL	M	1411
Bayside (NSW)	PAK	F	142
Bayside (NSW)	PAK	M	319
Bayside (NSW)	PHL	F	2158
Bayside (NSW)	PHL	M	1405
Bayside (NSW)	PNG	F	52
Bayside (NSW)	PNG	M	47
Bayside (NSW)	POL	F	248
Bayside (NSW)	POL	M	231
Bayside (NSW)	SGP	F	229
Bayside (NSW)	SGP	M	223
Bayside (NSW)	THA	F	1112
Bayside (NSW)	THA	M	498
Bayside (NSW)	TUR	F	381
Bayside (NSW)	TUR	M	443
Bayside (NSW)	TWN	F	312
Bayside (NSW)	TWN	M	245
Bayside (NSW)	USA	F	282
Bayside (NSW)	USA	M	253
Bayside (NSW)	VNM	F	1116
Bayside (NSW)	VNM	M	834
Bayside (NSW)	WSM	F	37
Bayside (NSW)	WSM	M	46
Bayside (NSW)	ZAF	F	356
Bayside (NSW)	ZAF	M	365
Bayside (NSW)	ZWE	F	49
Bayside (NSW)	ZWE	M	39
Bega Valley		F	1553
Bega Valley		M	1554
Bega Valley	AUS	F	14624
Bega Valley	AUS	M	14270
Bega Valley	BGD	F	3
Bega Valley	BGD	M	5
Bega Valley	BRA	F	5
Bega Valley	BRA	M	3
Bega Valley	CAN	F	41
Bega Valley	CAN	M	36
Bega Valley	CHL	F	9
Bega Valley	CHL	M	9
Bega Valley	CHN	F	28
Bega Valley	CHN	M	17
Bega Valley	DEU	F	145
Bega Valley	DEU	M	110
Bega Valley	EGY	F	3
Bega Valley	EGY	M	7
Bega Valley	FJI	F	11
Bega Valley	FJI	M	5
Bega Valley	FRA	F	26
Bega Valley	FRA	M	21
Bega Valley	GBR	F	872
Bega Valley	GBR	M	819
Bega Valley	GRC	F	10
Bega Valley	GRC	M	10
Bega Valley	HKG	F	13
Bega Valley	HKG	M	12
Bega Valley	HRV	F	14
Bega Valley	HRV	M	14
Bega Valley	IDN	F	12
Bega Valley	IDN	M	3
Bega Valley	IND	F	46
Bega Valley	IND	M	46
Bega Valley	IRL	F	37
Bega Valley	IRL	M	32
Bega Valley	IRN	M	8
Bega Valley	ITA	F	11
Bega Valley	ITA	M	39
Bega Valley	JPN	F	16
Bega Valley	JPN	M	9
Bega Valley	KHM	F	3
Bega Valley	KOR	F	8
Bega Valley	KOR	M	7
Bega Valley	LBN	M	3
Bega Valley	LKA	F	7
Bega Valley	LKA	M	8
Bega Valley	MKD	M	3
Bega Valley	MLT	F	16
Bega Valley	MLT	M	19
Bega Valley	MUS	M	4
Bega Valley	MYS	F	25
Bega Valley	MYS	M	19
Bega Valley	NLD	F	111
Bega Valley	NLD	M	76
Bega Valley	NPL	F	24
Bega Valley	NPL	M	24
Bega Valley	NZL	F	213
Bega Valley	NZL	M	209
Bega Valley	PAK	F	8
Bega Valley	PHL	F	110
Bega Valley	PHL	M	32
Bega Valley	PNG	F	11
Bega Valley	PNG	M	7
Bega Valley	POL	F	15
Bega Valley	POL	M	5
Bega Valley	SGP	F	10
Bega Valley	SGP	M	9
Bega Valley	THA	F	67
Bega Valley	THA	M	19
Bega Valley	TUR	M	4
Bega Valley	TWN	F	5
Bega Valley	USA	F	101
Bega Valley	USA	M	74
Bega Valley	VNM	F	13
Bega Valley	VNM	M	5
Bega Valley	WSM	F	4
Bega Valley	WSM	M	6
Bega Valley	ZAF	F	67
Bega Valley	ZAF	M	57
Bega Valley	ZWE	F	12
Bega Valley	ZWE	M	11
Bellingen		F	653
Bellingen		M	601
Bellingen	AUS	F	5412
Bellingen	AUS	M	5113
Bellingen	BRA	F	6
Bellingen	BRA	M	3
Bellingen	CAN	F	23
Bellingen	CAN	M	15
Bellingen	CHL	F	3
Bellingen	CHN	F	8
Bellingen	CHN	M	4
Bellingen	DEU	F	55
Bellingen	DEU	M	48
Bellingen	FJI	M	3
Bellingen	FRA	F	14
Bellingen	FRA	M	9
Bellingen	GBR	F	334
Bellingen	GBR	M	371
Bellingen	GRC	M	3
Bellingen	HKG	M	4
Bellingen	HRV	M	3
Bellingen	IDN	F	8
Bellingen	IND	F	3
Bellingen	IND	M	8
Bellingen	IRL	F	12
Bellingen	IRL	M	9
Bellingen	ITA	F	5
Bellingen	ITA	M	7
Bellingen	JPN	F	3
Bellingen	KOR	F	3
Bellingen	LKA	M	3
Bellingen	MLT	F	3
Bellingen	MLT	M	4
Bellingen	MYS	F	11
Bellingen	MYS	M	4
Bellingen	NLD	F	32
Bellingen	NLD	M	31
Bellingen	NPL	M	3
Bellingen	NZL	F	90
Bellingen	NZL	M	91
Bellingen	PHL	F	32
Bellingen	PHL	M	7
Bellingen	PNG	F	13
Bellingen	PNG	M	8
Bellingen	POL	F	5
Bellingen	SGP	F	6
Bellingen	SGP	M	5
Bellingen	THA	F	11
Bellingen	THA	M	5
Bellingen	TUR	F	4
Bellingen	TWN	F	5
Bellingen	USA	F	39
Bellingen	USA	M	28
Bellingen	ZAF	F	27
Bellingen	ZAF	M	34
Bellingen	ZWE	F	4
Bellingen	ZWE	M	3
Berrigan		F	464
Berrigan		M	455
Berrigan	AUS	F	3599
Berrigan	AUS	M	3519
Berrigan	CAN	M	4
Berrigan	CHN	F	11
Berrigan	CHN	M	9
Berrigan	DEU	F	19
Berrigan	DEU	M	17
Berrigan	EGY	F	8
Berrigan	EGY	M	6
Berrigan	FJI	M	3
Berrigan	GBR	F	120
Berrigan	GBR	M	109
Berrigan	IDN	M	5
Berrigan	IND	F	14
Berrigan	IND	M	19
Berrigan	IRL	M	5
Berrigan	IRQ	M	4
Berrigan	ITA	F	4
Berrigan	ITA	M	15
Berrigan	LKA	F	8
Berrigan	LKA	M	9
Berrigan	MYS	F	3
Berrigan	MYS	M	4
Berrigan	NLD	F	26
Berrigan	NLD	M	20
Berrigan	NPL	F	4
Berrigan	NPL	M	3
Berrigan	NZL	F	45
Berrigan	NZL	M	35
Berrigan	PHL	F	37
Berrigan	PHL	M	12
Berrigan	THA	F	8
Berrigan	USA	F	10
Berrigan	VNM	F	3
Berrigan	ZAF	F	16
Berrigan	ZAF	M	9
Berrigan	ZWE	M	3
Blacktown		F	18405
Blacktown		M	18457
Blacktown	AFG	F	1375
Blacktown	AFG	M	1449
Blacktown	AUS	F	99129
Blacktown	AUS	M	100782
Blacktown	BGD	F	1590
Blacktown	BGD	M	1611
Blacktown	BIH	F	278
Blacktown	BIH	M	252
Blacktown	BRA	F	123
Blacktown	BRA	M	102
Blacktown	CAN	F	153
Blacktown	CAN	M	137
Blacktown	CHL	F	346
Blacktown	CHL	M	308
Blacktown	CHN	F	3563
Blacktown	CHN	M	2787
Blacktown	DEU	F	432
Blacktown	DEU	M	398
Blacktown	EGY	F	1004
Blacktown	EGY	M	1034
Blacktown	FJI	F	4003
Blacktown	FJI	M	3575
Blacktown	FRA	F	89
Blacktown	FRA	M	77
Blacktown	GBR	F	2727
Blacktown	GBR	M	2957
Blacktown	GRC	F	351
Blacktown	GRC	M	328
Blacktown	HKG	F	573
Blacktown	HKG	M	545
Blacktown	HRV	F	479
Blacktown	HRV	M	408
Blacktown	IDN	F	1070
Blacktown	IDN	M	796
Blacktown	IND	F	22617
Blacktown	IND	M	24475
Blacktown	IRL	F	261
Blacktown	IRL	M	354
Blacktown	IRN	F	1076
Blacktown	IRN	M	1067
Blacktown	IRQ	F	1076
Blacktown	IRQ	M	1094
Blacktown	ITA	F	590
Blacktown	ITA	M	636
Blacktown	JPN	F	129
Blacktown	JPN	M	61
Blacktown	KHM	F	131
Blacktown	KHM	M	68
Blacktown	KOR	F	1124
Blacktown	KOR	M	1018
Blacktown	LBN	F	969
Blacktown	LBN	M	1058
Blacktown	LKA	F	2930
Blacktown	LKA	M	3110
Blacktown	MKD	F	120
Blacktown	MKD	M	101
Blacktown	MLT	F	1015
Blacktown	MLT	M	1013
Blacktown	MMR	F	501
Blacktown	MMR	M	463
Blacktown	MUS	F	351
Blacktown	MUS	M	297
Blacktown	MYS	F	924
Blacktown	MYS	M	784
Blacktown	NLD	F	207
Blacktown	NLD	M	225
Blacktown	NPL	F	1817
Blacktown	NPL	M	1845
Blacktown	NZL	F	4171
Blacktown	NZL	M	4253
Blacktown	PAK	F	2903
Blacktown	PAK	M	3275
Blacktown	PHL	F	14054
Blacktown	PHL	M	11241
Blacktown	PNG	F	83
Blacktown	PNG	M	78
Blacktown	POL	F	502
Blacktown	POL	M	371
Blacktown	SGP	F	368
Blacktown	SGP	M	367
Blacktown	THA	F	630
Blacktown	THA	M	244
Blacktown	TUR	F	748
Blacktown	TUR	M	745
Blacktown	TWN	F	239
Blacktown	TWN	M	167
Blacktown	USA	F	453
Blacktown	USA	M	464
Blacktown	VNM	F	755
Blacktown	VNM	M	563
Blacktown	WSM	F	1146
Blacktown	WSM	M	1157
Blacktown	ZAF	F	1092
Blacktown	ZAF	M	1059
Blacktown	ZWE	F	232
Blacktown	ZWE	M	215
Bland		F	277
Bland		M	302
Bland	AUS	F	2329
Bland	AUS	M	2353
Bland	CAN	F	4
Bland	CAN	M	5
Bland	CHN	F	4
Bland	CHN	M	3
Bland	DEU	M	6
Bland	FJI	M	5
Bland	GBR	F	27
Bland	GBR	M	30
Bland	IND	F	8
Bland	IND	M	9
Bland	IRL	F	3
Bland	LKA	M	3
Bland	NLD	M	6
Bland	NPL	F	4
Bland	NPL	M	5
Bland	NZL	F	18
Bland	NZL	M	25
Bland	PHL	F	25
Bland	PHL	M	10
Bland	PNG	F	12
Bland	PNG	M	7
Bland	THA	F	7
Bland	TWN	F	4
Bland	TWN	M	4
Bland	USA	F	6
Bland	USA	M	5
Bland	ZAF	F	16
Bland	ZAF	M	9
Blayney		F	274
Blayney		M	271
Blayney	AUS	F	3286
Blayney	AUS	M	3241
Blayney	CAN	F	7
Blayney	CAN	M	3
Blayney	CHN	F	5
Blayney	DEU	F	8
Blayney	DEU	M	13
Blayney	FJI	F	5
Blayney	GBR	F	91
Blayney	GBR	M	86
Blayney	HKG	M	3
Blayney	IND	F	7
Blayney	IRL	F	6
Blayney	IRL	M	6
Blayney	IRN	M	3
Blayney	ITA	F	3
Blayney	LKA	F	3
Blayney	NLD	F	9
Blayney	NLD	M	12
Blayney	NZL	F	36
Blayney	NZL	M	40
Blayney	PHL	F	10
Blayney	PHL	M	3
Blayney	PNG	F	7
Blayney	POL	M	7
Blayney	SGP	F	5
Blayney	THA	F	9
Blayney	THA	M	3
Blayney	TWN	F	6
Blayney	USA	F	7
Blayney	USA	M	3
Blayney	ZAF	F	8
Blayney	ZAF	M	4
Blayney	ZWE	M	6
Blue Mountains		F	2268
Blue Mountains		M	2006
Blue Mountains	AFG	F	3
Blue Mountains	AFG	M	3
Blue Mountains	AUS	F	31753
Blue Mountains	AUS	M	30150
Blue Mountains	BGD	F	3
Blue Mountains	BGD	M	7
Blue Mountains	BIH	F	9
Blue Mountains	BIH	M	10
Blue Mountains	BRA	F	29
Blue Mountains	BRA	M	27
Blue Mountains	CAN	F	113
Blue Mountains	CAN	M	96
Blue Mountains	CHL	F	76
Blue Mountains	CHL	M	55
Blue Mountains	CHN	F	159
Blue Mountains	CHN	M	101
Blue Mountains	DEU	F	290
Blue Mountains	DEU	M	253
Blue Mountains	EGY	F	28
Blue Mountains	EGY	M	24
Blue Mountains	FJI	F	48
Blue Mountains	FJI	M	31
Blue Mountains	FRA	F	83
Blue Mountains	FRA	M	80
Blue Mountains	GBR	F	2409
Blue Mountains	GBR	M	2500
Blue Mountains	GRC	F	28
Blue Mountains	GRC	M	31
Blue Mountains	HKG	F	54
Blue Mountains	HKG	M	37
Blue Mountains	HRV	F	40
Blue Mountains	HRV	M	39
Blue Mountains	IDN	F	64
Blue Mountains	IDN	M	34
Blue Mountains	IND	F	154
Blue Mountains	IND	M	180
Blue Mountains	IRL	F	137
Blue Mountains	IRL	M	176
Blue Mountains	IRN	F	18
Blue Mountains	IRN	M	25
Blue Mountains	IRQ	F	13
Blue Mountains	IRQ	M	17
Blue Mountains	ITA	F	69
Blue Mountains	ITA	M	90
Blue Mountains	JPN	F	88
Blue Mountains	JPN	M	30
Blue Mountains	KHM	F	24
Blue Mountains	KHM	M	16
Blue Mountains	KOR	F	53
Blue Mountains	KOR	M	28
Blue Mountains	LBN	F	38
Blue Mountains	LBN	M	31
Blue Mountains	LKA	F	40
Blue Mountains	LKA	M	38
Blue Mountains	MKD	F	5
Blue Mountains	MKD	M	5
Blue Mountains	MLT	F	48
Blue Mountains	MLT	M	37
Blue Mountains	MMR	F	11
Blue Mountains	MMR	M	5
Blue Mountains	MUS	F	19
Blue Mountains	MUS	M	28
Blue Mountains	MYS	F	101
Blue Mountains	MYS	M	73
Blue Mountains	NLD	F	157
Blue Mountains	NLD	M	168
Blue Mountains	NPL	F	21
Blue Mountains	NPL	M	27
Blue Mountains	NZL	F	608
Blue Mountains	NZL	M	562
Blue Mountains	PAK	F	11
Blue Mountains	PAK	M	23
Blue Mountains	PHL	F	250
Blue Mountains	PHL	M	103
Blue Mountains	PNG	F	40
Blue Mountains	PNG	M	33
Blue Mountains	POL	F	118
Blue Mountains	POL	M	83
Blue Mountains	SGP	F	41
Blue Mountains	SGP	M	44
Blue Mountains	THA	F	120
Blue Mountains	THA	M	51
Blue Mountains	TUR	F	12
Blue Mountains	TUR	M	15
Blue Mountains	TWN	F	14
Blue Mountains	TWN	M	12
Blue Mountains	USA	F	289
Blue Mountains	USA	M	245
Blue Mountains	VNM	F	97
Blue Mountains	VNM	M	74
Blue Mountains	WSM	F	6
Blue Mountains	WSM	M	12
Blue Mountains	ZAF	F	188
Blue Mountains	ZAF	M	154
Blue Mountains	ZWE	F	9
Blue Mountains	ZWE	M	16
Bogan		F	96
Bogan		M	117
Bogan	AUS	F	1058
Bogan	AUS	M	1059
Bogan	CHN	F	5
Bogan	DEU	F	4
Bogan	FJI	M	4
Bogan	GBR	F	7
Bogan	GBR	M	8
Bogan	HKG	M	3
Bogan	IND	F	3
Bogan	IND	M	5
Bogan	IRL	F	5
Bogan	NPL	F	4
Bogan	NPL	M	3
Bogan	NZL	F	15
Bogan	NZL	M	9
Bogan	PAK	M	4
Bogan	PHL	F	8
Bogan	PNG	M	3
Bogan	THA	F	8
Bogan	ZAF	F	3
Bogan	ZWE	F	5
Bogan	ZWE	M	6
Bourke		F	228
Bourke		M	227
Bourke	AUS	F	892
Bourke	AUS	M	887
Bourke	GBR	F	10
Bourke	GBR	M	3
Bourke	IDN	F	3
