LGA_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Armidale Regional	(Other)		2	16
Armidale Regional	(Other)		3	6
Armidale Regional	(Other)		4	4
Armidale Regional	Flat/apartment	1 or 2 storey block		6
Armidale Regional	Flat/apartment	1 or 2 storey block	0	8
Armidale Regional	Flat/apartment	1 or 2 storey block	1	133
Armidale Regional	Flat/apartment	1 or 2 storey block	2	216
Armidale Regional	Flat/apartment	1 or 2 storey block	3	44
Armidale Regional	Flat/apartment	1 or 2 storey block	4	5
Armidale Regional	Flat/apartment	1 or 2 storey block	6	3
Armidale Regional	Flat/apartment	3 storey block	1	7
Armidale Regional	Flat/apartment	3 storey block	2	35
Armidale Regional	Flat/apartment	3 storey block	3	7
Armidale Regional	Flat/apartment	Attached to a house	1	5
Armidale Regional	Separate house			108
Armidale Regional	Separate house		0	23
Armidale Regional	Separate house		1	147
Armidale Regional	Separate house		2	931
Armidale Regional	Separate house		3	4044
Armidale Regional	Separate house		4	2845
Armidale Regional	Separate house		5	694
Armidale Regional	Separate house		6	182
Ballina				8
Ballina			0	6
Ballina			1	30
Ballina			2	10
Ballina			3	11
Ballina			4	8
Ballina		1 storey		51
Ballina		1 storey	0	3
Ballina		1 storey	1	106
Ballina		1 storey	2	1021
Ballina		1 storey	3	953
Ballina		1 storey	4	99
Ballina		1 storey	5	10
Ballina		1 storey	6	3
Ballina		2 storeys or more		22
Ballina		2 storeys or more	0	3
Ballina		2 storeys or more	1	113
Ballina		2 storeys or more	2	567
Ballina		2 storeys or more	3	717
Ballina		2 storeys or more	4	90
Ballina		2 storeys or more	5	9
Ballina		2 storeys or more	6	7
Ballina	(Other)			40
Ballina	(Other)		0	18
Ballina	(Other)		1	105
Ballina	(Other)		2	177
Ballina	(Other)		3	51
Ballina	(Other)		4	6
Ballina	Flat/apartment		0	3
Ballina	Flat/apartment	1 or 2 storey block		12
Ballina	Flat/apartment	1 or 2 storey block	0	4
Ballina	Flat/apartment	1 or 2 storey block	1	77
Ballina	Flat/apartment	1 or 2 storey block	2	379
Ballina	Flat/apartment	1 or 2 storey block	3	147
Ballina	Flat/apartment	1 or 2 storey block	4	12
Ballina	Flat/apartment	1 or 2 storey block	5	3
Ballina	Flat/apartment	3 storey block		3
Ballina	Flat/apartment	3 storey block	1	4
Ballina	Flat/apartment	3 storey block	2	102
Ballina	Flat/apartment	3 storey block	3	46
Ballina	Flat/apartment	4-8 storey block	1	10
Ballina	Flat/apartment	4-8 storey block	2	25
Ballina	Flat/apartment	4-8 storey block	3	37
Ballina	Flat/apartment	9 or more storey block	2	12
Ballina	Flat/apartment	9 or more storey block	3	3
Ballina	Flat/apartment	Attached to a house	1	19
Ballina	Flat/apartment	Attached to a house	2	7
Ballina	Flat/apartment	Attached to a house	3	4
Ballina	Flat/apartment	Attached to a house	4	3
Ballina	Separate house			180
Ballina	Separate house		0	38
Ballina	Separate house		1	210
Ballina	Separate house		2	1395
Ballina	Separate house		3	5511
Ballina	Separate house		4	4641
Ballina	Separate house		5	947
Ballina	Separate house		6	202
Balranald				3
Balranald			2	5
Balranald			3	6
Balranald			4	8
Balranald			5	5
Balranald		1 storey	1	9
Balranald		1 storey	2	12
Balranald	(Other)		1	3
Balranald	Flat/apartment	1 or 2 storey block	2	10
Balranald	Separate house			16
Balranald	Separate house		1	16
Balranald	Separate house		2	70
Balranald	Separate house		3	327
Balranald	Separate house		4	199
Balranald	Separate house		5	28
Balranald	Separate house		6	9
Bathurst Regional				4
Bathurst Regional			1	10
Bathurst Regional			2	5
Bathurst Regional			3	9
Bathurst Regional			4	11
Bathurst Regional			6	5
Bathurst Regional		1 storey		24
Bathurst Regional		1 storey	1	134
Bathurst Regional		1 storey	2	661
Bathurst Regional		1 storey	3	373
Bathurst Regional		1 storey	4	52
Bathurst Regional		1 storey	5	5
Bathurst Regional		1 storey	6	3
Bathurst Regional		2 storeys or more		13
Bathurst Regional		2 storeys or more	0	6
Bathurst Regional		2 storeys or more	1	93
Bathurst Regional		2 storeys or more	2	97
Bathurst Regional		2 storeys or more	3	126
Bathurst Regional		2 storeys or more	4	34
Bathurst Regional	(Other)			7
Bathurst Regional	(Other)		1	13
Bathurst Regional	(Other)		2	12
Bathurst Regional	(Other)		3	10
Bathurst Regional	(Other)		5	4
Bathurst Regional	Flat/apartment	1 or 2 storey block		20
Bathurst Regional	Flat/apartment	1 or 2 storey block	0	20
Bathurst Regional	Flat/apartment	1 or 2 storey block	1	142
Bathurst Regional	Flat/apartment	1 or 2 storey block	2	417
Bathurst Regional	Flat/apartment	1 or 2 storey block	3	72
Bathurst Regional	Flat/apartment	1 or 2 storey block	4	10
Bathurst Regional	Flat/apartment	1 or 2 storey block	6	4
Bathurst Regional	Flat/apartment	3 storey block	2	3
Bathurst Regional	Flat/apartment	Attached to a house		5
Bathurst Regional	Flat/apartment	Attached to a house	1	4
Bathurst Regional	Flat/apartment	Attached to a house	2	3
Bathurst Regional	Flat/apartment	Attached to a house	3	5
Bathurst Regional	Flat/apartment	Attached to a house	4	3
Bathurst Regional	Separate house			165
Bathurst Regional	Separate house		0	24
Bathurst Regional	Separate house		1	141
Bathurst Regional	Separate house		2	1008
Bathurst Regional	Separate house		3	5237
Bathurst Regional	Separate house		4	5490
Bathurst Regional	Separate house		5	1188
Bathurst Regional	Separate house		6	282
Bayside (NSW)				23
Bayside (NSW)			0	3
Bayside (NSW)			1	30
Bayside (NSW)			2	66
Bayside (NSW)			3	20
Bayside (NSW)			4	14
Bayside (NSW)			6	3
Bayside (NSW)		1 storey		53
Bayside (NSW)		1 storey	0	20
Bayside (NSW)		1 storey	1	182
Bayside (NSW)		1 storey	2	1972
Bayside (NSW)		1 storey	3	2067
Bayside (NSW)		1 storey	4	221
Bayside (NSW)		1 storey	5	34
Bayside (NSW)		1 storey	6	9
Bayside (NSW)		2 storeys or more		45
Bayside (NSW)		2 storeys or more	0	3
Bayside (NSW)		2 storeys or more	1	184
Bayside (NSW)		2 storeys or more	2	517
Bayside (NSW)		2 storeys or more	3	1887
Bayside (NSW)		2 storeys or more	4	679
Bayside (NSW)		2 storeys or more	5	83
Bayside (NSW)		2 storeys or more	6	11
Bayside (NSW)	(Other)			15
Bayside (NSW)	(Other)		0	11
Bayside (NSW)	(Other)		1	117
Bayside (NSW)	(Other)		2	198
Bayside (NSW)	(Other)		3	91
Bayside (NSW)	(Other)		4	21
Bayside (NSW)	(Other)		5	8
Bayside (NSW)	(Other)		6	4
Bayside (NSW)	Flat/apartment		0	4
Bayside (NSW)	Flat/apartment	1 or 2 storey block		55
Bayside (NSW)	Flat/apartment	1 or 2 storey block	0	83
Bayside (NSW)	Flat/apartment	1 or 2 storey block	1	588
Bayside (NSW)	Flat/apartment	1 or 2 storey block	2	1904
Bayside (NSW)	Flat/apartment	1 or 2 storey block	3	365
Bayside (NSW)	Flat/apartment	1 or 2 storey block	4	40
Bayside (NSW)	Flat/apartment	1 or 2 storey block	5	16
Bayside (NSW)	Flat/apartment	1 or 2 storey block	6	11
Bayside (NSW)	Flat/apartment	3 storey block		123
Bayside (NSW)	Flat/apartment	3 storey block	0	56
Bayside (NSW)	Flat/apartment	3 storey block	1	609
Bayside (NSW)	Flat/apartment	3 storey block	2	4701
Bayside (NSW)	Flat/apartment	3 storey block	3	999
Bayside (NSW)	Flat/apartment	3 storey block	4	27
Bayside (NSW)	Flat/apartment	3 storey block	6	4
Bayside (NSW)	Flat/apartment	4-8 storey block		214
Bayside (NSW)	Flat/apartment	4-8 storey block	0	58
Bayside (NSW)	Flat/apartment	4-8 storey block	1	2251
Bayside (NSW)	Flat/apartment	4-8 storey block	2	9087
Bayside (NSW)	Flat/apartment	4-8 storey block	3	1692
Bayside (NSW)	Flat/apartment	4-8 storey block	4	59
Bayside (NSW)	Flat/apartment	4-8 storey block	5	3
Bayside (NSW)	Flat/apartment	4-8 storey block	6	3
Bayside (NSW)	Flat/apartment	9 or more storey block		144
Bayside (NSW)	Flat/apartment	9 or more storey block	0	39
Bayside (NSW)	Flat/apartment	9 or more storey block	1	2393
Bayside (NSW)	Flat/apartment	9 or more storey block	2	6298
Bayside (NSW)	Flat/apartment	9 or more storey block	3	1728
Bayside (NSW)	Flat/apartment	9 or more storey block	4	72
Bayside (NSW)	Flat/apartment	9 or more storey block	5	3
Bayside (NSW)	Flat/apartment	Attached to a house		9
Bayside (NSW)	Flat/apartment	Attached to a house	1	49
Bayside (NSW)	Flat/apartment	Attached to a house	2	92
Bayside (NSW)	Flat/apartment	Attached to a house	3	53
Bayside (NSW)	Flat/apartment	Attached to a house	4	24
Bayside (NSW)	Flat/apartment	Attached to a house	5	12
Bayside (NSW)	Flat/apartment	Attached to a house	6	7
Bayside (NSW)	Separate house			292
Bayside (NSW)	Separate house		0	46
Bayside (NSW)	Separate house		1	211
Bayside (NSW)	Separate house		2	2453
Bayside (NSW)	Separate house		3	10109
Bayside (NSW)	Separate house		4	6373
Bayside (NSW)	Separate house		5	2276
Bayside (NSW)	Separate house		6	609
Bega Valley				7
Bega Valley			1	10
Bega Valley			2	16
Bega Valley			3	24
Bega Valley			4	11
Bega Valley		1 storey		22
Bega Valley		1 storey	0	4
Bega Valley		1 storey	1	92
Bega Valley		1 storey	2	436
Bega Valley		1 storey	3	193
Bega Valley		1 storey	4	18
Bega Valley		2 storeys or more		9
Bega Valley		2 storeys or more	1	37
Bega Valley		2 storeys or more	2	231
Bega Valley		2 storeys or more	3	208
Bega Valley		2 storeys or more	4	27
Bega Valley	(Other)			7
Bega Valley	(Other)		0	27
Bega Valley	(Other)		1	87
Bega Valley	(Other)		2	89
Bega Valley	(Other)		3	26
Bega Valley	(Other)		4	7
Bega Valley	Flat/apartment	1 or 2 storey block		17
Bega Valley	Flat/apartment	1 or 2 storey block	0	12
Bega Valley	Flat/apartment	1 or 2 storey block	1	76
Bega Valley	Flat/apartment	1 or 2 storey block	2	405
Bega Valley	Flat/apartment	1 or 2 storey block	3	119
Bega Valley	Flat/apartment	1 or 2 storey block	4	10
Bega Valley	Flat/apartment	3 storey block	1	3
Bega Valley	Flat/apartment	3 storey block	2	26
Bega Valley	Flat/apartment	3 storey block	3	11
Bega Valley	Flat/apartment	4-8 storey block	2	4
Bega Valley	Flat/apartment	Attached to a house	1	6
Bega Valley	Flat/apartment	Attached to a house	2	3
Bega Valley	Flat/apartment	Attached to a house	4	3
Bega Valley	Flat/apartment	Attached to a house	5	3
Bega Valley	Separate house			196
Bega Valley	Separate house		0	107
Bega Valley	Separate house		1	421
Bega Valley	Separate house		2	1730
Bega Valley	Separate house		3	5732
Bega Valley	Separate house		4	3364
Bega Valley	Separate house		5	628
Bega Valley	Separate house		6	164
Bellingen			2	4
Bellingen			3	4
Bellingen		1 storey		3
Bellingen		1 storey	1	23
Bellingen		1 storey	2	69
Bellingen		1 storey	3	35
Bellingen		1 storey	4	5
Bellingen		1 storey	5	3
Bellingen		2 storeys or more	2	25
Bellingen		2 storeys or more	3	19
Bellingen	(Other)			10
Bellingen	(Other)		0	13
Bellingen	(Other)		1	35
Bellingen	(Other)		2	15
Bellingen	(Other)		3	11
Bellingen	(Other)		4	7
Bellingen	Flat/apartment	1 or 2 storey block	1	24
Bellingen	Flat/apartment	1 or 2 storey block	2	105
Bellingen	Flat/apartment	1 or 2 storey block	3	11
Bellingen	Flat/apartment	Attached to a house	1	4
Bellingen	Flat/apartment	Attached to a house	4	4
Bellingen	Separate house			65
Bellingen	Separate house		0	36
Bellingen	Separate house		1	196
Bellingen	Separate house		2	745
Bellingen	Separate house		3	2171
Bellingen	Separate house		4	1207
Bellingen	Separate house		5	226
Bellingen	Separate house		6	71
Berrigan				6
Berrigan			1	6
Berrigan			2	9
Berrigan			3	8
Berrigan			4	3
Berrigan		1 storey		6
Berrigan		1 storey	1	24
Berrigan		1 storey	2	166
Berrigan		1 storey	3	39
Berrigan	(Other)		0	6
Berrigan	(Other)		1	7
Berrigan	(Other)		2	8
Berrigan	(Other)		3	5
Berrigan	(Other)		4	5
Berrigan	Flat/apartment	1 or 2 storey block	0	3
Berrigan	Flat/apartment	1 or 2 storey block	2	13
Berrigan	Flat/apartment	1 or 2 storey block	3	10
Berrigan	Flat/apartment	1 or 2 storey block	4	3
Berrigan	Separate house			78
Berrigan	Separate house		0	10
Berrigan	Separate house		1	59
Berrigan	Separate house		2	355
Berrigan	Separate house		3	1543
Berrigan	Separate house		4	855
Berrigan	Separate house		5	117
Berrigan	Separate house		6	27
Blacktown				17
Blacktown			0	4
Blacktown			1	24
Blacktown			2	46
Blacktown			3	43
Blacktown			4	62
Blacktown			5	16
Blacktown		1 storey		82
Blacktown		1 storey	0	25
Blacktown		1 storey	1	279
Blacktown		1 storey	2	1064
Blacktown		1 storey	3	2112
Blacktown		1 storey	4	546
Blacktown		1 storey	5	68
Blacktown		1 storey	6	15
Blacktown		2 storeys or more		169
Blacktown		2 storeys or more	0	28
Blacktown		2 storeys or more	1	428
Blacktown		2 storeys or more	2	1395
Blacktown		2 storeys or more	3	5719
Blacktown		2 storeys or more	4	2325
Blacktown		2 storeys or more	5	193
Blacktown		2 storeys or more	6	36
Blacktown	(Other)		1	10
Blacktown	(Other)		2	30
Blacktown	(Other)		3	30
Blacktown	(Other)		4	18
Blacktown	(Other)		5	6
Blacktown	Flat/apartment		0	12
Blacktown	Flat/apartment	1 or 2 storey block		49
Blacktown	Flat/apartment	1 or 2 storey block	0	126
Blacktown	Flat/apartment	1 or 2 storey block	1	527
Blacktown	Flat/apartment	1 or 2 storey block	2	206
Blacktown	Flat/apartment	1 or 2 storey block	3	184
Blacktown	Flat/apartment	1 or 2 storey block	4	24
Blacktown	Flat/apartment	3 storey block		16
Blacktown	Flat/apartment	3 storey block	1	50
Blacktown	Flat/apartment	3 storey block	2	376
Blacktown	Flat/apartment	3 storey block	3	47
Blacktown	Flat/apartment	4-8 storey block		90
Blacktown	Flat/apartment	4-8 storey block	0	36
Blacktown	Flat/apartment	4-8 storey block	1	490
Blacktown	Flat/apartment	4-8 storey block	2	4356
Blacktown	Flat/apartment	4-8 storey block	3	637
Blacktown	Flat/apartment	4-8 storey block	4	16
Blacktown	Flat/apartment	4-8 storey block	5	3
Blacktown	Flat/apartment	9 or more storey block		7
Blacktown	Flat/apartment	9 or more storey block	1	16
Blacktown	Flat/apartment	9 or more storey block	2	144
Blacktown	Flat/apartment	9 or more storey block	3	49
Blacktown	Flat/apartment	9 or more storey block	4	3
Blacktown	Flat/apartment	Attached to a house		30
Blacktown	Flat/apartment	Attached to a house	1	48
Blacktown	Flat/apartment	Attached to a house	2	343
Blacktown	Flat/apartment	Attached to a house	3	153
Blacktown	Flat/apartment	Attached to a house	4	69
Blacktown	Flat/apartment	Attached to a house	5	32
Blacktown	Flat/apartment	Attached to a house	6	16
Blacktown	Separate house			1394
Blacktown	Separate house		0	125
Blacktown	Separate house		1	844
Blacktown	Separate house		2	5439
Blacktown	Separate house		3	38481
Blacktown	Separate house		4	40288
Blacktown	Separate house		5	9968
Blacktown	Separate house		6	1853
Bland				12
Bland			2	3
Bland			3	3
Bland			4	9
Bland			5	5
Bland		1 storey		4
Bland		1 storey	1	16
Bland		1 storey	2	44
Bland		1 storey	3	24
Bland		1 storey	4	5
Bland	(Other)			6
Bland	(Other)		0	3
Bland	(Other)		1	4
Bland	(Other)		2	3
Bland	(Other)		3	6
Bland	(Other)		4	3
Bland	Flat/apartment	1 or 2 storey block	1	18
Bland	Flat/apartment	1 or 2 storey block	2	13
Bland	Flat/apartment	1 or 2 storey block	4	6
Bland	Separate house			30
Bland	Separate house		0	10
Bland	Separate house		1	36
Bland	Separate house		2	209
Bland	Separate house		3	890
Bland	Separate house		4	638
Bland	Separate house		5	129
Bland	Separate house		6	27
Blayney			3	7
Blayney			4	4
Blayney		1 storey	1	22
Blayney		1 storey	2	31
Blayney		1 storey	3	18
Blayney		1 storey	4	3
Blayney		2 storeys or more	2	3
Blayney	(Other)		2	7
Blayney	(Other)		3	3
Blayney	Flat/apartment	1 or 2 storey block	1	12
Blayney	Flat/apartment	1 or 2 storey block	2	17
Blayney	Separate house			39
Blayney	Separate house		0	8
Blayney	Separate house		1	70
Blayney	Separate house		2	282
Blayney	Separate house		3	1105
Blayney	Separate house		4	863
Blayney	Separate house		5	203
Blayney	Separate house		6	59
Blue Mountains				23
Blue Mountains			0	8
Blue Mountains			1	12
Blue Mountains			2	7
Blue Mountains			3	5
Blue Mountains			4	4
Blue Mountains			6	5
Blue Mountains		1 storey		7
Blue Mountains		1 storey	0	13
Blue Mountains		1 storey	1	139
Blue Mountains		1 storey	2	262
Blue Mountains		1 storey	3	311
Blue Mountains		1 storey	4	38
Blue Mountains		2 storeys or more		8
Blue Mountains		2 storeys or more	0	4
Blue Mountains		2 storeys or more	1	32
Blue Mountains		2 storeys or more	2	211
Blue Mountains		2 storeys or more	3	267
Blue Mountains		2 storeys or more	4	24
Blue Mountains		2 storeys or more	5	5
Blue Mountains		2 storeys or more	6	5
Blue Mountains	(Other)		1	11
Blue Mountains	(Other)		2	25
Blue Mountains	(Other)		3	11
Blue Mountains	(Other)		4	5
Blue Mountains	Flat/apartment	1 or 2 storey block		9
Blue Mountains	Flat/apartment	1 or 2 storey block	0	18
Blue Mountains	Flat/apartment	1 or 2 storey block	1	224
Blue Mountains	Flat/apartment	1 or 2 storey block	2	257
Blue Mountains	Flat/apartment	1 or 2 storey block	3	60
Blue Mountains	Flat/apartment	1 or 2 storey block	4	7
Blue Mountains	Flat/apartment	1 or 2 storey block	5	4
Blue Mountains	Flat/apartment	3 storey block	0	4
Blue Mountains	Flat/apartment	3 storey block	1	52
Blue Mountains	Flat/apartment	3 storey block	2	113
Blue Mountains	Flat/apartment	3 storey block	3	22
Blue Mountains	Flat/apartment	3 storey block	6	4
Blue Mountains	Flat/apartment	4-8 storey block	1	19
Blue Mountains	Flat/apartment	4-8 storey block	2	14
Blue Mountains	Flat/apartment	Attached to a house	1	30
Blue Mountains	Flat/apartment	Attached to a house	2	48
Blue Mountains	Flat/apartment	Attached to a house	3	26
Blue Mountains	Flat/apartment	Attached to a house	4	18
Blue Mountains	Flat/apartment	Attached to a house	5	9
Blue Mountains	Separate house			216
Blue Mountains	Separate house		0	56
Blue Mountains	Separate house		1	446
Blue Mountains	Separate house		2	3246
Blue Mountains	Separate house		3	12127
Blue Mountains	Separate house		4	9087
Blue Mountains	Separate house		5	2458
Blue Mountains	Separate house		6	496
Bogan				3
Bogan			2	5
Bogan			3	3
Bogan			4	4
Bogan			6	3
Bogan		1 storey	1	17
Bogan		1 storey	2	24
Bogan		1 storey	3	5
Bogan	(Other)		2	4
Bogan	Flat/apartment	1 or 2 storey block	2	6
Bogan	Separate house			26
Bogan	Separate house		1	14
Bogan	Separate house		2	122
Bogan	Separate house		3	355
Bogan	Separate house		4	259
Bogan	Separate house		5	48
Bogan	Separate house		6	12
Bourke				13
Bourke			2	4
Bourke			4	6
Bourke		1 storey	2	5
Bourke	(Other)		1	8
Bourke	Flat/apartment	1 or 2 storey block	1	10
Bourke	Flat/apartment	1 or 2 storey block	2	3
Bourke	Separate house			41
Bourke	Separate house		1	29
Bourke	Separate house		2	95
Bourke	Separate house		3	296
Bourke	Separate house		4	193
Bourke	Separate house		5	52
Bourke	Separate house		6	14
Brewarrina				3
Brewarrina			1	4
Brewarrina			4	4
Brewarrina			6	3
Brewarrina		1 storey		4
Brewarrina		1 storey	1	5
Brewarrina		1 storey	2	23
Brewarrina		1 storey	3	3
Brewarrina	Flat/apartment	1 or 2 storey block	0	3
Brewarrina	Separate house			28
Brewarrina	Separate house		1	13
Brewarrina	Separate house		2	61
Brewarrina	Separate house		3	175
Brewarrina	Separate house		4	124
Brewarrina	Separate house		5	12
Brewarrina	Separate house		6	7
Broken Hill			1	4
Broken Hill			2	3
Broken Hill			3	5
Broken Hill			6	3
Broken Hill		1 storey		8
Broken Hill		1 storey	1	50
Broken Hill		1 storey	2	67
Broken Hill		1 storey	3	17
Broken Hill		1 storey	4	8
Broken Hill		2 storeys or more	1	3
Broken Hill		2 storeys or more	2	6
Broken Hill		2 storeys or more	3	10
Broken Hill	(Other)			3
Broken Hill	(Other)		0	4
Broken Hill	Flat/apartment	1 or 2 storey block		9
Broken Hill	Flat/apartment	1 or 2 storey block	1	89
Broken Hill	Flat/apartment	1 or 2 storey block	2	72
Broken Hill	Flat/apartment	1 or 2 storey block	3	4
Broken Hill	Separate house			128
Broken Hill	Separate house		0	16
Broken Hill	Separate house		1	135
Broken Hill	Separate house		2	1277
Broken Hill	Separate house		3	3918
Broken Hill	Separate house		4	1192
Broken Hill	Separate house		5	203
Broken Hill	Separate house		6	41
Burwood				16
Burwood			0	11
Burwood			1	25
Burwood			2	15
Burwood			3	12
Burwood		1 storey		10
Burwood		1 storey	1	40
Burwood		1 storey	2	320
Burwood		1 storey	3	257
Burwood		1 storey	4	75
Burwood		1 storey	5	10
Burwood		2 storeys or more		15
Burwood		2 storeys or more	0	12
Burwood		2 storeys or more	1	70
Burwood		2 storeys or more	2	214
Burwood		2 storeys or more	3	517
Burwood		2 storeys or more	4	368
Burwood		2 storeys or more	5	160
Burwood		2 storeys or more	6	82
Burwood	(Other)		0	23
Burwood	(Other)		1	33
Burwood	(Other)		2	13
Burwood	(Other)		3	14
Burwood	(Other)		4	7
Burwood	Flat/apartment	1 or 2 storey block		16
Burwood	Flat/apartment	1 or 2 storey block	0	53
Burwood	Flat/apartment	1 or 2 storey block	1	153
Burwood	Flat/apartment	1 or 2 storey block	2	401
Burwood	Flat/apartment	1 or 2 storey block	3	96
Burwood	Flat/apartment	1 or 2 storey block	4	11
Burwood	Flat/apartment	1 or 2 storey block	5	8
Burwood	Flat/apartment	1 or 2 storey block	6	4
Burwood	Flat/apartment	3 storey block		45
Burwood	Flat/apartment	3 storey block	0	32
Burwood	Flat/apartment	3 storey block	1	209
Burwood	Flat/apartment	3 storey block	2	1293
Burwood	Flat/apartment	3 storey block	3	288
Burwood	Flat/apartment	3 storey block	4	5
Burwood	Flat/apartment	4-8 storey block		34
Burwood	Flat/apartment	4-8 storey block	0	56
Burwood	Flat/apartment	4-8 storey block	1	408
Burwood	Flat/apartment	4-8 storey block	2	1203
Burwood	Flat/apartment	4-8 storey block	3	261
Burwood	Flat/apartment	4-8 storey block	4	9
Burwood	Flat/apartment	4-8 storey block	5	3
Burwood	Flat/apartment	9 or more storey block		32
Burwood	Flat/apartment	9 or more storey block	0	35
Burwood	Flat/apartment	9 or more storey block	1	523
Burwood	Flat/apartment	9 or more storey block	2	1445
Burwood	Flat/apartment	9 or more storey block	3	248
Burwood	Flat/apartment	9 or more storey block	4	20
Burwood	Flat/apartment	Attached to a house	1	7
Burwood	Flat/apartment	Attached to a house	2	23
Burwood	Flat/apartment	Attached to a house	3	3
Burwood	Flat/apartment	Attached to a house	4	13
Burwood	Flat/apartment	Attached to a house	6	3
Burwood	Separate house			53
Burwood	Separate house		0	17
Burwood	Separate house		1	76
Burwood	Separate house		2	422
Burwood	Separate house		3	2012
Burwood	Separate house		4	1471
Burwood	Separate house		5	593
Burwood	Separate house		6	226
Byron				8
Byron			0	5
Byron			1	23
Byron			2	19
Byron			3	12
Byron			5	5
Byron			6	3
Byron		1 storey		10
Byron		1 storey	1	35
Byron		1 storey	2	214
Byron		1 storey	3	234
Byron		1 storey	4	25
Byron		1 storey	5	7
Byron		2 storeys or more		12
Byron		2 storeys or more	0	5
Byron		2 storeys or more	1	62
Byron		2 storeys or more	2	231
Byron		2 storeys or more	3	477
Byron		2 storeys or more	4	52
Byron		2 storeys or more	5	11
Byron	(Other)			17
Byron	(Other)		0	53
Byron	(Other)		1	146
Byron	(Other)		2	108
Byron	(Other)		3	28
Byron	(Other)		4	4
Byron	(Other)		5	6
Byron	Flat/apartment		0	16
Byron	Flat/apartment	1 or 2 storey block		13
Byron	Flat/apartment	1 or 2 storey block	0	19
Byron	Flat/apartment	1 or 2 storey block	1	181
Byron	Flat/apartment	1 or 2 storey block	2	210
Byron	Flat/apartment	1 or 2 storey block	3	124
Byron	Flat/apartment	1 or 2 storey block	4	14
Byron	Flat/apartment	3 storey block		4
Byron	Flat/apartment	3 storey block	1	17
Byron	Flat/apartment	3 storey block	2	45
Byron	Flat/apartment	3 storey block	3	18
Byron	Flat/apartment	3 storey block	4	4
Byron	Flat/apartment	Attached to a house	1	56
Byron	Flat/apartment	Attached to a house	2	32
Byron	Flat/apartment	Attached to a house	3	15
Byron	Flat/apartment	Attached to a house	4	17
Byron	Flat/apartment	Attached to a house	5	4
Byron	Separate house			178
Byron	Separate house		0	108
Byron	Separate house		1	606
Byron	Separate house		2	1300
Byron	Separate house		3	4389
Byron	Separate house		4	2877
Byron	Separate house		5	639
Byron	Separate house		6	193
Cabonne			1	3
Cabonne			3	9
Cabonne		1 storey	1	3
Cabonne		1 storey	2	38
Cabonne		1 storey	3	12
Cabonne		1 storey	4	5
Cabonne		2 storeys or more	2	3
Cabonne	(Other)		0	4
Cabonne	(Other)		1	15
Cabonne	(Other)		2	19
Cabonne	(Other)		3	51
Cabonne	(Other)		4	59
Cabonne	(Other)		5	23
Cabonne	(Other)		6	4
Cabonne	Flat/apartment	1 or 2 storey block		3
Cabonne	Flat/apartment	1 or 2 storey block	1	10
Cabonne	Flat/apartment	1 or 2 storey block	2	33
Cabonne	Flat/apartment	1 or 2 storey block	3	3
Cabonne	Separate house			75
Cabonne	Separate house		0	16
Cabonne	Separate house		1	99
Cabonne	Separate house		2	545
Cabonne	Separate house		3	1746
Cabonne	Separate house		4	1552
Cabonne	Separate house		5	447
Cabonne	Separate house		6	122
Camden				6
Camden			1	11
Camden			2	14
Camden			3	15
Camden			4	7
Camden			5	3
Camden		1 storey		15
