LGA_NAME16	BornAust	Sex	persons
Bayside (Vic.)	0	F	14611
Bayside (Vic.)	0	M	12823
Bayside (Vic.)	1	F	36585
Bayside (Vic.)	1	M	33999
Benalla	0	F	729
Benalla	0	M	618
Benalla	1	F	6090
Benalla	1	M	5785
Boroondara	0	F	29454
Boroondara	0	M	25064
Boroondara	1	F	55398
Boroondara	1	M	53096
Brimbank	0	F	47898
Brimbank	0	M	45821
Brimbank	1	F	43689
Brimbank	1	M	45580
Buloke	0	F	217
Buloke	0	M	190
Buloke	1	F	2505
Buloke	1	M	2670
Campaspe	0	F	1577
Campaspe	0	M	1360
Campaspe	1	F	16609
Campaspe	1	M	16249
Cardinia	0	F	14057
Cardinia	0	M	13720
Cardinia	1	F	42917
Cardinia	1	M	41639
Casey	0	F	77653
Casey	0	M	76140
Casey	1	F	97706
Casey	1	M	97744
Central Goldfields	0	F	658
Central Goldfields	0	M	583
Central Goldfields	1	F	5625
Central Goldfields	1	M	5477
Colac Otway	0	F	1117
Colac Otway	0	M	1188
Colac Otway	1	F	9307
Colac Otway	1	M	9224
Corangamite	0	F	615
Corangamite	0	M	577
Corangamite	1	F	6794
Corangamite	1	M	6863
Darebin	0	F	24225
Darebin	0	M	22452
Darebin	1	F	49086
Darebin	1	M	46556
East Gippsland	0	F	3045
East Gippsland	0	M	2739
East Gippsland	1	F	19660
East Gippsland	1	M	19119
Frankston	0	F	15736
Frankston	0	M	14066
Frankston	1	F	52139
Frankston	1	M	50489
Gannawarra	0	F	322
Gannawarra	0	M	268
Gannawarra	1	F	4596
Gannawarra	1	M	4562
Glen Eira	0	F	28980
Glen Eira	0	M	26060
Glen Eira	1	F	45248
Glen Eira	1	M	43958
Glenelg	0	F	917
Glenelg	0	M	846
Glenelg	1	F	8471
Glenelg	1	M	8415
Golden Plains	0	F	1154
Golden Plains	0	M	1155
Golden Plains	1	F	10451
Golden Plains	1	M	10945
Greater Bendigo	0	F	6110
Greater Bendigo	0	M	5628
Greater Bendigo	1	F	53031
Greater Bendigo	1	M	49778
Greater Dandenong	0	F	46272
Greater Dandenong	0	M	45736
Greater Dandenong	1	F	27832
Greater Dandenong	1	M	30121
Greater Geelong	0	F	24294
Greater Geelong	0	M	23549
Greater Geelong	1	F	108522
Greater Geelong	1	M	101940
Greater Shepparton	0	F	5984
Greater Shepparton	0	M	5910
Greater Shepparton	1	F	25866
Greater Shepparton	1	M	25416
Hepburn	0	F	1181
Hepburn	0	M	1151
Hepburn	1	F	6563
Hepburn	1	M	6333
Hindmarsh	0	F	318
Hindmarsh	0	M	277
Hindmarsh	1	F	2323
Hindmarsh	1	M	2375
Hobsons Bay	0	F	14423
Hobsons Bay	0	M	13103
Hobsons Bay	1	F	30240
Hobsons Bay	1	M	29514
Horsham	0	F	785
Horsham	0	M	672
Horsham	1	F	9061
Horsham	1	M	8712
Hume	0	F	48541
Hume	0	M	48677
Hume	1	F	67346
Hume	1	M	66983
Indigo	0	F	795
Indigo	0	M	693
Indigo	1	F	7460
Indigo	1	M	7329
Kingston (Vic.)	0	F	26632
Kingston (Vic.)	0	M	23866
Kingston (Vic.)	1	F	52287
Kingston (Vic.)	1	M	50295
Knox	0	F	27778
Knox	0	M	24806
Knox	1	F	51021
Knox	1	M	50800
Latrobe (Vic.)	0	F	5205
Latrobe (Vic.)	0	M	4672
Latrobe (Vic.)	1	F	31277
Latrobe (Vic.)	1	M	30110
Loddon	0	F	352
Loddon	0	M	319
Loddon	1	F	3038
Loddon	1	M	3148
Macedon Ranges	0	F	3361
Macedon Ranges	0	M	3361
Macedon Ranges	1	F	21380
Macedon Ranges	1	M	20625
Manningham	0	F	28790
Manningham	0	M	25465
Manningham	1	F	33672
Manningham	1	M	33089
Mansfield	0	F	625
Mansfield	0	M	526
Mansfield	1	F	4133
Mansfield	1	M	4073
Maribyrnong	0	F	16398
Maribyrnong	0	M	16002
Maribyrnong	1	F	24127
Maribyrnong	1	M	24462
Maroondah	0	F	15429
Maroondah	0	M	13665
Maroondah	1	F	42247
Maroondah	1	M	40382
Melbourne	0	F	42633
Melbourne	0	M	39296
Melbourne	1	F	27206
Melbourne	1	M	29633
Melton	0	F	32388
Melton	0	M	31460
Melton	1	F	53013
Melton	1	M	53494
Mildura	0	F	3873
Mildura	0	M	3891
Mildura	1	F	22770
Mildura	1	M	21688
Mitchell	0	F	3623
Mitchell	0	M	3622
Mitchell	1	F	19404
Mitchell	1	M	19741
Moira	0	F	1536
Moira	0	M	1483
Moira	1	F	12530
Moira	1	M	12477
Monash	0	F	49012
Monash	0	M	47026
Monash	1	F	43024
Monash	1	M	43942
Moonee Valley	0	F	18038
Moonee Valley	0	M	15836
Moonee Valley	1	F	42322
Moonee Valley	1	M	41102
Moorabool	0	F	2743
Moorabool	0	M	2621
Moorabool	1	F	15280
Moorabool	1	M	14992
Moreland	0	F	29058
Moreland	0	M	27367
Moreland	1	F	55275
Moreland	1	M	52448
Mornington Peninsula	0	F	15699
Mornington Peninsula	0	M	14138
Mornington Peninsula	1	F	66566
Mornington Peninsula	1	M	62788
Mount Alexander	0	F	1193
Mount Alexander	0	M	1322
Mount Alexander	1	F	8206
Mount Alexander	1	M	8097
Moyne	0	F	667
Moyne	0	M	624
Moyne	1	F	7475
Moyne	1	M	7307
Murrindindi	0	F	853
Murrindindi	0	M	850
Murrindindi	1	F	5838
Murrindindi	1	M	6185
Nillumbik	0	F	5277
Nillumbik	0	M	5021
Nillumbik	1	F	25695
Nillumbik	1	M	25222
Northern Grampians	0	F	565
Northern Grampians	0	M	529
Northern Grampians	1	F	4841
Northern Grampians	1	M	4856
Port Phillip	0	F	17436
Port Phillip	0	M	16305
Port Phillip	1	F	31701
Port Phillip	1	M	30148
Pyrenees	0	F	340
Pyrenees	0	M	384
Pyrenees	1	F	2972
Pyrenees	1	M	3248
Queenscliffe	0	F	170
Queenscliffe	0	M	178
Queenscliffe	1	F	1435
Queenscliffe	1	M	1237
South Gippsland	0	F	1880
South Gippsland	0	M	1638
South Gippsland	1	F	12411
South Gippsland	1	M	12323
Southern Grampians	0	F	710
Southern Grampians	0	M	568
Southern Grampians	1	F	7168
Southern Grampians	1	M	7031
Stonnington	0	F	17641
Stonnington	0	M	15332
Stonnington	1	F	34657
Stonnington	1	M	32232
Strathbogie	0	F	600
Strathbogie	0	M	520
Strathbogie	1	F	4632
Strathbogie	1	M	4577
Surf Coast	0	F	2312
Surf Coast	0	M	2128
Surf Coast	1	F	15783
Surf Coast	1	M	15476
Swan Hill	0	F	1714
Swan Hill	0	M	1852
Swan Hill	1	F	8009
Swan Hill	1	M	7901
Towong	0	F	275
Towong	0	M	251
Towong	1	F	2513
Towong	1	M	2614
Wangaratta	0	F	1428
Wangaratta	0	M	1269
Wangaratta	1	F	13026
Wangaratta	1	M	12196
Warrnambool	0	F	1755
Warrnambool	0	M	1642
Warrnambool	1	F	15630
Warrnambool	1	M	14396
Wellington	0	F	2525
Wellington	0	M	2519
Wellington	1	F	18384
Wellington	1	M	18700
West Wimmera	0	F	143
West Wimmera	0	M	127
West Wimmera	1	F	1660
West Wimmera	1	M	1704
Whitehorse	0	F	37079
Whitehorse	0	M	33215
Whitehorse	1	F	47483
Whitehorse	1	M	45902
Whittlesea	0	F	43648
Whittlesea	0	M	42689
Whittlesea	1	F	67138
Whittlesea	1	M	66303
Wodonga	0	F	2515
Wodonga	0	M	2399
Wodonga	1	F	18588
Wodonga	1	M	17591
Wyndham	0	F	69468
Wyndham	0	M	70654
Wyndham	1	F	67848
Wyndham	1	M	69014
Yarra	0	F	13730
Yarra	0	M	12095
Yarra	1	F	30178
Yarra	1	M	29493
Yarra Ranges	0	F	13710
Yarra Ranges	0	M	12578
Yarra Ranges	1	F	62369
Yarra Ranges	1	M	61618
Yarriambiack	0	F	229
Yarriambiack	0	M	215
Yarriambiack	1	F	2722
Yarriambiack	1	M	2832
Unincorporated Vic	0	F	75
Unincorporated Vic	0	M	71
Unincorporated Vic	1	F	267
Unincorporated Vic	1	M	302
No usual address (Vic.)	0	F	649
No usual address (Vic.)	0	M	743
No usual address (Vic.)	1	F	1934
No usual address (Vic.)	1	M	2348
Migratory - Offshore - Shipping (Vic.)	0	M	3
Migratory - Offshore - Shipping (Vic.)	1	M	7
Aurukun	0	F	10
Aurukun	0	M	11
Aurukun	1	F	529
Aurukun	1	M	496
Balonne	0	F	153
Balonne	0	M	122
Balonne	1	F	1774
Balonne	1	M	1818
Banana	0	F	560
Banana	0	M	565
Banana	1	F	5606
Banana	1	M	5835
Barcaldine	0	F	83
Barcaldine	0	M	62
Barcaldine	1	F	1180
Barcaldine	1	M	1205
Barcoo	0	M	8
Barcoo	1	F	127
Barcoo	1	M	128
Blackall Tambo	0	F	54
Blackall Tambo	0	M	40
Blackall Tambo	1	F	829
Blackall Tambo	1	M	815
Boulia	0	F	10
Boulia	0	M	10
Boulia	1	F	187
Boulia	1	M	187
Brisbane	0	F	204649
Brisbane	0	M	190637
Brisbane	1	F	403947
Brisbane	1	M	396507
Bulloo	0	F	9
Bulloo	0	M	7
Bulloo	1	F	137
Bulloo	1	M	165
Bundaberg	0	F	6833
Bundaberg	0	M	6111
Bundaberg	1	F	40377
Bundaberg	1	M	39109
Burdekin	0	F	763
Burdekin	0	M	738
Burdekin	1	F	6710
Burdekin	1	M	6896
Burke	0	F	15
Burke	0	M	9
Burke	1	F	120
Burke	1	M	178
Cairns	0	F	20410
Cairns	0	M	16862
Cairns	1	F	57456
Cairns	1	M	57819
Carpentaria	0	F	61
Carpentaria	0	M	68
Carpentaria	1	F	803
Carpentaria	1	M	890
Cassowary Coast	0	F	2132
Cassowary Coast	0	M	2100
Cassowary Coast	1	F	10606
Cassowary Coast	1	M	11200
Central Highlands (Qld)	0	F	1620
Central Highlands (Qld)	0	M	1636
Central Highlands (Qld)	1	F	10408
Central Highlands (Qld)	1	M	10977
Charters Towers	0	F	383
Charters Towers	0	M	350
Charters Towers	1	F	4788
Charters Towers	1	M	4618
Cherbourg	1	F	598
Cherbourg	1	M	563
Cloncurry	0	F	145
Cloncurry	0	M	159
Cloncurry	1	F	1197
Cloncurry	1	M	1542
Cook	0	F	311
Cook	0	M	323
Cook	1	F	1423
Cook	1	M	1632
Croydon	0	F	8
Croydon	0	M	4
Croydon	1	F	102
Croydon	1	M	110
Diamantina	0	F	20
Diamantina	0	M	11
Diamantina	1	F	80
Diamantina	1	M	94
Doomadgee	0	F	18
Doomadgee	0	M	11
Doomadgee	1	F	649
Doomadgee	1	M	656
Douglas	0	F	1388
Douglas	0	M	1249
Douglas	1	F	3954
Douglas	1	M	4228
Etheridge	0	F	30
Etheridge	0	M	22
Etheridge	1	F	252
Etheridge	1	M	311
Flinders (Qld)	0	F	39
Flinders (Qld)	0	M	51
Flinders (Qld)	1	F	620
Flinders (Qld)	1	M	593
Fraser Coast	0	F	9080
Fraser Coast	0	M	7610
Fraser Coast	1	F	43971
Fraser Coast	1	M	42976
Gladstone	0	F	4342
Gladstone	0	M	4083
Gladstone	1	F	24972
Gladstone	1	M	25572
Gold Coast	0	F	96122
Gold Coast	0	M	85681
Gold Coast	1	F	207538
Gold Coast	1	M	199800
Goondiwindi	0	F	341
Goondiwindi	0	M	299
Goondiwindi	1	F	4336
Goondiwindi	1	M	4361
Gympie	0	F	3283
Gympie	0	M	2881
Gympie	1	F	21698
Gympie	1	M	21438
Hinchinbrook	0	F	532
Hinchinbrook	0	M	461
Hinchinbrook	1	F	4401
Hinchinbrook	1	M	4576
Hope Vale	0	F	5
Hope Vale	0	M	5
Hope Vale	1	F	441
Hope Vale	1	M	469
Ipswich	0	F	25849
Ipswich	0	M	23950
Ipswich	1	F	84099
Ipswich	1	M	82984
Isaac	0	F	1057
Isaac	0	M	1081
Isaac	1	F	7156
Isaac	1	M	8125
Kowanyama	0	F	5
Kowanyama	0	M	9
Kowanyama	1	F	499
Kowanyama	1	M	470
Livingstone	0	F	2114
Livingstone	0	M	1878
Livingstone	1	F	15711
Livingstone	1	M	16550
Lockhart River	0	F	6
Lockhart River	0	M	12
Lockhart River	1	F	260
Lockhart River	1	M	286
Lockyer Valley	0	F	3095
Lockyer Valley	0	M	2725
Lockyer Valley	1	F	16395
Lockyer Valley	1	M	16259
Logan	0	F	49650
Logan	0	M	46644
Logan	1	F	114236
Logan	1	M	112556
Longreach	0	F	159
Longreach	0	M	121
Longreach	1	F	1460
Longreach	1	M	1442
Mackay	0	F	7677
Mackay	0	M	6813
Mackay	1	F	47970
Mackay	1	M	48071
McKinlay	0	F	13
McKinlay	0	M	21
McKinlay	1	F	316
McKinlay	1	M	324
Mapoon	0	F	5
Mapoon	0	M	5
Mapoon	1	F	195
Mapoon	1	M	182
Maranoa	0	F	471
Maranoa	0	M	421
Maranoa	1	F	5247
Maranoa	1	M	5265
Mareeba	0	F	2021
Mareeba	0	M	1846
Mareeba	1	F	7590
Mareeba	1	M	8907
Moreton Bay	0	F	52410
Moreton Bay	0	M	47385
Moreton Bay	1	F	180806
Moreton Bay	1	M	174893
Mornington	0	F	13
