LGA_NAME21	medianTotalHouseholdIncome
Sandstone	49348
Serpentine-Jarrahdale	109044
Shark Bay	61724
South Perth	104208
Stirling	92872
Subiaco	111280
Swan	95836
Tammin	58500
Three Springs	71032
Toodyay	66144
Trayning	44928
Upper Gascoyne	67600
Victoria Park	95888
Victoria Plains	85956
Vincent	114868
Wagin	61516
Wandering	87724
Wanneroo	98488
Waroona	68224
West Arthur	68900
Westonia	68536
Wickepin	65312
Williams	90428
Wiluna	57668
Wongan-Ballidu	65988
Woodanilling	72020
Wyalkatchem	47632
Wyndham-East Kimberley	96616
Yalgoo	81900
Yilgarn	71240
York	58604
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	117000
Break O'Day	43472
Brighton	70304
Burnie	63700
Central Coast (Tas.)	62868
Central Highlands (Tas.)	52676
Circular Head	66040
Clarence	83304
Derwent Valley	64688
Devonport	60684
Dorset	54028
Flinders (Tas.)	54964
George Town	51792
Glamorgan-Spring Bay	52260
Glenorchy	68900
Hobart	95784
Huon Valley	63804
Kentish	62764
King Island	69160
Kingborough	86684
Latrobe (Tas.)	65312
Launceston	68120
Meander Valley	67080
Northern Midlands	65468
Sorell	72800
Southern Midlands	69264
Tasman	44876
Waratah-Wynyard	59176
West Coast	49816
West Tamar	72904
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Alice Springs	111384
Barkly	76648
Belyuen	35360
Central Desert	58344
Coomalie	51792
Darwin	113776
Darwin Waterfront Precinct	118612
East Arnhem	72540
Katherine	110032
Litchfield	121992
MacDonnell	59852
Palmerston	114348
Roper Gulf	68640
Tiwi Islands	39364
Victoria Daly	62088
Wagait	70460
West Arnhem	79196
West Daly	41808
Unincorporated NT	108524
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	10823800
Unincorporated ACT	123396
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Unincorp. Other Territories	62348
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
