LGA_NAME21	PrivateDwelling	persons
Warrnambool	0	2659
Warrnambool	1	32625
Wellington	0	4735
Wellington	1	40467
West Wimmera	0	384
West Wimmera	1	3574
Whitehorse	0	8374
Whitehorse	1	160283
Whittlesea	0	9620
Whittlesea	1	219306
Wodonga	0	2989
Wodonga	1	39849
Wyndham	0	15107
Wyndham	1	276330
Yarra	0	6512
Yarra	1	82547
Yarra Ranges	0	5847
Yarra Ranges	1	148014
Yarriambiack	0	579
Yarriambiack	1	5880
Unincorporated Vic	0	3893
Unincorporated Vic	1	429
Migratory - Offshore - Shipping (Vic.)	0	565
Aurukun	0	66
Aurukun	1	1018
Balonne	0	833
Balonne	1	3819
Banana	0	3700
Banana	1	12347
Barcaldine	0	1013
Barcaldine	1	2430
Barcoo	0	245
Barcoo	1	251
Blackall Tambo	0	474
Blackall Tambo	1	1685
Boulia	0	248
Boulia	1	365
Brisbane	0	75482
Brisbane	1	1165478
Bulloo	0	264
Bulloo	1	276
Bundaberg	0	9668
Bundaberg	1	90874
Burdekin	0	2227
Burdekin	1	14765
Burke	0	873
Burke	1	294
Cairns	0	23489
Cairns	1	148370
Carpentaria	0	1749
Carpentaria	1	1749
Cassowary Coast	0	5350
Cassowary Coast	1	26063
Central Highlands (Qld)	0	7855
Central Highlands (Qld)	1	23965
Charters Towers	0	3637
Charters Towers	1	9527
Cherbourg	0	54
Cherbourg	1	1117
Cloncurry	0	2972
Cloncurry	1	2643
Cook	0	3663
Cook	1	3607
Croydon	0	205
Croydon	1	217
Diamantina	0	236
Diamantina	1	172
Doomadgee	0	143
Doomadgee	1	1320
Douglas	0	5103
Douglas	1	10486
Etheridge	0	943
Etheridge	1	591
Flinders (Qld)	0	600
Flinders (Qld)	1	1250
Fraser Coast	0	11412
Fraser Coast	1	101483
Gladstone	0	7208
Gladstone	1	57990
Gold Coast	0	49349
Gold Coast	1	578422
Goondiwindi	0	1387
Goondiwindi	1	9102
Gympie	0	4584
Gympie	1	48861
Hinchinbrook	0	1782
Hinchinbrook	1	9795
Hope Vale	0	98
Hope Vale	1	888
Ipswich	0	13596
Ipswich	1	214276
Isaac	0	16455
Isaac	1	16297
Kowanyama	0	85
Kowanyama	1	954
Livingstone	0	5564
Livingstone	1	34413
Lockhart River	0	86
Lockhart River	1	553
Lockyer Valley	0	2881
Lockyer Valley	1	37694
Logan	0	21314
Logan	1	321114
Longreach	0	1241
Longreach	1	3043
Mackay	0	12182
Mackay	1	108011
McKinlay	0	1224
McKinlay	1	606
Mapoon	0	97
Mapoon	1	371
Maranoa	0	2876
Maranoa	1	10999
Mareeba	0	4430
Mareeba	1	19296
Moreton Bay	0	22278
Moreton Bay	1	448698
Mornington	0	146
Mornington	1	853
Mount Isa	0	4353
Mount Isa	1	16777
Murweh	0	953
Murweh	1	3381
Napranum	0	120
Napranum	1	736
Noosa	0	6633
Noosa	1	51730
North Burnett	0	1607
North Burnett	1	8778
