LGA_NAME21	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Armidale Regional	75-84	1	F	114
Armidale Regional	75-84	1	M	112
Armidale Regional	85+		F	97
Armidale Regional	85+		M	43
Armidale Regional	85+	0	F	320
Armidale Regional	85+	0	M	191
Armidale Regional	85+	1	F	33
Armidale Regional	85+	1	M	33
Ballina	15-19		F	73
Ballina	15-19		M	106
Ballina	15-19	0	F	1002
Ballina	15-19	0	M	1104
Ballina	15-19	1	F	76
Ballina	15-19	1	M	61
Ballina	20-24		F	52
Ballina	20-24		M	67
Ballina	20-24	0	F	766
Ballina	20-24	0	M	864
Ballina	20-24	1	F	77
Ballina	20-24	1	M	51
Ballina	25-34		F	161
Ballina	25-34		M	151
Ballina	25-34	0	F	1919
Ballina	25-34	0	M	1699
Ballina	25-34	1	F	196
Ballina	25-34	1	M	137
Ballina	35-44		F	163
Ballina	35-44		M	172
Ballina	35-44	0	F	2168
Ballina	35-44	0	M	2118
Ballina	35-44	1	F	401
Ballina	35-44	1	M	233
Ballina	45-54		F	155
Ballina	45-54		M	148
Ballina	45-54	0	F	2291
Ballina	45-54	0	M	2246
Ballina	45-54	1	F	688
Ballina	45-54	1	M	380
Ballina	55-64		F	155
Ballina	55-64		M	175
Ballina	55-64	0	F	2415
Ballina	55-64	0	M	2401
Ballina	55-64	1	F	851
Ballina	55-64	1	M	512
Ballina	65-74		F	183
Ballina	65-74		M	169
Ballina	65-74	0	F	2745
Ballina	65-74	0	M	2630
Ballina	65-74	1	F	600
Ballina	65-74	1	M	395
Ballina	75-84		F	168
Ballina	75-84		M	115
Ballina	75-84	0	F	1695
Ballina	75-84	0	M	1494
Ballina	75-84	1	F	274
Ballina	75-84	1	M	222
Ballina	85+		F	191
Ballina	85+		M	86
Ballina	85+	0	F	898
Ballina	85+	0	M	521
Ballina	85+	1	F	57
Ballina	85+	1	M	84
Balranald	15-19		F	17
Balranald	15-19		M	8
Balranald	15-19	0	F	35
Balranald	15-19	0	M	52
Balranald	15-19	1	F	5
Balranald	15-19	1	M	6
Balranald	20-24		F	5
Balranald	20-24		M	11
Balranald	20-24	0	F	27
Balranald	20-24	0	M	54
Balranald	20-24	1	F	8
Balranald	25-34		F	19
Balranald	25-34		M	20
Balranald	25-34	0	F	106
Balranald	25-34	0	M	105
Balranald	25-34	1	F	20
Balranald	25-34	1	M	9
Balranald	35-44		F	19
Balranald	35-44		M	17
Balranald	35-44	0	F	68
Balranald	35-44	0	M	79
Balranald	35-44	1	F	20
Balranald	35-44	1	M	15
Balranald	45-54		F	24
Balranald	45-54		M	25
Balranald	45-54	0	F	94
Balranald	45-54	0	M	100
Balranald	45-54	1	F	25
Balranald	45-54	1	M	16
Balranald	55-64		F	23
Balranald	55-64		M	18
Balranald	55-64	0	F	115
Balranald	55-64	0	M	132
Balranald	55-64	1	F	18
Balranald	55-64	1	M	15
Balranald	65-74		F	28
Balranald	65-74		M	23
Balranald	65-74	0	F	90
Balranald	65-74	0	M	109
Balranald	65-74	1	F	23
Balranald	65-74	1	M	11
Balranald	75-84		F	13
Balranald	75-84		M	6
Balranald	75-84	0	F	45
Balranald	75-84	0	M	38
Balranald	75-84	1	F	7
Balranald	75-84	1	M	5
Balranald	85+		F	8
Balranald	85+		M	4
Balranald	85+	0	F	23
Balranald	85+	0	M	18
Balranald	85+	1	M	4
Bathurst Regional	15-19		F	76
Bathurst Regional	15-19		M	106
Bathurst Regional	15-19	0	F	1241
Bathurst Regional	15-19	0	M	1336
Bathurst Regional	15-19	1	F	69
Bathurst Regional	15-19	1	M	65
Bathurst Regional	20-24		F	80
Bathurst Regional	20-24		M	215
Bathurst Regional	20-24	0	F	1192
Bathurst Regional	20-24	0	M	1235
Bathurst Regional	20-24	1	F	89
Bathurst Regional	20-24	1	M	70
Bathurst Regional	25-34		F	156
Bathurst Regional	25-34		M	485
Bathurst Regional	25-34	0	F	2310
Bathurst Regional	25-34	0	M	2282
Bathurst Regional	25-34	1	F	286
Bathurst Regional	25-34	1	M	171
Bathurst Regional	35-44		F	121
Bathurst Regional	35-44		M	409
Bathurst Regional	35-44	0	F	1953
Bathurst Regional	35-44	0	M	1994
Bathurst Regional	35-44	1	F	420
Bathurst Regional	35-44	1	M	232
Bathurst Regional	45-54		F	165
Bathurst Regional	45-54		M	266
Bathurst Regional	45-54	0	F	1976
Bathurst Regional	45-54	0	M	1984
Bathurst Regional	45-54	1	F	617
Bathurst Regional	45-54	1	M	374
Bathurst Regional	55-64		F	136
Bathurst Regional	55-64		M	197
Bathurst Regional	55-64	0	F	1947
Bathurst Regional	55-64	0	M	2022
Bathurst Regional	55-64	1	F	634
Bathurst Regional	55-64	1	M	402
Bathurst Regional	65-74		F	120
Bathurst Regional	65-74		M	133
Bathurst Regional	65-74	0	F	1780
Bathurst Regional	65-74	0	M	1845
Bathurst Regional	65-74	1	F	369
Bathurst Regional	65-74	1	M	252
Bathurst Regional	75-84		F	94
Bathurst Regional	75-84		M	91
Bathurst Regional	75-84	0	F	1055
Bathurst Regional	75-84	0	M	979
Bathurst Regional	75-84	1	F	164
Bathurst Regional	75-84	1	M	144
Bathurst Regional	85+		F	58
Bathurst Regional	85+		M	32
Bathurst Regional	85+	0	F	594
Bathurst Regional	85+	0	M	294
Bathurst Regional	85+	1	F	30
Bathurst Regional	85+	1	M	40
Bayside (NSW)	15-19		F	217
Bayside (NSW)	15-19		M	277
Bayside (NSW)	15-19	0	F	3277
Bayside (NSW)	15-19	0	M	3632
Bayside (NSW)	15-19	1	F	196
Bayside (NSW)	15-19	1	M	178
Bayside (NSW)	20-24		F	483
Bayside (NSW)	20-24		M	541
Bayside (NSW)	20-24	0	F	5704
Bayside (NSW)	20-24	0	M	6342
Bayside (NSW)	20-24	1	F	352
Bayside (NSW)	20-24	1	M	298
Bayside (NSW)	25-34		F	1344
Bayside (NSW)	25-34		M	1482
Bayside (NSW)	25-34	0	F	15767
Bayside (NSW)	25-34	0	M	16121
Bayside (NSW)	25-34	1	F	1010
Bayside (NSW)	25-34	1	M	811
Bayside (NSW)	35-44		F	785
Bayside (NSW)	35-44		M	927
Bayside (NSW)	35-44	0	F	10723
Bayside (NSW)	35-44	0	M	11440
Bayside (NSW)	35-44	1	F	1541
Bayside (NSW)	35-44	1	M	1139
Bayside (NSW)	45-54		F	575
Bayside (NSW)	45-54		M	596
Bayside (NSW)	45-54	0	F	7879
Bayside (NSW)	45-54	0	M	8008
Bayside (NSW)	45-54	1	F	2136
Bayside (NSW)	45-54	1	M	1433
Bayside (NSW)	55-64		F	454
Bayside (NSW)	55-64		M	517
Bayside (NSW)	55-64	0	F	6750
Bayside (NSW)	55-64	0	M	6840
Bayside (NSW)	55-64	1	F	1749
Bayside (NSW)	55-64	1	M	1194
Bayside (NSW)	65-74		F	395
Bayside (NSW)	65-74		M	423
Bayside (NSW)	65-74	0	F	5721
Bayside (NSW)	65-74	0	M	5396
Bayside (NSW)	65-74	1	F	937
Bayside (NSW)	65-74	1	M	626
Bayside (NSW)	75-84		F	421
Bayside (NSW)	75-84		M	391
Bayside (NSW)	75-84	0	F	3815
Bayside (NSW)	75-84	0	M	3204
Bayside (NSW)	75-84	1	F	517
Bayside (NSW)	75-84	1	M	370
Bayside (NSW)	85+		F	441
Bayside (NSW)	85+		M	284
Bayside (NSW)	85+	0	F	1707
Bayside (NSW)	85+	0	M	1153
Bayside (NSW)	85+	1	F	98
Bayside (NSW)	85+	1	M	119
Bega Valley	15-19		F	81
Bega Valley	15-19		M	106
Bega Valley	15-19	0	F	710
Bega Valley	15-19	0	M	769
Bega Valley	15-19	1	F	46
Bega Valley	15-19	1	M	56
Bega Valley	20-24		F	58
Bega Valley	20-24		M	54
Bega Valley	20-24	0	F	507
Bega Valley	20-24	0	M	569
Bega Valley	20-24	1	F	51
Bega Valley	20-24	1	M	48
Bega Valley	25-34		F	111
Bega Valley	25-34		M	136
Bega Valley	25-34	0	F	1252
Bega Valley	25-34	0	M	1229
Bega Valley	25-34	1	F	184
Bega Valley	25-34	1	M	120
Bega Valley	35-44		F	117
Bega Valley	35-44		M	111
Bega Valley	35-44	0	F	1354
Bega Valley	35-44	0	M	1269
Bega Valley	35-44	1	F	306
Bega Valley	35-44	1	M	183
Bega Valley	45-54		F	155
Bega Valley	45-54		M	158
Bega Valley	45-54	0	F	1652
Bega Valley	45-54	0	M	1645
Bega Valley	45-54	1	F	471
Bega Valley	45-54	1	M	257
Bega Valley	55-64		F	215
Bega Valley	55-64		M	199
Bega Valley	55-64	0	F	2449
Bega Valley	55-64	0	M	2280
Bega Valley	55-64	1	F	722
Bega Valley	55-64	1	M	466
Bega Valley	65-74		F	175
Bega Valley	65-74		M	207
Bega Valley	65-74	0	F	2405
Bega Valley	65-74	0	M	2633
Bega Valley	65-74	1	F	475
Bega Valley	65-74	1	M	331
Bega Valley	75-84		F	145
Bega Valley	75-84		M	141
Bega Valley	75-84	0	F	1253
Bega Valley	75-84	0	M	1239
Bega Valley	75-84	1	F	170
Bega Valley	75-84	1	M	153
Bega Valley	85+		F	125
Bega Valley	85+		M	85
Bega Valley	85+	0	F	465
Bega Valley	85+	0	M	331
Bega Valley	85+	1	F	31
Bega Valley	85+	1	M	47
Bellingen	15-19		F	47
Bellingen	15-19		M	33
Bellingen	15-19	0	F	286
Bellingen	15-19	0	M	308
Bellingen	15-19	1	F	14
Bellingen	15-19	1	M	21
Bellingen	20-24		F	8
Bellingen	20-24		M	17
Bellingen	20-24	0	F	156
Bellingen	20-24	0	M	180
Bellingen	20-24	1	F	19
Bellingen	20-24	1	M	10
Bellingen	25-34		F	42
Bellingen	25-34		M	44
Bellingen	25-34	0	F	417
Bellingen	25-34	0	M	417
Bellingen	25-34	1	F	74
Bellingen	25-34	1	M	53
Bellingen	35-44		F	57
Bellingen	35-44		M	63
Bellingen	35-44	0	F	502
Bellingen	35-44	0	M	488
Bellingen	35-44	1	F	130
Bellingen	35-44	1	M	60
Bellingen	45-54		F	66
Bellingen	45-54		M	73
Bellingen	45-54	0	F	698
Bellingen	45-54	0	M	620
Bellingen	45-54	1	F	204
Bellingen	45-54	1	M	106
Bellingen	55-64		F	69
Bellingen	55-64		M	71
Bellingen	55-64	0	F	874
Bellingen	55-64	0	M	819
Bellingen	55-64	1	F	272
Bellingen	55-64	1	M	152
Bellingen	65-74		F	76
Bellingen	65-74		M	80
Bellingen	65-74	0	F	774
Bellingen	65-74	0	M	878
Bellingen	65-74	1	F	166
Bellingen	65-74	1	M	126
Bellingen	75-84		F	58
Bellingen	75-84		M	42
Bellingen	75-84	0	F	420
Bellingen	75-84	0	M	403
Bellingen	75-84	1	F	63
Bellingen	75-84	1	M	55
Bellingen	85+		F	42
Bellingen	85+		M	16
Bellingen	85+	0	F	188
Bellingen	85+	0	M	129
Bellingen	85+	1	F	9
Bellingen	85+	1	M	10
Berrigan	15-19		F	24
Berrigan	15-19		M	23
Berrigan	15-19	0	F	177
Berrigan	15-19	0	M	190
Berrigan	15-19	1	F	3
Berrigan	15-19	1	M	15
Berrigan	20-24		F	16
Berrigan	20-24		M	14
Berrigan	20-24	0	F	107
Berrigan	20-24	0	M	114
Berrigan	20-24	1	F	17
Berrigan	20-24	1	M	14
Berrigan	25-34		F	41
Berrigan	25-34		M	34
Berrigan	25-34	0	F	298
Berrigan	25-34	0	M	303
Berrigan	25-34	1	F	32
Berrigan	25-34	1	M	25
Berrigan	35-44		F	29
Berrigan	35-44		M	37
Berrigan	35-44	0	F	324
Berrigan	35-44	0	M	301
Berrigan	35-44	1	F	77
Berrigan	35-44	1	M	22
Berrigan	45-54		F	57
Berrigan	45-54		M	44
Berrigan	45-54	0	F	338
Berrigan	45-54	0	M	371
Berrigan	45-54	1	F	88
Berrigan	45-54	1	M	72
Berrigan	55-64		F	50
Berrigan	55-64		M	61
Berrigan	55-64	0	F	470
Berrigan	55-64	0	M	451
Berrigan	55-64	1	F	151
Berrigan	55-64	1	M	87
Berrigan	65-74		F	85
Berrigan	65-74		M	84
Berrigan	65-74	0	F	575
Berrigan	65-74	0	M	654
Berrigan	65-74	1	F	103
Berrigan	65-74	1	M	88
Berrigan	75-84		F	63
Berrigan	75-84		M	48
Berrigan	75-84	0	F	337
Berrigan	75-84	0	M	333
Berrigan	75-84	1	F	53
Berrigan	75-84	1	M	59
Berrigan	85+		F	37
Berrigan	85+		M	36
Berrigan	85+	0	F	126
Berrigan	85+	0	M	103
Berrigan	85+	1	F	11
Berrigan	85+	1	M	20
Blacktown	15-19		F	770
Blacktown	15-19		M	895
Blacktown	15-19	0	F	10341
Blacktown	15-19	0	M	11235
Blacktown	15-19	1	F	619
Blacktown	15-19	1	M	515
Blacktown	20-24		F	864
Blacktown	20-24		M	1240
Blacktown	20-24	0	F	10895
Blacktown	20-24	0	M	11930
Blacktown	20-24	1	F	818
Blacktown	20-24	1	M	686
Blacktown	25-34		F	2234
Blacktown	25-34		M	2831
Blacktown	25-34	0	F	25581
Blacktown	25-34	0	M	24231
Blacktown	25-34	1	F	2691
Blacktown	25-34	1	M	1696
Blacktown	35-44		F	2122
Blacktown	35-44		M	2486
Blacktown	35-44	0	F	27120
Blacktown	35-44	0	M	28391
Blacktown	35-44	1	F	4311
Blacktown	35-44	1	M	2956
Blacktown	45-54		F	1288
Blacktown	45-54		M	1581
Blacktown	45-54	0	F	18494
Blacktown	45-54	0	M	19713
Blacktown	45-54	1	F	3875
Blacktown	45-54	1	M	2612
Blacktown	55-64		F	933
Blacktown	55-64		M	1068
Blacktown	55-64	0	F	15290
Blacktown	55-64	0	M	15477
Blacktown	55-64	1	F	3076
Blacktown	55-64	1	M	2036
Blacktown	65-74		F	797
Blacktown	65-74		M	699
Blacktown	65-74	0	F	11742
Blacktown	65-74	0	M	10787
Blacktown	65-74	1	F	1734
Blacktown	65-74	1	M	1263
Blacktown	75-84		F	543
Blacktown	75-84		M	437
Blacktown	75-84	0	F	5528
Blacktown	75-84	0	M	4776
Blacktown	75-84	1	F	574
Blacktown	75-84	1	M	579
Blacktown	85+		F	365
Blacktown	85+		M	190
Blacktown	85+	0	F	2301
Blacktown	85+	0	M	1235
Blacktown	85+	1	F	83
Blacktown	85+	1	M	125
Bland	15-19		F	14
Bland	15-19		M	17
Bland	15-19	0	F	126
Bland	15-19	0	M	119
Bland	15-19	1	F	9
Bland	15-19	1	M	6
Bland	20-24		F	9
Bland	20-24		M	8
Bland	20-24	0	F	105
Bland	20-24	0	M	108
Bland	20-24	1	F	5
Bland	20-24	1	M	9
Bland	25-34		F	19
Bland	25-34		M	37
Bland	25-34	0	F	236
Bland	25-34	0	M	246
Bland	25-34	1	F	27
Bland	25-34	1	M	22
Bland	35-44		F	43
Bland	35-44		M	42
Bland	35-44	0	F	223
Bland	35-44	0	M	233
Bland	35-44	1	F	65
Bland	35-44	1	M	28
Bland	45-54		F	20
Bland	45-54		M	33
Bland	45-54	0	F	242
Bland	45-54	0	M	248
Bland	45-54	1	F	69
Bland	45-54	1	M	37
Bland	55-64		F	32
Bland	55-64		M	49
Bland	55-64	0	F	258
Bland	55-64	0	M	330
Bland	55-64	1	F	67
Bland	55-64	1	M	52
Bland	65-74		F	31
Bland	65-74		M	37
Bland	65-74	0	F	239
Bland	65-74	0	M	274
Bland	65-74	1	F	61
Bland	65-74	1	M	38
Bland	75-84		F	30
Bland	75-84		M	24
Bland	75-84	0	F	155
Bland	75-84	0	M	152
Bland	75-84	1	F	30
Bland	75-84	1	M	21
Bland	85+		F	22
Bland	85+		M	11
Bland	85+	0	F	83
Bland	85+	0	M	55
Bland	85+	1	F	3
Blayney	15-19		F	13
Blayney	15-19		M	25
Blayney	15-19	0	F	192
Blayney	15-19	0	M	209
Blayney	15-19	1	F	18
Blayney	15-19	1	M	9
Blayney	20-24		F	13
Blayney	20-24		M	8
Blayney	20-24	0	F	125
Blayney	20-24	0	M	147
Blayney	20-24	1	F	15
Blayney	20-24	1	M	5
Blayney	25-34		F	24
Blayney	25-34		M	17
Blayney	25-34	0	F	343
Blayney	25-34	0	M	335
Blayney	25-34	1	F	47
Blayney	25-34	1	M	21
Blayney	35-44		F	27
Blayney	35-44		M	24
Blayney	35-44	0	F	316
Blayney	35-44	0	M	300
Blayney	35-44	1	F	76
Blayney	35-44	1	M	38
Blayney	45-54		F	32
Blayney	45-54		M	44
Blayney	45-54	0	F	361
Blayney	45-54	0	M	366
Blayney	45-54	1	F	130
Blayney	45-54	1	M	71
Blayney	55-64		F	44
Blayney	55-64		M	49
Blayney	55-64	0	F	384
Blayney	55-64	0	M	433
Blayney	55-64	1	F	124
Blayney	55-64	1	M	77
Blayney	65-74		F	31
Blayney	65-74		M	43
Blayney	65-74	0	F	308
Blayney	65-74	0	M	374
Blayney	65-74	1	F	73
Blayney	65-74	1	M	52
Blayney	75-84		F	29
Blayney	75-84		M	28
Blayney	75-84	0	F	181
Blayney	75-84	0	M	184
Blayney	75-84	1	F	25
Blayney	75-84	1	M	28
Blayney	85+		F	7
Blayney	85+		M	5
Blayney	85+	0	F	79
Blayney	85+	0	M	61
Blayney	85+	1	F	9
Blayney	85+	1	M	11
Blue Mountains	15-19		F	87
Blue Mountains	15-19		M	102
Blue Mountains	15-19	0	F	1980
Blue Mountains	15-19	0	M	2243
Blue Mountains	15-19	1	F	126
Blue Mountains	15-19	1	M	131
Blue Mountains	20-24		F	43
Blue Mountains	20-24		M	66
Blue Mountains	20-24	0	F	1418
Blue Mountains	20-24	0	M	1672
Blue Mountains	20-24	1	F	122
Blue Mountains	20-24	1	M	99
Blue Mountains	25-34		F	143
Blue Mountains	25-34		M	150
Blue Mountains	25-34	0	F	3116
Blue Mountains	25-34	0	M	3082
Blue Mountains	25-34	1	F	374
Blue Mountains	25-34	1	M	262
Blue Mountains	35-44		F	161
Blue Mountains	35-44		M	197
Blue Mountains	35-44	0	F	3987
Blue Mountains	35-44	0	M	3903
Blue Mountains	35-44	1	F	856
Blue Mountains	35-44	1	M	476
Blue Mountains	45-54		F	197
Blue Mountains	45-54		M	186
Blue Mountains	45-54	0	F	4175
Blue Mountains	45-54	0	M	4279
Blue Mountains	45-54	1	F	1320
Blue Mountains	45-54	1	M	796
Blue Mountains	55-64		F	161
Blue Mountains	55-64		M	158
Blue Mountains	55-64	0	F	4438
Blue Mountains	55-64	0	M	4236
Blue Mountains	55-64	1	F	1371
Blue Mountains	55-64	1	M	835
Blue Mountains	65-74		F	180
Blue Mountains	65-74		M	178
Blue Mountains	65-74	0	F	4475
Blue Mountains	65-74	0	M	4234
Blue Mountains	65-74	1	F	847
Blue Mountains	65-74	1	M	604
Blue Mountains	75-84		F	168
Blue Mountains	75-84		M	135
Blue Mountains	75-84	0	F	2418
Blue Mountains	75-84	0	M	1951
Blue Mountains	75-84	1	F	309
Blue Mountains	75-84	1	M	266
Blue Mountains	85+		F	165
Blue Mountains	85+		M	40
Blue Mountains	85+	0	F	892
Blue Mountains	85+	0	M	538
Blue Mountains	85+	1	F	57
Blue Mountains	85+	1	M	78
Bogan	15-19		F	3
Bogan	15-19		M	8
Bogan	15-19	0	F	55
Bogan	15-19	0	M	75
Bogan	15-19	1	F	7
Bogan	15-19	1	M	3
Bogan	20-24		F	6
Bogan	20-24		M	11
Bogan	20-24	0	F	50
Bogan	20-24	0	M	68
Bogan	20-24	1	F	3
Bogan	20-24	1	M	4
Bogan	25-34		F	10
Bogan	25-34		M	10
Bogan	25-34	0	F	148
Bogan	25-34	0	M	124
Bogan	25-34	1	F	18
Bogan	25-34	1	M	12
Bogan	35-44		F	7
Bogan	35-44		M	9
Bogan	35-44	0	F	75
Bogan	35-44	0	M	90
Bogan	35-44	1	F	19
Bogan	35-44	1	M	13
Bogan	45-54		F	19
Bogan	45-54		M	16
Bogan	45-54	0	F	137
Bogan	45-54	0	M	134
Bogan	45-54	1	F	25
Bogan	45-54	1	M	20
Bogan	55-64		F	14
Bogan	55-64		M	21
Bogan	55-64	0	F	101
Bogan	55-64	0	M	124
Bogan	55-64	1	F	31
Bogan	55-64	1	M	33
Bogan	65-74		F	8
Bogan	65-74		M	15
Bogan	65-74	0	F	84
Bogan	65-74	0	M	101
Bogan	65-74	1	F	12
Bogan	65-74	1	M	6
Bogan	75-84		F	23
Bogan	75-84		M	20
Bogan	75-84	0	F	77
Bogan	75-84	0	M	68
Bogan	75-84	1	F	12
Bogan	75-84	1	M	10
Bogan	85+		F	18
Bogan	85+	0	F	28
Bogan	85+	0	M	21
Bogan	85+	1	M	5
Bourke	15-19		F	14
Bourke	15-19		M	18
Bourke	15-19	0	F	38
Bourke	15-19	0	M	41
Bourke	15-19	1	F	3
Bourke	20-24		F	7
Bourke	20-24		M	11
Bourke	20-24	0	F	62
Bourke	20-24	0	M	49
Bourke	20-24	1	M	3
Bourke	25-34		F	30
Bourke	25-34		M	26
Bourke	25-34	0	F	131
Bourke	25-34	0	M	108
Bourke	25-34	1	F	13
Bourke	25-34	1	M	4
Bourke	35-44		F	34
Bourke	35-44		M	25
Bourke	35-44	0	F	85
Bourke	35-44	0	M	98
Bourke	35-44	1	F	20
Bourke	35-44	1	M	13
Bourke	45-54		F	27
Bourke	45-54		M	35
Bourke	45-54	0	F	93
Bourke	45-54	0	M	107
Bourke	45-54	1	F	27
Bourke	45-54	1	M	13
Bourke	55-64		F	26
Bourke	55-64		M	27
Bourke	55-64	0	F	106
Bourke	55-64	0	M	117
Bourke	55-64	1	F	19
Bourke	55-64	1	M	27
Bourke	65-74		F	13
Bourke	65-74		M	22
Bourke	65-74	0	F	69
Bourke	65-74	0	M	86
Bourke	65-74	1	F	18
Bourke	75-84		F	15
Bourke	75-84		M	12
Bourke	75-84	0	F	41
Bourke	75-84	0	M	40
Bourke	75-84	1	M	8
Bourke	85+		F	4
Bourke	85+	0	F	16
Bourke	85+	0	M	7
Brewarrina	15-19		F	5
Brewarrina	15-19		M	7
Brewarrina	15-19	0	F	32
Brewarrina	15-19	0	M	36
Brewarrina	20-24		F	13
Brewarrina	20-24		M	13
Brewarrina	20-24	0	F	21
Brewarrina	20-24	0	M	28
Brewarrina	25-34		F	22
Brewarrina	25-34		M	19
Brewarrina	25-34	0	F	87
Brewarrina	25-34	0	M	68
Brewarrina	25-34	1	F	8
Brewarrina	35-44		F	4
Brewarrina	35-44		M	11
Brewarrina	35-44	0	F	48
Brewarrina	35-44	0	M	46
Brewarrina	35-44	1	F	9
Brewarrina	35-44	1	M	4
Brewarrina	45-54		F	22
Brewarrina	45-54		M	12
Brewarrina	45-54	0	F	61
Brewarrina	45-54	0	M	57
Brewarrina	45-54	1	F	18
Brewarrina	45-54	1	M	3
Brewarrina	55-64		F	22
Brewarrina	55-64		M	15
Brewarrina	55-64	0	F	69
Brewarrina	55-64	0	M	82
Brewarrina	55-64	1	F	9
Brewarrina	55-64	1	M	13
Brewarrina	65-74		F	5
Brewarrina	65-74		M	15
Brewarrina	65-74	0	F	44
Brewarrina	65-74	0	M	55
Brewarrina	65-74	1	F	7
Brewarrina	65-74	1	M	3
Brewarrina	75-84		F	6
Brewarrina	75-84		M	4
Brewarrina	75-84	0	F	16
Brewarrina	75-84	0	M	19
Brewarrina	75-84	1	F	3
Brewarrina	75-84	1	M	3
Brewarrina	85+		F	4
Brewarrina	85+	0	F	13
Broken Hill	15-19		F	50
Broken Hill	15-19		M	71
Broken Hill	15-19	0	F	379
Broken Hill	15-19	0	M	431
Broken Hill	15-19	1	F	27
Broken Hill	15-19	1	M	16
Broken Hill	20-24		F	38
Broken Hill	20-24		M	55
Broken Hill	20-24	0	F	368
Broken Hill	20-24	0	M	394
Broken Hill	20-24	1	F	13
Broken Hill	20-24	1	M	20
Broken Hill	25-34		F	104
Broken Hill	25-34		M	117
Broken Hill	25-34	0	F	894
Broken Hill	25-34	0	M	873
Broken Hill	25-34	1	F	130
Broken Hill	25-34	1	M	63
Broken Hill	35-44		F	88
Broken Hill	35-44		M	117
Broken Hill	35-44	0	F	696
Broken Hill	35-44	0	M	719
Broken Hill	35-44	1	F	174
Broken Hill	35-44	1	M	89
Broken Hill	45-54		F	82
Broken Hill	45-54		M	101
Broken Hill	45-54	0	F	710
Broken Hill	45-54	0	M	760
Broken Hill	45-54	1	F	202
Broken Hill	45-54	1	M	151
Broken Hill	55-64		F	82
Broken Hill	55-64		M	76
Broken Hill	55-64	0	F	930
Broken Hill	55-64	0	M	967
Broken Hill	55-64	1	F	310
Broken Hill	55-64	1	M	197
Broken Hill	65-74		F	74
Broken Hill	65-74		M	83
Broken Hill	65-74	0	F	858
Broken Hill	65-74	0	M	898
Broken Hill	65-74	1	F	184
Broken Hill	65-74	1	M	125
Broken Hill	75-84		F	101
Broken Hill	75-84		M	51
