LGA_NAME21	Age	MaxSchoolingCompleted	Sex	adults
Ballina	25-34	Did not go to school	M	11
Ballina	25-34	Year 8 or below	F	16
Ballina	25-34	Year 8 or below	M	36
Ballina	25-34	Year 9	F	45
Ballina	25-34	Year 9	M	47
Ballina	25-34	Year 10	F	276
Ballina	25-34	Year 10	M	394
Ballina	25-34	Year 11	F	122
Ballina	25-34	Year 11	M	166
Ballina	25-34	Year 12	F	1655
Ballina	25-34	Year 12	M	1191
Ballina	35-44		F	143
Ballina	35-44		M	171
Ballina	35-44	Did not go to school	F	4
Ballina	35-44	Did not go to school	M	9
Ballina	35-44	Year 8 or below	F	20
Ballina	35-44	Year 8 or below	M	28
Ballina	35-44	Year 9	F	47
Ballina	35-44	Year 9	M	74
Ballina	35-44	Year 10	F	341
Ballina	35-44	Year 10	M	452
Ballina	35-44	Year 11	F	162
Ballina	35-44	Year 11	M	182
Ballina	35-44	Year 12	F	2010
Ballina	35-44	Year 12	M	1604
Ballina	45-54		F	161
Ballina	45-54		M	133
Ballina	45-54	Did not go to school	F	6
Ballina	45-54	Did not go to school	M	4
Ballina	45-54	Year 8 or below	F	23
Ballina	45-54	Year 8 or below	M	44
Ballina	45-54	Year 9	F	82
Ballina	45-54	Year 9	M	108
Ballina	45-54	Year 10	F	717
Ballina	45-54	Year 10	M	742
Ballina	45-54	Year 11	F	224
Ballina	45-54	Year 11	M	213
Ballina	45-54	Year 12	F	1918
Ballina	45-54	Year 12	M	1525
Ballina	55-64		F	165
Ballina	55-64		M	171
Ballina	55-64	Did not go to school	F	8
Ballina	55-64	Did not go to school	M	18
Ballina	55-64	Year 8 or below	F	79
Ballina	55-64	Year 8 or below	M	89
Ballina	55-64	Year 9	F	155
Ballina	55-64	Year 9	M	184
Ballina	55-64	Year 10	F	1306
Ballina	55-64	Year 10	M	1206
Ballina	55-64	Year 11	F	232
Ballina	55-64	Year 11	M	218
Ballina	55-64	Year 12	F	1482
Ballina	55-64	Year 12	M	1204
Ballina	65-74		F	212
Ballina	65-74		M	192
Ballina	65-74	Did not go to school	F	7
Ballina	65-74	Did not go to school	M	12
Ballina	65-74	Year 8 or below	F	140
Ballina	65-74	Year 8 or below	M	161
Ballina	65-74	Year 9	F	354
Ballina	65-74	Year 9	M	307
Ballina	65-74	Year 10	F	1389
Ballina	65-74	Year 10	M	983
Ballina	65-74	Year 11	F	204
Ballina	65-74	Year 11	M	170
Ballina	65-74	Year 12	F	1213
Ballina	65-74	Year 12	M	1366
Ballina	75-84		F	212
Ballina	75-84		M	165
Ballina	75-84	Did not go to school	F	6
Ballina	75-84	Did not go to school	M	4
Ballina	75-84	Year 8 or below	F	175
Ballina	75-84	Year 8 or below	M	173
Ballina	75-84	Year 9	F	317
Ballina	75-84	Year 9	M	274
Ballina	75-84	Year 10	F	719
Ballina	75-84	Year 10	M	552
Ballina	75-84	Year 11	F	127
Ballina	75-84	Year 11	M	80
Ballina	75-84	Year 12	F	579
Ballina	75-84	Year 12	M	578
Ballina	85+		F	222
Ballina	85+		M	95
Ballina	85+	Did not go to school	F	8
Ballina	85+	Did not go to school	M	6
Ballina	85+	Year 8 or below	F	187
Ballina	85+	Year 8 or below	M	128
Ballina	85+	Year 9	F	203
Ballina	85+	Year 9	M	93
Ballina	85+	Year 10	F	324
Ballina	85+	Year 10	M	165
Ballina	85+	Year 11	F	34
Ballina	85+	Year 11	M	21
Ballina	85+	Year 12	F	175
Ballina	85+	Year 12	M	175
Balranald	15-19		F	11
Balranald	15-19		M	5
Balranald	15-19	Year 10	F	5
Balranald	15-19	Year 10	M	12
Balranald	15-19	Year 11	M	3
Balranald	15-19	Year 12	F	10
Balranald	15-19	Year 12	M	4
Balranald	20-24		F	5
Balranald	20-24		M	7
Balranald	20-24	Year 8 or below	M	3
Balranald	20-24	Year 9	M	4
Balranald	20-24	Year 10	M	4
Balranald	20-24	Year 11	F	5
Balranald	20-24	Year 11	M	10
Balranald	20-24	Year 12	F	31
Balranald	20-24	Year 12	M	39
Balranald	25-34		F	22
Balranald	25-34		M	20
Balranald	25-34	Year 8 or below	M	5
Balranald	25-34	Year 9	M	5
Balranald	25-34	Year 10	F	16
